start,end,script
00:02:26.228,00:02:28.730,Doc. Doc! Doc.
00:02:28.814,00:02:30.816,Doc! Doc!
00:02:30.900,00:02:34.695,"Okay. Relax. Doc, it’s me. It’s me! It’s Marty."
00:02:34.779,00:02:37.322,No. It can’t be. Just sent you back to the future.
00:02:37.406,00:02:40.492,"I know. You did send me back to the future, but I’m back."
00:02:40.576,00:02:42.578,I’m back from the future.
00:02:45.790,00:02:48.250,Great Scott!
00:05:21.028,00:05:24.198,Howdy Doody Time?
00:05:27.785,00:05:32.414,"Date: Sunday, November 13, 1955, 7:01 a.m."
00:05:32.498,00:05:35.917,Last night’s time-travel experiment was apparently a complete success.
00:05:36.001,00:05:41.631,"Lightning struck the clock tower at precisely 10:04 p.m., sending the necessary 1.21 gigawatts into the time vehicle..."
00:05:41.715,00:05:46.303,"which vanished in a brilliant flash of light, leaving a pair of fire trails behind."
00:05:46.387,00:05:49.014,"I, therefore, assume that Marty and the time vehicle were transported..."
00:05:49.098,00:05:52.392,forward through time into the year 1985.
00:05:54.103,00:05:56.521,"After that, I can’t recall what happened."
00:05:56.605,00:05:59.399,"In fact, I don’t even remember how I got home."
00:05:59.483,00:06:09.701,"Perhaps the gigawatt discharge, coupled with the temporal displacement field generated by the time vehicle, caused a disruption of my own brain waves, resulting in a condition of momentary amnesia."
00:06:09.785,00:06:11.244,"Indeed, I now recall..."
00:06:11.328,00:06:29.513,"that moments after the time vehicle disappeared into the future– Hey, Doc? Doc. Undoubtedly, this was some sort of residual image– Doc, calm down, okay?"
00:06:29.597,00:06:31.515,Just calm down! It’s me! It’s Marty!
00:06:31.599,00:06:34.017,No! It can’t be you! I sent you back to the future!
00:06:34.101,00:06:37.062,"That’s right, Doc. But I came back again. I came back from the future."
00:06:37.146,00:06:39.439,Don’t you remember last night? You fainted. I brought you home!
00:06:39.523,00:06:42.067,This can’t be happening! You can’t be here!
00:06:42.151,00:06:45.654,It doesn’t make sense for you to be here! I refuse to even believe you are here!
00:06:45.738,00:06:47.656,"Doc, I am here, and it does make sense."
00:06:47.740,00:06:53.411,"Look, I came back to 1955 again with you, the you from 1985, ’cause we had to get a book from Biff."
00:06:53.495,00:07:00.043,"Once I got the book back, you– the you from 1985– were in the DeLorean and it got struck by lightning, and we got sent back to 1885!"
00:07:00.127,00:07:01.795,1885?
00:07:03.797,00:07:09.261,"It’s a very interesting story, future boy, but there’s just one little thing that doesn’t make sense."
00:07:09.345,00:07:14.307,"If the me of the future is now in the past, how could you possibly know about it?"
00:07:14.391,00:07:16.059,You sent me a letter.
00:07:16.143,00:07:22.482,"Dear Marty, If my calculations are correct, you will receive this letter immediately after you saw the DeLorean struck by lightning."
00:07:22.566,00:07:25.318,"First, let me assure you that I am alive and well."
00:07:25.402,00:07:29.531,I’ve been living happily these past eight months in the year 1885.
00:07:29.615,00:07:32.284,The lightning bolt that hit the DeLorean caused a gigawatt overload...
00:07:32.368,00:07:35.745,"which scrambled the time circuits, activated the flux capacitor..."
00:07:35.829,00:07:38.748,and sent me back to 1885.
00:07:38.832,00:07:42.627,The overload shorted out the time circuits and destroyed the flying circuits.
00:07:42.711,00:07:45.297,"Unfortunately, the car will never fly again."
00:07:45.381,00:07:46.881,It actually flew?
00:07:46.965,00:07:50.051,"Yeah. Well, you had a hover conversion done in the early 21st century."
00:07:50.135,00:07:52.178,Incredible!
00:07:52.262,00:07:55.181,I set myself up as a blacksmith as a front...
00:07:55.265,00:07:58.518,while I attempted to repair the damage to the time circuits.
00:07:58.602,00:08:01.980,"Unfortunately, this proved impossible because suitable replacement parts..."
00:08:02.064,00:08:05.525,will not be invented until 1947.
00:08:05.609,00:08:10.656,"However, I’ve gotten quite adept at shoeing horses and fixing wagons."
00:08:11.657,00:08:13.950,1885!
00:08:14.034,00:08:18.079,Amazing! I actually end up as a blacksmith in the Old West.
00:08:18.163,00:08:19.706,"Pretty heavy, huh?"
00:08:19.790,00:08:27.505,"I have buried the DeLorean in the abandoned Delgado Mine, adjacent to the old Boot Hill Cemetery as shown on the enclosed map."
00:08:27.589,00:08:29.674,"Hopefully, it should remain undisturbed and preserved..."
00:08:29.758,00:08:33.845,until you uncover it in 1955.
00:08:33.929,00:08:37.599,"Inside, you will find repair instructions."
00:08:37.683,00:08:45.482,My 1955 counterpart– That’s me– should have no problem repairing it so that you can drive it back to the future.
00:08:45.566,00:08:49.527,"Once you have returned to 1985, destroy the time machine."
00:08:49.611,00:08:51.112,Destroy it?
00:08:51.196,00:08:54.240,"Yeah, well, it’s a long story, Doc."
00:08:54.324,00:08:59.371,Do not– I repeat– Do not attempt to come back here to get me.
00:08:59.455,00:09:08.296,"I am perfectly happy living in the fresh air and wide-open spaces, and I fear that unnecessary time travel only risks further disruption..."
00:09:08.380,00:09:10.465,of the space-time continuum.
00:09:10.549,00:09:13.969,And please take care of Einstein for me.
00:09:15.512,00:09:17.806,"Einstein? He’s your dog, Doc."
00:09:17.890,00:09:21.101,Einstein. It’s what you call your dog in 1985.
00:09:24.062,00:09:26.064,I know you will give him a good home.
00:09:26.148,00:09:30.235,Remember to walk him twice a day and that he only likes canned dog food.
00:09:30.319,00:09:33.405,These are my wishes. Please respect them and follow them.
00:09:33.489,00:09:35.865,"And so, Marty, I now say farewell..."
00:09:35.949,00:09:37.867,and wish you Godspeed.
00:09:37.951,00:09:43.373,"You’ve been a good, kind and loyal friend to me, and you made a real difference in my life."
00:09:43.457,00:09:45.709,I will always treasure our relationship...
00:09:45.793,00:09:52.716,"and think on you with fond memories, warm feelings and a special place in my heart."
00:09:52.800,00:09:55.468,"Your friend in time, Doc."
00:09:55.552,00:09:59.723,"Emmett L. Brown, September 1, 1885."
00:10:01.433,00:10:05.103,I never knew I could write anything so touching.
00:10:08.190,00:10:11.151,"It’s all right, Copernicus. Everything’s gonna be fine."
00:10:11.235,00:10:14.028,"I’m sorry, Doc. It’s all my fault you’re stuck back there."
00:10:14.112,00:10:16.030,I never should have let Biff get to me.
00:10:16.114,00:10:18.992,"Well, there are plenty worse places to be than the Old West."
00:10:19.076,00:10:20.785,I could’ve ended up in the Dark Ages.
00:10:20.869,00:10:24.289,They probably would have burned me at the stake as a heretic or something.
00:10:24.373,00:10:26.124,Let’s look at the map.
00:10:26.208,00:10:30.837,"All right, according to this, the time vehicle’s sealed off in a side tunnel."
00:10:30.921,00:10:32.548,We may have to blast.
00:10:45.185,00:10:47.645,Whoa.
00:10:47.729,00:10:49.856,I think you woke up the dead with that blast.
00:10:49.940,00:10:52.693,Take this camera. I want to document everything!
00:10:55.028,00:10:58.823,This reminds me of the time I attempted to reach the center of the earth.
00:10:58.907,00:11:01.534,"I’d been reading my favorite author, Jules Verne."
00:11:01.618,00:11:04.996,I spent weeks preparing that expedition. I didn’t even get this far.
