start,end,script
00:00:43.669,00:00:46.213,YOU THINK YOU'RE SO SMART.
00:00:46.213,00:00:48.298,STAY STILL ALREADY?
00:00:48.298,00:00:50.091,WHAT A GEEK!
00:00:50.091,00:00:52.177,I'M NOT A GEEK!
00:00:52.177,00:00:54.221,SHUT UP!
00:00:54.221,00:00:56.223,IT DOESN'T GO LIKE THAT.
00:00:56.223,00:00:59.184,WHO'S YOUR BROTHER?
00:00:59.184,00:01:03.564,"YOU DO IT LIKE THIS, IT'LL OPEN UP IN A FIRE, YOU'LL GET BURNED AND DIE."
00:01:07.359,00:01:10.362,LET'S GO!
00:01:10.362,00:01:13.532,"WHAT D'YOU GOT, ADCOX, A BIG DEAL?"
00:01:13.532,00:01:16.076,"HEY, BRIAN, WANT TO COME ALONG?"
00:01:16.076,00:01:18.954,DAD...
00:01:18.954,00:01:21.415,GIVE YOUR BROTHER A CHANCE.
00:01:21.415,00:01:23.375,WE'LL BE BACK IN A MINUTE.
00:01:23.375,00:01:25.419,SURE!
00:01:34.261,00:01:37.389,ALL RIGHT.
00:01:37.389,00:01:39.098,1545 IDYLWILD.
00:01:56.283,00:01:58.452,"GIVE IT A YANK, A GOOD PULL."
00:01:58.452,00:02:01.121,YOU'VE GOTTA GET THESE CARS OUTTA THE WAY.
00:02:01.121,00:02:03.415,GIVE IT ANOTHER YANK!
00:02:21.725,00:02:24.227,"WELL, THERE IT IS, RIGHT OVER THERE. SEE IT?"
00:02:37.950,00:02:39.118,OKAY...
00:02:39.118,00:02:41.161,YOU STAY NEAR THE TRUCK NOW.
00:02:42.370,00:02:44.331,THAT DOESN'T LOOK TOO BAD.
00:02:44.331,00:02:46.708,DROP TWO LINES AND HOLD THE SQUAD.
00:02:46.708,00:02:48.752,EVERYTHING I OWN IN THE WHOLE WORLD IS UP THERE.
00:02:48.752,00:02:51.212,ALL MY STUFF'S UP THERE!
00:02:59.721,00:03:02.557,ADCOX! LADDER UP!
00:03:02.557,00:03:05.184,"HEY, THAT'S YOUR OLD MAN UP THERE, BRIAN."
00:03:28.249,00:03:30.418,"NICE GRAB, CAPTAIN!"
00:03:32.337,00:03:35.215,TAKE IT EASY.
00:03:45.600,00:03:47.561,ALL RIGHT.
00:04:11.251,00:04:12.502,DAD!
00:04:12.502,00:04:15.047,"HOLD ON, ADCOX."
00:04:16.006,00:04:18.383,DAD!
00:05:55.605,00:05:58.650,"BRIAN McCAFFREY, GOT SOME I.D.?"
00:05:58.650,00:06:01.611,"HEY, WILLIE!"
00:06:01.611,00:06:03.404,THE LITTLEST McCAFFREY!
00:06:03.404,00:06:07.117,"HOT OFF THE PRESSES, BOYS!"
00:06:07.117,00:06:08.910,"HEY, McCAFFREY!"
00:06:08.910,00:06:11.121,"WHY DON'T YOU HOLD ONTO THAT FOR ME, HUH?"
00:06:11.121,00:06:13.790,SOMETHING WRONG WITH MY EYESIGHT?
00:06:13.790,00:06:15.834,YOU REALLY TRYING THIS FIREMAN THING AGAIN?
00:06:15.834,00:06:19.504,QUITTING THE ACADEMY ONCE WASN'T GOOD ENOUGH?
00:06:19.504,00:06:21.715,IS THAT RIGHT?
00:06:21.715,00:06:23.717,HOLD ON! I'M TALKING TO THE FIRE CHIEF!
00:06:23.717,00:06:26.094,LET'S LOOK AND SEE WHAT ELSE WAS IN YOUR BLOOD.
00:06:26.094,00:06:28.013,I ALWAYS LOOKED FORWARD TO GETTING THESE.
00:06:28.013,00:06:30.640,"YOU HOLD ONTO THOSE, HUH?"
00:06:30.640,00:06:32.559,I GOT STATION 17!
00:06:32.559,00:06:37.356,ASPEN SNOWMOBILE TOURS.
00:06:37.356,00:06:39.607,IT DIDN'T OFFER THE GROWTH AND CHALLENGE I NEED.
00:06:39.607,00:06:41.568,UH-HUH.
00:06:41.568,00:06:43.444,CATTLE DRIVE MOBILE LOG CABINS.
00:06:43.444,00:06:46.281,THAT WAS IN YOUR BLOOD ABOUT SIX MONTHS?
00:06:46.281,00:06:49.993,"BRIAN'S SOUND SPECTRUM, DIRECT HI-END STEREO SALES."
00:06:49.993,00:06:52.411,THIS IS YOUR OWN COMPANY.
00:06:54.455,00:06:56.958,"I WAS AHEAD OF MY TIME, WILLIE."
00:06:56.958,00:06:58.543,McCAFFREY!
00:06:58.543,00:07:01.380,WHAT'S THE MATTER WITH YOU?
00:07:03.631,00:07:05.259,"ENGINE 115, RIGHT?"
00:07:12.182,00:07:14.559,"HOW'D YOU KNOW, YOU PRICK?"
00:07:14.559,00:07:16.477,LUCKY GUESS.
00:07:16.477,00:07:19.398,AND A CASE OF SCOTCH TO THE CAPTAIN AT STATION ASSIGNMENTS.
00:07:19.398,00:07:23.026,YOU--YOU CROOKED SON OF A BITCH!
00:08:11.741,00:08:13.327,"MAKE US PROUD, GUYS!"
00:08:13.327,00:08:16.704,"McCAFFREY, THAT'S MY COUSIN'S COMPANY."
00:08:24.296,00:08:27.674,"CALM DOWN, MRS. VAITKUS."
00:08:31.470,00:08:33.972,"MRS. VAITKUS, PLEASE, CALM DOWN."
00:08:36.641,00:08:38.893,"McCAFFREY, I THINK IT'S A BOX, OR A 211, AT LEAST."
00:08:38.893,00:08:42.272,JUST GIVE ME ONE MINUTE.
00:08:42.272,00:08:43.482,211!
00:08:44.358,00:08:46.526,HEY.
00:08:46.526,00:08:50.197,"I SEE YOUR GRANDMA'S STILL-- YEAH, SHE STILL HATES YOU."
00:08:53.074,00:08:57.162,YOU LOOK GREAT.
00:08:57.162,00:08:58.163,FOUR MONTHS.
00:08:58.163,00:09:03.084,"BUT, UH, I-- I'VE BEEN REALLY BUSY AT THE ACADEMY."
00:09:03.084,00:09:05.545,I GRADUATED TODAY.
00:09:05.545,00:09:07.630,I CAN SEE THAT.
00:09:07.630,00:09:09.674,SO WHAT HAVE YOU BEEN UP TO?
00:09:09.674,00:09:12.260,"WELL, UH..."
00:09:13.220,00:09:14.846,NO KIDDING?
00:09:14.846,00:09:15.972,THAT'S GREAT!
