start,end,script
00:01:40.208,00:01:46.125,and my dope is on the way.
00:01:46.166,00:01:48.250,Today is gonna be a good day.
00:01:48.291,00:01:52.792,"We are 25 degrees north, 84 degrees west."
00:01:52.834,00:01:54.291,The cargo's being dropped.
00:02:28.542,00:02:29.750,Good.
00:02:29.792,00:02:31.792,Do you want to see his gun?
00:02:34.917,00:02:36.917,Bang. Bang.
00:02:37.917,00:02:41.375,"Sorry, Johnny."
00:02:41.417,00:02:42.500,Fucking bitches.
00:02:47.417,00:02:48.834,Infrared's picking up a live one on the water.
00:02:48.875,00:02:50.792,This is Air Force Stallion C-14 to Coast Guard.
00:02:50.834,00:02:55.375,We're picking up a fast-moving contact heading 3-5-0 toward South Florida.
00:02:55.417,00:02:58.709,"Captain, Air Force Stallion has a contact at 1-8-0 closing fast."
00:02:58.750,00:03:01.000,This is Coast Guard cutter Valiant.
00:03:01.041,00:03:02.709,Request to know your intentions at this time.
00:03:02.750,00:03:05.083,"Vessel off our port bow, this is U.S. Coast Guard."
00:03:05.125,00:03:08.208,"Intercept is 1-8-0, speed 17 knots."
00:03:08.250,00:03:10.000,"Make it so, chief."
00:03:14.291,00:03:16.625,"Vessel off our port bow, vessel off our port bow."
00:03:16.667,00:03:18.417,"This is U.S. Coast Guard, U.S. Coast Guard."
00:03:18.458,00:03:21.667,Request to know your intentions at this time.
00:03:24.959,00:03:26.667,Incoming.
00:03:38.667,00:03:41.709,"Valiant, Valiant, Valiant, This is Coast Guard 6-0-0-3."
00:03:41.750,00:03:44.125,Negative contact with target.
00:03:44.166,00:03:45.959,"Captain, we've lost target."
00:03:58.875,00:04:00.667,Here's your delivery and payment.
00:04:04.792,00:04:05.709,Is it done?
00:04:05.750,00:04:07.792,Cargo is on Dixie 7.
00:04:07.834,00:04:09.250,Okay.
00:04:18.750,00:04:22.000,"All right, TNT, for the millionth time, listen up."
00:04:22.041,00:04:26.208,"Since 9-11, we've gone hi-tech over the water, so the dope runners have gone low."
00:04:26.250,00:04:31.500,"Our source says the biggest X shipment on record is coming in tonight, and we want to know who's behind it."
00:04:31.542,00:04:34.625,"Hopefully in a few hours, we'll have our answer."
00:04:34.667,00:04:40.792,"We're going to hit them from three directions: We're going with a water team, vehicle assault, and we got guys on foot."
00:04:40.834,00:04:46.250,We cannot make a move until our UCs have ID'd the drugs and called us in.
00:04:46.291,00:04:48.125,"No call, we back away."
00:04:48.166,00:04:55.166,"And these guys we're going after, they got a lot of firepower, and they hate the law, so eyes open out there."
00:05:01.792,00:05:03.250,Bravo's on the move.
00:05:23.250,00:05:25.625,Heads up. Here comes the drop.
00:05:32.750,00:05:37.375,Fuck. My lens is flaring.
00:05:37.417,00:05:41.250,Brothers! Gather 'round!
00:05:43.834,00:05:45.542,Hey.
00:05:45.583,00:05:46.792,Why didn't you tell me there was a rally tonight?
00:05:46.834,00:05:48.792,Who's looking?
00:05:48.834,00:05:51.083,Take that shit.
00:05:51.125,00:05:52.208,Shit.
00:05:53.834,00:05:55.792,White power!
00:05:55.834,00:05:57.583,White power!
00:05:57.625,00:05:58.750,White power!
00:06:03.250,00:06:05.792,"Blue power, motherfuckers."
00:06:05.834,00:06:08.917,"Aw, damn. It's the Negroes."
00:06:08.959,00:06:10.417,"Casper, drop the bag."
00:06:10.458,00:06:11.917,"Alpha leader, bring them in."
00:06:22.583,00:06:23.792,"Dude, you gotta learn the words."
00:06:23.834,00:06:25.333,We usually only do the chorus.
00:06:25.375,00:06:28.709,"Alpha leader, hit it. Br-- Repeat your transmission."
00:06:28.750,00:06:31.834,"Alpha leader to Bravo Four, please continue relay."
00:06:33.500,00:06:34.875,Where's backup?
00:06:34.917,00:06:36.417,"Alpha leader, bring them in."
00:06:36.458,00:06:37.625,Hit it.
00:06:37.667,00:06:39.041,"Mike, I'm only getting static."
00:06:39.083,00:06:40.667,All I'm getting is static.
00:06:41.834,00:06:44.041,Something funny? Something funny?
00:06:44.083,00:06:45.250,"Mike, where are they?"
00:06:50.125,00:06:51.125,"Got you, nigger."
