start,end,script
00:05:59.025,00:06:00.068,Oh my.
00:07:14.016,00:07:14.934,Shit.
00:09:48.921,00:09:51.841,I work in health care and he broke all the laws.
00:18:00.120,00:18:00.954,Kurt.
00:22:37.647,00:22:38.482,Bob.
00:24:08.697,00:24:11.158,"I'm going to do vanilla, but I'd love some bacon."
00:24:23.378,00:24:26.006,There's a bunch of cops here though you might wanna ask them.
00:25:37.077,00:25:38.662,"But the police are right there, though."
00:28:49.144,00:28:50.562,"Ah, damn dude."
00:28:51.312,00:28:52.605,You're gonna end up pukin'.
00:29:06.202,00:29:07.912,Holy shit.
00:30:54.769,00:30:55.895,I'm a nurse.
00:31:23.172,00:31:24.215,Here's your drink.
00:42:50.776,00:42:52.194,They're on drugs!
00:45:18.465,00:45:19.591,Cocksuckers.
00:46:16.774,00:46:17.941,I drunk out of this one.
00:46:19.777,00:46:20.819,"Well, it matters for..."
00:46:20.903,00:46:21.737,Oh Lord.
00:46:59.274,00:47:00.859,Isn't that always the way?
00:47:08.992,00:47:10.202,You can do better than that.
00:47:10.285,00:47:11.537,Let me make a suggestion.
00:47:12.120,00:47:14.248,Be more romantic and less sexual.
00:47:14.665,00:47:15.582,At first.
00:47:15.666,00:47:19.545,Let her know that the sun rises and sets in her beautiful face.
00:47:20.212,00:47:22.130,Her eyes mesmerize you...
00:47:26.343,00:47:27.886,Don't go with sexual at first.
00:47:36.478,00:47:38.856,"Thirty minutes to an hour, at least."
00:47:40.649,00:47:42.276,"I'm a very sensual person, just not a slut."
00:47:43.443,00:47:46.530,"I love sex, I've had sex with a lot of different..."
00:47:47.322,00:47:48.615,Genders and genres...
00:51:26.458,00:51:27.709,Look what she wrote.
00:51:27.834,00:51:29.795,They stole my car and I want it back...
00:51:29.878,00:51:31.379,or I will kill them both.
00:51:31.463,00:51:33.298,That's called a terrorist threat.
00:51:33.423,00:51:34.800,You'll get locked up for that.
00:53:34.586,00:53:36.880,Get your ass from by me with your bullshit.
00:53:36.963,00:53:38.089,"Go ahead on, sir."
00:53:38.173,00:53:39.883,I ain't gonna tell you shit.
00:53:56.608,00:53:58.693,What the heck is happening?
00:54:04.032,00:54:05.992,"I don't forget shit, I'm in security."
00:54:06.576,00:54:08.245,I went to school with the police.
00:54:08.328,00:54:09.537,I don't forget shit.
00:54:30.475,00:54:31.559,Go get 'em girl!
00:54:37.065,00:54:38.191,"Oh, she's got a gun!"
00:54:40.151,00:54:43.238,That's a staple gun! That's just a staple gun.
00:54:43.571,00:54:44.572,You sure?
00:54:44.864,00:54:47.742,"Jackie, you talk too much. You talkin' too much."
00:54:48.201,00:54:49.286,Shiiiiiiiit.
00:56:32.764,00:56:34.766,All I'm going to tell y'all is don't mention that shit.
00:56:35.600,00:56:36.726,That's all I'm going to say.
00:56:36.810,00:56:37.769,They'll fucking nail you.
00:56:37.852,00:56:39.813,Just don't even tell them that shit.
01:06:39.203,01:06:40.871,Can't believe I'm doing this.
01:11:09.515,01:11:10.808,How can I help him?
01:11:10.933,01:11:12.726,Go stand under the damn thing.
01:14:08.360,01:14:09.862,I wasn't ready for this.
01:14:11.155,01:14:12.489,"I wasn't ready to be, uh..."
01:14:12.573,01:14:14.783,Samuel L. Jackson in The Negotiator.
01:15:09.796,01:15:11.632,"Cry, that's what you need."
01:15:11.924,01:15:13.217,"Cry, and it's fine."
01:15:13.300,01:15:15.677,"When you cry, you feel better."
01:16:50.314,01:16:51.607,"Get your own, okay?"
01:16:56.903,01:16:58.113,I'm not interested.
00:00:49.966,00:00:51.176,Woo!
00:00:51.259,00:00:52.135,Damn!
00:00:55.305,00:00:56.389,"Hey. What's up, man?"
00:00:56.473,00:00:57.390,"Good, how you doin'?"
00:00:57.474,00:00:58.975,-Good. Is this your Beemer? -Yeah.
00:00:59.059,00:01:01.102,Cool. I'm almost done. I just gotta do the interior.
00:01:01.186,00:01:02.604,"-I'm Chris, by the way. -Keith."
00:01:02.687,00:01:04.689,"Nice to meet you. It'll be five minutes, tops."
00:01:04.773,00:01:06.691,"-You're good. Take your time. -Where you from, man?"
00:01:06.775,00:01:08.026,"Birmingham, Alabama."
00:01:08.109,00:01:11.529,"Birmingham? Whoa, okay. I'm a Florida guy, born and raised."
00:01:11.613,00:01:13.865,"Just trying to hustle, do my thing, you know?"
00:01:13.948,00:01:15.325,"Yeah, same here."
00:01:15.408,00:01:17.619,"-Gotta fake it till you make it, right? -That's it."
00:01:20.330,00:01:21.623,"Right on, cool."
00:01:21.706,00:01:44.729,"I knew a guy that, like, got a, uh… I swear to God, that's my crush from high school."
00:01:44.813,00:01:46.648,"-For real? -Yeah, yeah, that's Maria Li."
