start,end,script
00:00:46.964,00:00:49.132,"Rachel, let me see!"
00:00:54.889,00:00:57.182,- Can I see?
00:00:57.224,00:01:00.143,- And I found it.
00:01:01.896,00:01:03.564,Finders keepers!
00:01:10.946,00:01:12.447,Bruce?
00:01:17.452,00:01:19.580,Bruce?
00:01:21.415,00:01:23.834,Mom! Mr. Alfred!
00:01:46.899,00:01:50.318,- Did you have dream?
00:01:55.824,00:01:57.158,Worse than this place?
00:02:19.473,00:02:22.059,- 'They are going to fight you.' - Again?
00:02:22.101,00:02:23.769,Until they kill you.
00:02:25.145,00:02:27.230,Can they kill me before breakfast?
00:02:29.650,00:02:32.277,"You are in hell, little man."
00:02:35.781,00:02:38.408,And I am the devil.
00:02:41.578,00:02:44.665,You're not the devil.
00:03:28.333,00:03:30.627,- 'Solitary!' - Why?
00:03:30.669,00:03:33.797,- For protection.
00:03:33.839,00:03:35.674,Protection for them.
00:03:38.343,00:03:39.803,Get in!
00:03:44.224,00:03:49.229,'Are you so desperate to fight criminals' that you lock yourself in to take them on one at a time?
00:03:50.522,00:03:54.651,"Actually, there were, uh seven of them."
00:03:54.693,00:03:56.904,"I counted six, Mr. Wayne."
00:04:00.741,00:04:01.950,How do you know my name?
00:04:01.992,00:04:07.789,The world is too small for someone 'like Bruce Wayne to disappear' no matter how deep he chooses to sink.
00:04:07.831,00:04:08.916,Who are you?
00:04:08.957,00:04:16.297,My name is merely Ducard but I speak for Ra's Al Ghul a man greatly feared by the criminal underworld.
00:04:16.339,00:04:18.550,A man who can offer you a path.
00:04:18.592,00:04:21.636,What makes you think I need a path?
00:04:21.678,00:04:24.305,Someone like you is only here by choice.
00:04:24.347,00:04:26.767,You have been exploring the criminal fraternity.
00:04:26.808,00:04:32.606,But whatever your original intentions you have become truly lost.
00:04:35.067,00:04:38.612,And what path can Ra's Al Ghul offer?
00:04:38.653,00:04:46.620,The path of the man who shares his hatred of evil and wishes to serve true justice.
00:04:46.661,00:04:48.872,The path of the League of Shadows.
00:04:52.042,00:04:54.253,- You're vigilantes.
00:04:52.042,00:04:58.590,"- 'No, no, no.' A vigilante is just a man lost in the scramble for his own gratification."
00:04:58.632,00:05:01.969,He can be destroyed or locked up.
00:05:03.804,00:05:13.688,But if you make yourself more than just a man if you devote yourself to an ideal and if they can't stop you..
00:05:15.023,00:05:17.358,...then you become something else entirely.
00:05:19.194,00:05:20.862,Which is?
00:05:20.904,00:05:23.490,"A legend, Mr. Wayne."
00:05:25.284,00:05:26.701,Tomorrow you will be released.
00:05:26.743,00:05:34.293,"If you are bored of brawling with petty thieves 'and want to achieve something, there is a rare blue flower' that grows on the eastern slopes."
00:05:34.334,00:05:36.128,Pick one of these flowers.
00:05:36.170,00:05:42.217,If you can carry it to the top of the mountain you may find what you were looking for in the first place.
00:05:42.259,00:05:45.179,And what was I looking for?
00:05:47.055,00:05:48.765,Only you can know that.
00:06:55.540,00:06:58.335,You turn back.
00:08:07.404,00:08:26.340,'Ra's Al Ghul?' 'Wait.' What are you seeking?
00:08:26.381,00:08:28.133,I seek..
00:08:29.801,00:08:32.262,...the means to fight injustice.
00:08:32.304,00:08:37.142,To turn fear against those who prey on the fearful.
00:08:59.414,00:09:02.042,To manipulate the fears in others..
