start,end,script
00:00:47.630,00:00:49.090,-Here we go. -They're driving me crazy!
00:00:49.174,00:00:50.675,Don't go too fast. Don't go too fast.
00:00:59.392,00:01:01.811,I need puppies.
00:01:02.645,00:01:05.732,-Okay. All right. Come on. -Puppies.
00:01:54.322,00:01:57.408,"-Hi, there. Oh, isn't that the sweetest? -Hi."
00:02:02.831,00:02:04.874,Come here. Hi.
00:02:19.389,00:02:20.515,Yeah.
00:02:28.523,00:02:29.691,Oh.
00:02:40.451,00:02:41.494,Oh.
00:02:58.970,00:03:00.471,"Hi, puppy."
00:03:20.533,00:03:22.327,"Oh, how big is he gonna be?"
00:03:22.619,00:03:29.834,"Saint Bernards get to be I got a junkyard. I need a big, mean junkyard dog."
00:03:31.502,00:03:32.921,Let me see him.
00:03:41.804,00:03:43.514,He looks good and mean.
00:03:47.894,00:03:49.270,You can make any dog mean.
00:03:51.689,00:03:52.649,Hey!
00:03:52.857,00:03:55.235,Damn little beast! God!
00:03:59.239,00:04:00.698,You got any pit bulls?
00:04:28.559,00:04:30.853,You're crazy if you're just gonna walk up just like this.
00:04:47.287,00:04:49.330,All you gotta do is step over it.
00:04:54.335,00:04:56.004,"-I got you. -Okay, okay."
00:04:56.087,00:04:57.672,"-Look, I got you. -Okay. Okay."
00:04:57.755,00:04:59.882,"There, you see? In and out, quiet as a mouse."
00:04:59.966,00:05:01.467,Let's get some dogs.
00:05:07.598,00:05:10.018,"Oh, look. Look, it's a wee little one, too."
00:05:10.101,00:05:12.770,"Come here, you little puppies. Here we go."
00:05:24.866,00:05:26.242,I've stepped in the beam.
00:06:09.077,00:06:11.913,"Here, puppy. Nice puppy."
00:06:26.928,00:06:28.387,See? Didn't I tell you?
00:06:28.471,00:06:30.723,Doesn't this beat taking strays off the street?
00:06:30.807,00:06:33.518,-You are such a genius! -Get off!
00:06:42.735,00:06:46.155,I'm just a little bit excited. That was my very first felony.
00:06:47.740,00:06:51.536,"I've committed a lot of misdemeanors, but I do believe that was my very first felony."
00:07:07.635,00:07:08.845,Why are they barking?
00:07:09.971,00:07:10.805,They're dogs.
00:07:11.431,00:07:14.183,I know they're dogs. Go in the back and check.
00:07:17.603,00:07:21.858,"Okay, doggies, what's the racket back-- Hey!"
00:07:22.191,00:07:24.444,"Okay, doggies, back in your house."
00:07:25.570,00:07:28.281,"Back in your house, doggie. Here, doggie, nice doggie."
00:07:31.075,00:07:32.410,"No, doggie. Don't jump."
00:07:35.580,00:07:36.998,Bad dog. Puppy.
00:07:37.081,00:07:38.332,Good puppy. Good...
00:07:38.666,00:07:40.418,Bad puppy. Don't jump!
00:07:40.543,00:07:41.878,"Good puppy. Don't jump, puppy."
00:07:42.170,00:07:43.963,Come back. Stop the van!
00:07:46.007,00:07:46.841,"Harv, what is it?"
00:07:46.924,00:07:49.051,Why did you want me to stop? What's the matter?
00:07:49.135,00:07:50.386,"Hurry, they're getting away."
00:07:55.057,00:07:58.269,Come here! I'll give you a bone! I'll give you a bone!
00:07:58.352,00:08:00.354,"Come back here, you little runt!"
00:10:32.131,00:10:33.591,7:00 a.m. Up and at 'em!
00:10:48.439,00:10:50.441,"Oh, Ted, I'm sorry."
00:10:52.777,00:10:54.904,What's wrong? Did you have another nightmare?
00:10:54.987,00:10:56.197,Yeah.
00:10:58.157,00:11:02.453,"Mom, it's Saturday and it's 7:02. Do we really have to get up?"
00:11:02.912,00:11:04.872,"Yep, you heard your father."
00:11:24.683,00:11:27.520,"Mom, I have a news flash for you. It's Saturday!"
00:11:35.152,00:11:36.737,The bathroom's mine!
00:11:42.910,00:11:45.287,"Open up, you little wimp! Let me in!"
00:12:01.595,00:12:02.972,A puppy.
00:12:04.807,00:12:06.100,Hi.
00:12:11.939,00:12:17.528,"Okay. All right, guys, do you have to-- Mom, look, I dreamt I had a puppy, and it came true."
00:12:25.369,00:12:26.370,Mmm.
00:12:26.454,00:12:29.457,I take back almost everything I ever said about you being cold and insensitive.
00:12:30.708,00:12:33.502,"Dad, I take back anything I ever said about you, too."
00:12:33.586,00:12:36.380,"Dad, I have everything I ever wanted."
00:12:36.464,00:12:38.382,-I owe you big time. -Why?
00:12:39.425,00:12:41.343,"Daddy, can we call him Fred?"
00:12:45.723,00:12:48.767,"-Let me have him. It's my turn. -No, it's my turn."
00:12:48.851,00:12:52.480,-I saw him first! -I'm gonna have him for five more minutes.
00:12:54.482,00:12:58.110,We can't have a dog. We can't have a dog.
00:12:58.444,00:13:01.197,"Honey, you can't show a child a puppy and then take it away two minutes later."
00:13:01.280,00:13:04.033,I didn't show a child a puppy. It's obviously lost.
00:13:04.116,00:13:06.535,You occupy the kids. I'll run it down to the pound.
00:13:06.619,00:13:07.953,"Oh, no. No way."
00:13:08.037,00:13:12.208,"If the owner doesn't claim it, it'll be destroyed. I'm not gonna let-- If we keep it, the house will be destroyed."
00:13:12.291,00:13:14.376,"Honey, it's just a dog. Millions of people have dogs, you know."
00:13:14.460,00:13:16.212,"Oh, no. Not people like me."
00:13:16.295,00:13:21.258,"Dogs sniff. They lick, they chew. They drool, they scra..."
00:13:21.967,00:13:25.012,"-Alice, they have parasites. -Oh, God, yeah."
00:13:25.095,00:13:27.014,The kids will lose interest. I'll have to care for it.
00:13:27.097,00:13:29.600,It'll grow to be enormous. It'll take over the yard.
00:13:29.683,00:13:31.393,The bushes will die. The lawn will look terrible.
00:13:31.477,00:13:34.438,"And when the dog finally settles down, it'll die."
00:13:34.647,00:13:37.399,"Everybody will be so upset, we'll have to go get another puppy."
00:13:37.483,00:13:38.943,The whole thing will start all over again.
00:13:39.026,00:13:41.487,"-Do you understand? -No, honey. Could you be more specific?"
00:13:42.029,00:13:43.572,"Alice, I really could use a little support here."
00:13:43.656,00:13:45.991,"Okay, I'm sorry. All right."
00:13:54.542,00:13:55.709,Come over here.
00:13:55.793,00:13:57.503,-Come on. -Come over here.
00:14:05.511,00:14:09.223,"-He loves me the most. -Oh, yes, good doggie."
00:14:12.434,00:14:14.270,"-Hi, kids. -Hi, Dad."
00:14:14.353,00:14:17.606,"-Daddy, can he sleep in my room? -No, he's sleeping in my room."
00:14:17.690,00:14:20.192,Dream on. I'm the oldest. He's sleeping in my room.
