start,end,script
00:29:42.366,00:29:48.133,...like from M.I.T. who are being swayed by the arguments of Flat Earth?
00:55:10.200,00:55:12.500,So someone just made that?
01:18:13.133,01:18:16.066,Later-- I'm on a block right now. Thirty-day block.
01:19:39.033,01:19:42.200,I think ODD is really regretting not coming.
01:19:42.200,01:19:45.700,"And I told him, I go, The idea of Mark and Patricia as operatives is laughable."
01:19:45.700,01:20:35.766,"And nothing against you, I'm just saying-- I said, Look, I checked out Mark Sargent, I did the forensic analysis..."
01:20:35.766,01:20:38.300,"...and I'm telling you, what Mark is saying is true."
01:33:41.066,01:33:42.566,Seventeen feet.
00:00:27.708,00:00:30.000,"So where are you, right now?"
00:00:32.833,00:00:37.375,You think you're on a globe spinning at a thousand miles an hour.
00:00:37.375,00:00:41.875,"That globe is spinning around the Sun at 60,000-plus miles an hour."
00:00:41.875,00:00:53.625,"That solar system is flying sideways through the galaxy at half a million miles an hour, and that galaxy is going through the rest of the universe at millions of miles an hour."
00:00:53.625,00:00:56.291,And you feel nothing.
00:00:56.291,00:01:17.750,"In reality, you are actually in a giant planetarium, slash terrarium, slash soundstage, slash Hollywood backlot that is so big that you and everyone you know and everyone you've ever known never figured it out."
00:01:22.125,00:01:30.375,"REPORTER 1: At 17,000 miles an hour, the second stage leaves the abandoned first stage far behind as it soars 5000 miles downrange."
00:01:30.375,00:01:33.000,The curvature of the Earth is plainly visible.
00:01:39.000,00:01:40.666,and the Earth here all at once.
00:01:40.666,00:01:42.916,I'll try and get a picture for you.
00:01:48.791,00:01:51.708,Our planet is beautiful. It's not really a planet.
00:01:55.541,00:02:00.791,REPORTER 2: A strange message of words Google Flat Earth were carved into Mt. Rubidoux.
00:02:00.791,00:02:05.416,MAN 3: How would you feel if I say there's absolutely zero real pictures from space?
00:02:06.791,00:02:09.041,Flat Earth theory is actually getting popular.
00:02:09.041,00:02:13.416,MAN 4: My children will have to pay for the lies that NASA gives.
00:02:23.166,00:02:27.208,REPORTER 3: The number of people who think the world is flat is growing.
00:02:27.208,00:02:32.625,"Thousands, if not millions of people-- A lie is a lie, even if everybody believes it."
00:02:32.625,00:02:35.125,These people live amongst us. I wanna point this out.
00:02:35.125,00:02:37.875,REPORTER 4: What drives such theories?
00:02:37.875,00:02:40.708,Why are people flocking to this absurd belief?
00:03:05.583,00:03:09.291,ANNOUNCER: Thank you for sailing aboard the Washington State Ferries.
00:03:09.291,00:03:11.541,We look forward to seeing you again soon.
00:03:13.666,00:03:15.666,Everybody's been fed.
00:03:15.666,00:03:18.416,Except now we've got to-- Where's the silly chicken?
00:03:18.416,00:03:19.666,MAN: Right there. Oh!
00:03:19.666,00:03:21.541,We're having one of Mark's favorites.
00:03:21.541,00:03:27.375,"We're having iced applesauce, with our-- It was one of my favorites when I was young."
00:03:27.375,00:03:28.666,"Well, you like it now too."
00:03:28.666,00:03:30.000,MARK: What are we having?
