start,end,script
00:05:04.345,00:05:07.515,I have pineapples! I have strawberry!
00:05:13.938,00:05:14.856,Hey!
00:05:15.481,00:05:17.525,"We had a plan, Carter, and you done goofed it."
00:05:17.608,00:05:18.693,The plan's still on.
00:05:18.776,00:05:20.445,The plan was for you to get me B's.
00:05:20.528,00:05:24.532,-Does this look like a freaking B? -I just want what's best for you.
00:05:24.615,00:05:26.868,You know when the last time I got an A was?
00:05:26.951,00:05:29.037,"Okay, I'll act more stupid next time."
00:05:29.120,00:05:32.290,Completely moronic and idiotic. Beyond obtuse.
00:05:33.291,00:05:35.376,Yeah. Totally.
00:05:35.460,00:05:37.545,That's what I'm talking about.
00:05:39.589,00:05:43.593,"You making fun of me? You're dead this time, Carter."
00:06:20.671,00:06:24.592,"Go on. Go on, dog. I'll turn you into a hot dog. Now, go on."
00:08:05.151,00:08:09.405,I have pineapples! I have strawberries!
00:08:09.989,00:08:11.115,Thank you very much.
00:08:11.199,00:08:13.618,Have a nice day. Be careful with the cars.
00:08:13.701,00:08:15.453,"-You, too. -Okay."
00:10:10.484,00:10:13.696,-You're late. Again. -Come on. I wanna go to Sam's.
00:10:13.779,00:10:15.781,I was practicing for my recital.
00:10:15.865,00:10:18.409,I'm gonna do five pirouettes all on my own.
00:10:18.492,00:10:21.996,"-It's called a solo. You know that, right? -That's cool, Frankie."
00:10:42.308,00:10:45.186,And I'm gonna wear my boots to do my pirouettes.
00:10:48.064,00:10:49.774,"Hey. You are coming, right?"
00:10:49.857,00:10:52.360,"-To my recital? -Yeah, sure."
00:10:53.110,00:10:57.657,"If you don't come and Mom has to work, nobody will be there."
00:11:01.243,00:11:02.286,You'll be great.
00:11:02.870,00:11:03.954,"I'll be there, Frankie."
00:11:04.664,00:11:06.123,I promise.
00:11:08.542,00:11:09.960,That is if I invite you.
00:11:10.044,00:11:12.630,The tickets are for very important people only.
00:11:12.713,00:11:15.508,"-Come on, let's get in the street car. -No, we can't!"
00:11:15.591,00:11:19.178,"-You're the one who wanted to go to Sam's. -Wait, Frankie."
00:11:19.845,00:11:22.848,-I wanna walk. -It'll be fine. Come on.
00:11:56.340,00:11:58.175,Why do you have strawberries?
00:11:58.259,00:11:59.593,What are you talking about?
00:11:59.677,00:12:02.304,I saw you have strawberries in your pocket in the car.
00:12:18.446,00:12:19.447,Not gonna happen.
00:12:23.200,00:12:26.036,"You know you need to punch Pig-Face in the face, right?"
00:12:26.120,00:12:28.789,-Frankie... I don't care. -He'll bully you your whole life.
00:12:46.307,00:12:48.893,-Maybe he's in a good mood today. -In your dreams.
00:13:00.654,00:13:06.744,"That brings the total to $34 and 18... No, 19 cents."
00:13:06.827,00:13:08.037,"Not bad, am I right?"
00:13:08.621,00:13:12.500,"-How much more do we have to go? -Oh, you don't even wanna know."
00:13:13.834,00:13:16.921,we've been coming here twice a week for a long time.
00:13:17.546,00:13:20.341,You can at least take the watch out of the For Sale case.
00:13:20.424,00:13:22.718,Please. He meant to say please.
00:13:22.801,00:13:24.970,"I take it out of the case, people can't see it."
00:13:25.054,00:13:27.223,"People can't see it, people can't buy it."
00:13:27.306,00:13:30.351,But we're gonna buy it. Eventually.
00:13:30.434,00:13:37.024,"Listen, I told both of you when we started this whole cockamamieness, that if somebody wants the watch, I'll let you know."
00:13:37.107,00:13:44.365,"-Give you a chance to buy it first. -Yeah, but we should have-- When I bought it from your mother, I paid her good money."
00:13:44.448,00:13:47.076,"This is a business. Barely, but it is."
00:13:47.159,00:13:52.248,"Mr. King, I promise you'll get money. We're at, like, $34 and 19 cents."
00:13:52.331,00:13:54.333,"-Baby, you see how old I am? -Old."
00:13:55.251,00:13:56.293,A hundred?
00:13:57.920,00:14:00.339,You're not really helping your case.
00:14:00.422,00:14:05.219,"The point is, at this rate, you guys will be bringing my money to the cemetery."
00:14:05.302,00:14:06.971,I don't like the cemetery.
00:14:11.016,00:14:14.979,"Listen, a guy came in, he liked the watch. I told him it ran slow."
00:14:15.062,00:14:16.480,It doesn't run slow.
00:14:16.564,00:14:20.067,"My father kept it in perfect condition, and you know that."
00:14:20.150,00:14:23.404,"The point is, pudding head, he's not wearing it, is he?"
00:14:24.905,00:14:26.115,Oh...
00:14:26.949,00:14:31.954,"Mr. King, of all the people I don't like in this world, I like you the best."
00:14:32.037,00:14:34.206,You and every other woman in my life.
00:14:34.790,00:14:36.876,"Now, you two, get out of here."
00:14:36.959,00:14:40.462,"-We're just gonna keep coming back. -Yeah, like a rash."
00:14:40.546,00:14:42.172,-See ya tomorrow. -Take care.
00:15:01.567,00:15:04.111,"Next time, it'll be less money that we have to add."
