start,end,script
00:02:38.617,00:02:41.036,Truck looks great. There must be a fuckin' fortune here.
00:02:41.244,00:02:44.081,"I know. Let's not in front of him, all right? Just… Hey, no problem, no problem."
00:02:44.665,00:02:46.416,"Now, tell me somethin', fellas, what's goin' on? Shit!"
00:02:46.500,00:02:48.752,"-I've been here too long. Talk to me. -Just give us a minute, okay?"
00:02:48.835,00:02:49.878,"Nah, I ain't got no more minutes."
00:02:49.961,00:02:51.463,"Here, check this out, I want you to see somethin'."
00:02:51.463,00:02:52.881,You can't get no cleaner in here. Look here.
00:02:52.964,00:02:54.466,These are very popular cigarettes with the children.
00:02:54.549,00:02:56.389,You know what this is in here? You know what this is?
00:02:56.501,00:02:58.044,This is a federal tax stamp. You can't beat that.
00:02:58.114,00:02:59.846,You can't get no cleaner than that. Talk to me! Tell me something!
00:02:59.930,00:03:02.641,"So why don't you keep them, go into business yourself, if it's such a great fucking deal."
00:03:02.724,00:03:04.267,"I would, man, but I ain't from Detroit, you know?"
00:03:04.351,00:03:08.021,"I don't know nobody in town that can handle a job this big, but y'all supposed to got all the connections, you know."
00:03:08.105,00:03:09.356,"Tell me something, shit. I'm a businessman."
00:03:09.439,00:03:10.732,I'm gonna sit down. Do what you wanna do.
00:03:10.816,00:03:12.484,"You're right, it ain't easy to get rid of this shit."
00:03:12.653,00:03:14.611,"I know, but see, I'm a businessman, you know. This is my thing."
00:03:14.695,00:03:15.696,I'm doing business here.
00:03:15.779,00:03:17.781,Warm up the truck. Let's get the fuck out of here.
00:03:20.367,00:03:21.743,Here you go. That's what I'm talking about.
00:03:21.827,00:03:23.995,-You're a sharp kid. I like you. -Thank you very much. I appreciate it.
00:03:24.413,00:03:26.373,"Cousin, my man, don't dash yet."
00:03:26.456,00:03:28.709,"Um, this looks like two grand to me, doesn't look like 5,000 dollars."
00:03:28.834,00:03:30.460,"-Gimme, let me see that. -The deal is for 5,000."
00:03:30.544,00:03:32.254,"-That's about 2,000 there you can't sell. -You know what?"
00:03:32.337,00:03:35.382,This pisses me off. I told my people there's supposed to be five grand here.
00:03:35.590,00:03:37.342,And look at this shit. They stiffed us.
00:03:37.634,00:03:39.302,"No, they stiffed you, 'cause I want my money, man."
00:03:39.386,00:03:41.263,"Son of a bitch, you know. You can't count on anybody today."
00:03:41.346,00:03:43.974,"But look, I'll tell you what, let's not fucking hassle about it now."
00:03:44.099,00:03:48.103,"Take the two fucking grand, and on the next score, I promise I'll make it up to you."
00:03:48.186,00:03:49.646,"Look, man, don't jerk me off, all right, man?"
00:03:49.730,00:03:53.650,"Jerk somebody else off. This is bullshit. I need 5,000 dollars not 2,000 dollars."
00:03:53.734,00:03:55.819,"-That's insane, man. Don't do this to me. -Look, don't be unreasonable."
00:03:55.902,00:03:57.446,You're not dealing with Johnny Bananas. Come on.
00:03:57.612,00:04:00.115,"Nah, I have no idea what Johnny Bananas, but can I have my money?"
00:04:00.198,00:04:06.621,"No, look, can I say it slow for you? Look, I need 5,000-- Five thousand dollars. Read my lips. Five thousand dollars is what I need."
00:04:06.705,00:04:08.457,This is bullshit here. I can't do nothing with that.
00:04:08.582,00:04:11.918,"You wanna be a fucking asshole, you can take the whole load and smoke 'em yourself in the park."
00:04:12.043,00:04:14.629,I don't smoke Lucky Strike. I smoke King Size Kent.
00:04:17.799,00:04:20.135,"Fuck this. Nice doin' business with you, kid."
00:04:21.344,00:04:22.763,"Hey, buddy. What you doing here?"
00:04:22.971,00:04:24.639,"Officer, you know what just happened a few minutes ago?"
00:04:24.765,00:04:26.349,You ain't going to believe this shit. Check this out.
00:04:26.475,00:04:29.144,"The truck, it just stopped, man. It just stopped!"
00:04:29.269,00:04:30.771,"You got some jumper cables, you give me a jump?"
00:04:31.605,00:04:35.525,"-Hey, uh, don't I know you from someplace? -No, man, that ain't me, I'm from Buffalo."
00:04:39.488,00:04:41.448,"Both of you guys, break out some ID."
00:04:45.827,00:04:47.329,Let's get the fuck outta here!
00:06:21.923,00:08:09.280,"The fu… Foley, we should have known it was you!"
00:08:16.079,00:08:18.039,"Hey, Axel! Way to go!"
00:08:18.289,00:08:20.041,"-I don't understand. -I don't have time for you today, Jeff."
00:08:20.125,00:08:21.793,Todd's looking for you. He is really pissed.
00:08:22.043,00:08:23.712,You know what he said? This is your worst fuck-up ever.
00:08:23.920,00:08:25.255,"Personally, I don't think that's true."
00:08:25.922,00:08:27.799,"-He's not in there. -Yeah, I see that, Jeff. Thanks."
