start,end,script
00:00:20.500,00:00:21.916,It's safe here.
00:00:23.833,00:00:25.208,How many of you are there?
00:00:26.708,00:00:28.625,Are any of them children?
00:00:30.208,00:00:35.625,"Because the fastest way to get here is by the river, and I don't think you could make it with kids."
00:00:49.500,00:00:52.375,We are going on the trip now. It's going to be rough.
00:00:52.458,00:00:57.041,"It's gonna feel like it's going on for a long time, so it's gonna be hard to stay alert."
00:00:57.125,00:01:01.083,"It's gonna be even harder to be quiet, but you have to do both."
00:01:01.166,00:01:05.958,You have to do every single thing I say or we will not make it.
00:01:06.041,00:01:07.166,Understand?
00:01:09.041,00:01:13.625,Under no circumstance are you allowed to take off your blindfold.
00:01:13.708,00:01:16.333,"If I find that you have, I will hurt you."
00:01:16.416,00:01:17.958,Do you understand?
00:01:20.041,00:01:22.166,It's cold. We have blankets.
00:01:22.250,00:01:24.708,"Boy, you have your dog. Girl, you have your kitty."
00:01:24.791,00:01:28.625,This is just a place. There's nothing more that we need from it.
00:01:28.708,00:01:30.500,Do you understand?
00:01:32.583,00:01:35.791,And no talking on the river.
00:01:37.125,00:01:39.708,You must listen as closely as you can.
00:01:39.791,00:01:42.541,"If you hear something in the woods, you tell me."
00:01:42.625,00:01:45.250,"If you hear something in the water, you tell me."
00:01:45.333,00:01:48.708,"But you never, ever take off your blindfold."
00:01:48.791,00:01:51.000,"If you look, you will die."
00:01:51.291,00:01:52.541,Do you understand?
00:02:14.000,00:02:14.833,Let's go.
00:02:31.541,00:02:35.833,"One, two, three, four, five, six, seven, eight."
00:02:52.625,00:02:54.250,"Thirty-one, 32, 33."
00:02:54.333,00:02:55.708,Where is it? Where is it?
00:04:07.708,00:04:11.625,"-Uh... asshole, I was listening to that. -Yeah, so were the people down the street."
00:04:11.708,00:04:14.541,The store was packed. This thing seems serious.
00:04:14.625,00:04:16.625,"Wow, you literally have no food."
00:04:16.708,00:04:18.708,-What-- What thing? -Are you serious?
00:04:18.791,00:04:20.583,"-I'm serious. -Turn on the news, dumb-dumb."
00:04:22.500,00:04:24.791,"-What channel, dumb-dumb? -Any one of them."
00:04:27.541,00:04:35.125,Streets are crowded with people escaping cities by car and on foot as witnesses report unexplained mass suicides.
00:04:35.208,00:04:40.541,"First recorded in Romania, there's now an alarming spread of incidents into Europe and Siberia."
00:04:40.625,00:04:43.750,Estimated death toll is in the tens of thousands.
00:04:43.833,00:04:47.625,...don't yet know what is causing the mass suicides in Europe and Russia.
00:04:47.708,00:04:51.291,The eyewitness reports tell of people exhibiting psychotic behavior.
00:04:51.375,00:04:55.583,Our sources are telling us this does not appear to be pathological or viral.
00:04:55.666,00:04:58.375,US authorities are advising the public to remain calm.
00:04:59.000,00:05:02.708,"There have been no officially confirmed inst-- Well, it's in Russia, so..."
00:05:03.375,00:05:06.708,"Well, try telling that to the soccer moms fighting over bottled water."
00:05:06.791,00:05:10.208,"Speaking of which, I just got off the phone with Mom."
00:05:10.291,00:05:12.625,How come I have to update her about you all the time?
00:05:12.708,00:05:15.375,-Why do you have to talk about me? -I'm not telling her about my life.
00:05:16.958,00:05:20.041,"At three o'clock, I'm gonna go check out an Arabian stud in Sausalito."
00:05:20.125,00:05:22.291,"See, now that is a sentence you don't hear every day."
00:05:22.375,00:05:26.250,-You wanna come? -I can't. I've got my OB with Dr. Lapham.
00:05:26.333,00:05:27.791,"-Lapham, when? -Oh, my God."
00:05:27.875,00:05:29.791,Why does your voice get high when it gets excited?
00:05:29.875,00:05:31.416,"-How about I drive you? -No, I'm fine."
00:05:31.500,00:05:33.666,I can go in. We can maybe see the baby.
00:05:33.750,00:05:36.333,Or I can cancel the appointment and we can go and see a horse.
00:05:36.416,00:05:38.125,No. Fuck the horse.
00:05:38.208,00:05:40.166,Wow. Such venom.
00:05:42.125,00:05:43.500,What do you think?
00:05:45.458,00:05:51.125,"I think I see a whole bunch of people sitting together, but they all feel incredibly lonely."
00:05:51.208,00:05:52.833,The loneliness is just incidental.
00:05:53.416,00:05:55.958,It's really about people's inability to connect.
00:05:59.125,00:06:00.583,Inability to connect to what?
00:06:00.666,00:06:01.875,-Can you move? -Malorie.
00:06:01.958,00:06:03.625,-I need you to move. -We've been through this.
00:06:03.708,00:06:05.916,-Mm-hmm. -That's not how it's gonna be for you.
