start,end,script
00:03:35.924,00:03:37.759,"Technicals, 9:00."
00:04:03.035,00:04:05.495,"Oh, shit!"
00:04:05.537,00:04:08.707,"Chief, we got unarmed civilians getting shot down here at 9:00."
00:04:08.749,00:04:10.542,"I got it, Matt."
00:04:10.584,00:04:12.961,I don't think we can touch this.
00:04:15.296,00:04:18.884,This food is the property of Mohamed Farrah Aidid!
00:04:19.426,00:04:20.969,Go back to your homes!
00:04:21.011,00:04:23.638,"Command Super 6-4, we got militia shooting unarmed civilians..."
00:04:23.680,00:04:26.391,down at the food distribution center.
00:04:26.433,00:04:31.271,- Request permission to engage.
00:04:31.312,00:04:33.857,"Negative, Command."
00:04:33.899,00:04:36.484,We cannot intervene.
00:04:36.526,00:04:38.237,Over.
00:04:38.278,00:04:40.197,6-4 returning.
00:04:44.284,00:04:47.579,Pssh!
00:05:30.413,00:05:32.332,Mm.
00:05:40.966,00:05:42.259,Leaving.
00:06:46.698,00:06:49.284,General Garrison?
00:06:49.326,00:06:51.661,"No. No, thanks."
00:06:51.703,00:06:54.915,Bolivar Belicoso.
00:06:54.956,00:06:58.793,- So is this.
00:06:58.835,00:07:00.754,"Miami, my friend, is not Cuba."
00:07:08.136,00:07:11.723,I see not catching Aidid is becoming a routine.
00:07:11.765,00:07:15.227,We weren't trying to catch Aidid.
00:07:15.269,00:07:18.897,Me? But am I that important?
00:07:18.939,00:07:21.149,I hardly think so.
00:07:21.191,00:07:24.278,You're just a businessman.
00:07:24.319,00:07:26.821,Selling guns to Aidid's militia.
00:07:31.576,00:07:36.539,"You've been here, what, six weeks?"
00:07:38.792,00:07:41.962,Six weeks you are trying to catch the general.
00:07:42.003,00:07:44.714,You put up reward posters.
00:07:44.756,00:07:47.050,Twenty-five thousand dollars.
00:07:47.092,00:07:49.303,"What is this, gunfight at the K.O. Corral?"
00:07:49.344,00:07:53.598,"It's, uh-- It's the O.K. Corral."
00:07:53.640,00:07:58.312,Do you think bringing me in would make him suddenly come to you?
00:07:58.353,00:08:00.105,Make him more agreeable?
00:08:01.731,00:08:05.568,Hmm?
00:08:05.610,00:08:08.738,"You pay for his beds, much less his militia."
00:08:11.158,00:08:14.744,We're not leaving Somalia until we find him.
00:08:14.786,00:08:17.747,And we will find him.
00:08:17.789,00:08:21.126,"of thinking because I grew up without running water, I am simple, General."
00:08:22.877,00:08:25.839,I do know something about history.
00:08:25.880,00:08:30.510,See all this?
00:08:30.551,00:08:35.182,A tomorrow without a lot of Arkansas white boys' ideas in it.
00:08:35.223,00:08:38.518,"Well, I wouldn't know about that."
00:08:38.559,00:08:43.315,"Mr. Garrison, I think you shouldn't have come here."
00:08:43.357,00:08:45.900,This is civil war.
00:08:45.942,00:08:49.946,"This is our war, not yours."
00:08:51.906,00:08:55.243,Three hundred thousand dead and counting.
00:08:55.285,00:08:57.912,"That's not a war, Mr. Atto."
00:08:59.580,00:09:01.958,"Now, you enjoy that tea, you hear?"
00:09:08.048,00:09:10.008,How did he strike you?
00:09:10.050,00:09:12.635,"Urbane, sophisticated, cruel."
00:09:12.677,00:09:14.888,"Yeah, he's a good catch."
00:09:14.929,00:09:17.516,"It'll take some time, but Aidid will feel the loss."
00:09:17.557,00:09:20.519,I'm not sure time is something we got in great supply.
00:09:20.560,00:09:24.898,"This isn't Iraq, you know."
00:09:24.939,00:09:27.359,"Boss, most of Washington might disagree."
00:09:27.401,00:09:31.405,They've been calling for these dang situation reports every morning this week.
00:09:31.446,00:09:36.784,"Well, tell them the situation is, uh, fragile."
00:09:43.124,00:09:46.044,"Ladies and gentlemen, my name is Cliff Elvis Wolcott."
00:09:46.086,00:09:48.296,I'll be your pilot this afternoon.
00:09:48.338,00:09:52.092,Federal regulations has designated it the nonsmoking Black Hawk helicopter.
00:09:52.133,00:09:56.804,"For those of you enrolled in our Mogadishu frequent flyer program, you'll be earning 100 free credits this afternoon."
00:09:56.846,00:09:59.266,"And as always, the air sickness bags are located..."
00:09:59.307,00:10:02.310,in the seatback in front of you.
00:10:02.352,00:10:06.647,"Number one indications are good, Cliff. Put her on two."
00:10:21.704,00:10:25.375,"6-1, this is 6-4."
00:10:25.417,00:10:28.628,- I've got some bad news.
00:10:28.669,00:10:30.838,I don't wanna hear about it.
00:10:30.880,00:10:33.383,It is not a word.
00:10:33.425,00:10:35.594,Limo is a word in common usage.
00:10:35.635,00:10:38.138,"That is the key phrase in Scrabble, my good friend."
00:10:38.179,00:10:42.100,Common usage.
00:10:38.179,00:10:44.018,"No. If it's not in the dictionary, it doesn't count."
00:10:44.060,00:10:47.105,It does have to be in the dictionary.
00:10:47.147,00:10:51.359,Listen.
00:10:51.401,00:10:54.112,"You touch my limo and I'll spank you, Nightstalker."
00:10:54.154,00:10:56.197,"Yeah, promises."
