start,end,script
00:00:46.922,00:00:48.298,Satler.
00:00:49.675,00:00:50.968,Reiss.
00:00:51.552,00:00:52.469,Maloney.
00:00:54.930,00:00:57.391,Murphy.
00:01:07.026,00:01:08.193,"Hey, Jafo!"
00:01:08.235,00:01:10.445,-Go find Murphy.
00:01:22.332,00:01:24.459,"Sir, Lieutenant Kress wants you on the pad."
00:01:26.461,00:01:27.462,Sir?
00:01:29.339,00:01:30.507,Sir?
00:01:31.258,00:01:32.801,Lose something?
00:01:32.843,00:01:35.262,No. You're wanted on the pad.
00:01:43.896,00:01:46.356,-Mind if I ask what you're doing?
00:01:46.398,00:01:47.566,I don't mind at all.
00:01:55.240,00:01:57.534,"Murph, feeling any pressure?"
00:01:57.576,00:02:01.329,"Yeah, about 15 pounds per square inch at sea level."
00:02:01.371,00:02:03.248,Where's Montoya?
00:02:03.290,00:02:06.251,Don't you check the duty board? He's on days.
00:02:06.293,00:02:08.670,"Ooh, I forgot."
00:02:08.712,00:02:12.507,"You're flying with that new guy, Lymangood."
00:02:12.549,00:02:16.428,-The what?
00:02:17.554,00:02:19.222,Outstanding.
00:02:21.308,00:02:24.937,"Captain Maloney and Officer Reiss, report to Operations."
00:02:32.903,00:02:35.447,"If it was me, I'd ground him."
00:02:35.489,00:02:37.365,He'll be all right.
00:02:37.407,00:02:41.244,"Personally, I wouldn't fly with him for a bull that pissed Jack Daniels."
00:02:42.037,00:02:43.538,Is that right?
00:03:08.396,00:03:11.108,-All set?
00:03:11.150,00:03:13.192,-You sure now?
00:03:22.161,00:03:26.165,MAN: Airship-12 rolling out at 1959 hours.
00:03:26.205,00:03:29.459,"No, make that 2000 hours."
00:03:29.501,00:03:31.170,Where the hell's Montoya?
00:03:31.210,00:03:35.507,They say he put in for days after that wingding that Murphy threw.
00:03:35.549,00:03:37.801,No shit.
00:03:37.843,00:03:41.262,"L.A. Departure Control, Air-12 out at 22000."
00:03:41.304,00:03:44.641,VFR 5000 will be coming to you 1.25.
00:03:44.683,00:03:46.309,Traffic advisory.
00:03:48.687,00:03:51.481,MURPHY: Lymangood.
00:03:51.523,00:03:53.608,What brings you to Air Support?
00:03:53.650,00:03:55.235,"Oh, I don't know."
00:03:55.276,00:03:59.447,I just put in for observer.
00:03:59.489,00:04:03.869,No guns. No kicking in doors.
00:04:04.912,00:04:07.206,"Oh, yeah."
00:04:07.247,00:04:08.999,LYMANGOOD: All these people!
00:04:09.041,00:04:11.459,What do you suppose they're all doing down there?
00:04:11.501,00:04:18.008,"Well, according to the latest statistics, 1,775,000 of them are getting it on."
00:04:18.050,00:04:21.803,"That many, huh?"
00:04:21.845,00:04:24.598,The rest are waiting for Laverne and Shirley.
00:04:24.639,00:04:26.934,"Well, let's see what we can see here."
00:04:29.144,00:04:31.605,"Hey, I got a black guy in a beanie."
00:04:31.646,00:04:34.691,Looks like he's selling dope out of a van.
00:04:34.733,00:04:37.819,-Is that a red beanie?
00:04:37.861,00:04:40.405,"This is primo, man."
00:04:40.447,00:04:44.034,He's ours.
00:04:44.076,00:04:46.578,"Oh. Right, right."
00:04:46.620,00:04:50.540,You were at the briefing?
00:04:50.582,00:04:53.043,You're gonna fit right in.
00:04:53.085,00:04:57.923,"Air-12, we have a 211 in progress at the liquor store at Burbank and Vineland."
00:04:57.965,00:05:01.093,"Suspect is a male Negro, orange shirt and cowboy hat."
00:05:01.135,00:05:03.262,-That's for us.
00:05:03.303,00:05:05.305,"Well, call it in."
00:05:05.346,00:05:09.350,LYMANGOOD: Air-12 to Central.
00:05:11.061,00:05:12.813,"MAN: Let's get out of here, man!"
00:05:14.689,00:05:15.774,Bitch!
00:05:22.114,00:05:23.698,MAN: You dumb idiot!
00:05:32.749,00:05:35.002,"Air 12 to Ground, your guy's heading toward the junkyard."
00:05:37.963,00:05:40.423,"Orange shirt and a cowboy hat, huh?"
00:05:40.465,00:05:42.341,Whatever happened to inconspicuous?
00:05:45.012,00:05:47.014,Hit him!
00:05:49.141,00:05:50.517,LYMANGOOD: I got him.
00:05:53.520,00:05:56.439,-Jesus Christ!
00:06:01.820,00:06:03.322,Ah!
00:06:11.246,00:06:13.498,-Call an ambulance.
00:06:21.173,00:06:23.008,Look at that guy behind the dumpster.
00:06:23.050,00:06:26.220,Ground units!
00:06:26.261,00:06:27.804,"No, the other way!"
00:06:27.846,00:06:29.723,"All right, we're going down."
00:06:46.073,00:06:47.991,"Hit the ground, son. Hit it!"
00:06:50.911,00:06:52.787,Code 4.
00:07:13.058,00:07:16.937,"Sir, what was the business with the watch?"
00:07:19.689,00:07:22.109,"Back in the Ready Room, with the watch?"
00:07:22.734,00:07:24.569,Sort of a test.
00:07:24.611,00:07:29.283,I read if you really think you're going over the edge you lose your sense of time.
00:07:29.324,00:07:33.494,"With your eyes shut, you can't tell 25 seconds from 5."
00:07:33.536,00:07:35.330,"Oh, yeah, I get it, sir."
00:07:35.372,00:07:38.499,Stop calling me sir.
00:07:38.541,00:07:41.336,"Yes, sir. I mean, okay, sir."
00:07:41.378,00:07:44.381,Check that ride down there at 10 o'clock.
00:07:44.423,00:07:46.758,-Which one?
00:07:46.800,00:07:48.427,LYMANGOOD: How do you see that shit?
00:07:52.639,00:07:55.267,-MURPHY: See it?
00:07:55.309,00:07:58.270,-It's got no plates on it.
00:07:58.312,00:08:00.897,-Abandoned vehicle.
00:08:00.939,00:08:05.526,Air-12 to Central.
00:08:05.568,00:08:06.987,"Come on, what kind of car?"
00:08:07.028,00:08:09.489,LYMANGOOD: It's a light tan Chevy.
00:08:09.530,00:08:13.034,It's got no front plates.
00:08:13.076,00:08:17.205,And it's near the top of the hill on Linden Road.
00:08:17.831,00:08:20.041,Very good.
00:08:20.083,00:08:21.335,"Oh, thanks."
00:08:43.190,00:08:46.401,What time have you got?
00:08:46.443,00:08:49.112,"Been talking to Montoya, haven't you?"
00:08:49.154,00:08:52.366,"Well, he did mention something about Encino."
00:08:52.407,00:08:55.076,"Yeah, I suppose you deserve the full initiation."
00:08:55.118,00:08:57.496,"You've been shot at, you might as well have your picture taken."
00:09:21.520,00:09:25.190,LYMANGOOD: Montoya says he thinks she's some kind of movie actress.
00:09:25.232,00:09:29.027,Just my damn luck if they had her working overtime tonight.
00:09:29.652,00:09:30.987,Those bastards.
00:09:32.447,00:09:34.657,They're slave drivers.
00:09:34.699,00:09:37.994,"They don't care how hard they work a person, just as long..."
00:09:38.036,00:09:40.330,"Oh, my God! There she is."
00:09:45.668,00:09:50.006,She's fantastic! Do you think she knows we're out here?
00:09:50.048,00:09:52.800,All she has to do is look out the window.
00:09:52.842,00:09:55.803,"10:30, right on the dot!"
00:09:55.845,00:10:00.725,"If there's one quality that I admire in a person, it's punctuality."
00:10:03.061,00:10:06.398,-And flexibility.
00:10:06.440,00:10:09.984,If a person says that they're gonna be at a certain place...
00:10:10.026,00:10:11.403,"Oh, God!"
00:10:13.363,00:10:17.534,How does she do that?
00:10:17.576,00:10:19.536,Beats the hell out of me.
00:10:19.578,00:10:21.204,Don't push on the pedals!
00:10:24.874,00:10:27.085,LYMANGOOD: Would you look at her tan?
00:10:31.548,00:10:34.634,"It's so... Oh, it's so even!"
00:10:37.095,00:10:39.013,"Oh, my God!"
00:11:28.438,00:11:31.191,-What do you want?
00:11:32.025,00:11:33.527,I think she doesn't know.
00:11:40.867,00:11:43.119,Somebody does.
00:11:43.161,00:11:46.914,in the vicinity handle a rape in progress. 8792 Linden Road.
00:11:46.956,00:11:48.667,-Damn it to hell.
00:11:48.707,00:11:50.293,"Identify and handle, code 3."
00:12:00.345,00:12:03.181,"Oh, shit!"
00:12:05.642,00:12:06.809,POLICE 1: Come on.
00:12:08.478,00:12:10.271,Hold it! Freeze!
00:12:26.705,00:12:28.456,MURPHY: He's bought it.
00:12:32.669,00:12:35.422,"No, let them go!"
00:12:37.424,00:12:38.966,-Over there.
00:13:17.213,00:13:19.716,"Sir, you okay? Sir?"
00:13:20.383,00:13:22.218,I'm fine. Fine.
00:13:26.931,00:13:28.558,MURPHY: Get him an ambulance.
00:13:28.600,00:13:32.479,LYMANGOOD: Air-12 requesting an ambulance at 3920 Linden Road.
00:13:32.520,00:13:35.856,-How's the woman?
00:13:35.898,00:13:39.360,"-Oh, hell! It's gone."
00:13:39.402,00:13:41.780,MURPHY: The Chevy.
00:13:43.030,00:13:44.532,It's gone.
00:13:52.666,00:13:54.751,For God's sake!
00:13:57.003,00:14:01.424,"MAN: Air-12, wind 150 degrees at 22, clear to land."
00:14:02.676,00:14:07.180,"Air-14, 1150 degrees at 12, clear for takeoff."
00:14:07.221,00:14:10.684,The old man wants to see both of you. Right now!
00:14:13.728,00:14:17.231,-I like your haircut.
00:14:31.120,00:14:38.503,"BRADDOCK: You know, one of the really fun things about this job is reading the complaints of the public."
00:14:40.087,00:14:46.803,"For example, tonight here we have a fella that didn't appreciate us disturbing his sleep."
00:14:48.429,00:15:04.487,I just hope I'm not called on by the chief to explain why two of my people were hovering over Encino at 10:30 while Commissioner McNeely was getting the shit kicked out of her in her very own front yard in fashionable Brentwood.
00:15:06.781,00:15:08.366,McNeely? That's her?
00:15:08.408,00:15:11.369,Of the mayor's special Task Force on Urban Violence.
00:15:11.411,00:15:15.248,"A little touch of irony, if you like that sort of thing."
00:15:15.289,00:15:17.375,-How is she?
00:15:17.417,00:15:21.504,She's in Intensive Care.
00:15:21.546,00:15:23.506,One of the rapists?
00:15:23.548,00:15:27.051,Assault. Attempted rape.
00:15:27.093,00:15:28.636,There wasn't any rape.
00:15:28.678,00:15:31.347,Case is closed.
00:15:31.389,00:15:35.518,That abandoned car we called in? The Chevy.
00:15:35.560,00:15:39.731,No stakeout. A make-out.
00:15:39.773,00:15:43.234,Kids go to Mulholland.
00:15:43.276,00:15:46.529,"Forget patterns, Frank."
00:15:47.321,00:15:48.531,Get off!
00:15:52.326,00:15:54.746,All right.
00:15:54.788,00:15:56.915,It doesn't bother you that car has no plates?
00:15:56.956,00:15:59.250,That that car wasn't there when we came back?
00:15:59.292,00:16:01.461,That rapists don't travel in pairs?
00:16:01.502,00:16:07.425,"What bothers me, Frank, is some son of a bitch may ask what you were doing five miles out of your patrol area!"
00:16:07.467,00:16:09.260,Sir... Sir...
00:16:09.302,00:16:11.596,"When I talk to you, I'll look at you."
00:16:11.638,00:16:14.933,It was my fault.
