start,end,script
00:00:47.046,00:01:03.830,"MANCHESTER, ENGLAND As we destroyed the bus in Sheffield last week..."
00:01:04.164,00:01:08.368,We will be ready and prepared for the operation in Britain.
00:01:08.501,00:01:14.074,We will avenge the American wars on the Muslim world.
00:01:15.075,00:01:17.243,We will come at them.
00:01:17.377,00:01:18.411,Everywhere.
00:01:19.746,00:01:24.818,"We will strike at random, across Europe and then America continually."
00:01:25.518,00:01:27.086,We have bled.
00:01:27.220,00:01:29.222,And now...they will bleed.
00:03:08.454,00:07:04.690,"SAMARRA, IRAQ Come on, come on!"
00:09:08.781,00:09:09.815,We are here.
00:09:10.683,00:09:11.784,Do you see us?
00:09:11.951,00:09:13.786,Come out...
00:09:14.253,00:09:16.255,One of you must come out.
00:10:41.641,00:10:42.808,Do you speak English?
00:16:09.468,00:19:39.344,"LANGLEY, VIRGINIA C.I.A. Headquarters BALAD, Iraq Brother, can you help me?"
00:19:39.478,00:19:40.512,Please.
00:19:41.280,00:19:43.882,-My car broke down. -Mehdi!
00:19:50.923,00:19:52.691,He says his car broke down.
00:19:52.958,00:19:54.193,The engine...
00:19:54.326,00:19:55.360,The alternator.
00:19:55.594,00:19:56.628,Where you from?
00:19:57.229,00:19:58.797,From Baghdad... Rasafa.
00:20:00.566,00:20:02.334,Search him.
00:20:02.834,00:20:04.536,Okay.
00:24:56.828,00:32:35.320,"U.S. Military Base - QATAR, Persian Gulf AMMAN, JORDAN U.S. Embassy - AMMAN G.I.D. Complex - Jordanian General Intelligence Directorate If any of you take them as allies, then surely he is one of them."
00:37:53.304,00:37:54.338,What happened?
00:37:55.373,00:37:56.507,Broken glass.
00:38:29.707,00:38:31.709,You're Iranian.
00:38:31.842,00:38:33.411,Your accent.
00:41:48.105,00:45:39.736,"AMSTERDAM, NETHERLANDS Noordermarkt Karami..."
00:45:40.270,00:45:42.172,God is great.
00:45:42.306,00:45:43.774,What do you want?
00:46:46.236,00:46:47.905,Thanks to God.
00:47:15.199,00:47:16.600,What do you want me to do?
00:47:17.434,00:47:18.969,Be a good Muslim.
00:56:28.785,00:56:31.521,"Nurse, doctor, engineer, imam..."
00:57:15.498,00:57:16.733,God willing.
00:57:18.001,00:57:19.202,God willing.
00:58:04.180,00:58:34.277,Jabal Al-Hussein Palestinian Refugee Camp Who's the Jew?
01:00:13.176,01:00:14.811,"Marwan, hello."
01:00:15.211,01:00:16.980,Come.
01:00:17.113,01:00:19.716,I must take my friend to her home.
01:00:19.849,01:00:21.250,Is there a problem?
01:00:21.651,01:00:23.920,He's a patient at my hospital. He has done nothing.
01:00:25.955,01:00:27.624,"With your permission, please."
01:03:56.499,01:03:59.969,"WASHINGTON, D.C."
01:09:52.788,01:18:10.952,DUBAI UNITED ARAB EMIRATES Queen Alia International Airport - AMMAN Nice to meet you.
01:18:12.254,01:18:13.321,Thank you.
01:20:11.940,01:20:12.974,Eat your food.
01:24:48.716,01:28:30.938,"INCIRLIK, TURKEY This is the man who has been receiving our money?"
01:28:31.072,01:28:33.608,And it seems he blew up the U.S. Air Base in Turkey.
01:28:35.043,01:28:36.077,Incirlik.
01:28:41.482,01:28:44.419,He looks like an accountant.
01:28:45.386,01:28:46.888,He's an architect in Amman.
01:28:47.989,01:28:49.424,Successful.
01:28:50.825,01:28:52.427,Without a doubt.
01:28:58.800,01:29:01.436,"Mr. Omar, you have mail... must be special."
01:29:02.370,01:29:04.472,Excuse me. It will just take a second.
01:29:22.790,01:32:50.064,"Congratulations brother in your endeavors to destroy the great Satan. -JIHADBOY2 You have struck at the heart of their evil designs. -DOMINO2SUZ God will reward you for what you have done. -TITUS_9_KARIM We rejoice on this day! - R2ZAER_KM8 Thanks God for you, and for all the Brothers of Awareness. -SABER07DRVR You have to trust me, Omar. Come with me."
01:33:36.978,01:33:38.779,God praises you for your work.
