start,end,script
00:01:06.901,00:01:09.486,"-Well, it's because it's dirty."
00:01:14.449,00:01:17.077,"You know, today is your first day at school."
00:01:17.745,00:01:18.746,What?
00:01:20.748,00:01:22.833,You like to play something in particular?
00:01:22.875,00:01:24.334,"Uh, soccer."
00:01:24.376,00:01:26.045,You like to play soccer. And?
00:01:26.085,00:01:27.963,And basketball!
00:01:28.005,00:01:29.339,What's your favorite color?
00:01:30.758,00:01:32.009,Uh...
00:01:32.927,00:01:34.553,"Uh, blue and yellow."
00:01:34.595,00:01:36.388,-Blue...
00:01:36.430,00:01:38.599,And yellow.
00:01:38.640,00:01:41.018,What would you like to be when you grow up?
00:01:41.060,00:01:43.478,Motorcycle driver!
00:01:49.276,00:01:51.152,Bye! Hi!
00:01:59.912,00:02:02.915,come down for breakfast.
00:02:13.801,00:02:15.677,had ever happened.
00:02:18.388,00:02:21.141,"But sometimes, I thank God that it did."
00:03:32.838,00:03:35.423,"Please, repeat after me."
00:03:35.465,00:03:37.258,Let your light shine.
00:03:37.300,00:03:41.138,"Now, let me see a show of hands for those of you in this room who are imperfect."
00:03:45.851,00:03:48.603,And a show of hands for everybody in this room who is perfect.
00:03:50.438,00:03:53.233,-Nobody.
00:03:53.274,00:03:57.071,I am blessed with a beautiful and deeply soulful wife.
00:03:58.155,00:04:04.494,"And with a fine, upstanding, and honest son."
00:04:05.537,00:04:07.706,I'm a lucky man.
00:04:07.748,00:04:09.583,And I'm grateful for those blessings.
00:04:22.179,00:04:24.389,Please don't do that.
00:04:26.641,00:04:28.102,What if a truck comes along and hits your arm?
00:04:28.143,00:04:30.020,-It's never gonna happen.
00:04:31.479,00:04:33.690,It has. It has.
00:05:04.972,00:05:06.890,Welcome to Love in Action.
00:05:07.266,00:05:08.267,Hi.
00:05:10.227,00:05:12.187,"Uh, Nancy Eamons."
00:05:13.188,00:05:16.024,"Oh, um, the boy, I mean."
00:05:16.066,00:05:18.944,-Unless you're the one checking in.
00:05:20.320,00:05:21.446,Got you right here.
00:05:29.370,00:05:31.915,Great. Do you want to say your goodbyes?
00:05:31.957,00:05:33.792,Can I see the place?
00:05:33.834,00:05:38.379,"I'm afraid you won't be allowed beyond the reception area, Mrs. Eamons, -but you can pick him up at 5:00 p.m."
00:05:38.421,00:05:39.422,Okay.
00:05:41.716,00:05:42.884,"It's okay, Mom."
00:05:48.056,00:05:51.601,"Well, call me any time."
00:05:51.643,00:05:54.104,"Uh, we will be holding his cell phone."
00:05:54.146,00:05:56.523,"If there are any emergencies, we will contact you."
00:05:56.564,00:05:58.441,"But otherwise, 5:00 p.m."
00:06:05.448,00:06:06.700,You'll do great.
00:06:09.494,00:06:10.662,Love you.
00:06:17.336,00:06:18.461,Empty your pockets.
00:06:28.138,00:06:30.140,Do you have any numbers or photos we should be concerned about?
00:06:32.475,00:06:37.231,"We'll check it daily and call any number at random, so you best be straight with us on that."
00:06:37.272,00:06:40.108,"There's nothing. And, yeah, call whatever numbers if you need to."
00:06:42.694,00:06:47.074,"No smoking, no alcohol or drugs."
00:06:47.115,00:06:52.495,to remain within a safe zone area as designated.
00:06:52.537,00:06:57.458,Attire. Women's skirts must extend below the knee and bras are to be worn at all times.
00:06:58.752,00:07:02.797,"Oh, it's, um..."
00:07:02.839,00:07:04.049,I'm studying in a college...
00:07:04.091,00:07:06.260,No journaling. We're gonna have to read that.
00:07:07.302,00:07:08.845,Confidentiality.
00:07:08.887,00:07:11.639,All matters discussed in therapy are to remain private.
00:07:12.640,00:07:14.226,Restrooms.
00:07:14.268,00:07:17.562,Members must be supervised by staff during restroom visits.
00:07:23.151,00:07:24.527,Thank you.
00:07:24.569,00:07:33.245,"No viewing of pornographic material, no masturbation, no physical contact with any member at any time, apart from the briefest of handshakes."
00:08:04.192,00:08:07.528,"Michael for Aaron, how many clients are we expecting today?"
00:08:07.570,00:08:09.364,"Copy, Michael."
00:08:09.406,00:08:10.698,"Uh, just one second, Jared."
00:08:11.908,00:08:14.244,We should have 11 today.
00:08:14.286,00:08:16.621,in the lobby.
00:08:16.663,00:08:18.498,We should get another five minutes.
00:08:19.916,00:08:23.878,"Jared, if you just want to go find yourself a seat and then make yourself comfortable."
00:08:30.427,00:08:31.552,-Hi.
00:08:40.103,00:08:41.104,Morning.
00:08:42.105,00:08:43.648,Hi.
00:08:43.690,00:08:46.693,and extraneous materials.
00:08:46.734,00:08:51.448,All reading material and films and television are off limits while inside the program.
