start,end,script
00:01:31.174,00:01:34.135,"Hey, love bug. You ready?"
00:01:34.177,00:01:36.013,Yeah.
00:01:36.055,00:01:37.598,"Hey, guess what, Mom."
00:01:37.639,00:01:41.018,I figured out where wasps come from.
00:01:41.060,00:01:43.144,"Well, I think it must be..."
00:01:43.186,00:01:47.315,"if you flick a rock into the air just right, it'll turn into a wasp."
00:01:47.357,00:01:49.150,Dang!
00:01:49.192,00:01:50.569,That's cool.
00:01:50.611,00:01:53.154,"So, how was your day at school?"
00:01:53.196,00:01:55.074,Fine.
00:01:55.115,00:01:58.159,"Yeah, I had a good meeting with Miss Butler this time."
00:01:58.201,00:02:00.161,What did she say?
00:02:00.203,00:02:02.998,"Well, she said that you weren't turning in your homework assignments."
00:02:03.040,00:02:06.043,"And I told her, I know he does them 'cause I check 'em every night."
00:02:06.085,00:02:10.089,She said she found a big chunk of 'em crumpled up at the bottom of your backpack.
00:02:10.130,00:02:11.632,She didn't ask for 'em.
00:02:11.673,00:02:14.175,"Well, baby, she doesn't have to."
00:02:14.217,00:02:18.179,And she said you're still staring out the window all day.
00:02:18.221,00:02:21.100,Not all day.
00:02:21.141,00:02:24.019,And she said that you destroyed her pencil sharpener.
00:02:24.061,00:02:25.980,Not on purpose.
00:02:26.021,00:02:28.189,"Wait, she said that you crammed a bunch of rocks in it."
00:02:28.231,00:02:32.111,"I thought if it can sharpen pencils, maybe it could sharpen rocks."
00:02:33.946,00:02:36.740,"Well, what were you gonna do with a bunch of sharpened rocks?"
00:02:36.782,00:02:40.035,I was trying to make arrowheads for my rock collection.
00:02:41.620,00:02:43.455,Hmm.
00:03:02.557,00:03:05.310,"Dude, it's my turn!"
00:03:17.280,00:03:20.075,Mason!
00:03:21.284,00:03:22.577,Samantha!
00:03:23.411,00:03:26.247,Oh! Tommy.
00:03:26.289,00:03:27.749,Yeah.
00:03:27.791,00:03:30.293,"Well, tell him he has to come home for dinner."
00:03:30.335,00:03:32.253,Okay.
00:03:38.301,00:03:40.261,Where do you think you're going?
00:03:40.303,00:03:42.514,Wait. Come back here.
00:03:45.308,00:03:47.310,Hey.
00:03:47.352,00:03:49.688,Why aren't you ready?
00:03:49.730,00:03:52.357,"- Hey, Mason."
00:03:52.399,00:03:55.276,"- Come on, come on."
00:03:55.318,00:03:57.112,It's 9:00.
00:03:57.154,00:03:59.823,"Okay, I meant to call you 'cause Janice flaked out."
00:03:59.865,00:04:01.616,Why didn't you call somebody else?
00:04:01.658,00:04:03.785,"Well, I can't get a babysitter now."
00:04:03.827,00:04:05.954,But you're welcome to hang out with us.
00:04:05.996,00:04:09.499,"Well, no."
