start,end,script
00:00:58.933,00:01:00.185,That feels good.
00:01:04.397,00:01:06.816,"Okay, you know what? Slow it down, slow it down."
00:01:06.900,00:01:08.777,-Okay. -Slow it down.
00:01:09.444,00:01:10.612,-There we go. -How's that?
00:01:10.695,00:01:14.532,"That's good, nice and slow. See? Doesn't that feel good?"
00:01:14.616,00:01:15.825,"-Yeah. -No, I want to go fast."
00:01:15.909,00:01:17.744,-You want to go fast? -Fast.
00:01:21.122,00:01:22.499,Yeah. No...
00:01:22.582,00:01:23.917,"Oh, yeah. That feels good."
00:01:24.000,00:01:25.335,"Oh, yeah."
00:01:25.418,00:01:26.586,Yeah.
00:01:28.505,00:01:30.173,Okay. You know what? I think...
00:01:30.256,00:01:32.091,I think maybe we're on different rhythms here.
00:02:18.972,00:02:21.850,I was having a nightmare. I was so scared.
00:02:23.351,00:02:24.310,Good morning.
00:02:24.394,00:02:25.395,Good morning.
00:02:26.312,00:02:28.982,You look beautiful.
00:02:29.065,00:02:30.441,"No, I'm sure I look terrible."
00:02:30.525,00:02:32.443,I just woke up. Are you kidding?
00:02:32.527,00:02:34.320,I'm sure I'm a mess.
00:02:35.530,00:02:36.573,You slept over.
00:02:36.656,00:02:38.324,I did.
00:02:38.408,00:02:41.035,I thought we had a rule against that.
00:02:41.202,00:02:42.203,Oh.
00:02:44.372,00:02:45.498,-That was funny. -I'm kidding.
00:02:45.707,00:02:47.417,You're funny in the morning.
00:02:47.542,00:02:49.168,-I like hanging out with you. -Oh. Yeah.
00:02:49.252,00:02:56.551,I love hanging out with you. I think we get along really well and you're so sexy.
00:02:56.801,00:02:58.261,I know.
00:02:59.554,00:03:06.561,I just have a lot coming up at work and I don't want to make promises I can't keep.
00:03:06.644,00:03:08.271,-You know what I mean? -Mmm-hmm.
00:03:08.354,00:03:10.356,-I know you do. -Yeah. We're on the same page.
00:03:10.481,00:03:13.484,"I'm not looking for a relationship right now, either. Let's just say that."
00:03:13.610,00:03:16.446,Whatever you wanna... I can do...
00:03:16.529,00:03:20.450,I'd rather just... I like simple... I'm not like other girls.
00:03:20.533,00:03:23.661,"I'm not like, Be my boyfriend! Unless you were like, Yeah!"
00:03:26.247,00:03:28.124,Mmm. But let's not.
00:03:28.207,00:03:30.251,I don't want that either. I don't either.
00:03:41.471,00:03:45.934,"Wow, this is so awkward. I really want you to leave, but I don't know how to say it without sounding like a dick."
00:03:46.059,00:03:47.560,Oh...
00:04:46.536,00:04:48.871,Come on! Hands behind your heads! Let's go! Sit-ups!
00:04:49.622,00:04:52.709,You're looking like pieces of bacon on a plate.
00:04:52.792,00:04:55.712,It's disgusting! I smell the fat!
00:04:59.716,00:05:00.883,That's true.
00:05:00.967,00:05:02.927,What are you looking at?
00:05:03.469,00:05:04.971,"Oh, shit, he sees us. Oh, God."
00:05:05.179,00:05:06.848,Hey! Hey!
00:05:07.223,00:05:12.979,"If you want to take this class, you're going to have to pay for it like the rest of these bitches!"
00:05:13.104,00:05:16.190,"What, are you dancing? In the park... Dance class?"
00:05:16.357,00:05:19.152,You are not dancing. You are not dancing in the park!
00:05:21.404,00:05:22.447,I'm coming over there.
00:05:24.157,00:05:26.159,"Sorry, Rodney. We're on a budget."
00:05:29.162,00:05:30.496,"Oh, my God!"
00:05:30.747,00:05:33.166,Come on! You fucking freeloaders.
00:05:35.668,00:05:37.336,-We are out of our minds. -I know.
00:05:37.587,00:05:39.630,That's okay. I'm so glad that we got to do this.
00:05:39.714,00:05:41.090,I feel like I haven't seen you in forever.
00:05:41.174,00:05:42.592,Mmm. I've been in Chicago a lot.
00:05:42.800,00:05:44.719,I know. Sleeping at Dougie's house.
00:05:44.802,00:05:46.429,"Well, it's just closer to work."
00:05:46.637,00:05:47.930,How is it going with him anyway?
00:05:49.015,00:05:52.935,"I don't know. I mean, it's fine, but I just feel like he's kind of been distant lately."
00:05:53.019,00:05:54.771,And I don't know...
00:05:55.188,00:05:57.190,He calls me dude a lot.
00:05:57.273,00:05:58.399,That doesn't mean anything.
00:05:58.566,00:05:59.901,I think everything is fine.
00:06:00.026,00:06:03.321,"I don't know. Anyway, what did you do last night?"
00:06:04.197,00:06:05.239,Um...
00:06:05.323,00:06:06.824,What did you do last night?
00:06:09.118,00:06:11.162,You are not telling me something.
00:06:12.914,00:06:14.332,I hung out with Ted for a little bit.
00:06:14.457,00:06:17.251,-I knew it! -We had fun.
00:06:17.835,00:06:19.587,-It was fun. -Here's what I don't like about it.
00:06:19.754,00:06:22.840,"You hate yourself after you see him, every time."
00:06:23.382,00:06:28.346,"And then we go through this, and then you feel like shit, and it's almost like you're doing it because you feel bad about yourself."
00:06:28.763,00:06:32.266,"He called me late, and we hung out."
00:06:32.350,00:06:34.977,It wasn't a big deal. And you know what? It was fun.
00:06:36.145,00:06:37.396,Ew! You had sex with him.
00:06:38.272,00:06:41.609,We had an adult sleepover.
00:06:41.859,00:06:45.363,Ooh. Did you let him sleep over in your mouth?
00:06:47.824,00:06:49.367,-Annie! -I'm sorry!
00:06:49.450,00:06:53.454,-You're unbelievable. -He kept putting it near my face.
00:06:53.746,00:06:54.831,"They do that, don't they?"
00:06:54.914,00:06:56.207,Why do they do that? Let us offer.
00:06:56.290,00:06:57.291,If we don't offer...
00:06:57.375,00:06:58.376,Please. You're supposed to slap it away.
