start,end,script
00:03:43.583,00:03:45.250,ANNOUNCER: The next stop is Broad Street.
00:03:45.416,00:03:47.250,Broad Street will be next.
00:04:58.500,00:05:00.041,Upstairs. This way.
00:05:09.250,00:05:10.708,He didn't come up this way? Huh?
00:05:10.875,00:05:12.625,He's not up here.
00:05:15.041,00:05:16.458,Excuse me.
00:05:35.541,00:05:38.041,Go ahead and park around the corner.
00:08:50.375,00:08:51.708,Visitors.
00:08:52.583,00:08:54.125,Do you mind if I fetch my teeth?
00:08:54.291,00:08:56.583,"Colonel, would you turn around, please?"
00:08:59.541,00:09:01.750,Sit down on the bed.
00:09:10.250,00:09:13.250,"Uh, they're in the..."
00:09:13.416,00:09:15.125,Look at me.
00:09:13.416,00:09:17.250,We are agents from the Federal Bureau of Investigation.
00:09:17.416,00:09:18.416,Look at me!
00:09:18.583,00:09:20.083,I'm talking to you.
00:09:20.250,00:09:24.083,We've received information concerning your involvement in espionage.
00:09:24.250,00:09:27.458,"You can either cooperate with us right now, or you'll be under arrest."
00:09:27.625,00:09:28.833,"Do you understand, Colonel?"
00:09:29.000,00:09:30.583,"No, not really."
00:09:30.750,00:09:33.333,Why... Why do you keep calling me Colonel?
00:09:34.166,00:09:35.791,BLASCO: You need to get dressed.
00:09:35.958,00:09:37.791,We have to search your apartment.
00:09:37.958,00:09:41.958,"Would you mind if I, uh, cleaned my palette?"
00:09:42.125,00:09:44.750,"The paints, it'll get ruined otherwise."
00:09:44.916,00:09:47.041,It's just behind you there.
00:09:48.333,00:09:50.458,I have a cloth myself.
00:09:50.583,00:09:51.625,Thank you.
00:09:51.791,00:09:53.083,Start searching the place.
00:09:53.166,00:09:54.208,Thank you.
00:09:54.291,00:09:56.583,"All right, search the mattress, the bed, the floorboards, his chair."
00:09:56.750,00:09:58.625,Would you put that in the ashtray...
00:09:58.791,00:10:01.541,on the windowsill there?
00:10:04.291,00:10:05.708,GAMBER: Let's see the desk.
00:10:12.541,00:10:14.375,Wouldn't want to get this ruined.
00:10:28.458,00:10:30.625,DONOVAN: Don't say my guy.
00:10:30.791,00:10:32.541,He's not my guy.
00:10:33.625,00:10:36.583,"BATES: Yes, he's your guy."
00:10:36.750,00:10:40.750,We're talking about a guy who was insured by my client.
00:10:40.916,00:10:42.916,"So, don't make him my guy."
00:10:43.875,00:10:45.416,"BATES: Okay, fine."
00:10:45.583,00:10:48.750,"My point is, The guy insured by your client..."
00:10:48.916,00:10:51.666,he doesn't deny that any of these things happened.
00:10:51.833,00:10:54.375,These... These things?
00:10:54.541,00:10:56.750,"Yes, these five things."
00:10:56.916,00:10:58.583,"Wait, hold it, hold it, hold it."
00:10:58.750,00:11:00.208,Not five things.
00:11:00.375,00:11:01.916,One thing.
00:11:02.125,00:11:03.458,"Clearly, it's five things."
00:11:03.625,00:11:05.041,"Well, I'm sorry, it's not clear to me."
00:11:05.208,00:11:07.583,Five things?
00:11:07.750,00:11:09.083,It's self-evident.
00:11:09.250,00:11:10.916,"Okay, then tell me what happened."
00:11:11.083,00:11:14.541,Tell me the story in a way that makes sense for five things.
00:11:14.708,00:11:16.708,"Fine, absolutely."
00:11:16.875,00:11:18.416,Not my guy.
00:11:18.583,00:11:21.416,The guy insured by your client is driving down State Highway 19...
00:11:21.583,00:11:23.833,when he loses control of his car and hits my five guys...
00:11:24.000,00:11:26.000,the five guys who hired me to represent them...
00:11:26.125,00:11:27.708,because you're not honoring your claim.
00:11:27.875,00:11:31.250,"You mean my client is not honoring the claim, the insurance company?"
00:11:31.416,00:11:34.041,"we're all clear on who's who, here."
00:11:34.208,00:11:36.458,Except my client honors every claim.
00:11:36.958,00:11:38.250,"They do, Mr. Bates."
00:11:38.375,00:11:41.125,"Every single legitimate claim, up to the limit of their liability..."
00:11:41.291,00:11:45.458,"which is $100,000 per accident, in the case of this man's policy."
00:11:45.625,00:11:47.000,And this is one claim.
00:11:47.166,00:11:50.416,"According to your description, He hit my five guys."
00:11:50.583,00:11:53.416,The guy insured by my client had one accident.
00:11:53.500,00:11:54.583,"One, one, one."
00:11:54.666,00:11:58.000,Losing control of the car and hitting five motorcyclists.
00:11:58.166,00:12:00.958,"From their point of view, five things happened."
00:12:01.750,00:12:04.666,"Well, look, Bob."
00:12:05.458,00:12:06.500,Jim.
00:12:07.416,00:12:10.250,"If I go bowling and I throw a strike, one thing happened."
00:12:10.416,00:12:11.458,10 things didn't happen.
00:12:11.625,00:12:13.166,"Jim, my guys aren't bowling pins..."
00:12:13.416,00:12:15.125,as much as your guy may have treated them as such.
00:12:15.291,00:12:16.958,If... Let me finish.
00:12:17.125,00:12:21.500,"If your house is insured for $100,000 and a tornado carries it away..."
00:12:21.583,00:12:23.000,it carried away one house.
00:12:23.166,00:12:24.750,It didn't pick up every stick of furniture...
00:12:24.875,00:12:27.208,and destroy it in a separate incident.
00:12:27.375,00:12:29.375,If that is what you're saying...
00:12:29.958,00:12:33.250,"well, then there is never any limit to our liability..."
00:12:33.416,00:12:36.291,and that is the end of the insurance business.
00:12:36.458,00:12:39.083,"And then, Bob, nobody is safe."
00:12:44.083,00:12:46.458,"Watters, Cowan and Donovan."
00:12:46.625,00:12:47.833,"Morning, Mr. Donovan."
00:12:48.000,00:12:49.250,"Good morning, Alison."
00:12:49.416,00:12:51.416,I moved your 9 a.m.
00:12:51.583,00:12:52.708,Why did you do that?
00:12:52.875,00:12:54.333,I asked her to.
00:12:54.958,00:12:56.250,"Is everything all right, Tom?"
00:12:56.416,00:12:59.291,Why don't you leave your stuff with Alison.
00:13:00.166,00:13:03.291,Something pretty important has come up.
00:13:03.458,00:13:04.958,Natalie's getting your coffee.
00:13:05.125,00:13:07.666,"Nescafe, cream, two lumps, right?"
00:13:07.833,00:13:09.375,That's right. Thanks.
00:13:11.458,00:13:12.583,Lynn!
00:13:12.750,00:13:14.458,Nice to see you again.
00:13:14.625,00:13:16.041,"Great, good."
00:13:16.208,00:13:18.375,Homicidal.
00:13:18.541,00:13:21.833,"If she acts on it, she'll have good representation."
00:13:22.000,00:13:23.250,"Now, what's up?"
00:13:29.750,00:13:31.541,"Okay, here's the thing."
00:13:31.708,00:13:34.875,"The Soviet spy they caught, we want you to defend him."
00:13:35.041,00:13:36.750,Here's the indictment.
00:13:39.916,00:13:41.083,Wow.
00:13:42.541,00:13:44.375,I'm not sure I wanna pick that up.
00:13:44.541,00:13:46.333,The accused doesn't know any lawyers.
00:13:46.500,00:13:49.000,The federal court tossed it into our lap.
00:13:49.750,00:13:51.583,The Bar Committee took a vote.
00:13:51.750,00:13:53.375,You're the unanimous choice.
00:13:53.541,00:13:54.875,It was important to us...
00:13:55.041,00:13:56.458,"It's important to our country, Jim..."
00:13:56.625,00:13:58.458,that this man is seen as getting a fair shake.
00:13:58.625,00:14:00.375,American justice will be on trial.
00:14:00.541,00:14:04.250,"Of course, when you put it that way, it's an honor to be asked."
00:14:04.416,00:14:06.208,"But, Lynn, I'm an insurance lawyer."
00:14:06.291,00:14:08.083,I haven't done criminal work in years.
00:14:08.250,00:14:09.958,"riding a bike, isn't it?"
00:14:10.125,00:14:12.291,You distinguished yourself at Nuremberg.
00:14:12.458,00:14:14.083,I was on the prosecution team.
00:14:14.166,00:14:15.166,Not the point.
00:14:15.250,00:14:16.875,You're no stranger to criminal law.
00:14:17.583,00:14:19.250,"Jim, look at the situation."
00:14:19.416,00:14:21.458,The man is publicly reviled.
00:14:21.625,00:14:22.875,"And I will be, too."
00:14:23.041,00:14:24.458,"Yes, in more ignorant quarters."
00:14:24.625,00:14:28.125,"But that's exactly why this has to be done, and capably done."
00:14:28.291,00:14:31.916,It can't look like our justice system tosses people on the ash heap.
00:14:36.916,00:14:39.458,"Suppose I did, what's the evidence look like?"
00:14:40.791,00:14:42.250,Pretty overwhelming.
00:14:42.791,00:14:44.666,Great. Great.
00:14:44.833,00:14:47.333,Everyone will hate me but at least I'll lose.
00:14:49.583,00:14:51.250,"What do you think, Tom?"
00:14:51.416,00:14:53.958,The firm will suffer.
00:14:54.125,00:14:56.250,I think it's a patriotic duty.
00:14:56.416,00:14:58.000,It's an important mission.
00:14:58.166,00:15:00.583,"I told Lynn, the firm can't say no..."
00:15:00.750,00:15:03.458,"and you'd have a tough time saying no, too."
00:15:04.125,00:15:07.000,I think you have to defend the son of a bitch.
00:15:07.208,00:15:08.875,"So, you're doing it?"
00:15:09.041,00:15:10.208,DONOVAN: Doing what?
00:15:10.708,00:15:13.583,"Defending Abel, the Soviet spy."
00:15:13.750,00:15:15.125,I may.
00:15:15.291,00:15:17.583,"Wait, how do you know?"
00:15:17.750,00:15:19.708,"No, I was talking to Richard Earl..."
00:15:19.875,00:15:22.083,"Look, if I do this, I'm going to need your help."
00:15:25.000,00:15:26.708,Can you work tonight?
00:15:28.125,00:15:30.083,"I have a dinner date, sir."
00:15:33.291,00:15:35.458,"It's Tuesday, right?"
00:15:35.583,00:15:37.083,"Thank you, sir."
00:15:40.750,00:15:42.333,DONOVAN: But it's also an honor.
00:15:42.500,00:15:44.666,And the Bar Association asked me...
00:15:44.833,00:15:48.041,because they want to show that even a spy gets a capable advocate.
00:15:48.208,00:15:50.208,Maybe it's the kind of honor we could do without.
00:15:50.291,00:15:52.083,"Hey, honey, what are you doing home?"
00:15:53.000,00:15:54.208,I got stood up.
00:15:55.083,00:15:57.708,"Well, that's despicable."
00:15:57.875,00:15:59.208,Who is this knot-head?
00:15:59.375,00:16:00.625,I'd rather not say.
00:16:00.791,00:16:02.666,"Well, sit down."
00:16:02.833,00:16:03.833,People are scared.
00:16:03.916,00:16:08.000,They're building bomb shelters to protect themselves from people like this man.
00:16:08.166,00:16:09.416,I go to the store...
00:16:09.583,00:16:12.666,people are buying canned food and potassium tablets.
00:16:12.833,00:16:15.541,It's all about this man and what he represents.
00:16:15.708,00:16:17.583,He's a threat to all of us.
00:16:17.750,00:16:19.500,ROGER: Who's a traitor?
00:16:19.583,00:16:20.583,Who were they?
00:16:20.708,00:16:22.416,They gave atomic secrets to the Russians.
00:16:22.583,00:16:24.416,They were Americans.
00:16:24.583,00:16:26.750,You can't accuse Abel of being a traitor.
