start,end,script
00:01:18.870,00:01:25.585,"Every year she tries to fix me up with some bushy-haired, middle-aged bore and I feared this year would be no exception."
00:01:26.419,00:01:28.379,"There you are, dumpling."
00:01:29.130,00:01:34.010,"My mum, a strange creature from the time when a gherkin was still the height of sophistication."
00:01:34.093,00:01:38.681,"-Doilies, Pam? Hello, Bridget. -Third drawer from the top, Una under the mini gherkins."
00:01:39.933,00:01:43.603,"By the way, the Darcys are here. They brought Mark with them."
00:01:46.856,00:01:50.318,"You used to play in his paddling pool. He's a barrister, very well off."
00:01:50.568,00:01:53.905,"-No, I don't remember. -He's divorced, apparently."
00:01:54.239,00:01:58.326,His wife was Japanese. Very cruel race. Now what are you going to put on?
00:01:59.661,00:02:01.538,"-This. -Oh, don't be silly, Bridget."
00:02:01.621,00:02:04.707,You'll never get a boyfriend if you look like you've wandered out of Auschwitz.
00:02:04.791,00:02:07.710,Now run upstairs. Laid out something lovely on your bed.
00:02:21.975,00:02:23.601,Here she is.
00:02:23.685,00:02:27.397,My little Bridget.
00:02:28.314,00:02:31.234,"-Hi, Uncle Geoffrey. -Got a drink?"
00:02:31.317,00:02:32.443,-No. -No?
00:02:32.527,00:02:34.529,"-Come on, then. -Actually, not my uncle."
00:02:34.612,00:02:41.119,Someone who insists I call him uncle while he gropes my arse and asks me the question dreaded by all singletons.
00:02:41.202,00:02:46.124,"-So, how's your love life? -Super. Thanks, Uncle G."
00:02:46.207,00:02:48.293,"Still no fellow, then? I know them."
00:02:48.376,00:02:50.879,"You career girls can't put it off forever, you know."
00:02:50.962,00:02:52.380,"Tick-tock, tick-tock."
00:02:53.214,00:02:55.633,"-Hello, Dad. -Hello, darling."
00:02:55.967,00:02:58.011,-How's it going? -Torture.
00:02:59.012,00:03:01.306,Your mother's trying to fix you up with some divorcee.
00:03:01.598,00:03:02.891,Hmm.
00:03:02.974,00:03:06.019,"Human rights barrister. Pretty nasty beast, apparently."
00:03:09.439,00:03:12.150,Maybe this time Mum had got it right.
00:03:12.233,00:03:14.986,Come on. Why don't we see if Mark fancies a gherkin?
00:03:15.737,00:03:17.030,Good luck.
00:03:17.739,00:03:18.865,Mark.
