start,end,script
00:01:26.753,00:01:30.840,where I've had some of the most shaming experiences of my life.
00:01:32.592,00:01:35.011,"Hello, darling. Lovely to see you."
00:01:36.304,00:01:45.230,"It was, as usual, crammed full with some of the most dangerous perverts in the United Kingdom disguised as close personal friends of my parents."
00:01:45.313,00:01:48.566,"-Hello, Bridget. -No, thanks."
00:01:48.650,00:01:51.986,-Love the jumper. -I prefer what's underneath it.
00:01:52.070,00:01:54.447,"-Uncle Jeffrey. -Hello, gorgeous."
00:01:54.531,00:01:55.698,Hello.
00:01:57.117,00:01:59.994,"-Hello, darling. -Hello, Dad. How's it going?"
00:02:00.078,00:02:01.538,I wish I was dead.
00:02:03.665,00:02:07.502,there was one crucial difference.
00:02:12.048,00:02:15.176,-Nice jumper. -My mother's taste never falters.
00:02:18.346,00:02:19.472,Never.
00:02:54.173,00:02:58.177,You always wonder how it's going to work out at the end of the story.
00:02:58.261,00:03:05.643,"Maria and Captain von Trapp, Snow White and the Seven Dwarfs, Mark Darcy and Bridget Jones."
00:03:05.727,00:03:09.063,I have found my happy ending at last.
00:03:09.147,00:03:12.942,And nothing in the world can spoil it.
00:03:14.193,00:03:16.029,"Well, almost nothing."
00:03:20.158,00:03:22.911,I can't see anywhere soft to land.
00:03:23.411,00:03:25.246,How about on your ass?
00:03:25.330,00:03:31.920,"Bridget, unless you want to get sacked at 6,000 feet, you'll be on your way in exactly three seconds."
00:03:32.003,00:03:33.880,"Three, two, one."
00:03:33.963,00:03:35.381,Cue Bridget.
00:03:35.965,00:03:44.557,"Skydiving, a dangerous bane to the countryside and emergency services, or a safe and exhilarating hobby?"
00:03:45.350,00:03:47.936,"Well, let's see, shall we?"
00:03:48.645,00:03:52.273,"Go. Jump! For Christ's sake, go!"
00:03:57.195,00:03:58.988,"Okay, she's out. Unit 2, you got her?"
00:04:08.081,00:04:10.250,Open your fucking parachute!
00:04:24.639,00:04:26.724,and everyone treats you like an idiot.
00:05:03.928,00:05:08.266,Where was I? Yes. Mark Darcy.
00:05:08.349,00:05:13.104,"The question is, what happens after you walk off into the sunset?"
00:05:14.731,00:05:17.275,Earth to Bridget Sodding Jones.
00:05:32.749,00:05:40.298,"Well, this is Bridget Jones for Sit Up, Britain, reporting to you from a big vat of excrement."
00:05:43.551,00:05:46.512,"Unit 2, give me a close-up of the porker."
00:05:56.564,00:06:06.949,"The fact is I've been in a functional relationship with an adult male for six wonderful weeks, four fabulous days and seven precious hours."
00:06:08.159,00:06:12.622,"Or to put it another way, 71 ecstatic shags."
00:06:14.749,00:06:18.544,"He's given up being snooty, and I've given up smoking."
00:06:21.089,00:06:24.634,"Well, he thinks I have, anyway, which is practically the same thing."
00:06:28.763,00:06:30.848,Mark Darcy is perfect.
00:06:30.932,00:06:37.688,"Not a fuck-wit, alcoholic, workaholic, pervert, or megalomaniac, but total sex god and human rights lawyer."
00:06:37.897,00:06:40.483,"He is a miracle, really."
00:06:40.817,00:06:42.026,"Bridget, will you stop?"
00:06:43.027,00:06:45.905,Stop staring at me while I'm asleep. Go and find something to do.
00:06:45.988,00:06:47.156,Sorry.
00:06:56.916,00:06:59.794,the wilderness years are over.
00:07:00.461,00:07:04.340,Bridget Jones is a love pariah no more.
00:07:08.302,00:07:10.555,"Morning, Bridget. Late again."
00:07:14.642,00:07:18.855,"I was in bed with my boyfriend. He's a human rights lawyer, you know?"
00:07:19.313,00:07:20.898,"Yes, we know."
00:07:22.733,00:07:26.195,I cannot believe how fantastic shagging was last night.
00:07:27.071,00:07:28.531,Maybe I'll ring him.
00:07:29.615,00:07:34.996,"No, no. Obviously it's important to tell one's boyfriend how nice he looks naked."
00:07:35.079,00:07:38.624,"But I have crucial, Pulitzer Prize-winning journalism to do."
00:07:47.800,00:07:50.052,Just wondered how you are.
00:07:50.845,00:07:53.097,"I'm fine, thanks. Everything all right with you?"
00:07:56.184,00:08:04.859,"I've just had a rather graphic shag flashback, and you do have a genuinely gorgeous bottom."
00:08:05.693,00:08:13.326,"Thank you. I'm actually with the Mexican Ambassador, the head of Amnesty International and the Undersecretary for Trade and Industry."
00:08:15.620,00:08:17.288,And you're on speakerphone.
00:08:20.750,00:08:24.754,"Right. I'm actually quite busy with important stuff, too..."
00:08:24.837,00:08:28.591,"Bridget, we're still waiting for that tape about Tom, the happy hamster."
00:08:32.220,00:08:33.221,Excellent.
00:08:33.304,00:08:36.641,And Richard wants to see you about that crap skydiving report.
00:08:40.603,00:08:44.857,"Oh, dear. Is this the end of my career?"
00:08:45.441,00:08:48.986,"No, it can't be. I will fight this."
00:08:49.070,00:08:52.532,I am a journalist of the highest standards and integrity.
00:08:58.913,00:09:03.251,This is Bridget Jones reporting to you from a big vat of excrement.
00:09:03.751,00:09:07.588,"Look, I never said I could skydive, and I'm terrified of heights."
00:09:07.713,00:09:09.340,It was really hard to concentrate.
00:09:09.423,00:09:12.176,"Be quiet, Bridget. They loved it upstairs."
00:09:12.260,00:09:16.722,Loved it. And they want us to come up with another regular spot for you.
00:09:21.602,00:09:22.562,We shall see.
00:09:22.645,00:09:26.482,"...my friend's motto was, When in Rome, do as many Romans as you can."
00:09:26.941,00:09:31.320,"But if your tastes are marginally more highbrow than that, I also have tips."
00:09:31.821,00:09:34.699,Forget the Forum. Definitely forget the Colosseum.
00:09:34.782,00:09:37.994,"No fun at all, now they're not allowed to slaughter Christians any more."
00:09:38.077,00:09:42.582,"Forget the Sistine Chapel, first example in history of poof interior designer gone bonkers."
00:09:42.665,00:09:46.836,What is Daniel Cleaver doing on the television?
00:09:47.461,00:09:51.299,It's called the Smooth Guide. Making culture bearable.
00:09:51.966,00:09:58.639,"...and equally beautiful Professore Giovanna Da Brache, who, I believe, is about to show me her diptych."
00:10:00.933,00:10:05.021,"Well, a shame. He always speaks very warmly of you."
00:10:05.855,00:10:07.356,-Yes? -Yeah.
00:10:07.440,00:10:09.525,How about we go out for a bite to eat tonight?
00:10:09.609,00:10:13.112,Can't. I have to go out with my boyfriend.
00:10:13.821,00:10:15.448,"-He's a human rights lawyer, you know? -I know."
00:10:15.531,00:10:17.742,We're meeting for a romantic supper.
00:10:20.620,00:10:21.746,Bridget Jones.
00:10:21.829,00:10:22.997,"Bridget, it's Mark."
00:10:24.290,00:10:25.916,I was just talking about you.
00:10:26.125,00:10:27.918,"Listen, I'm running late. Do you want me to cancel?"
00:10:29.670,00:10:31.756,"-No, that's fine. -You sure?"
00:10:32.256,00:10:33.924,Be as late as you like.
00:10:36.010,00:10:39.263,Chuck him while you're still ahead and not pregnant with his unwanted child.
00:10:39.347,00:10:41.265,I only said he was working late.
00:10:41.349,00:10:42.683,That's his story.
00:10:42.767,00:10:47.188,"One hour from now, he'll be coming in his secretary's mouth while he rings you to say what he wants for starters."
