start,end,script
00:02:43.830,00:02:44.914,Shit.
00:04:25.181,00:04:29.519,"You pair of deuces looking for work, I suggest you get your scrawny asses in here pronto."
00:04:43.074,00:04:49.414,"Up on Brokeback, the Forest Service has got designated campsites on the allotments."
00:04:49.497,00:04:53.209,"Them camps can be three, four miles from where we pasture the woollies."
00:04:53.293,00:04:56.921,Bad predator loss if there's nobody looking after them at night.
00:04:57.005,00:05:05.054,"Now, what I want is a camp tender to stay in the main camp, where the Forest Service says."
00:05:05.138,00:05:12.270,"But the herder, he's gonna pitch a pup tent on the QT with the sheep and he's gonna sleep there."
00:05:12.353,00:05:17.817,"You eat your supper and breakfast in camp, but you sleep with the sheep 100%."
00:05:18.735,00:05:21.446,"No fire, don't leave no sign."
00:05:21.863,00:05:24.741,You roll up that tent every morning in case Forest Service snoops around.
00:05:27.243,00:05:28.328,Yeah?
00:05:30.204,00:05:31.372,No.
00:05:33.624,00:05:34.625,No!
00:05:37.128,00:05:38.755,Not on your fucking life.
00:05:41.966,00:05:45.845,"You got your dogs, your .30-30, you sleep there."
00:05:46.512,00:05:49.807,Last summer I had goddamn near 25% loss. I don't want that again.
00:05:51.142,00:05:52.185,You.
00:05:53.728,00:06:03.112,"Fridays at noon, be down at the bridge with your grocery list and mules, and somebody with supplies will be there at the pick-up."
00:06:05.698,00:06:08.534,Tomorrow morning we'll truck you up to the jump-off.
00:06:37.355,00:06:39.107,Jack Twist.
00:06:39.190,00:06:40.399,Ennis.
00:06:41.442,00:06:43.152,Your folks just stop at Ennis?
00:06:43.861,00:06:45.404,Del Mar.
00:06:46.364,00:06:48.616,"Well, nice to know you, Ennis Del Mar."
00:07:07.218,00:07:08.719,My second year up here.
00:07:10.304,00:07:13.599,"Last year, one storm, the lightning killed 42 sheep."
00:07:14.767,00:07:16.811,Thought I'd asphyxiate from the smell.
00:07:17.854,00:07:21.774,"Aguirre got all over my ass, like I was supposed to control the weather."
00:07:22.275,00:07:24.694,But beats working for my old man.
00:07:28.072,00:07:29.907,That's why I took to rodeoing.
00:07:30.741,00:07:32.493,You ever rodeo?
00:07:33.369,00:07:36.372,"You know, I mean, once in a while."
00:07:37.039,00:07:38.708,When I got the entry fee in my pocket.
00:07:39.625,00:07:40.751,Yeah.
00:07:42.086,00:07:43.546,Are you from ranch people?
00:07:44.338,00:07:45.756,"Yeah, I was."
