start,end,script
00:00:06.583,00:00:11.709,"TRYING TO BE THE GOOD GUY, THE MAN IN THE WHITE HAT."
00:00:11.750,00:00:14.250,I'M NOT BECOMING LIKE THEM.
00:00:14.291,00:00:16.792,I AM THEM.
00:00:16.834,00:00:19.417,"HEY! WHAT ARE YOU DOING, WEIRDO?"
00:00:19.458,00:00:21.250,I'M DOING THE BEST SPEECH FROM DONNIE BRASCO.
00:00:21.291,00:00:25.458,"OR ACTUALLY, TEN OF ME ARE DOING THE BEST SPEECH FROM DONNIE BRASCO."
00:00:25.500,00:00:27.375,WHAT'S UP?
00:00:27.417,00:00:29.667,"GET IT TOGETHER, MAN."
00:00:29.709,00:00:31.333,SO THE STORE WAS HIT ABOUT TWO HOURS AGO.
00:00:31.375,00:00:33.917,"THEY TOOK MOSTLY TABLETS, LAPTOPS, AND CAMERAS."
00:00:36.542,00:00:38.709,SORRY.
00:00:38.750,00:00:43.083,"I'D LIKE A LIST OF ALL YOUR EMPLOYEES, WHOEVER HAD ACCESS TO THE STORE."
00:00:43.125,00:00:45.125,I'D ALSO LIKE TO APOLOGIZE FOR MY PARTNER.
00:00:45.166,00:00:47.166,HIS PARENTS DIDN'T GIVE HIM ENOUGH ATTENTION.
00:00:47.208,00:00:48.250,"UH, DETECTIVE..."
00:00:48.291,00:00:49.750,I ALREADY SOLVED THE CASE.
00:00:49.792,00:00:53.000,"WE'RE LOOKING FOR THREE WHITE MALES, ONE OF WHOM HAS SLEEVE TATS ON BOTH ARMS."
00:00:53.041,00:00:54.709,AND HOW DO YOU KNOW THAT?
00:00:54.750,00:00:56.583,I HAD AN INFORMANT ON THE INSIDE.
00:00:56.625,00:00:58.083,HE'S BEEN HERE FOR YEARS.
00:00:58.125,00:01:01.166,"WATCHING, LEARNING."
00:01:01.208,00:01:03.458,HIS CODE NAME?
00:01:03.500,00:01:05.667,FUZZY CUDDLE BEAR.
00:01:05.709,00:01:07.583,HE'S A NANNY CAM.
00:01:07.625,00:01:09.333,YOU GOT LUCKY.
00:01:09.375,00:01:14.834,"NO, I GOT HERE FIVE MINUTES BEFORE YOU AND FIGURED THAT IN THIS GIGANTIC ELECTRONICS STORE, THERE HAD TO BE AT LEAST ONE WORKING CAMERA."
00:01:14.875,00:01:16.959,"OH! HI, BAD GUYS!"
00:01:17.000,00:01:19.166,"YOU DID IT, FUZZY."
00:01:19.208,00:01:21.250,IT'S TIME TO COME HOME.
00:01:21.291,00:01:23.083,IF I CAN.
00:01:23.125,00:01:26.250,"I'VE BEEN UNDERCOVER SO LONG, I'VE FORGOTTEN WHO I AM."
00:01:26.291,00:01:28.250,I HAVE SEEN TERRIBLE THINGS.
00:01:28.291,00:01:30.417,I HAVEN'T KNOWN THE TOUCH OF A WOMAN IN MANY MOONS.
00:01:30.458,00:01:32.208,ALL RIGHT.
00:01:32.250,00:01:34.667,DETECTIVE SANTIAGO!
00:01:34.709,00:01:36.375,DON'T WALK AWAY FROM ME!
00:01:47.458,00:01:49.959,"YES, I DID CRACK THE CASE."
00:01:50.000,00:01:52.041,"SO, SANTIAGO, WOULD YOU DO THE HONORS?"
00:01:53.583,00:01:57.208,OHHH!
00:01:57.250,00:01:58.792,I HATE THIS!
00:01:58.834,00:02:00.083,"AH, YEAH."
00:02:00.125,00:02:01.458,I HATE THIS.
00:02:01.500,00:02:02.667,AND YOU'RE JUST GONNA ADD ONE.
00:02:02.709,00:02:04.125,I'M WINNING.
00:02:05.166,00:02:06.917,IT'S A GOOD FEELING.
00:02:06.959,00:02:08.834,IT'S A GOOD FEELING.
00:02:08.875,00:02:10.083,ENJOY IT WHILE IT LASTS.
00:02:10.125,00:02:11.291,I WILL!
00:02:11.333,00:02:13.709,"JP, UPDATE ON THE MORGENTHAU MURDER?"
00:02:13.750,00:02:16.333,YEAH! GOOD NEWS FOR ALL YOU MURDER FANS.
00:02:16.375,00:02:18.125,EARLIER THIS MORNING...
00:02:18.166,00:02:23.083,SOMEONE DECIDED TO SHOOT AND KILL LUXURY FOOD IMPORTER HENRY MORGENTHAU.
00:02:23.125,00:02:29.917,"BODY WAS FOUND BY THE CLEANING LADY, DURING HER INTERVIEW, I DEDUCED, USING EXPERT DETECTIVE WORK, THAT SHE HAD SOMETHING SUPER GROSS ON HER CHIN."
00:02:32.125,00:02:33.458,I THINK IT WAS FLAN.
00:02:33.500,00:02:34.750,CHARLES THINKS IT WAS FLAN.
00:02:34.792,00:02:36.208,I THINK IT WAS BUTTERSCOTCH PUDDING.
00:02:36.250,00:02:37.959,MAYBE IT WAS JUST OLD PERSON GUNK.
00:02:38.000,00:02:39.417,YOU KNOW HOW OLD PEOPLE ALWAYS HAVE THAT GUNK ON THEM.
00:02:39.458,00:02:40.709,OLDIE GUNK.
00:02:40.750,00:02:42.083,ANYONE ELSE?
00:02:42.125,00:02:45.458,HOW ABOUT WE FOCUS ON THE MURDER AND NOT THE OLD PERSON GUNK?
00:02:45.500,00:02:46.834,CRIME TECHS ARE AT THE SCENE NOW.
00:02:46.875,00:02:48.083,WE'RE HEADING BACK WHEN THEY'RE DONE.
00:02:48.125,00:02:49.458,"OKAY, I WANT YOU ON THIS."
00:02:49.500,00:02:51.041,IT'S GONNA BE PRIORITY ONE FOR THE NEW C.O.
00:02:51.083,00:02:52.834,"WAIT, TELL US ABOUT THE NEW CAPTAIN."
00:02:52.875,00:02:54.083,CAPTAIN HOLT WILL BE HERE SOON.
