start,end,script
00:01:40.225,00:01:42.185,Palmer. What's up?
00:01:42.227,00:01:45.647,"Uh, you know, uh, Peck and Olson."
00:01:45.689,00:01:47.900,"Olson, by reputation."
00:01:49.818,00:01:53.447,-I'm Osborne Cox.
00:01:53.488,00:01:57.076,Aren't you with...
00:01:57.117,00:01:59.119,"Uh, have a seat."
00:02:00.203,00:02:02.163,"Look, Oz, look."
00:02:02.205,00:02:04.291,There's no easy way to say this.
00:02:05.292,00:02:08.545,We're taking you off the Balkans desk.
00:02:08.587,00:02:11.172,What? Why?
00:02:11.214,00:02:14.426,"In fact, we're moving you out of SigInt entirely."
00:02:14.468,00:02:18.305,Just... No discussion?
00:02:18.346,00:02:21.141,"Well, we're having the discussion now."
00:02:21.182,00:02:24.269,"Look, um, Oz."
00:02:24.311,00:02:34.195,"This doesn't have to be unpleasant. Uh-- Palmer, with all due respect, what the fuck are you talking about?"
00:02:34.237,00:02:36.865,And why is Olson here?
00:02:36.907,00:02:39.200,"Uh, Ozzie, look-- What the fuck is this?"
00:02:39.242,00:02:41.620,I know it's not my work.
00:02:41.662,00:02:44.205,I'm a great fucking analyst!
00:02:44.247,00:02:46.207,"Is... Is it my-- Ozzie, things..."
00:02:46.249,00:02:49.377,"Things have not been going well, as you know."
00:02:49.419,00:02:51.922,You have a drinking problem.
00:02:58.553,00:03:00.597,I have a drinking problem?
00:03:00.639,00:03:03.224,"Uh, this doesn't have to be unpleasant."
00:03:03.266,00:03:06.227,"Um, we found something for you in State."
00:03:06.269,00:03:09.564,"It's a, um, um..."
00:03:09.606,00:03:14.235,"Well, it is a lower clearance level, yes, but... but it's..."
00:03:14.277,00:03:17.405,"Look, we're not..."
00:03:17.447,00:03:21.242,Hmm.
00:03:21.284,00:03:23.244,I have a drinking problem?
00:03:23.286,00:03:26.247,"Fuck you, Peck."
00:03:23.286,00:03:30.418,"Ozzie-- Next to you, we all have a drinking problem!"
00:03:30.460,00:03:33.714,Whose ass didn't I kiss?
00:03:33.755,00:03:36.508,Huh?
00:03:33.755,00:03:41.304,"Okay, uh, Olson-- I mean, let us be fucking honest!"
00:03:41.346,00:03:43.264,This is political!
00:03:43.306,00:03:46.226,And don't tell me it's not!
00:03:47.310,00:03:49.396,I have a drinking problem!
00:04:01.700,00:04:05.204,"Oh, you're home."
00:04:05.245,00:04:07.664,"Honey, hang on to your hat."
00:04:07.706,00:04:10.291,Did you pick up the cheeses?
00:04:10.333,00:04:12.794,The cheeses...
00:04:12.836,00:04:15.255,I didn't realize that you'd be home so early.
00:04:15.296,00:04:17.841,"Yeah, I left a message for you to stop by Arno's."
00:04:17.883,00:04:20.301,The Magruders and the Pfarrers are coming this evening.
00:04:20.343,00:04:23.722,The Pfarrers. Ugh.
00:04:23.764,00:04:26.683,What?
00:04:26.725,00:04:28.936,That she would give you the message.
00:04:28.977,00:04:31.312,"Well, I don't know."
