start,end,script
00:03:34.422,00:03:35.590,I'll go down.
00:03:52.982,00:03:55.443,"Darling, come help Oliver take his things up to his room."
00:03:55.526,00:03:56.945,-He's already here? -Yes!
00:04:26.557,00:04:27.892,You're leaving?
00:04:31.896,00:04:32.981,Nice to meet you.
00:08:02.690,00:08:04.400,I'll take care of the tart.
00:08:41.854,00:08:43.356,Let me do it.
00:09:00.873,00:09:02.333,Thank you.
00:09:06.379,00:09:09.465,"Peaches, cherries, apricots..."
00:11:48.874,00:11:50.251,"Help yourself, darling."
00:11:50.334,00:11:51.627,Thanks.
00:13:42.154,00:13:44.156,"-Ciao, Romano. -Ciao, Oliver."
00:13:44.240,00:13:46.825,-How are you? -All good.
00:13:52.081,00:13:53.624,"Ciao, boys!"
00:13:53.707,00:13:55.543,All good?
00:13:55.626,00:13:57.294,All good!
00:13:58.963,00:14:01.799,-Can you start please? -Of course!
00:14:22.486,00:14:23.737,"Good morning, gentlemen."
00:14:34.331,00:14:35.916,"Go, Chiara!"
00:14:44.800,00:14:47.261,He's better than the guy who came last year.
00:14:47.344,00:14:48.554,Remember?
00:14:49.221,00:14:50.639,Get in there!
00:14:50.723,00:14:53.601,Much better! See how cute he is.
00:15:05.321,00:15:06.822,"Elio, water!"
00:15:59.792,00:16:03.420,"Sweetheart, Auntie Marcella and the others are coming over for dinner."
00:16:04.213,00:16:06.924,Is Oliver staying with us or going out?
00:16:07.007,00:16:08.342,Don't know.
00:16:09.259,00:16:10.719,What a movie star!
00:16:10.970,00:16:13.514,"Yes, those Americans..."
00:16:36.829,00:16:38.747,Sparkling wine!
00:16:39.707,00:16:41.083,He's late.
00:16:42.459,00:16:43.752,Don't you think...
00:16:44.712,00:16:47.756,"Don't you think he's impolite when he says, Later?"
00:16:48.924,00:16:50.551,Arrogant.
00:17:10.279,00:17:11.405,"Oh, no, sweetheart."
00:17:13.907,00:17:16.493,"-Take his plates away. -Very well, madam."
00:17:43.771,00:17:45.481,I don't want to.
00:17:46.315,00:17:47.316,Why not?
00:17:47.608,00:17:49.068,Because I don't want to.
00:17:49.151,00:17:51.653,Why don't you go to Moscazzano with others?
00:17:51.737,00:17:53.280,Because I don't want to.
00:18:03.999,00:18:05.626,"Play well, darling."
00:25:19.851,00:25:21.811,Have you been to the river?
00:25:36.159,00:25:37.494,Mafalda!
00:25:38.078,00:25:39.412,Isn't she beautiful?
00:27:34.402,00:27:35.570,Come here.
00:27:37.906,00:27:39.324,What's going on?
00:27:39.407,00:27:41.201,Is he trying to get it on with her?
00:27:41.326,00:27:43.453,"Elio, he already succeeded?"
00:27:45.372,00:27:46.790,What do I know?
00:27:46.873,00:27:48.541,I'd love to be in his shoes.
00:27:48.625,00:27:50.543,Who wouldn't love to be in her shoes?
00:27:53.004,00:27:55.256,"She wants him, no matter what!"
00:28:39.509,00:28:40.677,Coming?
00:28:43.012,00:28:44.347,I'll come later.
00:29:59.756,00:30:02.634,Are you with me because you're mad at Chiara?
00:30:02.717,00:30:04.385,Why would I be mad at Chiara?
00:30:05.595,00:30:07.096,Because of him.
00:30:07.180,00:30:08.640,Because of who?
00:30:09.808,00:30:11.059,Of Oliver.
00:30:22.570,00:30:23.947,Turn around.
00:30:38.586,00:30:40.421,Meet me here tomorrow night?
00:30:47.303,00:30:49.597,Wait for me!
00:30:49.681,00:30:51.224,Come on.
00:32:02.754,00:32:04.213,What are you doing?
00:32:04.339,00:32:06.257,Going to Lake Garda with my dad.
00:32:06.341,00:32:08.343,He wants to show Oliver where he's dredging.
00:32:09.302,00:32:10.678,Can you tell him I came by?
00:32:11.638,00:32:13.514,"He's inside with my dad, helping him."
00:32:15.350,00:32:18.770,"You were amazing last night, on the dance floor."
00:32:18.853,00:32:20.730,-He's a good dancer. -A good dancer.
00:32:23.107,00:32:24.776,He's good-looking too.
00:32:26.235,00:32:28.029,-Want to get us together? -No.
00:32:29.781,00:32:31.449,Come in.
00:33:44.022,00:33:45.106,I'll drive today!
00:33:52.238,00:33:55.658,"Anchise, take the afternoon off."
00:35:00.807,00:35:02.558,Sammy! Come on!
00:35:15.613,00:35:17.073,Truce?
00:39:27.323,00:39:30.076,"Sorry, Elio. I brought some clean clothes."
00:39:35.164,00:39:36.624,Leave the door open.
00:39:37.750,00:39:39.418,-Thanks. -You're welcome.
00:42:53.737,00:42:55.656,"Come here, darling."
00:46:05.179,00:46:07.181,I straightened the wheels and inflated the tires.
00:46:07.264,00:46:08.682,Perfect. Thanks.
00:51:02.517,00:51:04.394,"Let's go, American!"
00:52:18.134,00:52:19.719,"Good morning, ma'am."
00:52:21.304,00:52:22.597,Excuse me.
00:52:23.515,00:52:26.226,Could I ask for a glass of water?
00:52:38.321,00:52:40.115,People of Italy!
00:52:46.580,00:52:48.123,-Thank you. -You're welcome.
00:57:41.916,00:57:45.420,So we got the government of Bettino Craxi...
00:57:45.545,00:57:48.047,"Because we don't do anything but talk, talk, talk."
00:57:48.173,00:57:50.049,Let me speak.
00:57:50.175,00:57:53.678,We have five parties that do nothing but fight.
00:57:53.761,00:57:56.514,"Smoke and shut up! Let them speak, him, her."
00:57:56.723,00:57:59.517,I'd like to know what they think too.
00:57:59.642,00:58:02.437,"Annella, what do you think? A five party government!"
00:58:02.562,00:58:05.732,"Darling, I think it's the historic compromise..."
00:58:05.815,00:58:09.903,Don't say that. Compromises are tragic.
00:58:09.986,00:58:12.780,You've changed since you inherited this place.
00:58:12.906,00:58:14.574,What's that got to do with it?
00:58:14.657,00:58:16.451,What are you saying?
00:58:17.160,00:58:18.828,"You're mad, darling."
00:58:19.662,00:58:20.872,You asshole!
00:58:20.955,00:58:24.834,-She's right. -And you don't say anything to her.
00:58:25.460,00:58:27.587,Say something.
00:58:27.754,00:58:29.380,You're resigned.
00:58:29.464,00:58:32.050,Why don't we talk about the death of Buñuel?
00:58:32.133,00:58:35.178,Buñuel was a genius.
00:58:35.261,00:58:36.888,-Know him? -Cinema isn't the answer.
00:58:36.971,00:58:40.266,Cinema is a mirror of reality and it's a filter.
00:58:41.059,00:58:44.062,They broadcast The Phantom of Liberty with constant interr...
00:58:44.187,00:58:46.648,Everyone loves Buñuel!
00:58:46.814,00:58:48.316,Let's hear his opinion.
00:58:48.399,00:58:50.860,He doesn't know anything about Italy!
00:58:50.985,00:58:52.904,Say something. Give us your impression.
00:58:53.071,00:58:54.572,Do you have an impression?
00:58:54.697,00:58:56.741,"Darling, he's American."
00:58:56.866,00:58:58.201,That doesn't mean stupid!
00:59:04.207,00:59:06.251,Just stop.
00:59:06.376,00:59:10.255,I don't give an easy ride to some politicians.
00:59:10.380,00:59:13.216,She didn't say that.
00:59:13.383,00:59:15.218,I'm going to go mad.
00:59:15.343,00:59:17.178,What's the matter?
00:59:18.429,00:59:20.181,What's wrong?
00:59:20.306,00:59:22.308,It's nothing. It happens all the time.
00:59:22.475,00:59:25.603,"-Mafalda, ice? -It's in the fridge."
00:59:25.812,00:59:28.356,You get used to absolutely everything.
01:00:04.851,01:00:07.895,Don't you realize you're mixing everything up?
01:00:08.021,01:00:09.647,What are you talking about?
01:00:09.772,01:00:12.525,"There's no more politics, nothing. He's left too."
01:02:01.884,01:02:02.885,You okay?
01:02:10.685,01:02:12.019,Are we going out?
01:02:13.771,01:02:17.316,"I don't know if I can go out. If my mom sees, she'll worry."
01:02:17.442,01:02:19.527,"-She will? -Yeah, she's a pain."
01:02:24.949,01:02:26.409,Where's Oliver?
01:02:26.534,01:02:28.077,Don't ask me.
01:02:45.595,01:02:47.013,Where's Oliver?
01:02:48.014,01:02:50.725,-Didn't he go out? -Would you like a smoothie?
01:02:50.892,01:02:53.436,"No, thank you. We're having dinner soon."
01:02:53.561,01:02:54.854,All right.
01:02:54.979,01:02:56.230,I'm going out tonight.
01:02:56.355,01:02:59.650,-Don't make me worry. -What are you talking about?
01:02:59.776,01:03:01.444,"This is no good, madam."
01:03:01.569,01:03:03.654,-Let him do his own thing. -Fine.
01:03:03.780,01:03:05.782,Why's she hassling me? I'm 17.
01:03:05.948,01:03:07.492,She's worried about you.
01:03:12.288,01:03:14.791,"You like him, don't you? Oliver?"
01:03:15.792,01:03:17.627,Everyone likes Oliver.
01:03:18.211,01:03:20.129,I think he likes you too.
01:03:20.254,01:03:21.506,More than you do.
01:03:24.050,01:03:26.010,Is that your impression?
01:03:26.135,01:03:28.971,"-No, he told me. -When did he say that?"
01:03:29.972,01:03:31.349,A while ago.
01:03:55.873,01:03:58.125,"Mafalda, do you know where Oliver is?"
01:03:58.251,01:03:59.710,I have no idea.
01:06:33.447,01:06:36.409,This is Craxi. I draw the center of Craxi...
01:06:52.550,01:06:53.926,-Hey. -Hi!
01:06:55.052,01:06:57.722,It's me. Is that Marzia?
01:06:57.847,01:06:59.640,Sure it is! Can't you tell?
01:06:59.765,01:07:00.766,Sorry.
01:07:20.911,01:07:22.121,Is that for me?
01:07:23.622,01:07:24.790,Thanks.
01:07:41.474,01:07:43.684,Do you really read a lot?
01:07:43.851,01:07:46.520,"I love reading too, but I don't tell anyone."
01:07:47.188,01:07:48.773,Why not?
01:07:48.898,01:07:50.191,I don't know.
01:07:52.359,01:07:53.611,I think...
01:07:54.153,01:07:56.655,people who read are...
01:07:57.281,01:07:58.407,kind of secretive.
01:07:59.909,01:08:02.244,They hide who they really are.
01:08:03.621,01:08:05.456,Do you hide who you really are?
01:08:06.248,01:08:07.792,"No, not with you."
01:08:07.958,01:08:09.043,Not with me?
01:08:13.255,01:08:15.299,"Well, maybe a bit."
01:08:15.424,01:08:16.842,What do you mean?
01:08:18.219,01:08:20.513,You know exactly what I mean.
01:08:20.638,01:08:22.306,Why do you say that?
01:08:22.973,01:08:24.058,Why?
01:08:26.352,01:08:27.561,Because...
01:08:28.270,01:08:29.855,I think...
01:08:29.980,01:08:33.818,"you're going to hurt me, and I don't want to be hurt."
01:08:50.751,01:08:52.586,You're so hard.
01:08:58.926,01:09:00.344,Wait.
01:09:00.469,01:09:01.846,Kiss me.
01:09:09.478,01:09:10.938,-Is that good? -Yes.
01:09:12.439,01:09:13.440,Are you lying?
01:09:24.785,01:09:27.621,"-Oh, fuck, I'm sorry. -It's all right."
01:09:27.788,01:09:29.915,Are you mad at me? Are you angry?
01:09:40.467,01:09:43.137,What's so funny? Why are you laughing?
01:09:43.971,01:09:45.472,Leave me alone.
01:09:46.682,01:09:48.309,"Fuck, that felt good."
01:10:48.494,01:10:49.703,Not really.
01:13:43.669,01:13:45.379,I won't be here for dinner.
01:13:45.462,01:13:47.214,"Okay, Mr. Oliver."
01:14:19.121,01:14:20.831,"Hello, Mafalda."
01:14:20.956,01:14:21.957,Marzia.
01:14:25.043,01:14:26.378,Where are we going?
01:14:26.462,01:14:27.713,You'll see.
01:14:42.936,01:14:43.937,Stop it!
01:17:20.052,01:17:22.012,"-How are you, buddy? -Hey!"
01:17:22.137,01:17:24.097,"-It's been ages. -It has, yes."
01:17:24.848,01:17:26.642,-How are you? -You've grown.
01:17:29.561,01:17:31.563,Remember Marzia from last year.
01:17:31.688,01:17:32.731,Hello.
01:17:32.814,01:17:35.150,"-Marzia, remember Isaac? -The girl from Paris?"
01:17:35.275,01:17:36.610,Good to meet you.
01:17:36.735,01:17:38.195,Want to eat with us tonight?
01:17:39.655,01:17:41.365,-You're sure? -Yes.
01:17:43.533,01:17:44.660,Goodbye.
01:33:50.291,01:33:51.959,Times change.
01:33:52.126,01:33:53.836,Thank God we had the partisans.
01:33:54.003,01:33:58.090,"I know, but times have changed. It's different."
01:33:58.215,01:34:00.259,What do you think of Bettino?
01:34:00.384,01:34:03.262,-I don't like him. -I like him.
01:34:03.512,01:34:05.806,"I'm happy, actually."
01:34:08.809,01:34:10.853,I don't know. We'll see.
01:34:13.314,01:34:15.858,"Anyway, they make the rules."
01:34:19.570,01:34:21.072,Pasquina!
01:34:21.155,01:34:22.406,Hello.
01:34:22.531,01:34:23.866,"Hello, ma'am."
01:34:24.825,01:34:26.911,-Tortelli cremaschi. -Yes.
01:42:17.130,01:42:19.049,You disappeared for three days.
01:42:26.515,01:42:28.809,You completely disappeared.
01:42:35.065,01:42:36.608,I had a lot to do.
01:44:48.865,01:44:50.993,Come for dinner tonight.
01:44:51.076,01:44:52.327,Bring Marzia.
01:44:53.912,01:44:55.163,"Bye, darling."
01:48:45.310,01:48:46.811,If you'll excuse me...
01:48:46.937,01:48:48.939,Just one second.
01:48:49.856,01:48:51.274,One second!
01:49:10.877,01:49:12.879,I saw them last year.
01:49:13.713,01:49:16.216,Richard Butler... fantastic!
01:49:16.383,01:49:20.053,Really? We saw them in concert too.
01:49:20.136,01:49:22.973,We hitchhiked to London.
01:53:48.363,01:53:49.572,Mafalda?
01:53:50.573,01:53:51.699,Mom?
01:53:52.825,01:53:54.244,"Yeah, it's me."
01:53:55.578,01:53:57.956,"Yeah, everything is fine. I'm at the station..."
01:53:58.665,01:53:59.999,in Clusone.
01:54:01.876,01:54:03.586,"Listen, Mom, can you..."
01:54:05.213,01:54:07.173,"Can you come get me, Mom?"
01:55:05.899,01:55:08.151,I read the book you bought me.
01:55:08.860,01:55:10.570,The poems...
01:55:10.695,01:55:12.196,They're really beautiful.
01:55:12.322,01:55:15.366,I love that... Antonia Pozzi.
01:55:18.536,01:55:20.538,"I'm sorry, excuse me..."
01:55:20.663,01:55:22.373,that you're sad.
01:55:23.666,01:55:28.379,I'm saying that because I wanted to tell you I'm not mad at you.
01:55:29.964,01:55:31.299,Not at all.
01:55:38.932,01:55:40.224,"I love you, Elio."
01:55:45.647,01:55:46.981,Stay friends?
01:55:49.025,01:55:50.360,For life?
01:55:51.152,01:55:52.445,For life?
01:58:05.411,01:58:07.330,Because it was him.
01:58:08.498,01:58:10.333,Because it was me.
02:03:18.349,02:03:20.935,-Have you been to the Gaverine? -Yes.
02:03:30.861,02:03:32.530,-May I? -Happy Hanukkah!
02:03:32.655,02:03:33.739,To you too.
02:04:19.702,02:04:20.703,Hello?
00:02:49.837,00:02:51.212,The usurper.
00:02:53.090,00:02:55.342,Caro? He's here.
00:03:16.071,00:03:18.281,-Professor Perlman.
00:03:18.323,00:03:20.450,-Thank you so much for having me.
00:03:20.492,00:03:22.201,You're bigger than your picture.
