start,end,script
00:00:56.223,00:00:57.933,Anybody seen the Kelly Sisters?
00:01:01.645,00:01:03.230,You. You're up in five.
00:01:31.967,00:01:33.468,"Velma, where you been?"
00:02:13.717,00:02:15.344,"You're killing me, here!"
00:02:17.262,00:02:24.227,"Ladies and gentlemen, the Onyx Club is proud to present Chicago's hottest dancing duo."
00:02:24.978,00:02:27.648,Two jazz babes moving as one.
00:02:28.774,00:02:30.525,The Kelly Sisters.
00:04:28.643,00:04:30.562,But I didn't even meet your friend.
00:04:30.645,00:04:32.856,"-That manager guy. -Don't worry, Roxie."
00:04:36.234,00:04:38.945,"Yeah, kid, it's all arranged."
00:05:44.177,00:05:46.096,"Hello, Miss Borusewicz."
00:05:46.179,00:05:47.722,Mrs. Hart.
00:05:47.806,00:05:49.266,This is Fred.
00:05:50.809,00:05:52.269,He's my brother.
00:06:35.312,00:06:36.688,"You're a star, kid."
00:06:36.771,00:06:38.565,My little shootin' star.
00:07:12.891,00:07:14.392,"Where's the fire, huh?"
00:07:14.893,00:07:17.270,Amos ain't home till midnight.
00:07:19.105,00:07:23.735,Freddy… Fred?
00:07:29.991,00:07:37.707,"Hey, you know, I don't want you to feel like I'm nagging at you or anything, but don't you think it's about time I met your friend down at the Onyx?"
00:07:39.125,00:07:42.045,"I mean, it's been a month since you told him about me."
00:07:44.214,00:07:49.427,And I know 'cause that was the night Velma Kelly plugged her husband and her sister.
00:07:51.429,00:07:54.349,You know they say that she found 'em in the kip together?
00:07:55.016,00:08:03.650,"Gosh, if I ever found Amos slipping it to somebody else, boy, I'd throw him a party, -a great big going-away party. -It's getting late."
00:08:04.776,00:08:06.653,"I have been thinking a lot about my act, though."
00:08:06.736,00:08:10.615,Whenever I get a really good idea I write it down in my diary before it goes out of my head.
00:08:10.699,00:08:13.034,And you know what occurred to me the other day?
00:08:13.118,00:08:19.207,"That all the really, really knockout acts have something a little different going on, you know?"
00:08:19.958,00:08:23.253,Like a signature bit.
00:08:23.336,00:08:29.217,"And I thought that my thing could be aloof, you know?"
00:08:29.843,00:08:35.015,"Give 'em just enough to get 'em good and hungry, but always leave 'em wantin' more."
00:08:36.725,00:08:42.188,"Hey, and once I get a name for myself, maybe… maybe we could open up a club of our own, you know?"
00:08:42.272,00:08:45.400,"You could run it, and I could be the headliner."
00:08:46.484,00:08:48.737,"-What's the idea? -Wake up, kiddo."
00:08:48.820,00:08:50.572,You ain't never gonna have an act.
00:08:51.448,00:08:52.782,Says who?
00:08:52.866,00:08:55.910,"Face it, Roxie. You're a two-bit talent with skinny legs."
00:08:55.994,00:08:57.662,And I'm just a furniture salesman.
00:08:57.871,00:08:59.456,"Yeah, but you got connections."
00:08:59.539,00:09:02.083,"-You know, that guy at the club. -There is no guy."
00:09:02.167,00:09:05.587,"-Yeah, but that night-- -It was the first time I set foot in that joint."
00:09:05.670,00:09:08.173,I was collecting on a bet from the trombone player.
00:09:08.923,00:09:11.134,"So, you never told anyone about me?"
00:09:11.801,00:09:14.012,"Sugar, you were hot stuff."
00:09:14.095,00:09:16.322,I would have said anything to get a piece of that.
00:09:18.099,00:09:20.060,And now? Now?
00:09:20.143,00:09:22.562,We had some laughs. Let's just leave it at that.
00:09:23.354,00:09:28.526,Fred… You can't do this to me.
00:09:35.366,00:09:37.577,"You touch me again, I'll put your lights out!"
00:09:42.499,00:09:44.542,Why don't you wash yourself before you go hitting those sheets again?
00:09:47.837,00:09:49.672,You lied to me.
00:09:51.216,00:09:54.719,"-You lied to me, you son of a bitch! -That's life, sweetheart. That's life."
00:10:06.022,00:10:08.441,You're a son of a bitch!
00:10:24.040,00:10:25.667,I hear it's a new city record.
00:10:25.750,00:10:27.710,From killin' to confession in an hour flat.
00:10:32.465,00:10:34.175,"Just in case of trouble, you know?"
00:10:34.884,00:10:37.470,"That's just fine. Sign right there, Mr. Hart."
00:10:37.554,00:10:40.098,Freely and gladly. Freely and gladly.
00:10:40.181,00:10:42.600,And mind you don't say we beat it out of you when you get on the witness stand.
00:10:42.684,00:10:45.937,"No, I gave myself up. Surrendered of my own free will."
00:10:46.020,00:10:47.313,Isn't he the cheerful murderer?
00:10:49.399,00:10:51.401,"Just last week, a jury thanked a man."
00:10:51.484,00:10:53.695,I'm always grateful for citizens who know the law.
00:10:53.778,00:10:55.029,Get in there.
00:10:55.905,00:10:57.073,You too.
00:10:59.701,00:11:00.910,Sit down.
00:11:03.371,00:11:05.456,Okay. From the top.
00:11:06.791,00:11:09.836,"A man's got a right to protect his home and loved ones, right?"
00:11:11.087,00:11:18.636,"Well, I come home from the garage, and I see him climbing through the window with my wife, Roxie, laying there, sleeping like an angel."
00:11:20.513,00:11:23.099,it's the God's honest truth. My wife had nothing to do with it.
00:11:23.183,00:11:25.643,"She wouldn't hurt a worm, not even a worm."
00:11:25.727,00:11:28.586,It wasn't till I fired the first shot she even opened her eyes.
00:11:29.542,00:11:33.255,"Boy, she's some heavy sleeper. I always said she could sleep through the St. Paddy's Day Parade."
00:11:33.902,00:11:40.962,When I think of what would've happened if I went out for a beer with the guys instead of coming straight home? It makes you sick even thinking about it.
00:11:44.412,00:11:50.293,"would like to sing a song of love and devotion dedicated to her dear husband, Amos."
00:12:34.379,00:12:39.217,"Like I said, even after I shot him, he kept coming at me, so I had to pull the trigger again."
00:13:45.533,00:13:48.953,"Supposing, just supposing, he had violated her or something."
00:13:51.706,00:13:54.167,Or something. Think how terrible that would've been.
00:13:54.250,00:13:56.210,It's a good thing I got home from work on time.
00:13:58.629,00:13:59.881,"I say, I'm telling you that."
00:14:02.467,00:14:04.385,The name of deceased is Fred Casely.
00:14:04.469,00:14:07.347,Fred Casely? How could he be a burglar?
00:14:07.430,00:14:09.323,My wife knows him. He sold us our furniture.
00:14:10.683,00:14:12.474,He gave us 10% off.
00:14:16.564,00:14:18.107,You told me he was a burglar.
00:14:19.859,00:14:27.200,"She had him covered in a sheet, and she's telling me some cock-and-bull story about this burglar and how I ought to say I did it 'cause I was sure to get off."
00:14:27.283,00:14:29.827,"Help me, Amos, she says. It's my goddamn hour of need."
00:14:51.516,00:14:53.810,and tramping around like some goddamn floozy!
00:14:53.893,00:14:55.436,"Thought she could pull the wool over my eyes, huh?"
00:15:03.528,00:15:05.488,"Boy, what a sap I was!"
00:15:06.614,00:15:09.784,You double-crosser! You big blabbermouth!
00:15:09.867,00:15:13.121,"-You promised you'd stick. -You been stringin' me, Roxanne!"
00:15:13.204,00:15:14.831,-Stop-- -You told me he was a burglar!
00:15:14.914,00:15:16.833,"The whole time, you been up here jazzin' him."
00:15:16.916,00:15:19.460,You are a disloyal husband!
00:15:23.005,00:15:25.049,"Look, it's true. I shot him."
00:15:25.133,00:15:27.969,But it was self-defense. He was trying to burgle me.
00:15:28.052,00:15:31.806,"From what I hear, he's been burgling you three times a week for the last month."
00:15:32.432,00:15:33.975,"So, what do you say, missus?"
00:15:37.353,00:15:40.773,"Your story doesn't wash, Mrs. Hart, so try this on for size."
00:15:41.691,00:15:44.735,Fred Casely was a good time on the side with Goofy here as a meal ticket.
00:15:44.819,00:15:45.987,Meal ticket?
00:15:46.070,00:15:48.656,-He couldn't buy my liquor. -And Fred Casely could?
00:15:48.739,00:15:50.783,With a wife and five little Caselys?
00:15:50.867,00:15:52.743,Or did he forget to mention them?
00:15:55.079,00:15:56.664,What?
00:15:56.747,00:15:57.999,All his.
00:15:59.208,00:16:01.169,That bastard.
00:16:01.252,00:16:03.588,That bastard!
00:16:03.671,00:16:06.007,"Yeah, I killed him. I would kill him again."
00:16:06.090,00:16:09.218,"Once was enough, dearie. Take her downtown. Come on!"
00:16:13.973,00:16:15.433,"Here they come. This way, honey."
00:16:15.683,00:16:18.186,"Come on, it's a shame to hide such a beautiful face."
00:16:18.269,00:16:19.479,Why'd you shoot him?
00:16:19.562,00:16:22.773,Give us a profile with a smile like the girl from the toothpaste ad.
00:16:22.857,00:16:24.817,Enjoy it while you can. Take this down.
00:16:25.359,00:16:28.112,Assistant District Attorney Harrison says this is a hanging case.
00:16:28.196,00:16:31.115,"-Hanging? What do you mean, hanging? -I'm ready to go to the jury tomorrow."
00:16:31.199,00:16:34.202,"Not so tough anymore, are you? Take her down to the Cook County Jail."
00:16:34.285,00:16:37.830,We need a headline. Why'd you shoot him? Was he cruel? Did he beat you?
00:16:37.914,00:16:41.125,"Hey, what do you mean, hanging?"
