start,end,script
00:03:48.394,00:03:49.437,...especially for you.
00:03:50.438,00:03:54.442,"Especially for the French. If it isn't too late, my congratulations."
00:40:26.507,00:40:30.511,"I want to know, from what direction did your people hear these sounds?"
00:41:16.724,00:41:20.144,Where did these sounds come from?
00:02:24.269,00:02:25.728,Are we the first?
00:02:27.689,00:02:28.815,What is it?
00:02:28.898,00:02:30.942,Are we the first to arrive here?
00:03:12.317,00:03:14.444,Is the interpreter with you?
00:03:15.445,00:03:17.739,I'm not a professional interpreter.
00:03:17.822,00:03:20.909,My occupation is cartography.
00:03:20.992,00:03:22.535,I'm a mapmaker.
00:03:22.619,00:03:25.330,Can you translate French into English and English into French?
00:03:25.413,00:03:26.414,"Yes, yes."
00:03:26.497,00:03:29.250,I explained to the team leader in Villahermosa.
00:03:29.334,00:03:31.252,I'm just a little taken by surprise.
00:03:31.753,00:03:33.671,Etes-vous Monsieur Loglin?
00:03:33.963,00:03:35.048,"Laughlin, oui."
00:03:35.131,00:03:36.633,"Oh, Laughlin. Pardon."
00:03:54.734,00:03:55.860,Merci.
00:03:57.195,00:03:58.488,They're all there!
00:03:58.571,00:03:59.822,All of them!
00:04:11.542,00:04:14.754,MAN 1: Check for landing marks and taxi trails.
00:04:15.296,00:04:17.590,"Hey, these are Navy PBFs."
00:04:17.757,00:04:20.009,"MAN 2: No, no. They're General Motors."
00:04:20.426,00:04:23.096,MAN 3: No. That makes them PBMs.
00:04:32.146,00:04:33.690,No taxi trails.
00:04:38.486,00:04:42.240,Mr. Lacombe wants the numbers off the engine blocks.
00:04:45.702,00:04:48.663,M-447148.
00:04:48.746,00:04:52.709,W-445529.
00:04:53.418,00:04:56.796,"Number 445529, check."
00:04:57.130,00:05:01.759,Approximately 46 gallons in the right tank.
00:05:01.843,00:05:05.013,"447149, check. Hey, will you please tell me something?"
00:05:05.096,00:05:06.306,What the hell is happening here?
00:05:06.389,00:05:07.932,It's Flight number 19.
00:05:08.016,00:05:09.017,Nineteen what?
00:05:09.100,00:05:13.104,It's that training mission from the naval air station at Fort Lauderdale.
00:05:13.187,00:05:15.773,They were doing target runs on an old hulk.
00:05:16.190,00:05:18.735,Who flies crates like these anymore?
00:05:18.818,00:05:19.944,No one.
00:05:20.028,00:05:23.448,These planes were reported missing in 1945.
00:05:28.745,00:05:30.455,But it looks brand new.
00:05:34.709,00:05:38.963,Where's the pilot? I don't understand.
00:05:40.465,00:05:41.591,Where's the crew?
00:05:41.674,00:05:42.675,Hey!
00:05:46.554,00:05:48.681,How the hell did it get here?
00:06:22.340,00:06:23.633,He says this guy is local.
00:06:23.716,00:06:25.593,He was here last night. He saw it happen.
00:06:49.325,00:06:50.535,Sunburn?
00:07:06.926,00:07:09.428,He says the sun came out last night.
00:07:11.222,00:07:13.057,He says it sang to him.
00:07:39.292,00:07:42.962,"PILOT 1: TWA 471, contact at 134.4."
00:07:43.087,00:07:44.755,"CONTROLLER: 344, was it?"
00:07:50.011,00:07:52.430,"Harry, keep an eye on that point-out I gave you."
00:07:52.513,00:07:54.348,He's on 122.5.
00:07:54.432,00:07:56.184,I'll be right back.
00:07:57.810,00:08:01.439,"PILOT 2: Indianapolis Center, you have any traffic for Air East 31?"
00:08:03.107,00:08:04.734,"Air East 31, negative."
00:08:04.817,00:08:11.616,"The only traffic I have is a TWA L-1011 in your 6:00 position, range, 15 miles."
00:08:12.533,00:08:16.537,"And an Allegheny DC-9 in your 12:00 position, 50 miles."
00:08:16.621,00:08:18.831,"Uh, stand by one, I'll take a look at broadband, over."
00:08:19.874,00:08:23.419,"PILOT: Air East 31 has traffic 2:00, slightly above and descending."
00:08:24.170,00:08:25.630,"Air East 31, roger."
00:08:25.713,00:08:28.591,I have a primary target about that position now.
00:08:29.050,00:08:31.052,I have no known high altitude traffic.
00:08:31.135,00:08:32.637,"Stand by one, I'll check low. Over."
00:08:33.846,00:08:36.349,"Vic, will you check low altitude, and see if they know who it is?"
00:08:36.432,00:08:37.892,"Center, Air East 31."
00:08:37.975,00:08:40.228,The traffic's not lower than us.
00:08:40.311,00:08:43.397,"It's 1:00 now, still above me and descending."
00:08:44.357,00:08:46.901,"Air East 31, can you say aircraft type?"
00:08:47.818,00:08:49.570,"Uh, negative, Center."
00:08:49.654,00:08:51.364,No distinct outline.
00:08:52.657,00:08:55.826,"Uh, to tell you the truth, the target's rather brilliant."
00:08:55.910,00:09:02.083,"It has the brightest anti-collision lights I think I've ever seen, alternating white to red."
00:09:02.583,00:09:04.460,The colors are little striking.
00:09:04.544,00:09:07.255,"PILOT: Center, this is TWA 517."
00:09:08.005,00:09:11.300,Traffic now looks like extra-bright landing lights.
00:09:11.384,00:09:14.262,I thought Air East had its landing lights on.
00:09:16.013,00:09:16.973,It could be a satellite.
00:09:17.056,00:09:22.103,"Air East 31, I have a primary target now in your 10:00 position, five miles, over."
00:09:22.186,00:09:23.938,"Affirmative, 31. I've never seen anything like that."
00:09:24.855,00:09:26.399,The traffic is proceeding northeast bound.
00:09:26.482,00:09:27.817,No altitude readout.
00:09:28.568,00:09:31.112,"Roger, Center. Doesn't appear he's gonna be a problem now."
00:09:31.195,00:09:34.615,"He's going to descend about 1,500 feet below me."
00:09:34.824,00:09:36.325,Wait a second.
00:09:36.659,00:09:37.827,Stand by one.
00:09:38.411,00:09:40.079,"Okay, Center, Air East 31."
00:09:41.664,00:09:43.583,He's heading right for my windshield.
00:09:43.666,00:09:46.752,"We're turning right immediately, and leaving flight level 350 now."
00:09:46.836,00:09:49.130,"Air East 31, descend and maintain flight level 310."
00:09:49.213,00:09:51.257,"Break Allegheny 444, turn right 30 degrees..."
00:09:51.340,00:09:53.426,Get on the horn to the 45th recon wing.
00:09:53.509,00:09:55.803,See what the hell they could be testing up there.
00:09:56.012,00:09:57.221,This is Indianapolis Center.
00:09:57.305,00:10:00.224,Do you have any test operations in restricted area 2508?
00:10:00.308,00:10:01.642,"PILOT: Air East 31, roger."
00:10:02.184,00:10:06.397,The traffic here is quite luminous and is exhibiting some nonballistic motion. Over.
00:10:06.606,00:10:07.607,"Roger, Air East 31."
00:10:07.690,00:10:09.358,Continue descent at your discretion. Over.
00:10:09.442,00:10:10.443,"Okay, Center."
00:10:10.526,00:10:12.612,Descent at pilot's discretion is approved.
00:10:12.695,00:10:15.740,"The traffic is approaching head-on, ultra-bright and really moving."
00:10:18.075,00:10:19.702,"Now, that was really close!"
00:10:19.785,00:10:22.747,Air East 31 is out at 340...
00:10:22.830,00:10:25.124,Ask him if they want to report officially.
00:10:25.207,00:10:28.544,"TWA 517, do you want to report a UFO? Over."
00:10:33.466,00:10:36.886,"TWA 517, do you want to report a UFO? Over."
00:10:39.013,00:10:41.932,Negative. We don't want to report.
00:10:42.558,00:10:45.269,"Air East 31, do you wish to report a UFO? Over."
00:10:47.605,00:10:50.483,Negative. We don't want to report one of those either.
00:10:50.733,00:10:55.154,"Air East 31, do you wish to file a report of any kind? Over."
00:10:55.237,00:10:57.740,"I wouldn't know what kind of report to file, Center."
00:10:58.407,00:11:00.826,"Air East 31, me neither."
00:11:00.910,00:11:03.245,I'll try to track traffic to destination. Over.
00:12:05.891,00:12:08.436,"Okay. Now, let's look around for a square."
00:12:09.019,00:12:10.938,Is the door shaped like a square?
00:12:11.397,00:12:13.441,No. It's shaped like a rectangle.
00:12:13.649,00:12:16.485,It has two long sides and two short sides.
00:12:27.413,00:12:28.789,Look all around.
00:13:39.443,00:13:40.444,What?
00:13:50.246,00:13:51.413,Barry?
00:14:02.758,00:14:03.926,Honey?
00:14:19.692,00:14:20.860,Barry!
00:14:23.529,00:14:24.572,Barry!
00:14:26.448,00:14:27.616,Barry!
00:15:07.990,00:15:09.575,"All right, everybody to bed."
00:15:09.658,00:15:10.868,TOBY: No way! To bed.
00:15:10.951,00:15:12.745,TOBY: Dad said we could finish watching The Ten Commandments!
00:15:14.788,00:15:16.916,"Roy, that movie is four hours long."
00:15:17.791,00:15:19.710,I told them they'd watch only five minutes.
00:15:19.793,00:15:21.295,Hello.
00:15:21.378,00:15:22.671,"Hi, Earl."
00:15:23.672,00:15:24.965,What?
00:15:25.382,00:15:28.218,"Oh, I know. Roy can't drive at night without me."
00:15:29.595,00:15:31.597,"Wait. Wait. Wait. Wait, I can't, uh..."
00:15:31.680,00:15:33.015,"Hey, honey?"
00:15:33.474,00:15:35.017,Jiminy Cricket.
00:15:35.184,00:15:37.061,It's Earl on the phone.
00:15:40.105,00:15:41.607,Just a second.
00:15:42.232,00:15:43.484,Hello.
00:15:43.567,00:15:45.444,"Neary, listen to me now."
00:15:45.527,00:15:47.321,Get over to the Gilmore Substation.
00:15:47.404,00:15:49.698,We've lost the power up and down the line.
00:15:49.865,00:15:51.700,There is a drain on the primary voltage.
00:15:53.285,00:15:54.787,at the Kennedy Substation.
00:16:03.379,00:16:04.421,"MAN: Hey, lights."
00:16:06.382,00:16:07.800,"MAN: Hey, lights. Hey. MAN 2: Oh, God."
00:16:35.077,00:16:36.996,Coxford. Crystal Lake is dark.
00:16:37.621,00:16:38.747,MAN: The system's failing.
00:16:38.831,00:16:40.165,I understand the system's failing.
00:16:40.249,00:16:41.250,What do you want me to do about it?
00:16:41.333,00:16:43.377,Let it all fail. Let it all fail.
00:16:43.460,00:16:45.004,We'll pick up the pieces later after it's gone.
00:16:45.087,00:16:46.922,"Listen, let's do things my way, all right?"
00:16:47.006,00:16:49.008,I got reports of vandalism on the line.
00:16:49.091,00:16:51.176,I got 890-megawatt lines down all over.
00:16:51.260,00:16:52.720,MAN 2: Crystal Lake is dark.
00:16:52.803,00:16:54.346,Tolono is completely gone.
00:16:54.430,00:16:56.724,"It doesn't matter. It's down, it's down! All but finished."
00:17:00.352,00:17:02.646,What's the normal tension for that area?
00:17:02.730,00:17:06.942,"If there's no wind, normal tension for the sag is 15,000 pounds per wire."
00:17:07.317,00:17:09.820,I was a journeyman in that area few years back.
00:17:10.946,00:17:12.406,"Good, an expert."
00:17:14.950,00:17:16.201,How would you like the job?
00:17:16.869,00:17:19.163,You're kidding! Where's his seniority?
00:17:19.246,00:17:21.415,"Well, it's not up to me. Where is the supervisor?"
00:17:21.498,00:17:25.294,"Supervisor is stuck in an elevator, trying to run the show from one of them little bitty trouble phones."
00:17:25.377,00:17:27.671,"But I am in charge here right now, and you're going to Crystal Lake."
00:17:27.755,00:17:30.049,"I am? Now, I can help, but everybody is everywhere."
00:17:30.132,00:17:32.718,"Now, if you have any questions, you ask to get on the horn to me, direct."
00:17:32.801,00:17:34.094,MAN: Got a fresh impedance coming up.
00:17:34.803,00:17:36.847,"It's not an overload, it's a drain."
00:17:37.389,00:17:39.641,Lines M-Mary-10 through M-Mary-15.
00:17:39.725,00:17:41.435,And Municipal Lighting is asking to be cut free.
00:17:41.518,00:17:42.728,"Neary, you know where that is?"
00:17:42.895,00:17:44.813,Okay. Grab a splicing crew and high wire act.
00:17:44.897,00:17:47.274,"And, Neary, don't get creative out there, just productive."
00:17:47.357,00:17:50.235,"Remember, he's counting on you, and I'm depending on you."
