start,end,script
00:00:45.713,00:00:51.218,Have you ever felt like you were a little bit different?
00:00:51.218,00:00:58.600,"Like you had something unique to offer the world, if you could just get people to see it."
00:00:58.600,00:01:05.399,Then you know exactly how it felt to be me.
00:01:05.399,00:01:06.775,"WOMAN: Go ahead, Flint."
00:01:08.443,00:01:13.699,What is the number one problem facing our community today?
00:01:13.699,00:01:15.283,Untied shoelaces.
00:01:15.283,00:01:20.956,Which is why I've invented a laceless alternative foot covering.
00:01:20.956,00:01:23.333,Spray-On Shoes.
00:01:26.921,00:01:28.047,Voilà.
00:01:28.047,00:01:29.798,They're so nifty.
00:01:29.798,00:01:32.051,"How you gonna get them off, nerd?"
00:01:36.263,00:01:37.472,What a freak.
00:01:37.472,00:01:39.934,"He wants to be smart, but that's lame."
00:01:45.814,00:01:48.567,I wanted to run away that day.
00:01:48.567,00:01:52.947,But you can't run away from your own feet.
00:01:58.702,00:02:01.080,Oh.
00:02:02.497,00:02:05.208,"Not every sardine is meant to swim, son."
00:02:05.208,00:02:08.754,I don't understand fishing metaphors.
00:02:08.754,00:02:09.838,DAD: What did I say?
00:02:09.838,00:02:11.214,MOM: Don't worry.
00:02:12.841,00:02:17.137,"Honey, I think your shoes are wonderful."
00:02:17.137,00:02:19.681,Everyone just thinks I'm a weirdo.
00:02:19.681,00:02:21.100,So?
00:02:21.100,00:02:25.562,People probably thought that these guys were weirdoes too.
00:02:25.562,00:02:27.564,But that never stopped them.
00:02:27.564,00:02:32.444,"I was saving this for your birthday, but here."
00:02:32.444,00:02:35.155,A professional-grade lab coat.
00:02:35.155,00:02:37.157,Just like the real guys wear.
00:02:39.326,00:02:40.828,It fits perfect.
00:02:40.828,00:02:44.039,"The world needs your originality, Flint."
00:02:44.039,00:02:47.793,You just have to grow into it.
00:02:47.793,00:02:51.546,And I know that you're gonna do big things someday.
00:03:15.029,00:03:20.283,From that moment on I was determined to invent something great.
00:03:20.283,00:03:23.162,Remote Control Television.
00:03:24.245,00:03:27.499,And the pitch is in.
00:03:27.499,00:03:29.208,Eventually.
00:03:29.208,00:03:32.587,Hair Un-Balder.
00:03:33.630,00:03:37.134,Flying Car.
00:03:37.134,00:03:38.844,Monkey Thought Translator.
00:03:38.844,00:03:40.804,Hungry. Hungry. Hungry.
00:03:40.804,00:03:44.850,"No, Steve. No, no, no, no, no!"
00:03:40.804,00:03:45.893,"No, please! Leave it-- Ah!"
00:03:45.893,00:03:47.394,Ratbirds.
00:03:47.394,00:03:49.730,"Hey, what's going on, little guy?"
00:03:49.730,00:03:51.231,MAN: Flint Lockwood.
00:03:52.691,00:04:03.535,"FLINT: My dream was to help my hometown, a tiny island hidden under the A in Atlantic, called Swallow Falls."
00:04:03.535,00:04:16.297,We were famous for sardines until the day the Baby Brent Sardine Cannery closed for good right after everyone in the world realized that sardines are super gross.
00:04:16.297,00:04:22.721,"Soon, all of us were stuck eating the sardines that no one else wanted."
00:04:22.721,00:04:29.103,"Poached, fried, boiled, dried, candied and juiced."
00:04:29.103,00:04:32.564,Life became gray and flavorless.
00:04:32.564,00:04:39.196,"But when all seemed lost, I stared at defeat and found hope."
00:05:07.224,00:05:09.810,My name is Flint Lockwood.
00:05:09.810,00:05:18.359,And I was about to invent a machine that turns water into food.
00:05:18.359,00:05:22.781,"Steve, my best friend and trusted colleague."
00:05:22.781,00:05:24.116,COMPUTER VOICE: Steve.
00:05:24.116,00:05:26.994,Can I count on your help?
00:05:29.121,00:05:30.413,Can.
00:05:31.581,00:05:33.292,I knew I could.
00:05:33.292,00:05:36.003,"Button, on."
00:05:36.003,00:05:40.548,"Blueprints, awesome."
00:05:40.548,00:05:42.926,"Radiation matrix, secure."
00:05:42.926,00:05:45.095,"Computer, boot."
00:05:46.263,00:05:48.890,"Coolness enhancement, complete."
00:05:48.890,00:05:50.892,Engage coffee break.
00:05:54.437,00:05:56.190,Networking power grid.
00:06:03.655,00:06:09.119,Beginning conversion of water into food.
00:06:09.119,00:06:11.330,Hydrating protein matrix.
00:06:11.330,00:06:14.457,Calibrating flavor panel.
00:06:14.457,00:06:16.293,Priming chow plopper.
00:06:17.878,00:06:21.089,Uploading cool machine voice.
00:06:21.089,00:06:24.843,COMPUTER VOICE: Cheeseburger.
