start,end,script
00:00:50.968,00:00:55.180,"SO, O.K, YOU'RE PROBABLY GOING, IS THIS, LIKE, A NOXZEMA COMMERCIAL OR WHAT?"
00:00:55.222,00:01:00.060,"BUT SERIOUSLY, I ACTUALLY HAVE A WAY NORMAL LIFE FOR A TEEN-AGE GIRL."
00:01:00.101,00:01:02.396,"I MEAN, I GET UP, I BRUSH MY TEETH."
00:01:02.437,00:01:05.065,AND I PICK OUT MY SCHOOL CLOTHES.
00:01:23.208,00:01:25.084,DADDY'S A LITIGATOR.
00:01:25.126,00:01:27.588,THOSE ARE THE SCARIEST KINDS OF LAWYERS.
00:01:27.629,00:01:30.591,"EVEN LUCY, OUR MAID, IS TERRIFIED OF HIM."
00:01:30.632,00:01:34.302,"AND DADDY IS SO GOOD, HE GETS $500 AN HOUR TO FIGHT WITH PEOPLE."
00:01:34.344,00:01:36.095,HE FIGHTS WITH ME FOR FREE.
00:01:36.137,00:01:37.598,DADDY!
00:01:37.639,00:01:39.474,"CHER, PLEASE DON'T START WITH THE JUICE AGAIN."
00:01:39.516,00:01:40.809,"DADDY, YOU NEED YOUR VITAMIN C."
00:01:40.851,00:01:42.603,WHERE'S MY BRIEFCASE?
00:01:42.644,00:01:45.606,IT'S BEEN A COUPLE MONTHS NOW.
00:01:45.647,00:01:48.609,DON'T TELL ME THOSE LOWLIFES HAVE BEEN CALLING AGAIN.
00:01:48.650,00:01:50.110,THEY ARE YOUR PARENTS.
00:01:50.151,00:01:52.112,DON'T SNEAK OUT OF THE OFFICE.
00:01:52.153,00:01:54.114,DR. LOVETT'S GIVING YOU A FLU SHOT.
00:01:54.155,00:01:55.616,JOSH IS COMING FOR DINNER.
00:01:55.657,00:01:56.700,WHY?
00:01:56.742,00:01:58.201,HE'S YOUR STEPBROTHER!
00:01:58.243,00:02:00.537,YOU WERE HARDLY MARRIED TO HIS MOTHER.
00:02:00.579,00:02:02.706,WHY DO I HAVE TO SEE JOSH?
00:02:02.748,00:02:05.084,"YOU DIVORCE WIVES, NOT CHILDREN."
00:02:05.125,00:02:07.795,HERE.
00:02:07.836,00:02:10.547,DID I SHOW YOU THE LOQUED OUT JEEP DADDY GOT ME?
00:02:10.589,00:02:14.551,"IT'S GOT FOUR-WHEEL DRIVE, DUAL SIDE AIRBAGS, AND A MONSTER SOUND SYSTEM."
00:02:14.593,00:02:18.263,"I DON'T HAVE A LICENSE YET, BUT I NEED SOMETHING TO LEARN ON."
00:02:20.057,00:02:23.351,BOY! THAT CAME OUT OF NOWHERE!
00:02:23.393,00:02:25.062,HERE'S WHERE DIONNE LIVES.
00:02:25.104,00:02:31.401,SHE'S MY FRIEND BECAUSE WE BOTH KNOW WHAT IT'S LIKE TO HAVE PEOPLE JEALOUS OF US.
00:02:31.443,00:02:35.614,I MUST GIVE HER SNAPS FOR HER COURAGEOUS FASHION EFFORTS.
00:02:35.656,00:02:37.574,"HEY, CHER."
00:02:37.616,00:02:43.330,DIONNE AND I WERE BOTH NAMED AFTER GREAT SINGERS OF THE PAST WHO NOW DO INFOMERCIALS.
00:02:43.371,00:02:45.124,SO?
00:02:45.165,00:02:46.541,BEEN SHOPPING WITH DR. SEUSS?
