start,end,script
02:10:13.431,02:10:15.642,The Richmond Oilers did not win the State Championship...
02:10:19.270,02:10:23.608,"...but they won 5 college scholarships, and 6 members of the team went on to college."
02:10:27.528,02:10:31.365,Junior Battle went to San Jose State University on a full scholarship.
02:10:38.665,02:10:43.670,Jason Lyle went to San Diego State University and graduated with a degree in Business Administration.
02:10:47.840,02:10:52.178,Timo Cruz attended Humboldt State University where he became a starting guard.
02:11:00.269,02:11:06.108,Jaron Worm Willis received a scholarship to San Francisco State University where he played point guard for four years.
02:11:11.781,02:11:16.035,Kenyon Stone attended Sacramento State University and received a degree in Communications.
02:11:21.957,02:11:28.297,Damien Carter went on to break the Richmond High School scoring and assist records previously held by his father.
02:11:29.048,02:11:35.054,"Upon graduation, he received a scholarship to the U.S. Military Academy at West Point."
00:01:04.314,00:01:13.991,"Of when it's beef And it's, like, Yeah!"
00:01:17.536,00:01:24.501,"St. Francis High School basketball phenom Ty Crane, who they recruited just last year, is widely held as the next LeBron James."
00:01:24.543,00:01:26.795,We simply know him as The Crane.
00:01:28.213,00:01:29.965,Come on.
00:01:30.007,00:01:46.398,"To tips of our toes Come on, y'all!"
00:01:46.440,00:01:47.942,"Timo, let's go, man, come on."
00:01:47.983,00:01:49.735,"Yeah, whatever."
00:01:49.777,00:02:01.413,To tips of our toes Where you at?
00:02:01.455,00:02:03.624,Little help. Pick him up!
00:02:10.464,00:02:11.506,"-Hey, son."
00:02:11.548,00:02:12.507,"Right here, right here."
00:02:16.887,00:02:18.221,"Good D, baby!"
00:02:18.263,00:02:19.640,"What the hell are you doing, y'all?"
00:02:19.681,00:02:20.766,You took three steps this way.
00:02:20.808,00:02:22.183,"Yo, I put my fist up, man."
00:02:22.225,00:02:24.728,"Yo, homey, look where you're throwing the ball, man."
00:02:24.770,00:02:25.938,Just get your man!
00:02:25.980,00:02:27.564,I knew it. I knew it.
00:02:30.692,00:02:31.735,Yeah!
00:02:32.903,00:02:34.780,St. Francis is up by 22.
00:02:44.999,00:02:46.834,"Stay out of my way, bitch."
00:02:46.875,00:02:48.335,"Oh, hell no! Bitch!"
00:02:49.544,00:02:50.671,Let's go!
00:02:52.089,00:02:53.590,"Oh, no. Come on, guys, stop that!"
00:02:57.218,00:02:58.261,Hey! Hey!
00:03:00.639,00:03:01.807,I'm good. Get off me!
00:03:02.808,00:03:04.018,"Get off me, get off me!"
00:03:05.144,00:03:06.520,Game's over!
00:03:07.771,00:03:08.981,Game's over!
00:03:09.023,00:03:10.732,Crane. Crane.
00:03:10.774,00:03:14.069,Tell everyone out there what it feels like to be the next LeBron James.
00:03:14.695,00:03:16.905,LeBron James?
00:03:16.947,00:03:18.323,I'm the only Ty Crane.
00:03:20.325,00:03:24.287,"All right, you heard it here first, the only Ty Crane."
00:03:24.329,00:03:26.874,the benchwarmers always got something to say?
00:03:26.915,00:03:28.542,"game, that's why."
00:03:28.583,00:03:30.335,"a good view, huh?"
00:03:30.377,00:03:32.295,Ty Crane outscored our whole team by himself.
00:03:32.337,00:03:33.588,Wonder how that happened.
00:03:33.630,00:03:34.965,We had nothing but 32 points.
00:03:35.007,00:03:36.050,I got 12 of 'em.
00:03:36.091,00:03:37.425,"What did you get, Kenyon?"
00:03:37.467,00:03:39.136,"Just shut up, dog."
00:03:37.467,00:03:40.679,The Crane swooped down on you and delivered a basket of beat-down.
00:03:40.721,00:03:42.430,"-He clowned you, dog."
00:03:42.472,00:03:44.141,He had you on lock the whole game.
00:03:44.183,00:03:47.186,shut your mouth before I close it for good.
00:03:47.227,00:03:48.896,You didn't do shit either the whole game.
00:03:48.937,00:03:50.939,"-What? Homey, I will slap the taste out your mouth!"
00:03:50.981,00:03:52.273,Can we all just get along?
00:03:52.315,00:03:53.441,little ass up!
00:03:53.483,00:03:54.401,You didn't even play!
00:03:54.442,00:03:56.820,"Yo, Shay, pass me the ball, dog!"
00:03:56.862,00:04:00.824,"You got two points in 16 minutes, -that's why coach got rid of your dumb ass."
00:04:00.866,00:04:03.744,"Timo, you was in the game the whole time, you never even touched the rock."
00:04:03.785,00:04:04.828,You didn't do shit.
00:04:04.870,00:04:06.205,Who was you passing the ball to?
00:04:06.246,00:04:07.539,You were playing and didn't do shit!
00:04:14.838,00:04:19.300,"Kenny Ray Carter, Richmond High School all-American, 1972."
00:04:19.342,00:04:20.761,"Good to see you, sir."
00:04:20.802,00:04:23.097,I was really happy to see you in the stands tonight.
00:04:23.138,00:04:26.349,"I have to tell you, sir, I haven't made up my mind yet."
00:04:27.935,00:04:30.979,"As I've told you, it's time for me to step down."
00:04:31.021,00:04:32.773,Last few years have been really tough.
00:04:32.814,00:04:35.234,"Yeah. Well, losing's hard, sir."
00:04:36.526,00:04:39.154,"This isn't about losing games, Kenny."
00:04:40.655,00:04:45.493,"I can't get them to show up for school, for practice."
00:04:45.535,00:04:47.121,-I can't get parents involved.
00:04:47.162,00:04:50.498,And I'm done chasing kids in the streets and pulling 'em into the gym.
00:04:50.540,00:04:52.167,"Yeah, it's a tough job."
00:04:52.209,00:04:53.835,Richmond is a tough little city.
00:04:54.878,00:04:58.173,"When I saw you here tonight, I thought, I got him. He's in."
00:04:58.215,00:05:01.260,"Well, actually, I was here for another reason."
00:05:01.301,00:05:04.138,My son plays for St. Francis.
00:05:04.179,00:05:05.346,He does?
00:05:06.181,00:05:07.474,Which kid was he?
00:05:07.515,00:05:10.018,"Well, you didn't see him."
00:05:10.060,00:05:11.145,He didn't play.
00:05:11.186,00:05:12.479,That's great. Great school.
00:05:13.605,00:05:15.023,"What, you wanna go?"
00:05:15.065,00:05:16.733,-Hey! Hey!
00:05:17.442,00:05:18.610,Hey!
00:05:18.652,00:05:19.903,"Lyle, bring it!"
00:05:21.571,00:05:23.406,You think everybody's scared of you?
00:05:23.448,00:05:24.658,"Cruz, chill, man."
00:05:24.699,00:05:26.868,"Why you gotta be trying to act all hard all the time, man?"
00:05:27.744,00:05:29.163,"God, I'm sick of you, man!"
00:05:32.499,00:05:34.960,that school was rough when I went there.
00:05:35.002,00:05:36.544,It's way beyond that now.
00:05:36.586,00:05:38.964,"Hm. Well, then, just forget about it."
00:05:39.006,00:05:40.715,Don't even discuss it again.
00:05:40.757,00:05:42.884,I can't quite do that.
00:05:42.926,00:05:46.305,Coach officially offered me the job tonight.
00:05:46.345,00:05:49.348,"And when you say offering job, there's usually money involved."
00:05:49.390,00:05:52.519,Yeah. There might be a thousand bucks in it for me.
00:05:52.560,00:05:54.729,For five months of work?
00:05:54.771,00:05:57.565,"Oh, well, you can't say no to that."
00:05:57.607,00:06:00.443,"And the team, it's so bad."
00:06:00.485,00:06:03.197,"Those boys, they're so angry and undisciplined."
00:06:03.238,00:06:05.573,"And besides, you know, you don't have the time."
00:06:05.615,00:06:07.326,You're trying to open up a second store.
00:06:07.366,00:06:09.953,Exactly. I don't have the...
00:06:09.995,00:06:11.872,And you promised to take your girlfriend to Mexico in January.
00:06:11.913,00:06:13.623,And I'm definitely keeping that promise.
00:06:13.665,00:06:19.213,There's no way I'm not going to Mexico and hanging out on the beach with you in your bikini.
00:06:19.254,00:06:20.630,I can't take that job.
00:06:21.756,00:06:23.091,So when do you start?
00:06:28.222,00:06:29.639,You should've spoken to me first.
00:06:29.681,00:06:32.142,It was a personal choice for me.
00:06:32.184,00:06:33.601,"So, what happens to me?"
00:06:33.643,00:06:35.354,You still gonna come to my games?
00:06:35.394,00:06:38.523,"most of your games, Damien."
