start,end,script
00:00:46.088,00:00:58.517,"and the silent fear that, in the years since we saw each other, this war, this awful war, will have changed us both beyond all reckoning."
00:02:22.809,00:02:24.019,That's Mo Oakley's boy.
00:02:25.937,00:02:27.856,"Can't be old enough to fight, can he?"
00:02:35.238,00:02:37.032,"-Good morning. -Morning, son."
00:02:38.283,00:02:40.535,Got some boots and jackets. You want one?
00:02:40.994,00:02:43.246,-Here. You want that? -Thanks.
00:02:47.793,00:02:49.586,'cause they're taking me back to Cold Mountain.
00:02:58.679,00:03:00.555,and wish I could repair them.
00:03:02.557,00:03:06.311,"My awkward nature, the things left unsaid."
00:03:18.073,00:03:20.158,Enough powder here to blow a hole in the sky.
00:03:38.301,00:03:40.554,That old book of yours is in shreds.
00:03:47.519,00:03:52.566,"Hey, Oakley. Don't worry, son. Them Yankee boys keep store hours."
00:03:53.567,00:03:54.609,They ain't open yet.
00:04:05.245,00:04:06.246,Close it up.
00:04:30.312,00:04:31.563,That's my rabbit!
00:04:34.357,00:04:38.069,Get your paws off my rabbit! Get your paws off my rabbit!
00:04:41.656,00:04:42.657,Oh!
00:05:25.659,00:05:29.788,"I was so shy of how I looked, so out of place."
00:05:30.831,00:05:38.797,"But did you know how happy I was to escape from Charleston, from a world of slaves, and corsets and cotton?"
00:05:55.939,00:05:57.816,"I'm gonna go off, and kill me some Yankees."
00:06:15.000,00:06:17.752,Mr. Swanger! Good morning to you.
00:06:22.674,00:06:24.593,-Miss Monroe. -Good morning.
00:06:26.803,00:06:28.179,-…progress. -Morning.
00:06:28.471,00:06:30.432,"Mrs. Swanger, Mrs. Castlereagh."
00:06:30.515,00:06:32.976,"-Morning, reverend. -Now, if y'all will excuse me."
00:06:33.226,00:06:44.529,"In Charleston, my congregation would still be disputing Cold mountain must feel like the end of the world."
00:06:53.622,00:07:07.302,"Men up here had a bearing on what they thought a woman was, if you was to say a word to one of these fools, I could get my top field cleared."
00:07:08.762,00:07:18.772,"-Anyone? -No, uh… Won't normally say boo to a goose."
00:07:22.317,00:07:24.694,He's been pressin' me since the day you arrived here.
00:07:38.041,00:07:41.419,"Good morning, I'm Ada Monroe."
00:07:42.504,00:07:43.505,Inman.
00:07:44.381,00:07:47.425,-Inman. -WP Inman.
00:07:49.135,00:07:52.847,-WP Inman. -Repeatin' a thing doesn't improve it.
00:07:55.308,00:07:57.811,People call me Inman.
00:08:02.148,00:08:26.381,"If you were to take a glass of cider, Richie, I seen your house."
00:08:26.464,00:08:27.841,There ain't a square angle anywhere near it.
00:08:27.924,00:08:29.050,And what do you do?
00:08:30.343,00:08:31.386,I work wood.
00:08:32.637,00:08:33.638,Hunt.
00:08:35.557,00:08:36.933,Mostly work wood.
00:08:40.395,00:08:41.563,Clear fields?
00:08:46.609,00:08:47.819,I can clear a field.
00:08:50.071,00:08:53.033,Was there something in particular you wished to say to me?
00:08:58.496,00:08:59.748,Not that comes to me.
00:09:07.422,00:09:09.841,I'll say thank you for the cider.
00:11:08.626,00:11:10.879,Whole plan backfired on 'em.
00:11:26.019,00:11:27.520,It's a turkey shoot.
00:11:28.605,00:11:31.024,-What? -It's a turkey shoot.
00:11:31.107,00:11:35.069,They've run themselves into a hole. Hell's busted.
00:13:34.897,00:13:35.898,Oakley!
00:14:42.298,00:14:43.341,I got a few.
00:14:56.938,00:14:58.981,Your folks gonna be real proud of you.
00:15:13.371,00:15:16.833,"Son, this fellow says he'll play whatever you want."
00:15:20.420,00:15:23.381,What about Bonaparte's Retreat? That's one I play.
00:15:32.682,00:15:34.350,Like a girl's waiting for me.
00:15:36.519,00:15:37.520,You heard him.
00:15:38.855,00:15:40.398,I only know a couple of tunes.
00:15:43.901,00:15:48.656,and you're thirsty… and the water's so cool.
00:15:51.492,00:15:53.453,I don't know what music that is.
00:16:19.020,00:16:21.314,I'm reachin' Cold Mountain before you.
00:17:13.991,00:17:17.328,"-Oh, I've been missing it. -Thank you, by the way."
00:17:17.411,00:17:19.872,"Inman's in my top field, clearing his debt."
00:17:20.915,00:17:21.874,"Oh, dear."
00:17:26.837,00:17:29.090,And then he had nothing to say.
00:17:29.590,00:17:30.591,He was happy.
00:17:32.718,00:17:33.719,Really?
00:17:35.471,00:17:37.223,Are men so different in Charleston?
00:17:40.393,00:17:41.394,Men?
00:17:45.356,00:17:48.651,"If you're sayin' you might like him, why not go over and say good mornin'?"
00:17:51.320,00:17:52.780,I should be gettin' along.
00:17:59.579,00:18:00.580,Walk on.
00:18:11.674,00:18:13.718,"Whoa, whoa, whoa, whoa, whoa, whoa."
00:18:51.422,00:18:55.384,"to help me in my ministry, and upon whom I rely."
00:18:57.803,00:19:21.077,"Friends, we are both very happy to have this opportunity tonight to thank you from our hearts for your kind welcome and, most of all, …thank you, and God bless you."
00:19:24.330,00:19:29.960,Our house is always open to any of you at any time.
00:19:33.172,00:19:34.173,Esco?
00:19:38.552,00:19:40.638,"That gentleman, he helped build the chapel?"
00:19:43.641,00:19:46.936,"At one time, the Teague family owned the whole of Cold Mountain."
00:19:47.603,00:19:51.941,"My farm, your farm. It all belonged to his grandpappy."
