start,end,script
00:00:17.351,00:00:20.270,"Tempo, tempo. Let's go."
00:00:20.312,00:00:21.772,"On the ball, on the ball."
00:00:21.814,00:00:23.106,"On the ball, let's go."
00:00:23.148,00:00:24.775,Reset.
00:00:24.817,00:00:26.735,"Let's pick it up this time, boys."
00:00:26.777,00:00:28.320,"they got, Coach?"
00:00:28.362,00:00:29.989,"Wall right, wall right."
00:00:30.030,00:00:31.699,Make sure you pick off the flyer.
00:00:31.740,00:00:33.283,"Here we go, here we go."
00:00:40.916,00:00:43.042,"There you go, get it, get it."
00:00:43.084,00:00:44.169,Think fast! There you go.
00:00:45.754,00:00:47.339,-There you go.
00:00:54.847,00:00:57.725,Someone to help me with maximum protection.
00:00:57.766,00:00:59.685,Someone to help me call the play. Mike did.
00:00:59.727,00:01:02.563,Someone to help me get the team in line.
00:01:02.604,00:01:04.773,"Mike controlled it, Mike ran it."
00:01:04.815,00:01:08.443,"We needed him, we used him, we leaned on him."
00:01:08.485,00:01:11.989,-He was our strength in our offense.
00:01:12.031,00:01:15.784,I know this man.
00:01:17.327,00:01:22.541,"Simply, nothing has ever compared to Mike Webster."
00:01:22.583,00:01:32.009,"Ladies and gentlemen, the greatest center in the history of the National Football League, your inductee into the Hall of Fame, number 52, Iron Mike Webster!"
00:01:40.601,00:01:41.727,Uh...
00:01:42.644,00:01:44.939,I'd like to begin...
00:01:44.980,00:01:51.946,"Um, obviously, I want it to be fun, but I want to be truthful."
00:01:51.987,00:01:59.202,"'Cause the people out there are tremendous fans, uh, locally."
00:01:59.244,00:02:21.725,"But as we, uh, as we go through this, I want you to understand the greatest thing that has happened to me in my experience of professional football is to have the opportunity to work with people with a common goal and with the same purpose, and to sacrifice."
00:02:31.568,00:02:37.116,"I'll say this, it's painful playing football, obviously."
00:02:38.325,00:02:47.167,"And, uh, it's not a lot of fun out there to be in two-a-day drills in the heat of the summer, and, uh, banging heads."
00:02:47.208,00:02:48.585,It's not a natural thing.
00:03:02.474,00:03:06.061,I was scared I'd fail.
00:03:07.646,00:03:09.314,I'm still scared of that.
00:03:40.054,00:03:44.432,And all we have to do is finish the game.
00:03:46.476,00:03:49.229,"If we finish, we win."
00:03:53.274,00:03:54.275,Yeah.
00:04:20.635,00:04:28.602,"after a lengthy trial, a death sentence and two appeals, why we would learn anything new from you."
00:04:29.811,00:04:32.606,"Dr. Omalu, do you have a medical degree?"
00:04:33.774,00:04:37.652,"Uh, yes. From the University of Nigeria."
00:04:38.319,00:04:40.530,"At Enugu, Nigeria."
00:04:41.782,00:04:48.622,And I did my residency at Columbia University Medical School in New York.
00:04:48.663,00:04:54.878,"Um, I also have master's degrees in Public Health and Epidemiology."
00:04:54.920,00:05:03.011,"In addition, I am a certified physician executive, uh, with a specialty in Emergency Medicine."
00:05:03.053,00:05:10.644,"And, of course, I'm board-certified in Forensic Pathology, Clinical Pathology and Anatomic Pathology."
00:05:10.685,00:05:16.150,"Uh, my..."
00:05:16.191,00:05:19.027,-While working as a Medical...
00:05:19.069,00:05:23.490,"Uh, I'm also completing my MBA at Carnegie Mellon University."
00:05:25.575,00:05:33.500,"Oh, uh, and, uh, before I came to America, a master's degree in the Theory of Music from the Royal School of Music in London."
00:05:37.838,00:05:41.800,"Oh, but... Oh, your..."
00:05:41.842,00:05:42.926,Um...
00:05:44.469,00:05:49.308,My specialty is the science of death.
00:05:49.348,00:05:54.395,I think more about why people die than I do the way people live.
00:05:58.025,00:06:00.401,Hands of the deceased.
00:06:00.443,00:06:03.197,Broken and dislodged fingernails.
00:06:03.238,00:06:08.785,The hands of a woman who fought wildly for her life and lost.
00:06:10.745,00:06:13.207,"The hands of the defendant, Thomas Chambers."
00:06:13.248,00:06:15.834,"And that is, in fact, the blood of the victim."
00:06:15.876,00:06:18.628,"Now, doesn't that suggest that the state has the right man?"
00:06:18.670,00:06:25.260,"I thought so, until I heard hour 217 of Mr. Chambers' police interview."
00:06:25.302,00:06:29.556,"I heard him very clearly say, I hate blood."
00:06:29.597,00:06:34.477,I had a tooth pulled as a child once and it would not stop bleeding.
00:06:34.519,00:06:36.604,"-So, I got curious."
00:06:36.646,00:06:40.942,Hands. I could not reconcile these conflicting sets of hands.
00:06:40.984,00:06:42.944,"So, my mind..."
