start,end,script
00:00:13.208,00:00:16.000,It's not about a game. It's about the cost of genius.
00:00:19.750,00:00:23.125,when you have a very specific gift that makes you harder to understand.
00:00:23.208,00:00:26.500,I think she looks to chess as very much an escape.
00:00:28.208,00:00:33.916,"about a child genius working up to a world level, it's actually still more about her demons."
00:00:39.291,00:00:42.250,"That's right, I can still… Can I still move another piece?"
00:00:45.750,00:00:50.916,"Scott sent me the book to read before I met him, and I devoured the book in about an hour."
00:00:51.416,00:00:54.875,"I fell in love with Beth immediately, and there was a really strong kinship."
00:00:59.166,00:01:01.875,and I was fascinated. I'd never read a character like this.
00:01:01.958,00:01:09.125,"Somebody who is so brilliant and so self-destructive, and in a world that she was already kind of not a part of."
00:01:09.208,00:01:11.750,-Are you sure you wanna do this? -I'm sure.
00:01:11.833,00:01:13.541,We don't have a women's section.
00:01:14.541,00:01:17.916,"Back in the 1950s, there were very few females turning to chess."
00:01:18.000,00:01:19.708,They weren't given the opportunities.
00:01:19.791,00:01:25.125,Beth trying to make her way in a male-dominated discipline and world is something that's quite distinctive and unusual.
00:01:25.208,00:01:29.958,"Tevis was writing with an understanding of the next century, almost."
00:01:30.041,00:01:31.166,It's quite brilliant.
00:01:31.250,00:01:32.083,How old are you?
00:01:33.125,00:01:35.625,Never mind. Don't answer that. It'll just depress me.
00:01:37.958,00:01:55.083,"She's so centered in how intelligent she is that she doesn't necessarily think of herself as a woman first, and I do think that there is something to that, because you're experiencing the '60s through her in the way that she just automatically assumes that she is equal."
00:01:55.666,00:01:56.958,Am I good enough now?
00:01:57.583,00:02:02.416,"To tell you the truth of it, child… you're astounding."
00:02:07.333,00:02:12.833,"Almost ten years ago, Bill Horberg had brought up the book to me as something that I might wanna do."
00:02:12.916,00:02:19.708,"We briefly flirted with doing it as a feature, and Allan Scott had written quite a nice script, and nothing ever came of it."
00:02:19.791,00:02:22.500,It was very hard to get a movie like that made at the time.
00:02:23.041,00:02:29.875,"Then, right after I finished Godless, I had this revelation, and I said to him, What about The Queen's Gambit as a miniseries?"
00:02:30.458,00:02:36.375,The overriding interest I've always had is to make it powerfully emotional.
00:02:36.458,00:02:42.458,"And I think when you extend something, you get the time to follow all kinds of paths and all kinds of themes."
