start,end,script
00:30:50.390,00:30:52.267,Ok...
00:30:55.645,00:30:58.023,I did something really bad.
00:31:00.359,00:31:03.945,About four years ago...
00:31:03.987,00:31:07.407,...the internet started to slow down at our house.
00:31:09.034,00:31:12.996,Spoke to a guy I knew at work who said...
00:31:13.038,00:31:14.289,...maybe...
00:31:14.331,00:31:17.334,...my browser's history was full.
00:31:18.543,00:31:19.753,I went home...
00:31:19.795,00:31:21.129,...I...
00:31:21.171,00:31:24.174,...opened up the internet...
00:31:26.510,00:31:29.012,"...Aaron, such unspeakable things..."
00:31:29.054,00:31:30.722,...I saw.
00:31:35.352,00:31:37.396,Pornography...
00:31:37.437,00:31:39.689,...mostly animal...pornography.
00:31:42.526,00:31:44.403,There's only two people...
00:31:44.444,00:31:46.363,...who use that internet.
00:31:46.405,00:31:47.531,Me...
00:31:47.572,00:31:50.742,"...and my wife, Angela."
00:31:50.784,00:31:53.578,"And I was not looking at animal pornography, Aaron."
00:31:56.790,00:31:59.584,I confronted Angela...
00:31:59.626,00:32:02.212,...she flat-out denied it...
00:32:02.254,00:32:04.297,What could I say?
00:32:05.924,00:32:08.635,I knew it was her.
00:32:08.677,00:32:12.931,"This lie drove a wedge between us, and we..."
00:32:12.973,00:32:15.225,...began to drift apart.
00:32:17.561,00:32:20.063,One weekend...
00:32:20.105,00:32:21.440,...I said we should...
00:32:21.481,00:32:23.150,...come up to the cabin.
00:32:23.191,00:32:25.569,Right here.
00:32:25.610,00:32:28.113,"But on Saturday, I was called back to work..."
00:32:28.155,00:32:30.824,...so I left Angela here by herself.
00:32:33.243,00:32:37.622,"The thing is, I wasn't really called back to work..."
00:32:37.664,00:32:40.625,I went down the street...
00:32:40.667,00:32:44.254,...to the 99 cent store.
00:32:44.296,00:32:46.006,There I found...
00:32:46.047,00:32:48.133,...a mask.
00:32:49.384,00:32:51.052,It was a wolf.
00:32:52.804,00:32:57.100,"Three hours later, I came back to the house..."
00:32:57.142,00:33:00.437,...I put the mask on...
00:33:00.479,00:33:02.856,...I broke in through the back window...
00:33:04.274,00:33:07.944,...Angela was asleep...
00:33:07.986,00:33:09.779,...I tied her up...
00:33:09.821,00:33:12.365,...at which point she awoke...
00:33:12.407,00:33:14.117,...at which point...
00:33:14.159,00:33:16.620,...we proceeded to have...
00:33:16.661,00:33:18.205,...ravenous...
00:33:18.246,00:33:20.290,...animalistic...
00:33:20.332,00:33:22.834,...sexual intercourse.
00:33:25.295,00:33:27.339,I'd never seen her so happy.
00:33:29.925,00:33:32.427,"I have to admit, it didn't feel terrible on my end."
00:33:35.639,00:33:41.353,"I escaped through the window and left her there, tied up."
00:33:41.394,00:33:43.855,When I came back the next morning...
00:33:43.897,00:33:46.608,"...as myself, I asked her how her night was."
00:33:49.402,00:33:51.738,She...
00:33:51.780,00:33:54.115,...said it was fine...
00:33:54.157,00:33:56.868,...with a casual smile.
00:34:00.163,00:34:01.706,We never spoke of it.
00:34:04.167,00:34:06.878,We went home....
00:34:06.920,00:34:11.383,...and in the weeks that followed...
00:34:11.424,00:34:13.343,...the internet...
00:34:13.385,00:34:15.845,...got back up to speed.
00:34:20.559,00:34:23.562,"Aaron, I raped my own wife."
00:00:32.073,00:00:40.582,"- All right, We are leaving the flatlands and we are heading up towards the mountain top, which I'll show you right here."
00:00:43.334,00:00:45.795,Way up there.
00:00:45.879,00:00:48.590,I'm not sure who I'm meeting.
00:00:48.673,00:00:50.425,"The ad said $1,000 for the day."
00:00:50.508,00:00:52.844,Filming services.
00:00:52.927,00:00:57.307,"Discretion is appreciated, whatever that means."
00:01:02.353,00:01:25.877,"So, here's a thought: What if this is just some 40-something who's sitting alone in her apartment waiting for some young handsome boy to come up the hill and give rubdowns, money, and whisper sweet nothings?"
00:01:25.960,00:01:27.253,It's just a thought.
00:01:33.134,00:01:34.385,Cute little lake.
00:01:37.388,00:01:39.015,Cute little town.
00:01:54.405,00:02:01.454,This is promising.
00:02:01.538,00:02:03.498,This is it.
00:02:03.581,00:02:04.999,A yellow door.
00:02:36.698,00:02:37.782,Okay.
00:02:44.289,00:02:45.206,Okay.
00:02:45.290,00:02:49.627,"No answer and no voicemail, so that's good."
00:03:05.935,00:03:07.437,Hmm.
00:03:08.855,00:03:11.482,"Okay, so..."
00:03:11.566,00:03:14.694,I think it's smarter if I wait in the car.
00:03:19.407,00:03:29.000,"You know, just-- I don't think this guy's showing up."
00:03:29.083,00:03:31.628,Which is too-- - Hi!
00:03:31.711,00:03:33.254,"Oh, I'm sorry, I didn't mean to scare you."
00:03:33.338,00:03:34.505,"- Oh, it's okay."
00:03:34.589,00:03:36.007,- I'm assuming you're Aaron?
