start,end,script
00:00:17.375,00:00:20.083,They never called me nigger. They never lynched me.
00:00:20.166,00:00:24.083,They didn't put no dogs on me. They didn't rob me of my nationality.
00:00:53.916,00:01:05.916,"When you take 20 million Black people and make them fight all your wars and pick all your cotton and you never give them any real recompense, sooner or later their allegiance towards you is going to wear thin."
00:01:13.541,00:01:15.541,America has declared war on Black people.
00:01:26.291,00:01:35.416,"between what's happening in Vietnam and here, we may very well face a period of full-blown fascism very soon."
00:01:54.916,00:01:58.166,the nomination of my party for another term as your president.
00:02:12.708,00:02:15.625,I shall resign the presidency effective at noon tomorrow.
00:02:20.083,00:02:32.916,"and we were promised freedom and we didn't get it. In World War II, 850,000 Black men fought, and we were promised freedom, and we didn't get it. Now here we go with the damn Vietnam War, and we still ain't gettin' nothin' but racist police brutality, et cetera."
00:02:56.583,00:03:00.166,God damn! Whoo!
00:03:03.875,00:03:06.875,"-What's going on, man? -How you doing? How you doing, man?"
00:03:06.958,00:03:09.291,"Oh, my goodness. So good to see you."
00:03:09.375,00:03:11.833,"-You, too, Blood! Hey, man. -Look at you!"
00:03:11.916,00:03:15.125,"God damn, Eddie, you still pigeon-toed? You didn't get that shit fixed?"
00:03:15.208,00:03:18.541,"Well, I decided not to. Why, brother? The women love it."
00:03:19.041,00:03:25.833,"Besides, did you know that Jackie Robinson, John Elway, Agassi, Messi, Neymar, Mookie and MJ are all pigeon-toed?"
00:03:28.791,00:03:31.625,"-Let me see if I can remember this. -Come on, you got it."
00:03:32.750,00:03:35.666,"-Okay, all right. Here we go. -Give me some of that black shit."
00:03:39.333,00:03:40.750,-Get in here. -Oh!
00:03:40.833,00:03:43.375,-Finally. Finally. -Oh!
00:03:43.458,00:03:44.708,"-Yeah, man. -Look at you."
00:03:44.791,00:03:47.125,-How you doing? -I'm all right. I'm all right.
00:03:47.208,00:03:48.916,-Bring it here! -There he is.
00:03:49.666,00:03:50.833,How we feelin'?
00:03:54.041,00:03:56.583,-Hold on. -Finally. Finally.
00:03:56.666,00:03:58.208,"Now, look at you."
00:03:58.791,00:04:01.958,-It sure is good to see y'all. -Ain't this some shit?
00:04:02.041,00:04:05.250,"I'm tellin', it's a stone cold trip being back here in country."
00:04:05.333,00:04:09.208,"Baby, we got off that plane, that heat hit me upside the head, ski-bop!"
00:04:09.291,00:04:10.541,Just like in '68.
00:04:10.625,00:04:14.625,"-Yeah, brother man, we are back. -The Bloods is back."
00:04:14.708,00:04:18.666,"-5 Bloods don't die, we just multiply! -Yeah, yeah!"
00:04:18.750,00:04:20.250,Soon to be five.
00:04:22.708,00:04:23.583,-Amen. -Amen.
00:04:28.208,00:04:31.041,"Hey, uh, look what I found."
00:04:36.291,00:04:37.875,Brother man in all his glory.
00:04:37.958,00:04:39.541,"-Amen. -Let me see it, man."
00:04:42.208,00:04:43.708,Mmm-mmm-mmm.
00:04:46.458,00:04:50.375,Can you please make sure that all four rooms are on my card?
00:04:50.458,00:04:52.250,"No, no, thank you. I'm good. I'm good."
00:04:54.416,00:04:58.125,-I ain't your welfare charity case. -Ain't nobody saying no shit like that.
00:04:58.208,00:05:04.916,"Everybody know your Black ass and that big black Amex card, the biggest fucking car dealership in the world, right?"
00:05:05.000,00:05:06.750,"Keep your money, man."
00:05:06.833,00:05:08.416,I see your head still hard as hell.
00:05:08.500,00:05:10.083,Just like my Swanson Johnson.
00:05:11.125,00:05:13.416,"Man, you crazy as hell, bruh."
00:05:34.833,00:05:35.666,Hey!
00:06:18.416,00:06:21.125,"Hey, y'all know I got an 18-year-old son?"
00:06:21.208,00:06:22.250,"What, he's 18 now?"
00:06:22.333,00:06:23.541,"Yeah, check this out."
00:06:24.500,00:06:26.500,"-Huh? -Look at that handsome dude, man."
00:06:26.583,00:06:27.541,Yeah.
00:06:30.791,00:06:33.708,I got thug-ass hardheads moving into my hood.
00:06:33.791,00:06:35.583,Now Cissy wants to move out.
00:06:35.666,00:06:37.500,You got a piece for protection?
00:06:37.583,00:06:41.250,"Yeah, I got a piece for protection. Got a side piece."
00:06:41.333,00:06:44.083,I got Smith on one side and Wesson on the other.
00:06:50.458,00:06:53.541,"-Money, please. -No. You gotta go. You gotta go, son."
00:06:53.625,00:06:54.833,-I'm good. -Man.
00:06:55.416,00:06:58.666,"-GI, GI. -They don't have no age limit -on a bar in Vietnam, then? -GI, GI."
00:06:58.750,00:07:01.458,"No, no, you gotta... Come on, get him the fuck out of here."
00:07:04.541,00:07:07.166,"Money, money. GI."
00:07:07.666,00:07:09.583,"-There you go, all right. -Twenty bucks."
00:07:09.666,00:07:10.500,Go.
00:07:10.583,00:07:13.375,Now he got more in his damn cup than I got in my wallet.
00:07:16.458,00:07:17.458,It's a damn shame.
00:07:21.166,00:07:22.333,"On the real, man."
00:07:24.958,00:07:27.333,"We got back from Nam, we didn't get nothing but a hard damn time."
00:07:27.416,00:07:29.500,-Folks called us baby killers. -Yeah.
00:07:29.583,00:07:31.458,"See, I bought into all that bullshit."
00:07:31.541,00:07:33.666,"How did your life change? Yeah, right."
00:07:34.875,00:07:38.625,Time we got these free-loading immigrants off our backs and build that wall.
00:07:39.625,00:07:42.375,"Negroes better wake the fuck up with the quickness, man."
00:07:42.458,00:07:48.750,"-No, no, no, no, no! -I'm just saying. I'm-- Don't tell me that you voted for President Fake Bone Spurs."
00:07:48.833,00:07:51.166,"-Yeah, I voted for him. -Get the fuck out of here."
00:07:52.916,00:07:54.583,-I thought that was you. -Impeach him.
00:07:54.666,00:07:59.166,That grinnin'-ass Negro on the front row. Ta-ta-ta-da!
00:07:59.250,00:08:02.916,Right there behind Trump at that rally. Ha! Ha! It's me! It's me!
00:08:04.791,00:08:06.541,"Blacks for Trump, you watch."
00:08:07.291,00:08:11.250,"You watch. Those signs are great, thank you."
00:08:12.041,00:08:13.125,Fake news.
00:08:13.208,00:08:15.583,Uh-huh. See? That's what they all go to.
00:08:15.666,00:08:17.041,-Fake news. -Always go to that one.
00:08:17.125,00:08:19.166,"-Yeah. -I'm tired of not getting mine, man."
00:08:19.250,00:08:21.083,I feel you. I feel you.
00:08:21.875,00:08:25.958,"Been fucked my whole goddamn life, bruh. Goin' for me!"
00:08:26.041,00:08:27.416,Shit. For real.
00:08:27.875,00:08:32.708,"-Huh. -I mean, back in the day, -being a brother meant something. -Yeah, man."
00:08:32.791,00:08:34.125,We fought against the man.
00:08:34.208,00:08:35.875,-We loved one another. -Amen.
00:08:35.958,00:08:39.166,We became ace boon coon blood brothers out there in that damn jungle.
00:08:39.250,00:08:40.083,-Preach on it. -Yeah.
00:08:40.166,00:08:42.208,-Stormin' Norm demanded it. -He did.
00:08:42.291,00:08:43.500,"-Sure did. -All right, come on."
00:08:43.583,00:08:45.333,-Yeah. -Here we go. Boom!
00:08:53.125,00:08:55.041,-Otis. -Vinh.
00:08:55.625,00:08:59.041,"-This is our guide, Vinh. -Hey, I'm Eddie."
00:08:59.625,00:09:02.250,"-Vinh. -I'm Melvin, man."
00:09:02.333,00:09:03.666,-Nice to meet you. -How you doing?
00:09:05.166,00:09:06.166,-Good to meet you. -Yeah.
00:09:06.250,00:09:09.375,"Gentlemen, welcome back to Vietnam."
00:09:14.625,00:09:17.708,I have itinerary for you. That's for you.
00:09:19.625,00:09:21.458,-For you. Thank you. -Pull up a seat.
00:09:23.583,00:09:28.458,I still think hiking into the jungle without me as your guide is a big mistake.
00:09:28.875,00:09:31.375,"-We know that jungle, man. -Yes, we sure do."
00:09:39.166,00:09:43.250,From the Pentagon... and from the Vietnamese government.
00:09:44.500,00:09:49.958,"When we locate Norman's remains, the DPAA is gonna send in a recovery team to bring him back home."
00:09:50.041,00:09:51.875,Arlington National Cemetery.
00:09:53.875,00:09:57.583,"Hey, man, what the... what the fuck are they staring at, man?"
00:09:57.666,00:09:58.583,Who?
00:09:58.666,00:10:00.458,Those two right there.
00:10:01.541,00:10:05.750,"Shit. Those two over there, they've been staring at us for the last ten minutes."
00:10:10.750,00:10:11.833,Staring at all of us.
00:10:12.416,00:10:14.666,Those gentlemen just buy you this drink.
00:10:14.750,00:10:18.666,They are former Viet Cong and wanna welcome you all back to their country.
00:10:18.750,00:10:19.583,Yeah?
00:10:23.666,00:10:25.541,And my father's younger brother.
00:10:30.458,00:10:32.833,Nguyen does tours for North Vietnamese tourists.
00:10:35.208,00:10:39.166,The American War turned Vietnamese family against Vietnamese family.
00:10:42.916,00:10:44.916,"-Paul. -Hey, man."
00:10:45.500,00:10:48.666,"Those could've been the dudes that zapped Norm, that's all I'm saying."
00:10:48.750,00:10:54.500,Will you raise your goddamn glass? The American War is over. Come on.
00:10:56.416,00:10:57.291,"Come on, man."
00:11:14.583,00:11:17.083,"-Feelin' the love. -Oh, man. Look at him."
00:11:17.166,00:11:18.416,-I tell ya. -I know.
00:11:53.791,00:11:56.666,Now I know why this mission was so damn important.
00:11:57.750,00:11:59.833,It's about what this war is all about.
00:12:01.083,00:12:02.250,There it is.
00:14:32.708,00:14:33.541,Reloading.
00:14:46.500,00:14:47.958,-Reload! -Reloading.
00:14:59.833,00:15:01.000,Move out! Move out!
00:15:15.416,00:15:16.708,Fuck! Jammed!
00:15:23.083,00:15:24.333,"Move, move, move!"
00:15:38.333,00:15:39.250,Go!
00:15:42.333,00:15:44.166,Man down! Man down!
00:16:13.875,00:16:15.291,"Team one, take security!"
00:16:19.375,00:16:20.583,Set security!
00:16:31.041,00:16:32.541,"Hey, Paul, come inside!"
00:16:38.916,00:16:39.750,Clear!
00:16:45.041,00:16:46.041,Bloods!
00:17:03.291,00:17:05.291,All right. Let's see what we got here.
00:17:14.458,00:17:15.708,You know what this means?
00:17:16.500,00:17:18.000,We gold standard.
00:17:19.750,00:17:20.958,We gold standard.
00:17:23.291,00:17:26.791,I've run many tours for GIs from the American War.
00:17:28.833,00:17:31.500,Glad you can now see our country in a different light.
00:17:33.375,00:17:37.500,Wow! Will you look at this?
00:17:40.208,00:17:46.958,"They didn't need us. They should've just sent Mickey D's, Pizza Hut and The Colonel, and we would have defeated the V.C. in one week."
00:17:50.000,00:17:51.333,"Paul, when did you serve?"
00:17:52.458,00:17:58.458,"I did three tours, man. '67 to '71. 1st Infantry."
00:17:59.166,00:18:01.916,Were you involved in Operation Junction City?
00:18:02.000,00:18:04.166,"-We were there. We were all there. -Oh, yeah."
00:18:04.250,00:18:05.083,Yeah.
00:18:05.875,00:18:07.166,"My father was there, too."
00:18:07.875,00:18:10.833,"-Yeah? -25th Infantry, ARVN."
00:18:12.041,00:18:13.750,He fought to the very last man.
00:18:14.250,00:18:16.916,"My brother, give it to me. Give it to me."
00:18:18.916,00:18:21.625,My family was here in Saigon when it fell.
00:18:21.708,00:18:25.666,My dad spent 18 months in a communist re-education camp.
00:18:25.750,00:18:26.583,Wow.
00:18:27.166,00:18:28.833,Many other were not so lucky.
00:18:30.666,00:18:33.708,"Hey, y'all remember those fugazi Rambo movies?"
00:18:33.791,00:18:34.916,-Sly. -Yeah.
00:18:35.000,00:18:36.583,"I like them shits, man."
00:18:36.666,00:18:38.541,"You gotta be fucking kidding me, man."
00:18:38.625,00:18:42.458,"Him and that... that dude, uh, Walker, Texas Ranger."
00:18:42.541,00:18:44.250,-I ain't saying nothing about him. -Man!
00:18:44.333,00:18:47.916,Out there trying to save some imaginary POWs.
00:18:48.000,00:18:51.875,All them Holly-weird motherfuckers trying to go back and win the Vietnam War.
