start,end,script
00:03:32.170,00:03:33.588,Marianne!
00:03:33.671,00:03:35.131,"Marianne, come on!"
00:03:35.215,00:03:37.091,-We got to go right now! -We can't leave!
00:03:37.175,00:03:40.845,"-Honey, we got to go right this second. -We can't leave! Not yet."
00:03:40.929,00:03:42.847,"Look at these readings, honey! Let's stick around."
00:03:42.931,00:03:44.182,"Forget the readings, Marianne!"
00:03:44.265,00:03:45.892,"Juan, Chico, get what you can, as quick as you can."
00:04:48.246,00:04:50.248,We're going to get out. Don't worry.
00:05:00.550,00:05:01.801,Marianne?
00:05:05.930,00:05:07.682,"Oh, no!"
00:05:28.453,00:05:30.163,"Come on, Harry. I know you're there."
00:05:30.246,00:05:32.707,We're picking up something in the Northern Cascades.
00:05:32.790,00:05:34.500,I need your opinion on it.
00:05:35.877,00:05:39.130,"Listen, get down here as soon as you get this message."
00:05:39.213,00:05:44.010,"You better pack for a couple of days. Harry, are you sure you're not there?"
00:06:05.490,00:06:09.202,Paul called. There's something going on in the Northern Cascades.
00:06:09.285,00:06:11.454,"You can't leave work alone, can you?"
00:06:11.537,00:06:13.956,"Harry, going on vacation isn't going to kill you."
00:06:19.754,00:06:22.924,"Good morning. So, what's going on in the Cascades?"
00:06:23.007,00:06:28.554,"I am sorry I had to drag you in like this, but we are picking up some activity around Dante's Peak."
00:06:29.138,00:06:31.808,"This is a joke, right? Dante's Peak?"
00:06:34.644,00:06:37.480,What do you think the odds are against an eruption up there?
00:06:37.563,00:06:38.648,A thousand to one?
00:06:38.731,00:06:41.734,"More like 10,000 to 1. What's the depth?"
00:06:41.818,00:06:43.486,Ten to twenty kilometers.
00:07:41.210,00:07:43.880,You're number seven. It's on the corner there.
00:07:45.214,00:07:47.300,Any idea where I might find Mayor Wando?
00:07:47.383,00:07:50.636,"She should be right around the corner, accepting some award."
00:07:50.720,00:07:52.680,Dante's Peak was just named the best...
00:07:52.763,00:07:55.266,"Well, second-best place to live in the United States."
00:07:55.349,00:07:58.478,"-Population: under 20,000. -Good for you. What was number one?"
00:07:58.561,00:08:02.523,I don't know. Some piece of crap town out in Montana. Who cares?
00:08:08.988,00:08:11.532,from Money magazine for this wonderful award.
00:08:12.575,00:08:13.868,What is it?
00:08:13.951,00:08:16.704,"Lauren, is it Karen or Kathy?"
00:08:16.787,00:08:20.708,"It's Karen, Mom. For the tenth time. Karen."
00:08:20.791,00:08:22.043,And you're gonna be late.
00:08:22.126,00:08:24.670,-Have you seen my good jacket? -You don't have a good jacket.
00:08:24.754,00:08:28.424,"-Honey, the blue one? -Oh, that one. It's in the kitchen."
00:08:28.508,00:08:31.469,"Okay. Graham, it's time to go."
00:08:32.345,00:08:34.764,-Where is your brother? -He said he'll meet us there.
00:08:35.515,00:08:38.017,-There's your jacket. -Okay.
00:08:55.076,00:08:56.202,I gotta say something.
00:08:56.285,00:09:00.164,"Folks, we're real sorry for the delay. We're gonna get started in one moment."
00:09:16.389,00:09:17.890,"-Hey, Bill. -Hey, Rachel."
00:09:20.560,00:09:24.480,"I'd like to introduce the mayor of Dante's Peak, Rachel Wando."
00:09:26.524,00:09:27.567,It's about time.
00:09:34.615,00:09:39.370,"To kick off the festivities, I would like to introduce Karen Narlington of Money magazine."
00:09:45.084,00:09:50.756,"Mayor Wando, it gives me great pleasure to present to you a Money magazine award."
00:09:51.257,00:09:55.928,"Dante's Peak, the second most desirable place to live in the United States."
00:09:56.012,00:09:57.638,"Population: under 20,000."
