start,end,script
00:00:44.837,00:00:47.798,"YOU, ME, GARY, BRAD."
00:00:44.837,00:00:51.176,"WE'LL BE TEEING OFF AT-- - WELL, I LIKE GARY."
00:00:47.798,00:00:57.349,"- DR. DANDAWAR, I'M IN A BIT OF A HURR-- WE'LL BE TEEING OFF AT 7:30 AND IF YOU'RE NOT THERE BECAUSE OF GARY, WELL, COME ON, YOU KNOW? I'VE GOT TO GO."
00:00:57.349,00:00:59.434,AM I MISSING SOMETHING?
00:00:59.434,00:01:02.354,WHY DID DR. CHO ORDER A HEAD X-RAY WHEN THE MAN WAS BITTEN ON THE HAND?
00:01:02.354,00:01:04.565,THE PATIENT WAS IN A BAR FIGHT.
00:01:04.565,00:01:08.235,HE WAS COMMUNICATIVE WHEN HE WAS ADMITTED AT 6:00.
00:01:04.565,00:01:10.237,THAT'S 6:00 A.M.-- THIS MORNING.
00:01:10.237,00:01:12.322,WHERE'S THE PATIENT NOW?
00:01:12.322,00:01:14.533,THEY MOVED HIM.
00:01:12.322,00:01:18.078,ONE OF THE NIGHT NURSES CAN TELL YOU-- - PAGE ME WHEN YOU FIND HIM.
00:01:18.078,00:01:20.497,I'LL DO THAT.
00:01:20.497,00:01:22.917,- Woman on P.A.: SECURITY TO ADMITTING.
00:01:22.917,00:01:26.127,- CAN YOU DO ME A FAVOR AND LOCATE A PATIENT FOR ME?
00:01:26.127,00:01:29.006,- EDWARD SOLOMON?
00:01:30.257,00:01:34.177,- AREN'T YOU OFF?
00:01:35.554,00:01:37.222,HERE HE IS.
00:01:37.222,00:01:39.266,SOLOMON EDWARD-- HE'S UPSTAIRS IN ICU.
00:01:39.266,00:01:42.227,- FROM A BITE?
00:01:42.227,00:01:45.313,TOXICOLOGY IS GOING TO WORK HIM UP IN THE MORNING.
00:01:45.313,00:01:46.899,I'M GONNA GET OUT OF HERE.
00:01:46.899,00:01:48.776,- PAGE DR. DANDAWAR AND LET HIM KNOW.
00:01:48.776,00:01:52.071,- THANKS.
00:01:52.071,00:01:54.155,- I WILL.
00:02:11.924,00:02:14.593,- HEY.
00:02:14.593,00:02:18.973,- LET'S GO.
00:02:18.973,00:02:21.475,"LET'S GO, LET'S GO!"
00:02:28.065,00:02:50.295,"Radio: UNCONFIRMED REPORTS-- ...NOT AN ISOLATED-- HEY, VIVIAN."
00:02:50.295,00:02:54.049,"- ANA, LOOK, I CAN GO BACKWARDS."
00:02:54.049,00:02:57.594,"HEY, THAT'S AMAZING."
00:02:54.049,00:02:59.972,"MAYBE TOMORROW AFTER WORK, I'LL DO A FEW BACKWARDS LAPS AROUND THE BLOCK WITH YOU, OKAY?"
00:02:59.972,00:03:02.891,- OKAY.
00:03:02.891,00:03:05.894,"- SAY HI TO YOUR MOM, OKAY?"
00:03:15.445,00:03:17.156,- ANA: HEY.
00:03:17.156,00:03:20.159,YOU'RE LATE.
00:03:20.159,00:03:22.786,"Ana: NO! RICHIE, THE CHUBBY ONE?"
00:03:22.786,00:03:25.706,OH MY GOD.
00:03:31.670,00:03:33.505,"HEY, YOU."
00:03:38.635,00:03:41.471,- HOW DID IT GO TODAY?
00:03:41.471,00:03:47.644,"GOOD. I'M TRADING SHIFTS WITH CORA, SO IF I TAKE SUNDAY, I CAN HAVE A THREE-DAY WEEKEND AT THE END OF THE MONTH."
00:03:47.644,00:03:50.647,- SUNDAY?
00:03:53.817,00:03:56.862,I THINK CORA'S GOT THIS NEW GUY SHE DOESN'T WANT ME TO KNOW ABOUT.
00:03:56.862,00:03:59.865,REALLY?
00:03:59.865,00:04:04.203,I THOUGHT MAYBE YOU'D GONE OUT WITH WITH THE GIRLS OR SOMETHING.
00:04:04.203,00:04:06.080,"WHAT, MISS DATE NIGHT?"
00:04:19.467,00:04:24.806,"Announcer: 27 HORSEPOWER, TURBOCHARGED, ALL-- Station Announcer: PLEASE STAY TUNED TO THIS SPECIAL NEWS BULLETIN."
00:04:24.806,00:04:29.477,WE WILL RETURN TO OUR REGULARLY SCHEDULED PROGRAMMING IMMEDIATELY FOLLOWING THIS REPORT.
00:05:13.480,00:05:15.482,Luis: VIVIAN'S HERE.
00:05:15.482,00:05:19.153,"VIVIAN, HONEY."
00:05:29.412,00:05:31.999,"OH, GOD! OH, FUCK!"
00:05:31.999,00:05:34.709,- CALL AN AMBULANCE!
00:05:36.128,00:05:37.420,VIV!
00:05:53.770,00:05:56.773,"LUIS, LUIS, LUIS!"
00:05:56.773,00:06:00.235,"LET GO, LET GO, LET GO!"
00:06:01.569,00:06:04.447,I CAN'T GET IT!
00:06:04.447,00:06:06.365,"HOLD IT, HOLD IT!"
00:06:10.411,00:06:13.123,"LET GO, LET GO, LET GO!"
00:06:13.123,00:06:15.250,LET ME CALL FOR HELP!
00:06:21.298,00:06:30.765,"- Recording: ALL CIRCUITS ARE BUSY-- - OH, GOD, NO. NO, NO-- - ALL CIRCUITS ARE BUSY..."
00:06:30.765,00:06:33.852,DON'T DO THIS TO ME!
00:06:33.852,00:06:36.479,- 9-1-1...
00:06:36.479,00:06:38.857,ALL CIRCUITS ARE BUSY...
00:06:38.857,00:06:40.608,"LUIS? LUIS, WHAT ARE YOU DOING?"
00:07:37.665,00:07:39.334,LUIS?
00:08:04.525,00:08:06.736,HELP!
00:08:06.736,00:08:10.657,"GET BACK, ANA."
00:08:10.657,00:08:12.617,"JESUS, JUST TELL ME WHAT'S GOING ON?"
00:08:12.617,00:08:15.203,- I TOLD YOU TO GET BACK.
00:08:58.705,00:09:06.338,...EMERGENCY BROADCAST-- ...MILWAUKEE AREA-- ...FOR INFORMATION-- ...MILWAUKEE STATION FOR LOCAL EVACUATION CENTERS.
00:09:06.338,00:09:11.134,IF YOU LIVE IN WAUKESHA COUNTY-- HELP!
00:09:11.134,00:09:13.594,Radio: ...22 ROBIN LANE.
00:09:13.594,00:09:21.228,"IF YOU LIVE IN SOUTHERN MILWAUKEE COUNTY, THERE'S A SHELTER-- ...1353 HENDERSON ROAD."
00:09:21.228,00:09:27.817,"IF THERE IS NO ACTIVITY WHERE YOU LIVE, STAY INSIDE AND LOCK ALL DOORS."
00:09:27.817,00:09:34.866,IF YOU LIVE IN JEFFERSON COUNTY-- THIS IS THE EMERGENCY BROADCAST SYSTEM FOR THE GREATER MILWAUKEE AREA.
00:09:34.866,00:09:39.954,"IF YOU LIVE IN RACINE COUNTY, THERE IS NO INFORMATION AVAILABLE AT THIS TIME."
00:09:39.954,00:09:44.125,PLEASE STAY INSIDE AND LOCK ALL DOORS AND WINDOWS.
00:09:44.125,00:09:48.213,MILLER PARK IS NO LONGER CONSIDERED A SAFE HAVEN.
00:09:48.213,00:09:52.259,PLEASE AVOID THE STADIUM AND PROCEED TO OTHER LOCATIONS.
00:09:52.259,00:09:57.889,"MEANWHILE, CIVIL UNREST IS STILL BEING REPORTED IN THE AREA OF THE RIVERWALK."
00:09:57.889,00:10:05.564,PLEASE AVOID TRAVELING-- THE FOLLOWING LOCATIONS ARE STILL LISTED...
00:10:07.648,00:10:09.776,Radio: ...SAFE HAVEN LIST.
00:10:16.157,00:10:18.743,- YOUR CAR! GIVE ME YOUR CAR!
00:10:48.523,00:10:50.317,Man: I'LL TAKE YOUR QUESTIONS.
00:10:50.317,00:10:53.027,- Reporter: IS IT A VIRUS?
