start,end,script
00:02:11.966,00:02:16.720,"welcome to the Daytona 500, the Super Bowl of motor racing events."
00:02:16.762,00:02:21.266,Walking onto the grid is the two-time Daytona 500 and defending champion Rowdy Burns.
00:02:23.435,00:02:26.772,"And perennial contender from Reading, Pennsylvania, Aldo Bennedetti."
00:02:45.833,00:02:48.085,"ANNOUNCER: Gentlemen, start your engines."
00:03:31.670,00:03:34.255,"Big turn back for number 43, Richard Petty."
00:03:34.297,00:03:36.591,Petty spins to the inside of the track.
00:03:36.633,00:03:37.676,A tough break for Richard Petty.
00:03:39.178,00:03:41.930,Richard Petty is out of the Daytona 500.
00:03:41.972,00:03:52.399,"Speaking of people who are out of the race, perhaps it's time to remember the legendary crew chief, Harry Hogge, whose great driver, Buddy Bretherton, died here last year in a fiery crash, hitting the wall at over 195 miles an hour."
00:03:56.319,00:03:57.487,"So you're enjoying the good life, Harry?"
00:03:57.529,00:03:59.531,Yeah.
00:03:59.573,00:04:02.201,I never minded spreading a little fertilizer around now and then.
00:04:02.242,00:04:03.869,There's worse things.
00:04:03.911,00:04:05.162,How's the truck running?
00:04:05.204,00:04:06.413,Runs good.
00:04:08.415,00:04:11.376,I want you to build me a car.
00:04:17.340,00:04:22.512,"Now, Tim, everybody knows some downtown car dealer can't afford a race team."
00:04:22.554,00:04:25.807,No driver worth a damn is gonna sign with you.
00:04:25.849,00:04:30.104,"'Cause they wreck one car, you can't afford to build them another and they're out of the deal, you know."
00:04:30.145,00:04:32.564,And no car's gonna win without a driver.
00:04:32.606,00:04:34.441,Not even mine.
00:04:34.482,00:04:37.236,"If you built the car, I'd get a damn driver."
00:04:41.698,00:04:45.786,What kind of driver are you going to find after the season's started?
00:04:45.827,00:04:48.288,Some old boy who's washed up and wasn't worth a shit to begin with.
00:04:49.664,00:04:51.583,You can work with him.
00:04:51.625,00:04:53.919,"You can build a driver like you build a car, Harry."
00:04:53.961,00:04:56.088,"Tim, take a look at that hound."
00:04:56.130,00:04:58.381,That's the best coon dog I've ever seen or heard about.
00:04:58.423,00:04:59.466,And I didn't teach him a damn thing.
00:05:00.842,00:05:02.136,"Well, I got somebody."
00:05:03.053,00:05:03.887,Take a look at him.
00:05:05.555,00:05:07.307,"Anybody I gotta take a look at, ain't somebody."
00:05:07.348,00:05:08.349,Then take a look at nobody.
00:05:11.770,00:05:14.189,"Look, Tim, I gave up racing."
00:05:14.231,00:05:15.857,You gotta know that.
00:05:15.899,00:05:18.443,"You didn't give up racing, Harry."
00:05:18.485,00:05:21.696,You quit to avoid an investigation into Buddy's crash at Daytona.
00:05:21.738,00:05:24.324,"Hey, I didn't avoid any goddamn investigation."
00:05:26.493,00:05:31.665,"Anyway, I talked to NASCAR and if you come back in there won't be any investigation."
00:05:31.706,00:05:32.499,How the hell did you sell them on that deal?
00:05:33.708,00:05:34.960,I'm a hell of a salesman.
00:05:40.548,00:05:41.758,"Now, that's a racecar driver."
00:05:45.386,00:05:47.014,When's your driver due?
00:05:51.768,00:05:54.062,Harry tells me your guy runs those Indy type deals.
00:05:54.104,00:05:56.064,Yeah.
00:05:56.106,00:06:01.862,"Two World of Outlaw championships, three all-star wins, seven straight feature wins and he's been driving ASA."
00:06:01.903,00:06:02.821,Hey.
00:06:04.698,00:06:06.325,Got yourself a real statistician there.
00:06:06.365,00:06:07.159,Does he know anything about drivers?
00:06:07.201,00:06:08.367,We'll see.
00:06:15.292,00:06:18.003,"Harry, where'd you say your driver's from?"
00:06:18.045,00:06:19.296,Eagle Rock.
00:06:20.630,00:06:23.382,"It's up around Wilkesboro, isn't it?"
00:06:23.424,00:06:25.260,"No. Glendale, California."
00:06:25.302,00:06:27.262,He's a Yankee?
00:06:27.304,00:06:30.473,Not exactly.
00:06:30.515,00:06:31.683,You're not really anything.
00:06:33.018,00:06:34.228,You said it.
00:06:50.785,00:06:52.537,"The shocks are right, we're dialed in, buddy."
00:06:52.579,00:06:54.081,Don't change a thing.
00:06:57.416,00:07:00.128,"Hey, you ain't buried in horse manure after all."
00:07:00.170,00:07:01.796,Looking pretty good.
00:07:01.838,00:07:03.798,You're the one who's looking good.
00:07:03.840,00:07:09.096,"It hadn't been easy, Harry, I'll guran-damn-tee you, but this bitch is ready to run."
00:07:09.137,00:07:11.932,"I can't tell you how much we all appreciate you letting us use the car, Rowdy."
00:07:15.310,00:07:16.270,"I told you about this, Rowdy."
00:07:17.187,00:07:20.399,Harry's got some new driver and he needs a car just to turn a couple of laps.
00:07:20.440,00:07:23.693,"I told you it was Harry Hogge who'd asked us personally, as a favor."
00:07:29.199,00:07:29.991,Who is this driver?
00:08:03.108,00:08:05.360,Tim tells me you've been running open-wheels.
00:08:06.403,00:08:07.904,That's right.
00:08:07.946,00:08:10.324,And now you just want to up and drive NASCAR?
00:08:11.283,00:08:12.951,That's right.
00:08:12.993,00:08:14.995,What do you know about stock car racing?
00:08:15.036,00:08:17.705,"Well, I've watched it on television, of course."
00:08:18.915,00:08:21.084,You've seen it on television?
00:08:21.126,00:08:23.211,"ESPN, the coverage is excellent."
00:08:23.253,00:08:24.921,You'd be surprised at how much you can pick up.
00:08:24.963,00:08:27.424,I'm sure I would.
00:08:27.466,00:08:29.634,"Look, this may not be the best time for you to run this car."
00:08:31.178,00:08:31.928,Was there some problem?
00:08:34.681,00:08:36.808,"No, sir."
00:08:36.850,00:08:39.478,"But you bend this bitch the least little bit, I'm gonna tear your balls off."
00:08:50.030,00:08:53.074,Okay.
00:08:54.909,00:08:56.995,Didn't he hear what that man said?
00:09:01.041,00:09:04.002,Hold on a minute.
00:09:04.044,00:09:06.254,What? About how I'm gonna run? Sure.
00:09:07.755,00:09:09.716,About how you've managed to live as long as you have.
00:09:09.757,00:09:10.842,"Look, I ain't gonna let you race this car."
00:09:10.884,00:09:12.093,Mmm-mmm.
00:09:21.019,00:09:21.895,What's going on?
00:09:22.687,00:09:24.647,He's had second thoughts.
00:09:24.689,00:09:25.773,You said you'd look at him.
00:09:25.815,00:09:27.567,I've looked at him.
00:09:27.608,00:09:30.529,"I paid $2,500 to use this track today, Harry."
00:09:30.570,00:09:33.656,Forget it.
00:09:33.698,00:09:36.159,"Well, I know a damn race driver when I see one."
00:09:38.745,00:09:41.706,"MAN: What's going on, Harry?"
00:09:41.748,00:09:43.583,"Do us all a favor, Harry."
00:09:51.550,00:09:53.510,Let me drive.
00:10:03.061,00:10:05.313,That tunnel turn's real tricky.
00:10:05.355,00:10:07.607,"Now, whether it's hot or cold, it gets as slick as a butt."
00:10:07.648,00:10:10.902,Then you'll slip and slide and slam yourself into the wall before you know it.
00:10:10.944,00:10:12.446,So just take it easy.
00:10:23.664,00:10:25.041,I'm dropping the hammer.
00:10:25.083,00:10:26.167,"No, you're not."
00:11:00.868,00:11:03.079,It's under Rowdy's time.
00:11:03.121,00:11:05.039,"Well, it might have been better if he cracked up the car."
00:11:20.888,00:11:22.474,That was fast.
00:11:22.807,00:11:24.351,Yeah?
00:11:24.392,00:11:26.186,Thirty-one flat.
00:11:26.227,00:11:29.063,That's good enough to take the pole in the last race here.
00:11:33.067,00:11:35.028,"Hell, I thought this was gonna be a joke."
00:11:35.069,00:11:36.488,You never drove a stock car before?
00:11:36.530,00:11:38.281,"No, sprints mainly."
00:11:38.323,00:11:40.575,What's your name?
00:11:40.617,00:11:42.827,Cole Trickle.
00:11:42.869,00:11:43.828,"Damn nice to meet you, too, Cole."
00:11:45.330,00:11:47.123,You were one lucky son of a bitch in that tunnel turn.
00:11:47.165,00:11:49.209,That car was way out of shape.
00:11:49.250,00:11:51.670,"Well, if you think it was luck, let's do it again."
00:11:52.504,00:11:53.712,You run good.
00:11:53.754,00:11:55.714,Thank you.
00:11:55.756,00:11:57.467,"Now, go get your own car and we'll see how you do in a crowd."
00:12:01.846,00:12:04.641,"So, how come you don't stick to open wheels?"
00:12:04.683,00:12:07.185,I lost my ride.
00:12:07.227,00:12:10.938,"After two championships and seven straight wins, you were fired?"
00:12:10.980,00:12:12.315,I lost my ride.
00:12:13.650,00:12:15.151,Doesn't matter.
00:12:15.193,00:12:16.777,Why's that?
00:12:16.819,00:12:17.987,I wasn't going anywhere.
00:12:18.029,00:12:18.779,Where do you want to go?
00:12:19.698,00:12:20.948,Indianapolis.
00:12:22.450,00:12:24.160,But you can't win in Indy without a great car.
00:12:24.202,00:12:25.995,And my name's not Andretti or Unser.
00:12:26.037,00:12:28.164,"On the other hand, stock cars are stock cars."
00:12:28.206,00:12:30.458,"Hey, there's nothing stock about a stock car."
00:12:31.918,00:12:34.379,"Look, I'm not trying to insult you."
00:12:34.421,00:12:36.381,"All I'm saying is, stock cars are built to run equal."
00:12:36.423,00:12:37.674,Isn't that right?
00:12:37.716,00:12:39.384,So the rule books say.
00:12:39.426,00:12:41.511,So I don't have to worry about getting beat by another car.
00:12:41.553,00:12:43.722,"In other words, all you have to worry about is getting beat by other drivers."
00:12:43.762,00:12:46.307,Yeah.
00:12:46.349,00:12:47.684,"You build me a car, and I'll win Daytona next year."
00:12:54.941,00:12:58.027,I'm gonna give you an engine low to the ground.
00:13:00.029,00:13:02.865,Extra-big oil pan that'll cut the wind from underneath you.
00:13:04.242,00:13:07.328,That'll give you 30 to 40 more horsepower.
00:13:10.998,00:13:15.420,I'm gonna give you a fuel line that'll hold an extra gallon of gas.
00:13:15.462,00:13:19.257,I'm gonna shave half an inch off you and shape you like a bullet.
00:13:19.299,00:13:25.472,"And when we get you primed, painted and weighed, you're going to be ready to go out on that racetrack."
00:13:25.513,00:13:27.014,You hear me?
00:13:30.518,00:13:31.394,You're gonna be perfect.
00:14:45.426,00:14:46.594,Okay.
00:14:53.351,00:14:55.562,"Cole, you're wandering all over the track."
00:14:55.603,00:14:58.398,Yeah.
00:14:58.439,00:15:01.067,"No, he didn't slam into you, he didn't bump you, he didn't nudge you."
00:15:01.108,00:15:03.277,"He rubbed you, and rubbing, son, is racing."
00:15:12.912,00:15:13.663,There goes the fender.
00:15:18.042,00:15:18.918,There goes the quarter panel.
00:15:41.232,00:15:42.776,COLE: All right. Get back!
00:15:49.031,00:15:54.995,"All right, while we're still under a caution, I want you to go back out on that track and hit the pace car."
00:15:55.037,00:15:57.540,Hit the pace car?
00:15:57.582,00:15:59.459,What for?
00:15:59.500,00:16:01.795,Because you hit every other goddamn thing out there.
00:16:01.836,00:16:04.505,I want you to be perfect.
00:16:21.063,00:16:22.690,You're going too high.
00:16:44.712,00:16:47.632,How about that?
00:16:51.845,00:16:53.012,"I don't want you spoiled, Buck."
00:17:10.488,00:17:11.405,This is gonna hurt.
00:17:12.573,00:17:14.325,Move! Move! Move!
00:17:17.954,00:17:19.455,Did you see that guy?
00:17:19.497,00:17:20.331,What?
00:17:32.886,00:17:34.428,I've got to pit.
00:17:34.470,00:17:36.180,I don't think so.
00:17:36.222,00:17:37.015,You're what?
00:17:38.599,00:17:39.726,We're eating ice cream.
00:17:40.518,00:17:41.352,Ice cream?
00:17:53.280,00:17:58.536,"Now, you're welcome to come on and get one, but I don't believe NASCAR would think much of you trying to eat an ice cream cone out there."
00:17:58.578,00:17:59.871,You have enough trouble riding around the track as it is.
00:18:16.679,00:18:18.138,CREW MAN: Take it easy.
00:18:19.432,00:18:20.892,"MAN: Come on now, Cole!"
00:18:21.559,00:18:23.227,Cole! Cole!
00:18:30.693,00:18:32.570,We messed up big-time on Sunday.
00:18:33.988,00:18:41.746,I had sponsors in the stands and I'm hugging and holding hands and kissing them in the ear and praying for a good showing.
00:18:42.496,00:18:44.958,And what do we do?
00:18:44.999,00:18:46.960,We end up looking like a monkey fucking a football out there.
00:18:49.670,00:18:51.422,"Everybody out, please."
00:18:53.091,00:18:54.467,Except you two.
00:19:02.934,00:19:05.770,I've got a question.
00:19:05.812,00:19:09.315,What is the one thing you absolutely need to do to win a race?
00:19:09.356,00:19:11.776,It's pretty damn obvious...
00:19:11.818,00:19:13.152,You need to finish the race.
00:19:14.361,00:19:17.448,"Tim, I realize Harry's been around a long time."
00:19:19.158,00:19:23.287,I'm not saying that his ways are antiquated but it'd help to have a car that handled properly and didn't blow engines.
00:19:23.329,00:19:27.750,"Well, if he wouldn't get excited and over rev the son of a bitch, the engine wouldn't blow."
00:19:27.792,00:19:36.801,"Now, Cole, when you shift the gear, and that little needle on the tach goes into the red and reads 9,000 rpm, that's bad."
00:19:39.971,00:19:42.640,"It's also my fault if the tires blow, if you ask this old fart."
00:19:42.682,00:19:43.933,"Well, hell yes, it's your fault."
00:19:43.975,00:19:47.979,There's 40 other vultures out there who managed to finish the race on their tires.
00:19:48.021,00:19:50.773,You see Darrell Waltrip using up his tires?
00:19:50.815,00:19:52.650,There's nothing I can't do with a racecar.
00:19:52.692,00:19:54.068,"Well, that's the difference between you and me."
00:19:54.110,00:19:56.529,There's only so much I can do!
00:19:56.570,00:19:59.406,"Harry, he doesn't need to appreciate your job to do his."
00:19:59.448,00:20:01.575,"Well, he sure as hell does."
00:19:59.448,00:20:04.162,How can he expect to race if he don't know what a racecar can and can't do?
