start,end,script
00:03:01.083,00:03:03.541,Kinda lonesome back here.
00:03:06.375,00:03:10.875,"Okay, um, just, I have to keep my hands on the wheel."
00:03:12.625,00:03:14.416,Excuse me. Whoo!
00:03:16.708,00:03:18.708,Pool. Dead.
00:03:20.125,00:03:21.375,"Hmm, nice."
00:03:22.500,00:03:23.541,"DOPINDER: Smells good, no?"
00:03:23.666,00:03:25.583,Not the Daffodil Daydream.
00:03:25.708,00:03:27.583,"Ah, yes. Gita."
00:03:27.708,00:03:29.125,Hmm.
00:03:29.625,00:03:31.916,She would have made me a very agreeable wife.
00:03:32.041,00:03:33.208,"But, um..."
00:03:34.083,00:03:37.416,Gita's heart has been stolen by my cousin Bandhu.
00:03:37.791,00:03:41.375,He is as dishonorable as he is attractive.
00:03:42.708,00:03:46.458,"Dopinder, I'm starting to think there's a reason I'm in this cab today."
00:03:46.583,00:03:48.125,"Yeah, sir, you called for it, remember?"
00:03:48.250,00:03:53.041,"No, my slender brown friend."
00:03:53.333,00:03:56.041,"When you find it, the whole world tastes like Daffodil Daydream."
00:03:57.333,00:03:59.083,So you gotta hold onto love...
00:03:59.458,00:04:00.708,...tight!
00:04:00.833,00:04:02.125,And never let go.
00:04:02.250,00:04:03.708,Don't make the same mistakes I did.
00:04:03.833,00:04:05.000,Got it?
00:04:05.125,00:04:08.666,Or else the whole world tastes like Mama June after hot yoga.
00:04:09.250,00:04:11.541,Miss Mama June taste like?
00:04:11.666,00:04:14.541,Like two hobos fucking in a shoe filled with piss.
00:04:14.666,00:04:17.416,"I can go all day, Dopinder."
00:04:17.541,00:04:19.291,"Hmm, it's bad."
00:04:19.666,00:04:22.333,"Uh, why the fancy red suit, Mr. Pool?"
00:04:22.458,00:04:24.458,"Oh, that's because it's Christmas Day, Dopinder."
00:04:24.583,00:04:27.000,And I'm after someone on my naughty list.
00:04:27.125,00:04:28.625,"I've been waiting one year, three weeks..."
00:04:28.750,00:04:30.583,"six days and, oh..."
00:04:30.708,00:04:33.125,14 minutes to make him fix what he did to me.
00:04:34.750,00:04:37.000,"And what did he do to you, Mr. Pool?"
00:04:37.125,00:04:38.458,This shit...
00:04:39.708,00:04:40.708,Boo!
00:05:01.541,00:05:02.666,They won't disappoint.
00:05:03.333,00:05:05.041,They'd better not.
00:05:05.166,00:05:07.458,And what about next month's shipment?
00:05:07.625,00:05:09.166,There won't be one.
00:05:09.291,00:05:10.916,You're not the only one with a war to win.
00:05:12.166,00:05:13.583,That won't do.
00:05:16.583,00:05:20.458,"See, we've had this small disruption to our supply chain..."
00:05:24.291,00:05:26.500,We'd appreciate your patience.
00:05:30.541,00:05:33.000,We'll deliver in full the following month.
00:05:36.500,00:05:37.583,Pleasure doing business with you.
00:05:41.458,00:05:43.208,Fucking mutant.
00:05:53.208,00:05:54.708,"Oh, shit!"
