start,end,script
00:01:19.413,00:01:22.041,SO BEAUTIFUL.
00:01:23.792,00:01:25.711,WHAT'S THAT?
00:01:25.711,00:01:27.254,DID YOU FEEL SOMETHING?
00:01:27.254,00:01:28.672,"YEAH, I FEEL SOMETHING."
00:01:28.672,00:01:30.257,"SHH, IDIOT."
00:01:32.259,00:01:33.928,"HEY, GET BACK HERE."
00:01:36.889,00:01:40.434,Woman: WHOO!
00:01:42.978,00:01:45.230,"WE'RE HAVIN' A PARTY, MAN."
00:01:45.230,00:01:46.690,WHOO!
00:01:46.690,00:01:48.776,BOAT'S ROCKIN'.
00:01:51.737,00:01:53.072,SHH!
00:01:53.072,00:01:55.074,SHH? OOH...
00:01:55.074,00:01:56.157,SHH! STOP!
00:01:56.157,00:01:58.201,"AW, YOU'RE PARANOID."
00:02:04.124,00:02:06.167,"YEAH, OK."
00:02:06.167,00:02:07.294,DID YOU HEAR THAT?
00:02:09.170,00:02:10.881,LISTEN! LISTEN!
00:02:21.850,00:02:23.644,WHAT IS THAT?
00:02:32.360,00:02:34.404,"EVERYBODY, SHH. SHH."
00:02:35.447,00:02:37.532,STAY UP THERE.
00:02:46.291,00:02:48.376,OH.
00:02:48.376,00:02:50.587,WHAT IS THAT?
00:03:16.404,00:03:18.490,COME ON!
00:03:27.916,00:03:29.250,AAH!
00:04:18.299,00:04:21.720,OK. WE'VE HAD SOME PROBLEMS AT THE FACILITY.
00:04:21.720,00:04:25.182,WHAT WE'RE ATTEMPTING TO ACHIEVE HERE HAS NEVER BEEN DONE.
00:04:25.182,00:04:29.519,WE'RE THIS CLOSE TO THE REACTIVATION OF A HUMAN BRAIN CELL.
00:04:29.519,00:04:35.025,"DOCTOR, THE 200 MILLION I'VE SUNK INTO THIS COMPANY IS DUE IN GREAT PART TO YOUR RESEARCH."
00:04:35.025,00:04:40.155,"BUT WHEN THE MARKET OPENS MONDAY, DESPITE MY REPUTATION, I DON'T LIKE HEIGHTS."
00:04:40.155,00:04:42.741,ESPECIALLY FALLING FROM THEM.
00:04:42.741,00:04:45.702,I'M SORRY. HONESTLY.
00:04:56.713,00:05:01.176,"TELL ME, MR. FRANKLIN, HAVE YOU EVER KNOWN ANYONE WITH ALZHEIMER'S?"
00:05:02.469,00:05:05.388,WELL...NO.
00:05:05.388,00:05:10.894,"BY THE END, ALL MY FATHER COULD DO WAS ASK WHY MY MOTHER WASN'T AT HOME."
00:05:10.894,00:05:14.982,"AND EACH TIME I TOLD HIM SHE WAS DEAD, I HAD TO WATCH HIM TAKE THAT LOSS LIKE A CAR WRECK."
00:05:14.982,00:05:18.568,"200,000 MEN AND WOMEN DEVELOP ALZHEIMER'S EACH YEAR."
00:05:20.237,00:05:23.991,WHAT IF YOU COULD END ALL THAT SUFFERING WITH A SINGLE PILL?
00:05:26.910,00:05:29.579,GIVE ME TILL MONDAY MORNING.
00:05:29.579,00:05:34.459,I'LL GIVE YOU RESULTS THAT'LL SKYROCKET YOUR STOCK PRICE OR I'LL HELP YOU PACK THE LAB MYSELF.
00:05:34.459,00:05:36.711,IT'S YOUR CALL.
00:05:51.601,00:05:54.688,"YOU KNOW, THAT WAS QUITE AN IMPRESSIVE SPEECH YOU GAVE BACK THERE."
00:05:56.231,00:05:59.067,I READ THAT ARTICLE ON YOU.
00:05:59.067,00:06:00.819,THE THING IN THE HIMALAYAS.
00:06:00.819,00:06:02.487,ALPS.
00:06:02.487,00:06:03.905,RIGHT.
00:06:05.073,00:06:09.452,WE WERE JUST TRYING TO DO SOMETHING TOGETHER.
00:06:09.452,00:06:11.663,HAVING FUN.
00:06:11.663,00:06:13.915,THINGS WENT BAD.
00:06:13.915,00:06:16.835,BUT YOU SAVED ALL THOSE PEOPLE.
00:06:16.835,00:06:18.295,NOT ALL.
00:06:32.809,00:06:38.357,NAVY BUILT IT FOR WORLD WAR II SUBMARINE LOADING AND REFUELING.
00:06:38.357,00:06:41.193,"WHEN THEY MOTHBALLED IT, WE PICKED IT UP."
00:06:41.193,00:06:44.529,"ADDED AQUATIC PENS, UNDERWATER LABS."
00:06:44.529,00:06:47.406,"YOUR DIME, I GUESS."
00:06:47.406,00:06:49.659,HMM.
00:06:49.659,00:06:52.704,LOOKS LIKE ALCATRAZ FLOATS.
00:07:18.230,00:07:19.522,"QUE PASO, AMIGO?"
00:07:24.986,00:07:27.197,"WHAT DO YOU THINK, AMIGO?"
00:07:27.197,00:07:28.323,SHE'S BEAUTIFUL.
00:07:28.323,00:07:29.950,SHE WANTS TO GIVE YOU A BIG KISS.
00:07:29.950,00:07:32.911,I BET. SHE'S GOT A DAMN LICENSE PLATE JAMMED IN HER MOUTH.
00:07:32.911,00:07:34.413,"IT'S A GOOD DEAL, AMIGO."
00:07:34.413,00:07:36.957,"DROP HER, BILLY."
00:07:50.804,00:07:53.556,"RUSSELL FRANKLIN, JANICE HIGGINS."
00:07:53.556,00:07:55.392,MARINE BIOLOGIST.
00:07:55.392,00:07:57.602,JAN WILL GET YOU SETTLED.
00:07:59.520,00:08:01.606,WELCOME TO OUR ISLAND PARADISE.
00:08:01.606,00:08:03.775,SO WHERE'S TATTOO?
00:08:03.775,00:08:06.069,"YOU KNOW, SHORT GUY?"
00:08:06.069,00:08:08.238,"DE PLANE, BOSS!"
00:08:08.238,00:08:10.740,RIGHT.
00:08:11.866,00:08:13.618,I AM GETTING OLD.
00:08:14.702,00:08:16.663,SO HOW MUCH DO YOU KNOW ABOUT OUR FACILITY?
00:08:16.663,00:08:17.914,TREAT ME LIKE A TOURIST.
00:08:17.914,00:08:20.667,"NO. I HATE TOURISTS, AND I'VE DECIDED I'M GOING TO LIKE YOU."
00:08:45.359,00:08:46.734,HEY!
00:09:39.162,00:09:41.206,LOUISIANA?
00:09:42.416,00:09:44.918,I'M THINKING HE'S BOUGHT IN A PET SHOP IN BATON ROUGE.
00:09:44.918,00:09:48.963,ATE EVERYTHING IN HIS FISH TANK THEN ATE THE GUY THAT BOUGHT HIM.
00:09:48.963,00:09:54.469,"NEXT DAY, FILLS THE CAB OF THE GUY'S TRUCK WITH WATER AND DRIVES HIMSELF DOWN TO BAJA."
00:09:54.469,00:09:57.347,PICKING BONES OUT OF HIS TEETH WITH THE LICENSE PLATE.
00:09:58.932,00:10:01.017,WE NEED TO TALK.
00:10:02.310,00:10:03.437,LATER.
00:10:05.146,00:10:09.192,"CARTER BLAKE, RUSSELL FRANKLIN, PRESIDENT OF THE BOARD OF CHIMERA PHARMACEUTICALS."
00:10:10.693,00:10:11.986,WHOA.
00:10:11.986,00:10:14.448,THAT WAS INCREDIBLE.
00:10:14.448,00:10:17.951,"ACTUALLY, THEY DON'T LIKE THE TASTE OF US VERY MUCH."
00:10:21.413,00:10:22.830,THEY BITE YOU...
00:10:22.830,00:10:25.333,IT'S BECAUSE THEY THINK YOU'RE A FAT LITTLE SEAL.
00:10:26.543,00:10:28.711,OR A RICH SUIT.
00:10:34.050,00:10:35.176,NICE MEETING YOU.
00:10:39.222,00:10:40.848,FRIENDLY PLACE.
00:10:40.848,00:10:42.309,YOU GOT FULL SENTENCES.
00:10:42.309,00:10:44.561,USUALLY HE JUST KIND OF NODS.
00:10:44.561,00:10:47.606,WORD TRAVELS FAST...
00:10:47.606,00:10:50.650,ABOUT WHY YOU'RE HERE AND ALL.
00:10:50.650,00:10:52.486,SO WAS THAT THE GEN I THAT ESCAPED?
00:10:52.486,00:10:54.488,THAT LITTLE GUY?
00:10:54.488,00:10:56.573,THOSE ARE THE NORMALS.
00:10:56.573,00:10:58.116,THESE 3 ARE THE TEST SHARKS.
00:11:02.078,00:11:06.207,2 FIRST GENERATION AND 1 SECOND GENERATION FEMALE.
00:11:12.088,00:11:17.802,"BENEATH ITS GLASSY SURFACE, A WORLD OF GLIDING MONSTERS."
00:11:21.431,00:11:24.017,"IT'S PRETTY SCARY STUFF, HUH?"
00:11:25.310,00:11:27.646,YES...IT IS.
00:11:29.022,00:11:31.774,Brenda: TOWER TO WATER TAXI.
00:11:31.774,00:11:35.736,"HEY, BEN, I'M PICKING UP A NASTY LITTLE BITCH OF A SQUALL ABOUT 30 MILES OUT."
00:11:35.736,00:11:36.863,OVER.
00:11:36.863,00:11:38.865,Ben: COPY THAT.
00:11:45.539,00:11:47.624,"Woman: JAN, STAY OUT OF THE RAIN."
00:11:47.624,00:11:48.916,SEE YOU.
00:11:48.916,00:11:50.793,WHERE ARE THEY GOING?
00:11:50.793,00:11:52.711,OH. THEY'RE GOING HOME.
00:11:52.711,00:11:55.674,WE RUN A SKELETON CREW ON THE WEEKEND.
00:11:55.674,00:11:58.092,BUT THEY PROBABLY HATE YOU ANYWAY.
00:11:59.010,00:12:01.221,THERE'S DR. JIM WHITLOCK...
00:12:01.221,00:12:04.015,THE MOST BRILLIANT MAN EVER.
00:12:04.015,00:12:07.602,HE'S PISSING INTO THE WIND.
00:12:07.602,00:12:09.229,YOU'LL SEE.
00:12:22.409,00:12:25.245,"WHAT HAPPENED, DEADEYE?"
00:12:25.245,00:12:27.247,IT TOOK 2 HITS TO EVEN SLOW IT DOWN.
00:12:27.247,00:12:28.498,ARE YOU KIDDING ME?
00:12:28.498,00:12:30.124,2 OF THESE SHOULD HAVE DAMN NEAR KILLED IT.
00:12:30.124,00:12:32.085,"YOU TELL IT THAT, SCOGGS."
