start,end,script
00:00:33.908,00:00:34.951,Illuminat...
00:00:56.056,00:00:59.726,"The year was 1985, and the number one show on TV was..."
00:00:59.809,00:01:02.187,Evil Bratt!
00:01:06.649,00:01:11.196,and criminal mastermind bent on world domination.
00:01:16.117,00:01:19.370,I've been a bad boy!
00:01:19.454,00:01:25.585,"Bratt was the biggest child actor of the 1980s, striking a chord with audiences all over the world."
00:01:28.129,00:01:29.339,There he is! Get him!
00:01:33.218,00:01:35.845,I've been a bad boy!
00:01:37.972,00:01:39.182,Boy? Ugh!
00:01:39.265,00:01:51.111,"The show was canceled. Hollywood rejected him and Bratt quickly plunged into a downward spiral, starting to actually believe he was the character he played on TV."
00:01:51.194,00:01:52.612,What are you looking at?
00:02:03.498,00:02:04.791,"You know what, Clive?"
00:02:04.874,00:02:10.964,"Playing a villain on TV was fun, but being one in real life is even better."
00:02:11.172,00:02:12.298,Heist music!
00:02:12.382,00:02:13.550,Here it comes.
00:02:19.389,00:02:21.057,How is that heist music?
00:02:21.141,00:02:22.433,Sorry. My bad.
00:03:02.140,00:03:03.391,Mommy!
00:03:08.813,00:03:12.233,"Sir, the ship has been boarded by some kind of monster!"
00:03:12.317,00:03:13.735,Wait! That's not a monster.
00:03:14.193,00:03:16.654,That's a man wearing shoulder pads!
00:03:16.738,00:03:20.909,There's only one supervillain whose fashion sense is quite that dated.
00:03:20.992,00:03:22.785,Balthazar Bratt.
00:03:22.911,00:03:25.496,Blast it! The Dumont Diamond is on that ship.
00:03:25.580,00:03:29.667,I want every agent in the area on the scene immediately!
00:03:34.964,00:03:37.842,We're already here. Agents Grucy are closing fast.
00:03:37.926,00:03:40.511,Yes! Wait. What did you call us?
00:03:40.595,00:03:44.057,"Grucy. You know, Gru and Lucy mushed together. Try it."
00:03:44.140,00:03:46.893,"Oh! I like it, but not a lot."
00:03:46.976,00:03:48.269,I don't like it.
00:03:53.441,00:03:55.526,-Stop! -On the ground!
00:04:18.424,00:04:19.717,"Go, go, go!"
00:04:44.534,00:04:46.577,Wha?
00:04:46.786,00:04:47.870,He's getting away!
00:04:47.954,00:04:49.580,That's what he thinks.
00:04:55.753,00:04:57.171,Go! Go! Go...
00:05:04.512,00:05:06.306,"I don't think we can make it, Gru!"
00:05:06.389,00:05:07.432,We can make it!
00:05:09.642,00:05:12.603,We can make it!
00:05:14.814,00:05:16.482,"No, we can't!"
00:05:16.566,00:05:17.650,Ahh!
00:05:17.942,00:05:19.068,Get ready!
00:05:20.695,00:05:22.447,Get ready for wha...
00:05:43.134,00:05:44.677,"Go get him, Gru-Gru!"
00:05:45.470,00:05:46.721,"Hello, Gru."
00:05:48.264,00:05:49.599,How's your transition coming?
00:05:49.682,00:05:53.227,"You know, from world's worst villain to world's worst agent?"
00:05:53.311,00:05:55.730,"Oh, that's hilarious. You should be on TV."
00:05:55.813,00:05:59.275,"Oh, that's right. You were! But then you got canceled!"
00:06:02.070,00:06:03.279,-What about that? -Ugh!
00:06:03.488,00:06:06.324,"-What? Oh, girls! -Oh!"
00:06:09.035,00:06:09.952,Dance fight!
00:06:23.299,00:06:24.300,Ow!
00:06:28.429,00:06:32.183,"Alpha Team, the diamond is secure. Come and pick up the package."
00:06:40.399,00:06:41.275,Gru!
00:06:41.776,00:06:43.611,Did you actually think I was unconscious?
00:06:43.694,00:06:46.239,"-Huh! -It's called acting, hoser."
00:06:46.322,00:06:48.491,"And clearly, I've still got it!"
00:07:03.381,00:07:06.342,I've been a bad boy!
00:07:09.637,00:07:10.555,Son of a Betamax!
00:07:14.976,00:07:16.436,"This isn't over, Gru."
00:07:16.519,00:07:19.480,You hear me? This is not over.
00:07:19.564,00:07:22.608,"Yeah? Well, I still have the diamond."
00:08:09.572,00:08:12.408,I can't believe Bratt got away again.
00:08:12.492,00:08:14.452,How is this possible? How?
00:08:22.210,00:08:26.130,"And it's not just that he got away, it is he's so smug about it."
00:08:26.214,00:08:29.217,"Ooh, I've been a bad boy!"
00:08:29.300,00:08:33.304,"-Gah! -Edna, hey! Looking hot today."
00:08:33.513,00:08:35.389,Got cats on you.
00:08:35.473,00:08:40.394,"And it was so humiliating, dangling there in the bubble-gum Speedo."
00:08:40.686,00:08:47.902,"And I didn't have time to go to the gym this week, and I had a big breakfast. And was feeling a little bloated."
00:08:50.446,00:08:52.406,You know what? He's not even worth talking about.
00:08:52.615,00:08:56.494,I don't even want to waste another breath about the guy.
00:08:56.577,00:08:58.496,And another thing!
00:08:59.038,00:09:03.376,"Next time I see Bratt, I will moonwalk all over his stupid face!"
00:09:08.047,00:09:11.300,Thank you all for coming at such short notice.
00:09:11.926,00:09:20.810,"It is with great sadness that I inform you that, as of today, I am retiring as head of the AVL."
00:09:22.895,00:09:24.063,"Oh, no!"
00:09:24.605,00:09:29.277,Your new leader is coming directly from head office.
00:09:29.485,00:09:31.612,Effective immediately.
00:09:32.154,00:09:39.453,"She is the very gifted, very ambitious, Miss Valerie da Vinci."
00:09:40.079,00:09:45.710,"As I look out over all your faces, I am flooded with so many memories."
00:09:45.918,00:09:48.713,"Oh, boy! This is a snooze fest!"
00:09:48.796,00:09:49.630,"Excuse me, this is my last..."
00:09:49.714,00:09:50.715,"Blah, blah, blah! We understand."
00:09:50.798,00:09:53.009,"You're old, you're fat, you're done."
00:10:02.268,00:10:05.021,which one of you losers is Agent Gru?
00:10:06.439,00:10:08.733,"Oh, that would be me."
00:10:08.816,00:10:12.778,"Although, I don't know if I'd say loser, per se."
00:10:16.824,00:10:18.326,"Oh, it's the girls!"
00:10:18.409,00:10:19.702,Not a good time.
00:10:20.202,00:10:21.537,-Hey! -Ahh!
00:10:23.706,00:10:25.916,Ma'am? You're making me nervous.
00:10:26.000,00:10:32.715,"How could you let Balthazar Bratt, the AVL's most wanted villain, just get away?"
00:10:32.798,00:10:35.009,That is the opposite of what we do here!
00:10:35.092,00:10:36.135,"Okay, okay."
00:10:36.302,00:10:39.347,"Yes, maybe he got away. Again."
00:10:39.430,00:10:41.891,But he didn't get the diamond.
00:10:42.099,00:10:45.061,And I am this close to bringing him in.
00:10:45.144,00:10:47.396,This close.
00:10:47.480,00:10:49.106,Huh. Interesting.
00:10:49.315,00:10:50.524,You're fired!
00:10:51.942,00:10:54.612,That's totally not fair. Gru is a great agent!
00:10:54.695,00:10:58.532,"You know what? If you fire him, you're gonna have to fire me, sister-sister."
00:10:58.616,00:11:00.576,And do you really wanna do that?
00:11:00.743,00:11:02.119,Do ya?
00:11:10.586,00:11:11.796,"Well, I guess she did."
00:11:17.802,00:11:19.637,"Honey, you didn't have to do that."
00:11:19.720,00:11:21.347,I know how much you love your job.
00:11:21.430,00:11:23.891,"Well, I love other things more."
00:11:26.477,00:11:28.854,"You know, we're gonna have to tell the girls."
00:11:28.938,00:11:30.648,Can you do it?
00:11:30.731,00:11:33.567,The whole mom thing is still kind of new to me.
00:11:33.651,00:11:34.652,"Oh, sure."
00:11:37.321,00:11:38.197,Huh?
00:11:50.000,00:11:51.085,Hello?
00:12:06.100,00:12:08.644,This is unexpected.
00:12:08.727,00:12:10.938,"Well, you never got to go on a honeymoon, so..."
00:12:11.021,00:12:12.440,We made you dinner!
00:12:12.523,00:12:13.732,It's a luau!
00:12:13.816,00:12:16.360,We got pineapples and coconuts and ukuleles!
00:12:16.444,00:12:18.320,-Oh! Yay! -Yay!
00:12:34.587,00:12:36.213,Madame and Monsieur.
00:12:36.755,00:12:38.466,The gummy bears were my idea.
00:12:43.179,00:12:46.432,Mmm! Looks too good to even eat.
00:12:48.642,00:12:51.020,-But I made it for you. -Oh.
00:12:54.940,00:13:01.655,Good soup! I love the combination of gummy bears and meat.
