start,end,script
00:00:31.250,00:00:35.083,"Hey, if you play this song, I guarantee motherfuckers'll start hopping and squirming."
00:00:35.166,00:00:38.416,"When I used to play this record live, motherfuckers would actually faint."
00:00:38.500,00:00:39.666,They would faint on the floor.
00:00:39.750,00:00:42.375,I'd have to call the amba-lance and pick all these motherfuckers up.
00:00:42.458,00:00:47.125,"Every time I played this. They start callin' the hospital in advance and tell them, Rudy gonna be singing tonight."
00:00:47.208,00:00:50.250,"Make sure y'all ready, 'cause we finna be carrying motherfuckers out the club."
00:00:52.208,00:00:53.625,Buggy Ride?
00:00:53.708,00:00:55.750,"Hey, that ain't no small-time shit, man."
00:00:56.666,00:01:00.333,"Goddamn, Rudy. I got Marvin Gaye singing Let's Get It On."
00:01:00.416,00:01:02.875,I can't be playin' no Buggy Ride.
00:01:02.958,00:01:05.916,"-I got 60 seconds to get to the next tune. -Okay, man, how about this?"
00:01:06.000,00:01:07.541,This a nice R&amp;B single.
00:01:07.625,00:01:09.875,It's a catchy thing called Step It Up and Go.
00:01:09.958,00:01:11.583,"Heh. Come on, are you for real?"
00:01:11.666,00:01:14.000,"Hey, man, that shit right there was monumental."
00:01:14.083,00:01:16.166,That's my number one selling single.
00:01:16.250,00:01:17.916,"Put the shit in rotation, see what happens."
00:01:18.000,00:01:21.500,"This looks like something my grandfather would listen to, you dig?"
00:01:22.375,00:01:24.583,No. Forty-five seconds.
00:01:24.666,00:01:26.916,"Okay, man. Look, I saved the best for last."
00:01:27.000,00:01:28.875,"Now that's a smash, huh?"
00:01:29.666,00:01:31.583,Ring A Ling A Dong?
00:01:31.666,00:01:35.000,"-I ain't heard this one yet. -Hey, that's a catchy motherfucker, man."
00:01:50.541,00:01:53.083,"Rudy. Man, I only play the hits."
00:01:53.166,00:01:55.375,"Hey, but that should've been a hit, man."
00:01:55.458,00:01:59.083,Those motherfuckers at Federal Records was gonna take it all the way to the top.
00:01:59.166,00:02:04.125,"Man, they signed me. Was gonna do it all. Promote the shit out of the thang, and then they signed that fucking James Brown."
00:02:04.208,00:02:10.250,"He come out jumping around, doing splits and shit and shaking his black ass and sucked up all the attention."
00:02:10.333,00:02:15.541,"Say, man, do you think I wanna work at a ghetto record store as a DJ?"
00:02:15.625,00:02:17.583,Sometimes our dreams just don't come true.
00:02:17.666,00:02:19.000,They still can.
00:02:21.625,00:02:24.291,"Nah, brother. We missed our shots."
00:02:29.583,00:02:32.291,"All right, man. Thanks for nothing."
00:02:36.666,00:02:46.416,"S-L-Y to the Family Stone. You're rocking with your main man, DJ Roj, large and in charge on your favorite radio station-- KRKD Los Angeles."
00:02:48.833,00:02:50.083,"All right, young blood."
00:02:53.500,00:02:56.666,"How you doing today, young brother? All right, man."
00:02:57.500,00:02:59.666,Stevie Wonder and Stylistics.
00:02:59.750,00:03:01.708,"Yeah, you listen to the good stuff."
00:03:25.666,00:03:29.250,"Man, you got shipments piled up in back, and I been on this register all morning."
00:03:29.333,00:03:33.041,"-Sorry I'm late, Rudy. My apologies. -Move your ass. Man, here's your change."
00:03:33.125,00:03:34.166,My apologies.
00:03:46.125,00:03:47.708,"Ring that up for me, Toney."
00:04:22.166,00:04:24.416,"Hey, my man."
00:04:24.500,00:04:25.500,All right.
00:04:57.250,00:05:00.333,"Ladies and gentlemen, it is so good to be here tonight."
00:05:00.416,00:05:02.666,I only recently returned back from Broadway.
00:05:03.458,00:05:04.708,"Yes, I was on Broadway."
00:05:05.541,00:05:10.291,I was on Broadway for six whole months standing on the corner trying to find a job.
00:05:15.625,00:05:18.125,What did the elephant say to the naked man?
00:05:20.208,00:05:22.250,Are you gonna breathe with that small thing?
00:05:25.083,00:05:28.583,"All right, without any further ado, I'd like to bring to the stage..."
00:05:29.750,00:05:33.291,...the hot musical sounds of our headliner--The Ben Taylor Band.
00:05:33.375,00:05:35.208,"Come on, give it up for The Ben Taylor Band."
00:05:40.291,00:05:41.791,Hoo.
00:06:02.500,00:06:05.583,"-Hey, the show popping tonight, huh? -Rudy, you went over your limit."
00:06:05.666,00:06:09.083,"The people was enjoying my appeal, so I stretched it out a little bit."
00:06:09.166,00:06:10.750,The deal is five minutes.
00:06:11.833,00:06:16.708,"Hey, I ain't on the marquee out front. How come you didn't put me on the front?"
00:06:16.791,00:06:18.958,You the emcee. Nobody paying to see you.
00:06:19.041,00:06:23.625,"Maybe they would, Mr. Allen. I was thinking, maybe you should just consider getting me my own slot."
00:06:23.708,00:06:26.333,Know what I mean? 'Cause I'm a total entertainment experience.
00:06:26.416,00:06:33.333,"I sing, I do comedy, and I dance, and I do a dance called adagio dancing where I come out in a turban, and I do it to a African beat."
00:06:33.416,00:06:37.083,"-It's very erotic. -Rudy, that's 1950."
00:06:37.166,00:06:40.541,Vaudeville is dead. I don't need an all-in-one.
00:06:40.625,00:06:42.375,"Shit, I ain't that old."
00:06:42.458,00:06:44.875,"Who do you think I am, Pigmeat Markham or Moms Mabley?"
00:06:44.958,00:06:46.458,I got something to offer.
00:06:47.833,00:06:49.708,Rat soup-eatin' motherfucker.
00:07:03.208,00:07:05.791,"Thank you, ladies and gentlemen. Thank you very much."
00:07:09.791,00:07:12.333,"And here's a late scratch, ladies and gentlemen."
00:07:12.416,00:07:14.625,Anna's Ass has been scratched.
00:07:16.000,00:07:18.083,It's not the first time Anna's Ass has been scratched.
00:07:18.166,00:07:22.583,"The last one was a shame, because I would love to have seen Anna's Ass up against My Dick today."
00:07:22.666,00:07:24.458,That's some funny shit.
00:07:24.541,00:07:27.125,He ain't that funny. He just cussing up a storm.
00:07:27.791,00:07:29.208,He ain't cussing.
00:07:29.291,00:07:32.333,It's clever. I don't know. See...
00:07:33.250,00:07:37.208,My Dick ain't his dick. My Dick is actually his horse.
00:07:37.291,00:07:39.416,I know what My Dick is. I ain't a fucking imbecile.
00:07:39.500,00:07:42.958,He's just using a double entendre so the police don't come get his ass.
00:07:43.041,00:07:45.083,"You know, I used to work with Redd Foxx."
00:07:46.291,00:07:48.458,"-You knew Redd Foxx? -Oh, yeah."
00:07:49.750,00:07:53.625,"We was in the kitchen washing dishes together, but I worked with the motherfucker."
