start,end,script
00:39:33.329,00:39:35.373,"So, how do you get your voice so deep?"
00:39:50.930,00:39:53.391,I think he looks good. I'm going to give him a yes.
00:40:04.276,00:40:07.863,"I think you got potential, but I'm gonna ask you to come back next year to the competition."
00:40:09.740,00:40:11.450,It's a tiebreaker.
00:40:11.575,00:40:12.618,"Well, it's up to you."
00:40:27.425,00:40:29.635,I just don't think he's beefy enough for COVERGuy.
00:45:19.425,00:45:23.762,"My modeling career has gone downhill these days, to be honest with you."
00:45:24.555,00:45:28.559,And it's all because of this whole rumor of you dating Karla Homolka?
00:45:28.976,00:45:31.687,"The rumor's destroyed my life, basically, and..."
00:45:31.770,00:45:37.234,I want to set the record straight that me and her have absolutely no connection.
00:45:48.370,00:45:49.913,I've been receiving death threats.
00:45:50.289,00:45:53.083,My address is posted. That's why I had to move.
00:45:53.167,00:45:55.127,I'm about to have a nervous breakdown here.
00:45:55.210,00:45:57.588,My reputation's completely ruined.
00:45:57.671,00:46:00.716,"I go in to see casting directors, I go in to see agents..."
00:46:01.049,00:46:02.384,They know who I am.
00:46:02.468,00:46:04.303,"You know, it's all over everywhere."
00:46:05.053,00:46:06.930,"Whoever's doing this, please stop."
00:58:20.997,00:58:24.834,He could be a fucking loon and try to stab us or something.
00:58:24.918,00:58:26.711,We've got to be a bit careful.
00:58:27.795,00:58:30.215,Luka! Can I have a quick word?
00:58:30.298,00:58:32.634,I'm a journalist from The Sun newspaper.
00:58:34.844,00:58:36.304,"You're not filming me, are you?"
00:58:36.387,00:58:38.973,"No, no. What are you doing in London now?"
00:58:39.474,00:58:40.934,Because of the harassment.
00:58:41.017,00:58:43.603,- What harassment? - I'm getting death threats.
00:58:43.686,00:58:44.604,Saying what?
00:58:44.687,00:58:47.690,Anything you can imagine. They're going to kill me...
00:58:48.316,00:58:50.652,-Why? - Because of these stories.
00:58:50.735,00:58:53.363,But a lot of people are saying that this chap...
00:58:54.280,00:58:57.033,is responsible for killing the kittens in the YouTube videos.
00:58:57.116,00:58:58.910,This is you in the picture here?
00:58:59.410,00:59:01.663,"- No, it's not. - It certainly looks like you."
00:59:01.746,00:59:03.623,- It's not me. - That isn't you?
00:59:03.706,00:59:04.582,No.
00:59:05.750,00:59:08.795,People are really good with Photoshop these days aren't they?
00:59:10.129,00:59:12.298,"People have framed me, isn't that obvious?"
00:59:12.382,00:59:13.925,Why would anybody do that?
00:59:15.134,00:59:17.053,Have they got a vendetta against you?
00:59:17.136,00:59:18.972,Many people do.
00:59:19.055,00:59:22.100,- What for? - We won't get into that.
00:59:22.642,00:59:25.103,"Okay, we're not really getting very far."
00:59:25.186,00:59:29.065,"We'll have to leave it at that, I think. I mean-- Yes, I think we do. Thank you. Have a wonderful day."
00:00:11.845,00:00:12.679,Are you ready?
00:00:14.097,00:00:14.931,Yeah?
00:00:22.230,00:00:23.940,"You know, it's the Wild West, right?"
00:00:25.525,00:00:32.741,"There's the happy places where you look at cute little babies and wonderful, beautiful playfulness, and cute pictures of your kids going to school."
00:00:33.199,00:00:37.454,"But more than anything, people love cats. They love them."
00:00:38.621,00:00:42.667,And then there's another part of the Internet that is a free-for-all.
00:00:42.751,00:00:44.169,The seedy underbelly.
00:00:44.252,00:00:57.515,"You can post porn, violence, somebody getting pushed down stairs, religious statues being defamed, cruelty to the elderly, a street fight, bum fights, defamatory images of the Statue of Liberty, and nobody gives a crap."
00:00:57.932,00:00:58.933,Nobody's gonna bat an eye.
