start,end,script
00:02:32.944,00:02:34.737,"Are you all right, Miss Daisy?"
00:02:47.876,00:02:48.793,Look at it.
00:02:56.301,00:02:57.385,That's good!
00:03:16.321,00:03:18.948,"-Have some iced tea, ma'am. -Thanks. Nice."
00:03:24.162,00:03:26.122,You two get back to work.
00:03:27.206,00:03:28.541,"-Yes, ma'am. -Yes, ma'am."
00:03:28.625,00:03:32.337,"It must have just come right off, went back in."
00:03:38.635,00:03:40.345,Sure. With our policy it'll work.
00:04:02.825,00:04:04.577,-Mama. -No.
00:04:06.204,00:04:08.039,-Mama. -No.
00:04:08.623,00:04:13.336,"You know, it's a miracle you're not laying at Emory Hospital or decked out at the funeral parlor."
00:04:15.380,00:04:17.632,Cucumbers are pretty this summer.
00:04:17.715,00:04:20.218,Look at you. You didn't even break your glasses.
00:04:20.301,00:04:22.303,It was the car's fault.
00:04:22.387,00:04:25.348,"-Mama, you had the car in the wrong gear. -I did not."
00:04:26.057,00:04:28.184,"Idella, you want a pickle with your lunch?"
00:04:28.268,00:04:29.435,Not me.
00:04:29.519,00:04:31.771,"Well, I'm putting up a jar for you to take home to William."
00:04:31.854,00:04:33.314,-You hear? -Yessum.
00:04:34.399,00:04:37.026,You backed the car right into the Pollack's yard.
00:04:37.110,00:04:38.945,You should have let me keep my LaSalle.
00:04:39.028,00:04:41.698,It never would have behaved this way and you know it.
00:04:41.781,00:04:45.368,"Mama, cars don't behave. They are behaved upon."
00:04:45.451,00:04:47.870,Fact is you demolished that Chrysler all by yourself.
00:04:47.954,00:04:50.081,Think what you want. I know the truth.
00:04:50.164,00:04:54.002,"The truth is you just cost the insurance company $2,700."
00:04:54.085,00:04:55.962,You're a terrible risk.
00:04:56.045,00:04:58.089,Nobody's gonna wanna issue you a policy after this.
00:04:58.172,00:05:00.258,You're just saying that to be hateful.
00:05:01.134,00:05:05.138,"Okay. Yes, I am. I'm making it all up."
00:05:05.221,00:05:06.848,Look out there on the driveway!
00:05:07.598,00:05:12.937,Every insurance company in America is out there waving their fountain pens trying to get you to sign up.
00:05:13.021,00:05:17.650,If you're gonna stand in my pantry and lie like a rug I think it's time for you to go somewhere else.
00:05:18.318,00:05:19.152,Okay.
00:05:20.653,00:05:22.405,I better get back to the office.
00:05:23.531,00:05:26.993,Florine will be having a fit if I don't get home on time tonight.
00:05:27.076,00:05:31.039,-You all must have plans tonight. -Going to the Ansleys for a dinner party.
00:05:31.122,00:05:33.624,"This is her idea of heaven on earth, isn't it?"
00:05:33.708,00:05:37.295,-What? -Socializing with Episcopalians.
00:05:41.841,00:05:43.301,"You're a doodle, Mama."
00:05:44.177,00:05:45.845,I'll stop by tomorrow evening.
00:05:45.928,00:05:47.680,How do you know I'll be here?
00:05:47.764,00:05:50.600,I'm certainly not dependent on you for company.
00:05:50.683,00:05:53.227,"Fine, I'll call first."
00:05:53.311,00:05:56.647,"But you know, we have got some real serious talking to do."
00:05:56.731,00:05:58.900,-No. -Mama.
00:05:58.983,00:06:37.355,"After the ball is over After the break of morn After the dancers' leaving After the… Many a heart is aching Well, I need you now."
00:06:37.438,00:06:39.565,I have to be at the beauty shop in half an hour.
00:06:41.901,00:06:46.906,"No, I most certainly did not know you had to call a minimum of two hours ahead."
00:06:46.989,00:06:51.077,I don't know why you call yourself a taxicab company if you can't provide taxicabs.
00:06:52.120,00:06:55.748,Call your son down at the mill. He'd send somebody to carry you.
00:06:55.832,00:06:57.875,That won't be necessary.
00:06:57.959,00:07:00.920,I'll cancel the appointment and fix my own hair.
00:07:01.003,00:07:05.383,Sometimes I think you ain't got the sense God gave a lemon.
00:07:07.844,00:07:11.556,"-Two dots. I want that. -Oh, dear."
00:07:12.181,00:07:13.724,And a five bamboo.
00:07:13.808,00:07:17.019,"Well, this is not my day for mah-jongg. That's easy to see."
00:07:17.103,00:07:18.229,Nine bam.
00:07:18.312,00:07:20.815,I have to thank you all for coming here again.
00:07:20.898,00:07:24.694,"-I'm a real pariah without my car. -Oh, nonsense!"
00:07:24.777,00:07:26.946,-Three bam. -When are you getting a new one?
00:07:27.029,00:07:30.283,I don't know. Boolie's being real pokey about it.
00:07:30.366,00:07:32.869,"Don't worry, sugar. I'll come after you for temple tomorrow."
00:07:32.952,00:07:34.662,"Oh, that's sweet of you, honey."
00:07:38.749,00:07:40.960,"-Hey, Mama, you there? -Hey, Mother Werthan!"
00:07:41.043,00:07:42.336,It's just us!
00:07:42.420,00:07:45.339,-Why didn't you call? -We can't stay.
00:07:45.423,00:07:47.049,So I gather.
00:07:47.133,00:07:49.218,The Millers are giving a hay ride for their anniversary.
00:07:49.302,00:07:50.678,I had these made.
00:07:50.761,00:07:52.555,Doesn't your baby look cute?
00:07:52.638,00:07:55.600,"Well, it's not exactly the word I'd pick."
00:07:57.143,00:07:59.770,"New Graham Greene, huh? I've been wanting to read that."
00:07:59.854,00:08:03.691,"Well. I'm sorry, I can't lend it to you. It's due back at the library tomorrow."
00:08:03.774,00:08:05.985,"-Want me to return it for you? -No, thank you."
00:08:06.068,00:08:08.488,I will go to the library on the streetcar.
00:08:09.697,00:08:12.450,"Damn it, Mama. Would you quit being so stubborn?"
00:08:12.533,00:08:14.494,-You know perfectly well-- -Go on now.
00:08:14.577,00:08:17.455,Go on. You don't want to keep the horses waiting.
00:08:18.164,00:08:20.249,-Bye. -Bye.
