start,end,script
00:00:51.208,00:00:53.833,"Only you can decide what's best for you, Jesse."
00:00:54.791,00:00:56.166,"Not him, not me."
00:01:01.958,00:01:02.958,I'm out.
00:01:09.916,00:01:11.833,"So, what are you gonna do with all that money?"
00:01:14.125,00:01:16.250,Same thing I do with all the other money.
00:01:16.625,00:01:19.375,"How about you, teenage retiree?"
00:01:19.708,00:01:21.333,You'll be living the dream.
00:01:23.916,00:01:26.208,Not sure I should stick around town.
00:01:27.166,00:01:28.458,That's a start.
00:01:29.250,00:01:30.833,Nothing really keeping me here.
00:01:33.375,00:01:34.500,Where would you go?
00:01:35.500,00:01:36.583,If you were me.
00:01:40.208,00:01:41.666,"Like, if you were my age."
00:01:42.708,00:01:43.666,Just play along.
00:01:43.958,00:01:45.208,Make some conversation.
00:01:47.416,00:01:48.458,Alaska.
00:01:50.291,00:01:51.166,Yeah?
00:01:52.125,00:01:56.541,"Yeah, if I were your age, starting fresh, Alaska."
00:01:57.750,00:01:59.000,It's the last frontier.
00:02:00.041,00:02:01.958,"Up there, you could be anything you want."
00:02:07.750,00:02:08.625,Start over.
00:02:15.500,00:02:16.500,Put things right.
00:02:21.416,00:02:23.958,"Sorry, kid, that's the one thing you can never do."
00:03:31.750,00:03:33.125,"Dude, you suck."
00:03:36.208,00:03:38.916,Think you got Cheeto dust in the controller.
00:03:40.250,00:03:42.708,"It's a bad carpenter that blames his hammer, yo."
00:03:42.791,00:03:43.708,Whatever.
00:03:44.458,00:03:46.500,You're apexing too early. You're apexing too early.
00:03:46.583,00:03:50.250,"I'm apexing at the apex, bitch. Don't be telling me how to drive and shit."
00:03:53.041,00:03:54.583,You couldn't drive Miss Daisy.
00:03:55.166,00:03:56.500,Whatever that means.
00:03:57.333,00:04:00.041,You couldn't drive a short bus full of slow kids to the zoo.
00:04:00.333,00:04:02.458,"Yeah, because I'd be too distracted by you."
00:04:02.541,00:04:05.916,"You'd be sitting up front, in your special helmet, trying to hump my leg."
00:04:06.625,00:04:10.500,On account you couldn't drive Thelma and Louise off of that cliff. Apex!
00:04:10.583,00:04:13.000,I can't apex more than I'm already apexing.
00:04:16.250,00:04:18.625,"Dude, you-- you drive like my dead grandmoms."
00:04:18.708,00:04:20.083,That's disrespectful.
00:04:59.125,00:05:00.166,"Dude, you lost?"
00:05:08.000,00:05:09.000,Jesse?
00:06:13.708,00:06:16.583,"Man, what's wrong with you? I ain't watching no TV right now."
00:06:17.083,00:06:18.208,It's the news.
00:06:37.916,00:06:39.791,was altered and used to carry out this attack?
00:06:40.291,00:06:45.125,"To the best of my knowledge, it was an M60 machine gun, which, yes, that's strictly a military issue weapon."
