start,end,script
00:02:24.811,00:02:25.937,Not that one.
00:02:27.564,00:02:28.565,The next.
00:03:10.481,00:03:12.567,How am I to bear it when you are gone?
00:03:13.192,00:03:15.278,"I am going only half a mile, Emma."
00:03:15.361,00:03:20.158,But great is the difference between a Mrs. Weston half a mile away and a Miss Taylor in the house.
00:03:27.415,00:03:29.042,Dear Emma.
00:03:30.877,00:03:36.382,You have been a friend and companion such as few possess.
00:03:37.217,00:03:38.885,"A governess in office, but..."
00:03:40.553,00:03:42.847,...little short of a mother in affection.
00:03:43.556,00:03:46.309,I wish you every happiness on your wedding day.
00:03:57.528,00:04:00.073,It's a pity Mr. Weston ever thought of her.
00:04:02.492,00:04:06.913,"Papa, Mr. Weston is such a good-humored, pleasant, excellent man."
00:04:06.996,00:04:08.373,He thoroughly deserves a good wife.
00:04:09.123,00:04:12.835,And you would not have had Miss Taylor live with us forever when she might have had a house of her own.
00:04:12.919,00:04:15.129,A house of her own. Where is the advantage of a house of her own?
00:04:16.631,00:04:18.299,...three times as large.
00:04:20.260,00:04:23.263,"It's entirely unnecessary. Poor Miss Terry, poor Isabella!"
00:04:23.346,00:04:25.265,"My sister married seven years ago, Papa."
00:04:25.348,00:04:27.058,You must be reconciled to it by now.
00:04:27.141,00:04:28.601,That was a terrible day.
00:04:39.112,00:04:43.157,It shall always be a matter of great joy to me that I made the match myself.
00:04:43.241,00:04:47.203,"Everyone said Mr. Weston would never marry again, but I did not believe it."
00:04:47.287,00:04:49.831,"Emma, you should not make matches or foretell things."
00:04:53.293,00:04:54.627,You must not make any more.
00:04:54.711,00:04:57.505,"I promise to make none for myself, Papa."
00:04:58.339,00:05:00.091,But I must indeed for other people.
00:05:00.591,00:05:02.468,It is the greatest amusement in the world.
00:05:03.219,00:05:05.346,"And after such success, you know."
00:05:18.234,00:05:20.403,Miss Bates. Mrs. Bates.
00:05:22.697,00:05:24.198,"Mr. Woodhouse, sir. Miss Woodhouse."
00:05:25.408,00:05:28.077,"-Mr. Cole, Mrs. Cole. -Good morning."
00:05:38.504,00:05:39.464,Miss Woodhouse!
00:05:41.174,00:05:42.050,Morning.
00:05:42.133,00:05:44.093,Is this not the most happy...
00:05:44.177,00:05:46.554,"happy, the most fortunate?"
00:05:46.637,00:05:49.724,"This morning, I could not get my bonnet on for trembling."
00:05:50.433,00:05:51.601,Hmm.
00:05:51.684,00:05:53.811,Surrounded by blessings.
00:05:54.562,00:05:56.397,Wanting for nothing.
00:05:57.356,00:05:58.983,I am trembling again.
00:06:07.116,00:06:09.619,I have a fancy that Mr. Weston's son may surprise us.
00:06:09.702,00:06:10.953,Frank Weston?
00:06:11.037,00:06:12.830,"He's Frank Churchill now, Papa."
00:06:13.456,00:06:14.916,He's his uncle's heir.
00:06:14.999,00:06:16.834,"When he came of age, he took his uncle's name."
00:06:17.543,00:06:19.170,I so long to meet him.
00:06:19.253,00:06:20.963,But how do you know he might surprise us?
00:06:21.839,00:06:23.424,It is his father's wedding day.
00:06:24.217,00:06:26.427,Mr. Weston speaks of him so highly.
00:06:26.511,00:06:28.513,I cannot doubt that he will come.
00:06:48.991,00:06:50.701,Poor Miss Taylor.
00:06:59.418,00:07:08.928,"Dearly beloved friends, we gather here in the sight of God to join together this man and this woman..."
00:07:11.347,00:07:18.813,an honorable estate instituted by God in this time of... of man's great innocence.
00:07:19.689,00:07:20.982,In no sense?
00:07:21.858,00:07:23.192,Innocence.
00:07:23.860,00:07:24.902,No?
00:07:25.403,00:07:26.404,Well...
00:07:30.908,00:07:31.868,Mmm.
00:07:40.042,00:07:42.837,"Mother, you must eat. It is impolite not to eat."
00:07:47.675,00:07:48.509,I was just telling...
00:08:58.412,00:08:59.830,"You know what I'm about to say, sir."
00:08:59.914,00:09:02.083,Why do you keep a carriage if you never put it out?
00:09:02.166,00:09:05.211,It's just such a shame to see it standing by.
