start,end,script
00:00:36.745,00:00:43.752,-MALE #1: IN THE FIRST YEARS OF THE 21ST CENTURY...
00:00:43.794,00:00:48.298,...A THIRD WORLD WAR BROKE OUT.
00:00:48.340,00:00:58.767,THOSE OF US WHO SURVIVED KNEW MANKIND COULD NEVER SURVIVE...
00:00:58.809,00:01:00.853,A FOURTH...
00:01:00.895,00:01:09.862,THAT OUR OWN VOLATILE NATURES COULD SIMPLY NO LONGER BE RISKED.
00:01:09.904,00:01:14.867,SO WE HAVE CREATED A NEW ARM OF THE LAW...
00:01:16.035,00:01:32.217,"THE GRAMMATON CLERIC, WHOSE SOLE TASK IT IS TO SEEK OUT AND ERADICATE THE TRUE SOURCE OF MAN'S INHUMANITY TO MAN."
00:01:32.259,00:01:35.888,HIS ABILITY...
00:01:35.930,00:01:39.016,TO FEEL.
00:01:39.058,00:01:40.267,-POLICE!
00:01:55.950,00:01:57.325,-YOU KNOW WHAT TO DO.
00:02:12.091,00:02:13.968,GET DOWN!
00:03:00.305,00:03:04.559,-MALE #2: WE HAVE AN UNKNOWN NUMBER OF EXILES BARRICADED IN THE SOUTHEAST END OF THE COMPOUND.
00:03:04.601,00:03:07.354,-MALE #3: READ THAT.
00:03:07.395,00:03:11.650,"-CLERIC, LIGHTS OUT, MAYBE MORE THAN A DOZEN INSIDE."
00:03:11.692,00:03:13.485,"-WHEN THE DOOR'S DOWN, BLOW THE BULBS."
00:03:13.527,00:03:15.863,"-YES, SIR."
00:03:19.867,00:03:20.993,GO.
00:04:09.416,00:04:12.419,-WHERE IS HE?
00:04:12.460,00:04:13.962,"-MALE #4: DID ANYBODY GET HIM, DID ANYBODY HIT HIM?"
00:04:14.004,00:04:16.381,-MALE: #5: SHUT UP!
00:04:16.423,00:04:18.258,LISTEN.
00:06:17.002,00:06:18.128,-THIS IS IT.
00:06:18.170,00:06:20.797,-WHERE?
00:06:20.839,00:06:24.218,-THERE.
00:07:02.214,00:07:04.507,-IT'S REAL.
00:07:09.512,00:07:12.724,-BURN IT.
00:07:51.388,00:07:55.725,WHY DIDN'T YOU JUST LEAVE IT FOR THE EVIDENTIARY TEAM TO COLLECT AND LOG?
00:08:00.605,00:08:04.192,-THEY MISS THINGS SOMETIMES.
00:08:04.234,00:08:07.570,I THOUGHT I'D TAKE IT DOWN MYSELF.
00:08:07.612,00:08:09.906,GET IT DONE PROPERLY.
00:08:14.328,00:08:16.496,"HOW LONG, PRESTON..."
00:08:16.537,00:08:19.707,TILL ALL THIS IS GONE?
00:08:19.749,00:08:24.004,TILL WE'VE BURNED EVERY LAST BIT OF IT?
00:08:24.045,00:08:27.799,-RESOURCES ARE TIGHT.
00:08:27.841,00:08:31.178,WE'LL GET IT ALL EVENTUALLY.
00:08:35.474,00:08:38.059,MALE #1: LIBRIA...
00:08:38.101,00:08:41.313,I CONGRATULATE YOU.
00:08:41.355,00:08:43.148,AT LAST...
00:08:43.190,00:08:48.028,PEACE REIGNS IN THE HEART OF MAN.
00:08:48.069,00:08:54.701,"AT LAST, WAR IS BUT A WORD WHOSE MEANING FADES FROM OUR UNDERSTANDING."
00:08:54.742,00:08:56.619,AT LAST...
00:08:56.661,00:08:58.079,WE...
00:08:58.121,00:08:59.456,ARE...
00:08:59.498,00:09:01.458,WHOLE.
00:09:08.756,00:09:14.471,"LIBRIANS, THERE IS A DISEASE IN THE HEART OF MAN."
00:09:14.513,00:09:18.225,ITS SYMPTOM IS HATE.
00:09:18.266,00:09:19.893,ITS SYMPTOM...
00:09:19.934,00:09:22.396,IS ANGER.
00:09:22.437,00:09:26.983,ITS SYMPTOM IS RAGE.
00:09:27.025,00:09:28.943,ITS SYMPTOM...
00:09:28.985,00:09:32.447,IS WAR.
00:09:32.489,00:09:35.116,THE DISEASE...
00:09:35.158,00:09:38.203,IS HUMAN EMOTION.
00:09:38.245,00:09:40.372,"BUT, LIBRIA..."
00:09:40.414,00:09:42.374,I CONGRATULATE YOU.
00:09:42.416,00:09:45.335,FOR THERE IS A CURE FOR THIS DISEASE.
00:09:45.377,00:09:53.176,"AT THE COST OF THE DIZZYING HIGHS OF HUMAN EMOTION, WE HAVE SUPPRESSED ITS ABYSMAL LOWS."
00:09:53.218,00:09:59.640,AND YOU AS A SOCIETY HAVE EMBRACED THIS CURE.
00:09:59.682,00:10:01.851,PROZIUM.
00:10:01.893,00:10:09.067,"NOW WE ARE AT PEACE WITH OURSELVES, AND HUMANKIND IS ONE."
00:10:09.109,00:10:11.027,WAR IS GONE.
00:10:11.069,00:10:14.072,"HATE, A MEMORY."
00:10:14.114,00:10:17.617,WE ARE OUR OWN CONSCIENCE NOW.
00:10:17.658,00:10:28.503,AND IT IS THIS CONSCIENCE THAT GUIDES US TO RATE E-C-10 FOR EMOTIONAL CONTENT ALL THOSE THINGS THAT MIGHT TEMPT US TO FEEL AGAIN...
00:10:28.545,00:10:30.380,AND DESTROY THEM.
00:10:30.422,00:10:34.675,"LIBRIANS, YOU HAVE WON."
00:10:34.717,00:10:38.972,AGAINST ALL ODDS AND YOUR OWN NATURES...
00:10:39.013,00:10:42.350,YOU HAVE SURVIVED!
00:11:03.622,00:11:10.128,"-PRESTON: EVERY TIME WE COME FROM THE NETHERS TO THE CITY, IT REMINDS WHY WE DO WHAT WE DO."
00:11:10.170,00:11:13.340,-IT DOES?
00:11:13.381,00:11:15.425,-I BEG YOUR PARDON.
00:11:20.096,00:11:23.057,-IT DOES.
00:11:34.693,00:11:48.291,"FEMALE #1: THE FOLLOWING ITEMS HAVE BEEN RATED E-C-10, CONDEMNED, SEVEN WORKS OF TWO-DIMENSIONAL ILLUSTRATED MATERIAL, SEVEN DISCS OF MUSICAL CONTENT, TWENTY INTERACTIVE STRATEGY COMPUTER PROGRAMS."
00:11:48.333,00:11:51.127,-MALE #6: SEVEN WORKS OF TWO-DIMENSIONAL...
00:11:55.798,00:11:57.842,"-MALE #7: THANK YOU FOR COMING, CLERIC."
00:11:57.884,00:12:00.053,I ASSUME YOU KNOW WHO I AM.
00:12:00.094,00:12:07.268,"-PRESTON: YES, SIR. OF COURSE, YOU ARE VICE COUNCIL DUPONT, THE THIRD CONCILIARY OF THE TETRAGRAMMATON, FATHER'S VOICE."
00:12:07.310,00:12:17.445,"-QUITE FRANKLY, CLERIC, I AM TOLD THAT YOU ARE VERY NEARLY A PRODIGAL STUDENT, KNOWING ALMOST INSTANTLY IF SOMEONE IS FEELING."
00:12:17.487,00:12:19.573,"-I HAVE A GOOD RECORD, SIR."
00:12:19.614,00:12:22.450,"-WHY, DO YOU IMAGINE, THAT IS, CLERIC?"
00:12:22.492,00:12:25.744,"-I'M NOT SURE, VICE COUNCIL."
00:12:25.786,00:12:28.747,SOMEHOW...
00:12:28.789,00:12:32.126,I'M ABLE ON SOME LEVEL TO...
00:12:32.168,00:12:36.631,SENSE HOW AN OFFENDER THINKS TO...
00:12:36.673,00:12:39.800,PUT MYSELF IN THEIR POSITION.
00:12:39.842,00:12:47.475,"-IF YOU HAD CEASED YOUR INTERVAL, IF YOU WERE A SENSE OFFENDER..."
00:12:47.517,00:12:49.936,"-PRESTON: I SUPPOSE YOU COULD SAY THAT, SIR."
00:12:49.977,00:12:52.146,"-YOU'RE A FAMILY MAN, CLERIC?"
00:12:52.188,00:12:53.732,"-YES, SIR, A BOY AND A GIRL."
00:12:53.772,00:12:57.360,"THE BOY'S IN THE MONASTERY HIMSELF, ON PATH TO BECOMING A CLERIC."
00:12:57.402,00:12:59.112,-GOOD.
00:12:59.153,00:13:00.363,AND THE MOTHER?
00:13:00.405,00:13:03.658,"-MY SPOUSE WAS ARRESTED AND INCINERATED FOR SENSE OFFENSE FOUR YEARS AGO, SIR."
00:13:03.700,00:13:04.576,-BY YOURSELF?
00:13:04.618,00:13:07.537,"-NO, SIR, BY ANOTHER."
00:13:07.579,00:13:13.000,-HOW DID YOU FEEL ABOUT THAT?
00:13:13.042,00:13:15.002,"-I'M SORRY, I DON'T..."
00:13:15.044,00:13:18.005,"FULLY UNDERSTAND, SIR."
00:13:18.047,00:13:21.468,-HOW DID YOU FEEL?
00:13:21.509,00:13:24.178,-I DIDN'T FEEL ANYTHING.
00:13:24.220,00:13:26.723,-REALLY?
00:13:26.765,00:13:29.892,HOW IS IT THAT YOU CAME TO MISS IT?
00:13:34.021,00:13:38.777,-I...
00:13:38.817,00:13:40.779,"I'VE ASKED MYSELF THAT SAME QUESTION, SIR."
00:13:40.819,00:13:43.948,I DON'T KNOW.
00:13:43.990,00:13:49.412,"-A NEARLY UNFORGIVABLE LAPSE, CLERIC."
00:13:49.454,00:13:55.418,I TRUST YOU'LL BE MORE VIGILANT IN THE FUTURE.
00:13:55.460,00:13:58.087,"-YES, SIR."
00:14:01.341,00:14:07.388,"EVERY TIME WE COME FROM THE NETHERS TO THE CITY, IT REMINDS WHY WE DO WHAT WE DO."
00:14:07.430,00:14:09.599,-MALE #8: IT DOES?
00:14:09.641,00:14:15.355,"-PRESTON: EVERY TIME WE COME FROM THE NETHERS TO THE CITY, IT REMINDS ME OF WHY WE DO WHAT WE DO."
00:14:15.396,00:14:17.023,-IT DOES?
00:14:19.317,00:14:20.985,IT DOES.
00:14:23.488,00:14:25.072,-PRESTON: PROSECUTORIAL EVIDENCE FOR A.N.R.
00:14:25.114,00:14:27.367,1-3-6-8-9-0.
00:14:27.408,00:14:30.036,I NEED IT.
00:14:30.077,00:14:35.375,"IT WAS LATE THIS AFTERNOON, MAY NOT HAVE SHOWED UP IN THE RECORDS YET."
00:14:35.416,00:14:40.338,"-I'M VERY SORRY, CLERIC, NOTHING HAS BEEN LOGGED AND NOTHING IS PENDING UNDER THAT ENTRY."
00:14:40.380,00:14:43.966,-IT WAS AN ITEM OF EVIDENCE BROUGHT IN PERSONALLY BY GRAMMATON ERROL PARTRIDGE.
00:14:44.008,00:14:46.511,CHECK AGAIN.
00:14:44.008,00:14:49.681,"-SIR, CLERIC PARTRIDGE HAS NOT ENTERED ANYTHING IN FOR WEEKS."
00:14:49.723,00:14:52.684,"-YOU'RE MISTAKEN, IT WAS A BOOK OF SOME KIND."
00:14:52.726,00:14:56.103,-CLERIC...
00:14:56.145,00:14:59.106,THERE'S NOTHING.
00:14:59.148,00:15:00.734,-THANK YOU.
00:15:05.405,00:15:08.366,-HE'S BEEN PASSING THROUGH THE GATE INTO THE NETHER EVERY NIGHT FOR THE LAST TWO WEEKS.
00:15:08.408,00:15:11.828,WE ASSUMED IT WAS ENFORCEMENT RELATED.
00:15:53.870,00:15:57.290,-YOU ALWAYS KNEW.
00:16:05.924,00:16:08.635,"BUT I, BEING POOR..."
00:16:08.676,00:16:11.679,HAVE ONLY MY DREAMS.
00:16:11.721,00:16:16.309,I HAVE SPREAD MY DREAMS UNDER YOUR FEET.
00:16:16.350,00:16:18.686,TREAD SOFTLY...
00:16:18.728,00:16:23.775,BECAUSE YOU TREAD ON MY DREAMS.
00:16:23.817,00:16:27.570,"I ASSUME YOU DREAM, PRESTON."
00:16:27.612,00:16:32.533,-I'LL DO WHAT I CAN TO SEE THEY GO EASY ON YOU.
00:16:32.575,00:16:34.911,-WE BOTH KNOW...
00:16:34.953,00:16:37.371,THEY NEVER GO EASY.
00:16:37.413,00:16:39.457,-THEN I'M SORRY.
00:16:39.499,00:16:41.125,"-NO, YOU'RE NOT."
00:16:41.167,00:16:44.462,YOU DON'T EVEN KNOW THE MEANING.
00:16:44.504,00:16:45.797,IT'S JUST A...
00:16:45.839,00:16:50.844,VESTIGIAL WORD FOR A FEELING YOU'VE NEVER FELT.
00:16:50.885,00:16:53.220,"DON'T YOU SEE, PRESTON?"
00:16:53.262,00:16:55.682,IT'S GONE.
00:16:55.723,00:16:59.059,"EVERYTHING THAT MAKES US WHAT WE ARE, TRADED AWAY."
00:16:59.101,00:17:01.813,-THERE'S NO WAR.
00:17:01.855,00:17:05.191,NO MURDER.
00:17:05.232,00:17:06.818,-WHAT IS IT YOU THINK WE DO?
00:17:06.860,00:17:08.528,-NO.
00:17:08.569,00:17:12.031,"YOU'VE BEEN WITH ME, YOU'VE SEEN HOW IT CAN BE, THE JEALOUSY..."
00:17:12.072,00:17:15.827,RAGE.
00:17:15.869,00:17:20.373,-A HEAVY COST.
00:17:20.414,00:17:23.209,I'D PAY IT GLADLY.
00:17:46.106,00:17:48.401,-DON'T.
00:18:30.192,00:18:34.030,-YOU AND YOUR PARTNER WERE CLOSE?
00:18:38.993,00:18:44.206,I HOPE YOU'RE AS PLEASED TO BE ASSIGNED ME AS I AM THE PLACEMENT.
00:18:44.248,00:18:48.002,I WAS TOLD THIS WOULD BE A CAREER MAKING ADVANCEMENT.
00:18:52.172,00:18:57.095,"I'M LIKE YOU, CLERIC, INTUITIVE."
00:18:57.136,00:19:02.516,SOMETIMES I KNOW WHEN A PERSON'S FEELING BEFORE THEY KNOW IT THEMSELVES.
00:19:11.734,00:19:14.904,CLERIC...
00:19:14.946,00:19:17.740,I CAN ONLY HOPE ONE DAY TO BE AS...
00:19:17.782,00:19:21.535,UNCOMPROMISING AS YOU.
00:19:21.577,00:19:23.579,-GOOD NIGHT.
00:19:25.665,00:19:36.467,-MALE #1: THE LATER 20TH CENTURY SAW THE FORTUITOUS AND SIMULTANEOUS RISE OF TWO SYNERGISTIC POLITICAL AND PSYCHOLOGICAL SCIENCES.
00:19:36.509,00:19:42.640,"THE FIRST, THE REVOLUTIONARY PRECEPT OF THE HATE CRIME."
00:19:42.682,00:19:44.224,-JOHN?
00:19:44.266,00:19:46.393,-YES?
00:19:46.435,00:19:49.229,-I SAW ROBBIE TAYLOR CRYING TODAY.
00:19:49.271,00:19:52.191,"HE DIDN'T KNOW, BUT I SAW."
00:19:52.232,00:19:55.235,DO YOU THINK I SHOULD REPORT HIM?
00:20:00.366,00:20:03.202,-UNQUESTIONABLY.
00:20:07.540,00:20:10.918,-MALE #1: ... OF A SINGLE INESCAPABLE FACT...
00:20:10.960,00:20:16.883,THAT MANKIND UNITED WITH INFINITELY GREATER PURPOSE IN PURSUIT OF WAR...
00:20:16.924,00:20:20.970,THAN HE EVER DID IN PURSUIT OF PEACE.
00:20:29.187,00:20:32.065,"-PARTRIDGE: BUT I, BEING POOR..."
00:20:32.106,00:20:35.151,HAVE ONLY MY DREAMS.
00:20:35.193,00:20:39.822,I HAVE SPREAD MY DREAMS UNDER YOUR FEET.
00:20:39.864,00:20:42.075,TREAD SOFTLY...
00:20:42.116,00:20:46.079,BECAUSE YOU TREAD ON MY DREAMS.
00:21:28.412,00:21:31.165,"-DON'T MOVE, DON'T MOVE, COMPLY, COMPLY!"
00:21:31.207,00:21:33.375,"-STOP, STOP WHERE YOU ARE!"
00:21:38.005,00:21:39.715,"-DON'T SHOOT, THIS IS A LAWFUL ENTRY."
00:21:39.757,00:21:41.217,WE HAVE A WARRANT FOR YOUR WIFE'S ARREST.
00:21:41.259,00:21:44.344,SHE'S CHARGED WITH SENSE OFFENSE.
00:21:57.650,00:22:02.196,"-HEY, GET HER, GET HER OFF HIM NOW!"
00:22:02.238,00:22:04.991,-REMEMBER ME.
00:22:17.044,00:22:19.172,-MALE #1: LIBRIA...
00:22:19.213,00:22:20.881,AWAKE.
00:22:20.923,00:22:32.185,"AWAKEN TO TRIUMPH AGAIN IN THE FACE OF YET ANOTHER DAY, ANOTHER STEP IN OUR UNIFIED MARCH INTO THE UNWAVERING PURPOSE..."
00:22:38.440,00:22:44.655,...MOVE AHEAD TOGETHER INTO THE CERTAINTY OF OUR COLLECTIVE DESTINY.
00:23:04.258,00:23:07.011,-PRESTON'S SON: WHAT ARE YOU DOING?
00:23:09.429,00:23:12.516,"I SAID, WHAT ARE YOU DOING?"
00:23:12.558,00:23:15.269,-I ACCIDENTLY DROPPED MY...
00:23:15.311,00:23:17.646,MORNING INTERVAL.
00:23:17.688,00:23:21.192,I TOOK IT OUT BEFORE I BRUSHED MY TEETH.
00:23:21.234,00:23:23.527,I NEVER TAKE IT OUT BEFORE I BRUSH MY TEETH.
00:23:23.569,00:23:30.492,"-THEN YOU'LL GO BY EQUILIBRIUM, LOG THE LOSS, AND GET A REPLACEMENT."
00:23:30.534,00:23:32.328,-YES.
00:23:32.370,00:23:35.998,OF COURSE.
00:23:54.683,00:23:56.310,-YOUR NEW PARTNER CALLED.
00:23:56.352,00:23:59.313,HE SAYS HE'LL PICK YOU UP AT TEN FOR THE A.N.R.
00:23:59.355,00:24:01.107,I HOPE YOU DON'T MIND.
00:24:01.148,00:24:07.280,"I TOOK THE LIBERTY OF TELLING HIM YOU WOULD BE AT EQUILIBRIUM, REPLACING YOUR DOSE."
00:24:07.321,00:24:09.031,"-NO, OF COURSE NOT."
00:24:09.073,00:24:11.617,THAT WAS THE RIGHT THING TO DO.
00:24:14.745,00:24:17.164,-STOP THAT.
00:24:23.712,00:24:28.134,"-ANNOUNCERS: DUE TO TERRORIST ACTIVITY, THIS SITE IS TEMPORARILY CLOSED."
00:24:28.175,00:24:35.224,PROCEED TO THE EQUILIBRIUM CENTER IN SECTOR 8-A.
00:24:35.266,00:24:39.686,"DUE TO TERRORIST ACTIVITY, THIS SITE IS TEMPORARILY CLOSED."
00:24:39.728,00:24:42.440,THIS SITE IS TEMPORARILY CLOSED.
00:24:42.522,00:24:45.985,PROCEED TO THE EQUILIBRIUM CENTER IN SECTOR 8-A.
00:24:51.824,00:24:53.742,"-MORE THAN PUNCTUAL, CLERIC."
00:24:53.784,00:24:55.619,HOP IN.
00:25:08.674,00:25:10.468,HOW ARE THE LINES?
00:25:10.508,00:25:15.014,I'M SURPRISED YOU WERE ABLE TO GET YOUR INTERVAL AND GET OUT SO QUICKLY.
00:25:15.055,00:25:18.558,"-NO, THEY'RE, THEY'RE FINE TODAY."
00:25:21.020,00:25:26.775,"-MAYBE I'LL DROP BY LATER, GET MY INTERVAL ADJUSTED."
00:25:26.817,00:25:29.403,-YOU EXPECTING RESISTANCE?
00:25:29.445,00:25:31.280,"-THAT'S SOMETHING YOU'LL FIND ABOUT ME, CLERIC."
00:25:31.322,00:25:39.121,"I'M A WARY PERSON, CAUTIOUS BY NATURE, ALWAYS EXPECTING THE WORST."
00:25:41.499,00:25:43.125,"-YOU CAN'T DO THIS, YOU CANNOT DO THIS."
00:25:43.167,00:25:47.046,"-TETRAGRAMMATON, THERE'S NOTHING WE CAN'T DO."
00:25:47.087,00:25:49.465,HOW LONG HAVE YOU BEEN OFF THE DOSE?
00:25:49.507,00:25:52.176,LOOK AT YOU.
00:25:52.218,00:25:54.345,LOOK AT YOU!
00:26:00.476,00:26:02.602,LOOK AT YOU.
00:26:03.896,00:26:07.274,"THE MIRROR'S FRAME'S ILLEGAL, DESTROY IT."
00:26:15.199,00:26:17.784,"-MALE #9: WE HAVE SUPPRESSION, WE'RE MAKING ENTRY."
00:26:17.826,00:26:19.370,STANDARD DEPLOYMENT.
00:26:19.412,00:26:22.415,"COLLECTING CATALOG, ILLEGAL ARTICLES."
00:27:08.419,00:27:11.505,"-YOU'RE GONNA BURN IT, AREN'T YOU?"
00:27:11.547,00:27:13.757,-EVENTUALLY.
00:27:13.799,00:27:17.635,"HOWEVER, YOU COULDN'T HAVE ACCUMULATED ALL THIS BY YOURSELF."
00:27:17.677,00:27:19.888,IT'LL ALL BE SORTED AND EXAMINED.
00:27:19.930,00:27:23.850,WE'LL DISCOVER WHO YOUR CONFEDERATES ARE.
00:27:25.144,00:27:26.604,-GUN!
00:27:43.996,00:27:47.583,-WE NEED HER.
00:28:11.524,00:28:13.359,WHAT'S YOUR NAME?
00:28:13.400,00:28:16.820,"-O'BRIEN, MARY."
00:28:16.862,00:28:19.490,"-WELL, MARY..."
00:28:19.532,00:28:25.078,YOU CAN EITHER WAIT AND TELL THE TECHNICIANS AT THE PALACE OF JUSTICE...
00:28:25.120,00:28:27.705,OR YOU CAN TELL ME NOW.
00:28:27.747,00:28:31.418,WHO ARE YOUR FRIENDS?
00:28:33.462,00:28:39.759,"-I'M WONDERING IF YOU HAVE ANY IDEA AT ALL WHAT THAT WORD MEANS, FRIEND."
