start,end,script
00:05:41.750,00:05:43.416,"I think you dropped something, no?"
00:05:44.958,00:05:45.875,No?
00:05:52.500,00:05:53.541,Did you buy this inside?
00:05:53.625,00:05:55.625,"-No, it's not ours. -Don't worry, relax."
00:05:58.708,00:05:59.875,It's all good.
00:05:59.958,00:06:01.416,You boys are lucky.
00:06:01.916,00:06:03.541,You got your whole lives ahead of you.
00:06:33.583,00:06:35.291,You all leave.
00:06:35.375,00:06:38.708,Leave. Move fast.
00:06:53.791,00:06:59.250,"I told you, you dumb motherfucker, to watch his every move..."
00:06:59.875,00:07:02.375,...and yet Amir Asif has grabbed my son.
00:07:03.625,00:07:04.875,We can negotiate.
00:07:04.958,00:07:06.833,"This isn't about ransom, Saju."
00:07:08.458,00:07:09.833,It's about humiliation.
00:07:17.833,00:07:18.958,Go to Dhaka.
00:07:21.250,00:07:22.166,And do what?
00:07:22.250,00:07:23.833,Steal him back.
00:07:24.833,00:07:26.583,"I'd need an army, Ovi."
00:07:26.666,00:07:28.541,Then hire a fucking army!
00:07:32.291,00:07:33.666,What do you think?
00:07:35.416,00:07:38.791,You think I can't hurt you from here?
00:07:40.750,00:07:42.083,"Ovi, please..."
00:07:43.666,00:07:46.958,You want your son to see his next birthday?
00:07:49.333,00:07:50.375,Then...
00:07:51.708,00:07:53.541,get mine back.
00:08:09.666,00:08:12.333,Tell Mahajan to pay the ransom and get his son back.
00:08:14.791,00:08:16.000,Why are they getting us involved in this?
00:08:21.416,00:08:22.541,Neysa...
00:08:23.958,00:08:25.416,There's not enough money.
00:08:25.916,00:08:28.333,The NCB have frozen Mahajan's assets.
00:08:41.708,00:08:44.166,There's a man who does this sort of thing.
00:08:44.666,00:08:48.291,His price will be out of Mahajan's reach.
00:08:48.916,00:08:50.666,But there's a way I can play this.
00:08:50.750,00:08:52.250,It will not be easy.
00:08:54.458,00:08:55.875,Do whatever you have to.
00:17:09.833,00:17:11.041,Proof.
00:17:11.916,00:17:12.916,Money.
00:17:13.541,00:17:14.458,Proof.
00:17:16.958,00:17:18.166,Show me proof.
00:17:18.250,00:17:19.833,Money!
00:18:06.416,00:18:07.375,Bastard!
00:18:07.458,00:18:09.250,Didn't even blink!
00:18:32.625,00:18:33.833,"Come on, boy!"
00:18:34.625,00:18:36.208,Show me your face.
00:18:39.333,00:18:41.375,Beautiful!
00:19:18.625,00:19:19.458,Move it!
00:19:19.541,00:19:21.166,Let's go!
00:24:29.041,00:24:31.125,Sons of bitches.
00:24:32.250,00:24:34.208,Anybody feel like they remember now?
00:24:38.083,00:24:38.916,Wait!
00:24:40.041,00:24:40.916,I know...
00:24:46.500,00:24:47.500,I know who took the money.
00:24:47.583,00:24:48.416,Who?
00:24:48.500,00:24:50.125,-Sanjib. -Who's Sanjib?
00:24:50.208,00:24:52.500,You just threw him off the roof.
00:24:56.166,00:24:57.166,Come here.
00:25:05.208,00:25:06.291,What's your name?
00:25:06.375,00:25:07.500,Farhad.
00:25:07.583,00:25:08.916,Farhad?
00:25:10.416,00:25:12.333,You're pretty clever.
00:25:15.625,00:25:17.083,Pay attention...
00:25:17.166,00:25:18.208,and learn...
00:25:19.083,00:25:20.666,that's how you survive.
00:25:21.250,00:25:24.750,You need to be smart. Use your wits.
00:25:26.541,00:25:27.708,Farhad?
00:25:40.583,00:25:42.458,Cut off two of your fingers.
00:25:43.458,00:25:44.583,Any two.
00:25:45.083,00:25:45.916,Why?
00:25:46.000,00:25:50.666,Because the kid who stole from me is dead.
00:25:51.333,00:25:57.958,And I'd like a walking reminder of what happens when you touch my money.
00:26:02.791,00:26:04.458,I'd recommend the left hand.
00:26:05.125,00:26:08.500,So you can still hold a gun.
00:26:16.166,00:26:17.000,Amir!
00:26:17.083,00:26:18.416,I am talking!
00:26:18.500,00:26:19.750,"Amir, we lost the kid."
00:26:28.833,00:26:31.750,Clever and lucky...
00:26:38.500,00:26:39.916,Close the city.
00:26:40.500,00:26:41.791,"Bridges, trains, airports..."
00:26:41.875,00:26:43.166,Close everything.
00:26:43.750,00:26:44.833,"Impossible, Amir."
00:26:48.875,00:26:56.958,"Make it possible, Colonel, or you'll lose more than just a finger."
00:30:24.916,00:30:27.875,Blockades have been set up on every bridge into and out of Dhaka.
00:30:28.458,00:30:31.666,I have teams combing the Buriganga as we speak.
00:30:31.750,00:30:33.166,"We'll find them, sir."
00:30:39.458,00:30:40.708,I like this one.
00:30:41.375,00:30:43.958,Get him a gun. Put his fingers to work.
00:32:44.750,00:32:48.625,"Colonel, stand by. We think we found something."
00:33:58.416,00:34:00.208,We need air support by the river.
00:34:00.291,00:34:02.000,They're in the forest.
00:34:20.500,00:34:21.791,"Ovi, it's Saju!"
00:34:22.416,00:34:23.666,I'm here to take you home!
00:40:11.250,00:40:13.875,Help! Help! Help!
00:40:20.416,00:40:21.875,Come here.
00:40:32.458,00:44:42.625,"Come here, you little shit-- Are you hurt?"
00:46:32.041,00:46:35.083,The vehicle crashed. It flipped over and is in flames.
00:46:37.291,00:46:38.750,I want to see the bodies.
00:46:41.583,00:46:42.875,We're coming.
00:47:37.166,00:47:38.166,They're still alive.
00:47:38.750,00:47:41.541,One is seriously injured.
