start,end,script
01:24:12.583,01:24:14.625,Always.
01:24:15.333,01:24:18.000,We are family.
01:24:18.083,01:24:19.291,Always.
01:33:23.208,01:33:25.708,What happened to your amazing job?
00:00:23.583,00:00:55.041,Reminder. Audition-- Come on.
00:01:12.291,00:01:13.416,Oh!
00:01:26.500,00:01:27.416,Thank you!
00:01:27.500,00:01:28.708,This is my taxi!
00:01:28.791,00:01:30.375,This is a matter of life and death.
00:01:36.166,00:01:37.250,Oh!
00:02:21.166,00:02:22.291,Be fierce!
00:02:23.958,00:02:24.833,Work it!
00:02:29.500,00:02:31.125,Yes! Push!
00:02:31.750,00:02:33.000,Push!
00:02:41.583,00:02:42.750,Sixteen.
00:02:44.541,00:02:46.583,And 22.
00:02:52.458,00:02:53.500,You're cut.
00:02:55.083,00:02:55.916,Collette?
00:02:56.000,00:02:58.583,"One moment, ladies. I'll be right back."
00:03:01.583,00:03:03.833,Ruth Zimmer would like to take a look at you.
00:03:04.083,00:03:05.208,She's coming in now.
00:03:18.208,00:03:19.250,She would.
00:03:21.458,00:03:24.875,"So, you're a really good dancer, are you?"
00:03:24.958,00:03:27.458,I'll bet you're really good. You look like you are.
00:03:28.416,00:03:34.166,Like you put every hour of every day into sharpening every skill and every move so you can be perfect.
00:03:34.750,00:03:46.166,"But missy, your dreams will never come true, because as long as I live, and I've got a lot of years left, I will make sure that you are never hired for any show, on Broadway, Off-Broadway or Off-Off-Broadway."
00:03:46.625,00:03:49.083,"Your career is over, chorus girl."
00:03:49.500,00:03:51.875,"-Miss Zimmer, please-- -Bring back your next choice, Collette."
00:03:51.958,00:03:52.791,I can explain.
00:03:52.875,00:03:54.916,-That won't be necessary. -You're done.
00:03:55.166,00:03:57.208,"-Miss Zimmer, please, could you just let-- -Let go."
00:03:57.291,00:03:58.125,Please.
00:03:58.208,00:03:59.750,-If you just-- Please. -Let go of me!
00:04:25.375,00:04:27.416,"What, Deco? I've had the worst day."
00:04:27.750,00:04:30.125,I know. I saw it.
00:04:30.750,00:04:33.458,"-What? -Baby girl, you are all over my feed."
00:04:35.333,00:04:36.583,What are you talking about?
00:04:38.250,00:04:39.083,Oh!
00:04:48.625,00:04:49.916,That wasn't my fault.
00:04:51.000,00:04:55.291,"-She slipped and fell. -Yes, and she broke her leg and her wrist."
00:04:55.375,00:04:57.166,"Oh, look. Another person retweeted it to me."
00:04:57.250,00:04:59.250,How many people have watched this? A couple hundred?
00:05:03.250,00:05:04.208,This can't be happening.
00:05:05.875,00:05:08.458,"She doesn't actually have the power to end my career, right?"
00:05:09.375,00:05:11.791,Just because she's one of the biggest money people on Broadway?
00:05:12.500,00:05:13.583,Please.
00:05:23.375,00:05:30.833,"Hi, this is April, for-- Hello?"
00:05:31.333,00:05:32.166,Hello?
00:05:34.666,00:05:35.708,They hung up.
00:05:35.833,00:05:39.958,"It was really nice knowing you. I mean, have fun teaching Jazzercise."
00:05:40.375,00:05:42.500,No. There's gotta be someone who isn't afraid of her.
