start,end,script
00:03:06.520,00:03:09.481,And the bus leaves the high school for the airport around 5.
00:03:09.648,00:03:11.650,How's my suitcase working out for you?
00:03:12.067,00:03:14.236,"Whoa, Mom, Mom, Mom, you gotta leave that on."
00:03:15.070,00:03:18.990,"Yeah, it's like the tag made the last flight without the plane crashing or anything."
00:03:19.157,00:03:22.994,"So I figure it's gotta be on the bag, or at least, with the bag."
00:03:24.287,00:03:25.497,For luck.
00:03:25.664,00:03:28.333,Where would you get a nutball idea like that?
00:03:28.500,00:03:29.835,I'm still here.
00:03:34.673,00:03:37.634,"So 17, on the loose."
00:03:38.301,00:03:40.137,Senior trip with your friends in Paris.
00:03:40.303,00:03:43.014,Ten days in the springtime.
00:03:44.182,00:03:45.767,"Live it up, Alex."
00:03:45.934,00:03:47.686,You got your whole life ahead of you.
00:04:32.481,00:04:34.441,WOMAN: Alex.
00:04:34.608,00:04:36.234,Alex.
00:04:56.171,00:04:59.132,...is for immediate loading and unloading of passengers only.
00:04:59.299,00:05:00.884,No parking.
00:05:01.051,00:05:04.679,"WOMAN 2: Yeah, I've been sitting here for over an hour."
00:05:04.846,00:05:06.598,Where are you?
00:05:06.765,00:05:07.849,"-Hey, Hitchcock. MAN: What?"
00:05:08.016,00:05:10.602,"Let me give you a hand with this, man. There you go."
00:05:10.769,00:05:12.103,"Carter, you dick."
00:05:12.270,00:05:14.606,-Schmuck. -Good one.
00:05:15.774,00:05:18.443,"-You left this on the bus. -Oh, thanks."
00:05:18.610,00:05:20.153,"Come on, let's get your stuff together."
00:05:20.320,00:05:23.114,"Hey, Christa. Hi, Blake."
00:05:23.281,00:05:25.992,-What are you doing? -He's the man. The man.
00:05:26.159,00:05:27.786,"All right, you guys got everything?"
00:05:27.953,00:05:30.038,"Yeah, yeah. Dad, we're all set."
00:05:33.583,00:05:35.627,Does that mean go?
00:05:37.087,00:05:38.380,Don't know.
00:05:38.547,00:05:42.133,"Look, this is for both of you, all right? Have a great time."
00:05:42.300,00:05:43.301,"-Thanks, Dad. -Yeah."
00:05:43.468,00:05:44.636,-Both of us. MAN: Let's go.
00:05:44.803,00:05:45.971,JERRY: Alex. -Yes?
00:05:46.137,00:05:48.765,-You take care of them. -I will.
00:05:57.065,00:06:00.485,"You know, I didn't think anything could look worse than my yearbook photo."
00:06:00.652,00:06:03.446,How do you think I feel having to look at you all the time?
00:06:12.163,00:06:14.124,-What the fuck does he want? -Shh.
00:06:19.378,00:06:21.590,The airport does not endorse solicitors.
00:06:31.808,00:06:32.851,Death is not the end.
00:06:35.770,00:06:38.189,It will be for you if you harass my students.
00:06:46.698,00:06:49.951,I have to ask you a few questions this evening.
00:06:50.118,00:06:51.578,Did you pack your bags yourself?
00:06:51.745,00:06:55.749,Have your belongings remained in your possession the entire time?
00:06:58.460,00:06:59.544,Mr. Browning?
00:07:00.921,00:07:02.631,"Oh, yeah."
00:07:03.048,00:07:06.051,Have you received any packages from persons unknown to you?
00:07:19.731,00:07:21.816,-Same as your birthday. -What?
00:07:22.233,00:07:24.903,"September 25, 9:25."
00:07:25.695,00:07:28.573,Your birthday's the same as your departure time.
00:07:34.245,00:07:36.331,MAN 1: Because I looked at him. MAN 2: Are you sure?
00:07:36.498,00:07:38.416,"WOMAN 1: Lisa, wait up."
00:07:39.084,00:07:41.211,"No, it's okay."
00:07:41.378,00:07:42.629,"Fuck, that was good."
00:07:42.796,00:07:44.089,Dick.
00:07:44.255,00:07:46.257,"-Hey. TOD: Hey, George, Dad said both."
