start,end,script
00:00:34.826,00:00:36.495,"-Oh, Lady Herbert. -How do you do?"
00:00:36.578,00:00:37.746,May I give you a peck?
00:00:41.500,00:00:43.710,It's the best thing I've produced in 25 years.
00:00:45.045,00:00:46.380,interested back home in New York.
00:01:10.988,00:01:13.282,"If you could take your opening positions, please."
00:01:27.588,00:01:29.131,-Good audience. -Sorry?
00:01:29.256,00:01:30.799,Good audience tonight.
00:01:31.341,00:01:33.343,"Okay. That's great, thank you. How much longer?"
00:01:33.510,00:01:35.012,"Um, ten minutes, sir."
00:01:41.184,00:01:43.312,I want to dance with your wife at the after party.
00:01:43.395,00:01:44.938,"-Oh, my goodness. -Good evening."
00:01:49.735,00:01:51.695,"-Hello, George. How are you? -Healthy and wealthy, I see."
00:01:51.778,00:01:53.655,You've rearranged a holiday for me and I won't forget it.
00:01:53.739,00:01:55.407,"-For you, Charles, anything. -You won't regret it."
00:01:56.491,00:01:58.827,-Have you got the tickets? -They're in my pocket.
00:02:00.245,00:02:03.582,"-There's Mrs. Barrie. -Oh, Mr. and Mrs. Snow."
00:02:03.832,00:02:07.461,We were so hoping to speak with your husband before the show.
00:02:08.086,00:02:11.632,"-Have you seen him? -I'm not sure where he is, actually."
00:02:32.944,00:02:36.365,"-You were so wonderful. -Yes, well, it's been some time now."
00:02:36.865,00:02:40.619,"-Are you right to find your seat? -Oh, yes, yes."
00:02:41.453,00:02:43.038,"See you at the party, then."
00:02:44.331,00:02:49.169,Excuse me. Could you find Mr. Barrie and remind him that they're doing his play this evening?
00:02:49.461,00:02:50.879,"-Yes, ma'am. -Thank you."
00:03:13.151,00:03:14.319,Let's close the doors.
00:03:58.655,00:03:59.948,I can wait quite well in the shop.
00:04:00.282,00:04:02.909,'Tis no inconvenience. The shop is chilly.
00:04:03.243,00:04:04.578,And there is a fire here.
00:04:08.665,00:04:11.877,Mrs. Barrie wanted me to remind you that the play's begun.
00:04:12.502,00:04:14.463,-Though I imagine you know that. -They hate it.
00:04:15.589,00:04:16.465,Sir?
00:04:16.548,00:04:18.550,It's like a dentist's office out there. Why?
00:04:18.884,00:04:22.554,"-I wouldn't say they hate it, sir. -What do you think? Do you like it?"
00:04:24.681,00:04:27.058,"-I've just been hired here, sir. -Yes or no? I'm not bothered."
00:04:27.350,00:04:30.937,-I'm not really qualified to-- -Do you like it? Is it crap?
00:04:31.688,00:04:33.857,"-Crap, sir? -Go on, say it. Just say it."
00:04:33.940,00:04:36.026,"It's shite, isn't it? Go on. Say it."
00:04:36.234,00:04:38.487,"-Don't know if I'm… -It's bull's pizzle, Mr. Barrie."
00:04:38.653,00:04:40.280,"-Go on, say it. -It's bull's pizzle, Mr. Barrie."
00:04:40.363,00:04:41.990,"-I knew it. -No, I haven't even seen it."
00:04:42.073,00:04:43.533,I knew it. Thank you.
00:04:44.493,00:04:45.702,Thank you very much.
00:04:58.632,00:05:00.217,And I've seen few of the sights.
00:05:24.324,00:05:26.535,"Good to see you. My apologies, eh?"
00:05:28.578,00:05:31.915,"-Of course we will, James. -I know you put a lot into this one."
00:05:32.249,00:05:36.002,"A fortune, James. But I am fortunate because I can afford to lose a fortune."
00:05:36.127,00:05:38.380,"-Can you? -No, I can't. How are you?"
00:05:39.130,00:05:40.549,-Arthur. -James.
00:05:41.258,00:05:42.884,You were sorely missed at the last club meeting.
00:05:43.009,00:05:43.885,Was I?
00:05:43.969,00:05:47.138,"We were beginning to wonder which is your hobby, writing or cricket."
00:05:48.265,00:05:49.933,"You wanted to speak with Mr. Barrie, didn't you?"
00:05:50.016,00:05:53.061,"Oh, yes, but we shouldn't interrupt them, should we?"
00:05:53.144,00:05:54.437,I don't see why not.
00:05:54.604,00:05:57.148,"If you ask me, the problem lies in our batting order."
00:05:58.525,00:06:00.193,"-James. -Hello, darling."
00:06:00.694,00:06:01.987,You remember Mr. and Mrs. Snow.
00:06:02.070,00:06:03.154,-Don't you? -Mrs. Snow.
00:06:05.115,00:06:08.076,"So, the Snows have been waiting to meet with you all evening."
00:06:12.998,00:06:15.041,"It was remarkable, wasn't it?"
00:06:17.460,00:06:18.378,Was it?
00:06:19.504,00:06:23.133,"Well, thank you. That's very kind of you. I'm, I'm glad you liked it."
00:06:26.970,00:06:28.305,How did you feel it went?
00:06:48.158,00:06:49.576,Mary? Hello?
00:06:51.745,00:06:53.914,I'm headed off for the park if you'd like to join me.
00:06:54.164,00:06:55.332,It's a beautiful morning.
00:07:00.211,00:07:01.630,"Perhaps, yes."
00:07:12.807,00:07:14.726,"-Morning, Mr. Barrie. -Morning, Emma."
00:07:19.397,00:07:20.732,"-Have a good day, sir. -And you."
00:07:22.359,00:07:23.610,"That's it. Go on, boy."
00:07:24.361,00:07:25.612,"Go get it, boy."
00:08:13.076,00:08:14.411,So sorry.
00:08:15.745,00:08:17.831,I might point out you're lying under my bench.
00:08:17.914,00:08:19.874,"I have to, I'm afraid."
00:08:20.291,00:08:24.170,I've been put in a dungeon by the evil Prince George.
00:08:24.504,00:08:26.589,I'm sorry if it bothers you.
00:08:27.215,00:08:30.260,"Well, if you're trapped in the dungeon, there isn't much to be done now, is there?"
00:08:31.136,00:08:33.138,Perhaps I could slide a key to you through the bars.
00:08:33.263,00:08:35.015,"I wouldn't risk it, sir."
00:08:35.473,00:08:38.893,The evil Prince George has tortured many men.
00:08:39.060,00:08:40.603,"I'm sorry. Is he bothering you, sir?"
00:08:40.979,00:08:43.648,My brother can be an extremely irritating sort of person.
00:08:45.525,00:08:46.901,"A-ha. Prince George, I gather."
00:08:47.861,00:08:51.531,I understand you are the horrible tyrant who imprisoned this unfortunate wretch.
00:08:51.740,00:08:55.535,"I'm not horrible really, but a firm ruler, yes. Kind and tolerant."
00:08:55.827,00:08:59.956,And what precisely is-- -What did you say your name was? -Michael.
00:09:00.248,00:09:02.208,What precisely is Michael's crime?
00:09:02.542,00:09:04.753,-He's my younger brother. -Ah.
00:09:10.425,00:09:12.677,-Do you mind us playing with your dog? -No. Go on.
00:09:12.802,00:09:14.846,"This is Jack, second in line to the throne."
00:09:17.348,00:09:19.017,And I'm in prison for it.
00:09:24.564,00:09:26.483,"Michael, darling, come out from under there."
00:09:26.608,00:09:28.318,I can't. I'm in prison.
00:09:28.902,00:09:30.028,"Oh, I see."
00:09:31.279,00:09:34.657,"-J.M. Barrie. Pleased to meet you. -J.M. Barrie, the author?"
00:09:34.824,00:09:36.993,A pleasure. Sylvia Llewelyn Davies.
00:09:38.870,00:09:41.498,"He's a playwright, Jack. Quite a famous one, at that."
00:09:42.123,00:09:44.459,-I apologize. I imagine you're writing. -No. Not at all.
00:09:44.959,00:09:47.462,"-Where's Peter? -What have you written, Mr. Barrie?"
