start,end,script
00:01:25.460,00:01:27.421,"Now, you wanna know how to win a sword fight?"
00:01:27.462,00:01:28.672,How?
00:01:28.714,00:01:30.925,Be the only one with a sword.
00:01:34.135,00:01:35.094,Easy.
00:01:40.726,00:01:43.102,Give him a hand!
00:01:45.731,00:01:47.357,"Well done, John."
00:01:50.318,00:01:53.488,"Winner takes all, my friends!"
00:01:53.530,00:01:55.407,One more challenger and I'll be on my way.
00:01:55.449,00:01:56.825,Come on.
00:01:56.867,00:02:03.164,"Once in a lifetime, there comes a fighter so powerful, so fast, so fearless, that no man can touch him."
00:02:05.333,00:02:07.795,"And while you're waiting for him to come along, you can practice on me."
00:02:10.965,00:02:12.132,You can take him on.
00:02:14.468,00:02:19.723,"As sure as the sun will rise tomorrow, somewhere, there's a man who's better than me."
00:02:21.100,00:02:23.685,Could be here.
00:02:23.727,00:02:24.770,Go on.
00:02:24.812,00:02:26.105,Yes!
00:02:29.190,00:02:30.358,It could be you.
00:02:32.987,00:02:34.905,He looks strong. Hmm.
00:02:34.947,00:02:35.823,Is he good?
00:02:41.620,00:02:43.956,"Go on, Mark."
00:02:45.707,00:02:47.001,"So you're Mark, are you?"
00:02:47.042,00:02:48.043,That's my name.
00:02:48.710,00:02:50.169,I'm Lancelot.
00:02:51.421,00:02:52.506,You ready?
00:02:54.257,00:02:55.425,Ready.
00:03:07.354,00:03:10.149,"to kill me to win, you know."
00:03:15.487,00:03:18.365,Right. Got tight hold of your sword?
00:03:18.406,00:03:20.701,Don't you worry about that! Ah!
00:03:20.742,00:03:22.786,"Good, now, can I give you some advice?"
00:03:22.828,00:03:23.912,What's that?
00:03:23.954,00:03:25.580,Don't drop your sword.
00:03:36.216,00:03:38.927,Is this your sword?
00:03:38.969,00:03:40.595,Give him a hand!
00:03:43.015,00:03:44.058,How did you do that?
00:03:45.225,00:03:46.434,How did he do that?
00:03:46.476,00:03:48.020,you fought a good fight.
00:03:48.062,00:03:50.438,Was that a trick?
00:03:50.480,00:03:53.025,No. No trick.
00:03:53.067,00:03:54.651,Could I do it?
00:03:55.402,00:03:57.237,Tell me. I can learn.
00:04:03.785,00:04:08.331,"You have to study your opponent, how he moves, so you know what he's gonna do before he does it."
00:04:08.373,00:04:09.416,I can do that.
00:04:09.457,00:04:10.709,Mmm-hmm.
00:04:10.751,00:04:16.339,"You have to know that one moment in every fight when you win or lose, and you have to know how to wait for it."
00:04:16.381,00:04:17.257,I can do that.
00:04:18.550,00:04:21.136,And you have to not care whether you live or die.
00:05:44.303,00:05:46.847,Go on now! Quickly!
00:05:49.808,00:05:51.310,Quickly! Quickly!
00:05:51.350,00:05:53.687,Come on! Come on! Get in!
00:05:53.728,00:05:56.273,Get to the back!
00:06:06.449,00:06:09.577,Shut the doors!
00:06:13.581,00:06:14.749,Faster!
00:07:04.299,00:07:05.842,Burn it down.
00:07:16.603,00:07:18.479,We'll be burned alive!
00:07:20.481,00:07:23.318,We need water! Get water!
00:07:46.258,00:07:48.093,"No, don't open the doors!"
00:07:48.135,00:07:49.803,We'll all be dead by then!
00:08:04.025,00:08:05.485,Malagant.
00:08:18.623,00:08:25.964,"Last night, men from this village crossed the border and killed three of my people."
00:08:26.006,00:08:30.551,"In reprisal, I have destroyed your village."
00:08:30.593,00:08:33.305,The borderlands have been lawless long enough!
00:08:33.347,00:08:38.143,Know now that I am the law!
00:08:43.982,00:08:46.693,Get up!
00:08:52.324,00:08:53.700,Quickly now!
00:09:41.122,00:09:42.374,Come on!
00:09:52.551,00:09:54.511,Go on! Take it out!
00:09:59.933,00:10:01.184,"Oh, there she is."
00:10:06.231,00:10:08.400,Go on! Mind the dog!
00:10:15.907,00:10:17.409,"Here, milady. Come here."
00:10:17.451,00:10:19.994,"Wait, one moment, one moment."
00:10:20.036,00:10:21.746,Run with it!
00:10:29.129,00:10:30.589,Milady.
00:10:30.630,00:10:32.549,I know. I know.
00:10:32.591,00:10:34.717,"There's been another attack, milady."
00:10:34.759,00:10:37.011,Another border village burned.
00:10:38.430,00:10:39.806,"Ann, take my place."
00:10:39.847,00:10:40.723,Milady.
