start,end,script
00:00:35.118,00:00:37.370,Our first form of communication.
00:00:38.413,00:00:43.793,"Safety, security, comfort, all in the gentle caress of a finger."
00:00:44.294,00:00:46.713,Or the brush of lips on a soft cheek.
00:00:47.464,00:00:49.674,It connects us when we're happy.
00:00:51.217,00:01:02.562,It bolsters us in times of fear… excites us in times of passion… and love.
00:01:03.688,00:01:08.860,"We need that touch from the one we love, almost as much as we need her to breathe."
00:01:10.028,00:01:13.573,But I never understood the importance of touch.
00:01:14.783,00:01:16.159,His touch.
00:01:19.287,00:01:21.831,Until I couldn't have it.
00:01:44.395,00:01:46.523,"-Oh, yeah. -Oh."
00:01:46.606,00:01:48.399,"Oh, yeah, This one's perfect."
00:01:49.484,00:01:52.320,"Actually, though, the tan lines might be incredible."
00:01:52.403,00:01:54.739,"Oh, my gosh, That doesn't even cover half your boobs."
00:01:55.865,00:02:01.496,No. You need something… -This is actually cute. -Ooh. That's actually really cute.
00:02:01.579,00:02:02.497,-Yeah. -Lemme see.
00:02:03.373,00:02:05.041,-Yeah. -Really? It's actually really pretty.
00:02:05.125,00:02:08.670,"I can't tell if you're, like, too trampy, or not trampy enough."
00:02:08.753,00:02:10.797,Hello?
00:02:10.880,00:02:13.508,"-Are you with us? -Okay, guess what?"
00:02:13.591,00:02:16.594,Taylor and Mason are meeting us at the airport in the morning.
00:02:17.178,00:02:18.388,What's that face?
00:02:18.471,00:02:19.889,"-Oh, my god. -What?"
00:02:21.516,00:02:23.351,Mason and Brooke broke up.
00:02:23.852,00:02:24.811,"-No, they didn't. -Yes."
00:02:24.894,00:02:26.521,"-They did. -Oh, my god. Come on!"
00:02:26.604,00:02:28.273,Maya. You're gonna do it!
00:02:30.316,00:02:32.193,I wish I could be there to see that in person.
00:02:34.529,00:02:37.657,Just sucks that you planned it this year and you don't even get to go.
00:02:38.992,00:02:44.581,Well… you can just Photoshop me in with your fancy editing apps.
00:02:44.664,00:02:45.540,What're you talking about?
00:02:45.623,00:02:46.666,-You're not laughing. -You know what I'm talking about.
00:02:46.749,00:02:47.625,No I don't.
00:02:47.709,00:02:49.961,The one where you get your pimples and your little… -What? -Mm-hmm.
00:02:50.044,00:02:51.838,-…your little fake blush. -Shut up.
00:02:51.921,00:02:53.423,"The lashes… Your lashes aren't that ling, really."
00:02:53.506,00:02:55.174,-This is so annoying. -Okay. Come on.
00:02:55.258,00:02:56.676,Thank you for the burgers.
00:02:58.052,00:03:00.638,"Honestly, you guys are gonna have so much fun."
00:03:00.722,00:03:01.764,-Okay? -Okay.
00:03:01.848,00:03:02.974,I… I love you.
00:03:03.057,00:03:04.058,I love you more.
00:03:04.142,00:03:05.226,I love you.
00:03:05.310,00:03:07.061,-I'll miss you. -I… mwah!
00:03:07.145,00:03:08.521,-Hey. -Use protection.
00:03:58.780,00:04:02.033,"I'm back in the hospital, again, for another tune-up."
00:04:02.116,00:04:08.748,"Need a few more rounds of antibiotics to get over this little sore throat that I've been… Hi, Barbs!"
00:04:08.831,00:04:12.627,Sore throat? Right. With a 102 fever.
00:04:12.710,00:04:13.836,I've had worse. Say hi!
00:04:13.920,00:04:15.546,"Stella, get that thing out of my face."
00:04:15.630,00:04:17.257,-You're looking good. -I know that.
00:04:17.340,00:04:20.218,"Well, Stella will be right back after we get her al set up."
00:04:20.301,00:04:21.886,You heard the boss lady.
00:04:24.597,00:04:26.391,I think this is her best work.
00:04:28.017,00:04:29.477,"Hi, Stella."
00:04:29.560,00:04:33.898,"Wow. Wow, a lot's changed in the last six months."
00:04:33.982,00:04:35.275,Yup.
00:04:35.358,00:04:36.192,He's due in March.
00:04:36.276,00:04:37.735,"And your arm, please."
00:04:37.819,00:04:39.779,-What room is Paul in? -310.
00:04:41.739,00:04:44.492,And… open up.
00:04:53.209,00:04:55.628,You are all set. I'll see you in a bit.
00:04:55.712,00:04:57.046,"Thank you, Julie."
00:05:00.967,00:05:02.260,Are you sure this is okay?
00:05:02.343,00:05:06.556,"I will still be monitoring you. And, yes… it's okay."
00:05:06.639,00:05:08.099,What would I do without you?
00:05:11.728,00:05:12.854,That's true!
00:05:12.937,00:05:17.025,"So, Barb is letting me keep my med cart in my room this time."
00:05:17.108,00:05:19.027,She left me a bunch of pills.
00:05:19.110,00:05:22.322,Some… some G-juice. Yum.
00:05:22.405,00:05:26.284,That's the liquid nutrition that goes straight to my stomach through my G-tube.
00:05:28.911,00:05:34.334,"wishing you could eat 5,000 calories a day and not gain a pound, I'll trade you any day."
00:05:35.418,00:05:39.338,"Today, I'll probably be re-organizing this thing."
00:05:39.422,00:05:43.009,"Because as many of you know, I'm slightly anal."
00:05:43.092,00:05:45.344,"By slightly anal, I mean clinically OCD."
00:05:46.554,00:05:49.932,"So, peace. Bye, guys."
00:07:28.865,00:07:30.533,New baby upstairs.
00:07:30.616,00:07:32.243,Meet me in 15.
00:07:36.497,00:07:37.915,"Hi, Cynthia."
00:07:37.999,00:07:39.959,"Hi, Stella."
00:07:41.169,00:07:42.128,Hi.
00:07:58.019,00:08:00.855,"so unless you plant your ass on that call button, no one's gonna bother you for, like, an hour."
00:08:00.938,00:08:03.441,"Hey. I gotta sleep on that bed, okay?"
00:08:04.108,00:08:06.068,"Wow. I mean, we're not animals."
00:08:06.152,00:08:07.904,"Don't worry, it's not even gonna take that long."
00:09:09.257,00:09:11.467,Saw you moving in your stuff.
00:09:12.051,00:09:14.720,"There was, uh, a lot of it."
00:09:15.471,00:09:17.056,You gonna be here for a while?
00:09:19.475,00:09:20.977,Hello?
00:09:23.771,00:09:25.189,Oh.
00:09:25.273,00:09:27.483,You're deaf.
00:09:28.484,00:09:32.238,Shouldn't you be procuring your room for your guests?
00:09:32.321,00:09:34.282,You rent by the hour or what?
00:09:34.365,00:09:36.826,So that was you lurking in the hall.
00:09:36.909,00:09:39.495,"Mm, I don't lurk and you followed me here."
00:09:39.579,00:09:44.750,"I wanted to introduce myself, but… -that little attitude of yours… -Let me guess."
00:09:44.834,00:09:49.088,You're the kind of guy that ignores the rules 'cause it makes you feel in control. Am I right?
00:09:49.171,00:09:50.715,You're not wrong.
00:09:50.798,00:09:51.882,You think that's cute?
00:09:51.966,00:09:53.843,Do you think it's cute?
00:09:54.885,00:09:58.764,"Letting your friends borrow your room for sex is disgusting, so no."
00:09:58.848,00:09:59.849,You don't like sex?
00:09:59.932,00:10:02.977,"No, I like… sex."
00:10:03.060,00:10:04.437,I like sex.
00:10:05.730,00:10:06.606,Sex is fine.
00:10:06.689,00:10:07.857,Hm.
