start,end,script
00:04:08.920,00:04:10.240,So how's it going?
00:04:12.560,00:04:16.280,"With your traveling, you have been wearing a face mask, haven't you?"
00:16:27.560,00:16:30.320,-Last year the car felt good here? -Yes.
00:16:30.920,00:16:34.000,"So you think if we're slow here this year, we're all right?"
00:23:57.960,00:24:00.280,Is it something that has been designed by your team?
00:24:00.360,00:24:02.600,Is it something that's been copied?
00:24:03.600,00:24:08.720,I think it's very easy to agree that we need to put a light on this story.
00:24:08.800,00:24:10.440,So there is no reason to delay.
00:29:15.440,00:29:21.240,"Man, I think this paddock's gonna just fucking implode from coronavirus."
00:32:53.040,00:32:56.520,"The moment that one gets coronavirus, this is killed."
00:35:44.960,00:35:47.800,Smaller teams will be struggling.
00:35:48.400,00:35:53.240,So there is indeed a genuine risk for the sport and for Formula 1.
00:36:10.800,00:36:13.200,"I'm sorry, you will have to wait. You're way too hot."
00:36:13.280,00:36:14.640,That's just the way I am.
00:36:28.600,00:36:30.200,We're not fighting on a level playing field.
00:00:18.640,00:00:19.920,Do I look athletic?
00:00:20.000,00:00:22.120,Dynamic? Intelligent?
00:00:28.280,00:00:31.160,Never held one of these things before. Only see it in the movies.
00:00:31.960,00:00:35.840,"Drive to Survive: Season Three, my one and only take."
00:00:38.600,00:00:39.440,Action.
00:00:53.520,00:01:02.520,If they're not good enough… Formula 1 racing is very much like war planning.
00:01:14.880,00:01:18.360,"No, it was a total crap, shit, awful day at the office."
00:01:21.920,00:01:25.200,This is the worst experience I've had in any race car.
00:01:33.880,00:01:34.920,We will make changes.
00:01:35.000,00:01:36.160,Hope you get it fixed.
00:01:37.280,00:01:38.440,You tell me.
00:01:43.360,00:01:44.840,Whoever's winning for us.
00:01:54.520,00:01:57.520,We're gonna remove that subject and put you in place.
00:02:05.480,00:02:07.240,Where's the fucking boot?
00:02:07.320,00:02:10.360,I'm working more than anyone else in Formula 1.
00:02:11.040,00:02:12.840,It will show itself on track.
00:02:13.600,00:02:14.920,-Vamos! -Waa!
00:02:20.120,00:02:21.080,Send it!
00:02:26.240,00:02:28.400,I feel a real responsibility to push this car.
00:02:29.800,00:02:31.520,"Let's fucking have it, boys."
00:02:40.320,00:02:43.480,I don't work this hard to not see the checkered flag.
00:02:59.040,00:03:01.680,"Trying to do it with Ferrari is, uh, is another one."
00:03:04.560,00:03:06.000,"Hell yeah, let's do it!"
00:03:07.200,00:03:09.360,Ooh… Spicy.
00:03:48.760,00:03:51.040,"How does that one pass? Mate, look at my face."
00:03:53.240,00:03:56.560,It looks like he's taking a shit. Show your eyes!
00:04:02.880,00:04:12.480,"I don't really give a shit. I know what I look like, but… Good. We're just on our way to the track."
00:04:16.360,00:04:22.240,"Mum, it's cool. Apparently, if you drink Corona, it builds your immune."
00:04:22.320,00:04:25.400,"It was never my favorite beer, but I'll drink it if I have to."
00:04:37.920,00:04:45.120,"Live from the Circuit de Barcelona-Catalunya, with the 2020 Formula 1 season just around the corner."
00:04:45.200,00:04:46.040,Go away.
00:04:48.280,00:04:52.280,"Everyone to the bridge. All of you guys get down there, please."
00:04:52.360,00:04:53.240,Thank you.
00:04:55.400,00:04:56.240,"Hey, guys."
00:04:56.320,00:04:58.080,"All right, guys, find your marks."
00:04:58.160,00:05:02.080,You'll see 'em written there. Find your marks and stand next to your teammates.
00:05:02.600,00:05:06.240,Lauren is gonna do a couple of pullbacks between the center of all you guys.
00:05:06.320,00:05:13.440,So what we want you guys to do in this moment is really picture your goals for this year and what you're attempting to accomplish.
00:05:13.520,00:05:20.680,"Picture them and visualize them, so when this comes across, they see you all genuinely really caring about what we're talking about, okay?"
00:05:21.200,00:05:23.800,Is everybody ready? And action!
00:05:29.400,00:05:34.640,to get the 20 greatest drivers in the world on track before the season begins.
00:05:39.160,00:05:42.440,Right at camera. Look tough. Amazing. Thank you.
00:05:49.400,00:05:51.840,"All right, everybody start walking. Start walking!"
00:05:51.920,00:05:53.840,Come. Come. Start walking.
00:06:05.040,00:06:06.320,"Thank you, guys. You can go."
00:06:13.160,00:06:15.120,"-All right, man. Have fun. -See ya, mate."
00:06:28.520,00:06:34.760,"The teams, the cars, the drivers, undergoing some final preparations, waiting for that green light."
00:06:41.080,00:06:44.200,"Because it's, it's everything starting to come to life."
00:06:48.280,00:06:52.200,"With a new season, what comes with it, it's just this fantastic feeling."
00:06:57.360,00:07:00.480,"Against competitors, but also against yourselves."
00:07:03.680,00:07:06.560,"There's always a buzz, and everybody's happy to come back."
00:07:06.640,00:07:09.680,Keen to see the performance of the various teams and drivers.
00:07:10.360,00:07:13.680,But you never… You never kind of know what to expect.
00:07:22.280,00:07:25.120,that this season might not be business as usual.
00:07:32.480,00:07:34.760,"And their billionaire owner, Lawrence Stroll."
00:07:35.920,00:07:42.440,There's a lot of intrigue as to exactly what's been going on behind their garage doors over the winter.
00:08:05.480,00:08:08.840,You're gonna walk me through what we're proposing for this season.
00:08:15.120,00:08:17.880,that really commands your attention.
00:08:21.680,00:08:24.520,"Lawrence is a, uh, force of nature."
00:08:25.240,00:08:32.520,"You know, I've worked previously with owners that were billionaires, but they didn't have the goals that Lawrence has."
00:08:35.880,00:08:40.720,"He brings funding, but, uh, he also brings, uh, expectations."
00:08:47.080,00:08:47.920,Fire away.
00:08:50.000,00:08:56.640,"I thought we would start with, uh, Simon to present where we are and, uh, where we will soon be."
00:09:02.920,00:09:07.800,is we've commenced an eight-week period now of intense engineering.
00:09:08.520,00:09:13.400,"There are two major areas that we're looking at, and that remains on target."
00:09:13.480,00:09:16.320,We're trying to get that ready for the end of the year.
00:09:16.400,00:09:22.200,"So we're now really going to drill into that, and we'll be able to come back to you, Lawrence, with some news."
00:09:23.800,00:09:25.480,My name is Lawrence Stroll.
00:09:25.560,00:09:26.920,I am the chairman.
00:09:29.320,00:09:34.520,"At the end of 2018, Force India was at the height of its financial crisis."
00:09:38.880,00:09:42.280,The team has survived with a consortium of investors.
00:09:42.360,00:09:46.320,"The consortium is led by billionaire businessman, Lawrence Stroll."
00:09:52.840,00:09:58.560,"whether they'd have a job, how their children would go to school or their mortgages or doctor bills were gonna be paid."
00:10:00.240,00:10:07.280,"We acquired a team that was fourth on the grid, with a considerably smaller budget than our competitors."
00:10:08.600,00:10:14.560,I really thought this is a tremendous opportunity in something that I had a lot of passion for.
00:10:15.160,00:10:20.160,"So our targets remain business strategy, contract cost, uh, and planned development."
00:10:24.800,00:10:27.480,and I believe we can go from strength to strength.
00:10:32.640,00:10:36.920,I've always won in the businesses I've run. I plan on winning here.
00:10:41.640,00:10:48.640,Lawrence is a big character who made an instant impact the second that he first entered a Formula 1 paddock.
00:10:49.280,00:10:50.520,He's serious.
00:10:50.600,00:10:53.800,And he's investing his wealth in that team.
00:10:54.560,00:10:58.360,The only question mark is what his plans are to take the team to the top.
00:11:00.840,00:11:06.840,"After the consortium came in and bought the team, there was a change in the driver lineup."
00:11:06.920,00:11:11.080,"In comes Lawrence's son, Lance Stroll."
00:11:15.520,00:11:17.360,"You know, we go way back."
00:11:29.880,00:11:32.760,He's supported me throughout my whole career.
00:11:32.840,00:11:35.240,and introduced me to the sport at a very young age.
00:11:36.000,00:11:43.240,"A lot of people think Lance Stroll's always had it easy, given that his father's one of the most successful businessmen in the world."
00:11:44.360,00:11:46.720,But you don't win championships just by being rich.
00:11:46.800,00:11:48.880,"You gotta be talented, you gotta be quick."
00:11:48.960,00:11:52.320,There is a very fast driver underneath that helmet.
00:11:57.000,00:11:58.400,My commitment.
00:11:59.080,00:12:01.600,My commitment is what makes me such a good driver.
00:12:01.680,00:12:05.320,I'm willing to go above and beyond to tick every box.
00:12:06.720,00:12:07.560,Cool.
00:12:36.160,00:12:38.480,"This season, people are buzzing, you know?"
00:12:38.560,00:12:40.640,You can feel the energy in this building.
00:12:40.720,00:12:44.360,"I see smiles, and, uh, you know, I see, I see a vision."
00:12:45.320,00:12:46.920,We're ready to take it on.
00:12:51.040,00:12:57.200,"Although person-to-person transmission has been confirmed, it does not, thankfully, spread easily."
00:13:11.840,00:13:12.800,-He arrived? -Yeah.
00:13:17.640,00:13:19.880,Hello. Hello. How are you?
00:13:21.720,00:13:24.080,-How are you? -I just want to have a quick look.
00:13:24.600,00:13:28.800,"We've done a lot of work over the winter, preparing this year's car."
00:13:34.320,00:13:39.240,"Last season, we were seventh, coming off of a… a difficult year."
00:13:40.480,00:13:45.000,"This year's season, Lawrence says he wants everything to be six-star."
00:13:49.400,00:13:51.600,I bought this this morning. All this.
00:14:00.280,00:14:02.120,I'm not new to the team.
00:14:02.200,00:14:04.160,I've been there for ten years.
00:14:04.840,00:14:06.920,-The car's good in the simulator. -Looks good.
00:14:07.000,00:14:09.840,We got a lot of work to do to set up though.
00:14:15.200,00:14:20.080,"When you get new ownership, um, you've got to manage that situation."
00:14:20.160,00:14:24.640,"It's highly likely when ownership changes that the, uh, senior management changes."
00:14:25.240,00:14:27.240,You have to finalize it before we leave.
00:14:28.120,00:14:30.120,-I gotta leave with Lance... -4:30.
00:14:30.600,00:14:32.760,"-4:30, wheels up. -Okay, four o'clock."
00:14:32.840,00:14:35.520,-I gotta finish the prospectives tonight. -Let's finish it.
00:14:35.600,00:14:37.760,Good. I gotta be in the car at 4:00.
00:14:43.200,00:14:47.560,"You know, job security can be a bit precarious within Formula 1."
00:14:47.640,00:14:49.800,He'll want to see results in 2020.
00:14:52.400,00:14:55.600,"ladies and gentlemen, it's the moment we're all waiting for."
00:14:56.240,00:14:57.320,It's time.
00:15:14.920,00:15:15.800,How's it look?
00:15:15.880,00:15:19.680,Hopefully it drives as well as it looks. I look forward to testing in Barcelona.
00:15:19.760,00:15:22.080,You won't be able to miss us out there on the track.
00:15:28.560,00:15:33.040,You always want to be better than your competition.
00:15:33.120,00:15:35.480,So you always look above. You don't look down.
00:15:43.320,00:15:47.200,"The teams, the cars, the drivers, undergoing some final preparations."
00:16:16.680,00:16:22.120,to see if what they've spent all year designing is actually gonna work when it gets onto a racetrack.
00:16:37.600,00:16:42.840,"Sometimes, the cars work exactly as planned, and it's smooth sailing."
00:16:48.360,00:16:51.720,"But that only happens very, very rarely."
00:17:01.200,00:17:02.440,Jump out. Yes.
00:17:17.400,00:17:23.360,that they hope will be taking them to race victories and potentially world championship glory.
00:17:26.720,00:17:29.280,That McLaren's not looking too bad at the moment.
00:17:40.480,00:17:42.360,There's so many unknowns.
00:17:43.040,00:17:45.400,We have such a great history in the sport.
00:17:45.920,00:17:49.480,"When I joined, uh, the team was very much, uh, struggling."
00:17:50.480,00:17:53.920,"But we finished fourth last year and, uh, we'd like to close the gap."
00:17:54.400,00:17:56.960,"We've got, uh, two outstanding drivers."
00:17:57.040,00:18:01.120,"One very young and, uh, pretty new to the sport in Lando Norris."
00:18:01.720,00:18:05.320,"You know, Lando could be one of the future stars of Formula 1."
00:18:10.360,00:18:12.880,I do nothing and then my warm-up's on the out lap.
00:18:12.960,00:18:15.760,It's what an out lap's for. A warm-up lap to warm me up.
00:18:17.400,00:18:21.680,"I don't think this is, uh, as action-packed as Carlos' warm-up."
00:18:35.880,00:18:42.280,Zak wants McLaren to be a new version of this incredibly successful team that we all know.
00:18:42.360,00:18:46.040,There's a lot of faith being put in a guy who's still so young.
00:18:55.440,00:18:59.360,"For himself, from the team, from the fans, 'cause he's, he's not a rookie."
00:19:06.800,00:19:07.800,Wait for it.
00:19:46.920,00:19:49.840,Coming through the final corner to complete the lap.
00:19:54.920,00:19:57.600,Lando Norris. A 1:24.981.
00:19:57.680,00:19:59.080,He's gone fastest.
00:20:19.360,00:20:22.360,"when it's time, jump out and shine."
00:20:24.080,00:20:27.400,I'm looking forward to getting behind the wheel for the first time.
00:20:30.280,00:20:38.880,"the car that left the garage on day one, in terms of its color scheme, looked very similar to the one that was released to the press."
00:20:39.720,00:20:44.320,But the car itself had undergone some dramatic changes.
00:20:44.880,00:20:49.760,It was quite familiar to everyone in the pit lane.
00:21:16.160,00:21:17.840,I think everybody's jaws dropped.
00:21:22.320,00:21:27.360,very inspired by last year's championship-winning Mercedes.
00:21:32.600,00:21:34.400,Hang on. What's going on here?
00:21:51.960,00:21:53.760,"Yeah, there's something a bit weird."
00:22:10.320,00:22:12.640,He's the fastest in Sector 2.
00:22:13.760,00:22:15.680,They look phenomenal.
00:22:18.320,00:22:22.240,"It looks like it's going to be the fastest lap of the day, and of the test."
00:22:38.040,00:22:42.520,You have to design and build your own car.
00:22:43.080,00:22:57.400,"Now, the closer that car is to one that's gone before, especially if it's one that absolutely dominated the previous season's world championship, the more people are going to ask questions as to whether that's entirely fair."
00:22:57.960,00:23:00.640,"And, most of all, whether it's legal."
00:23:06.280,00:23:08.960,But being around the same pace as Ferrari can't be bad.
00:23:10.080,00:23:15.960,"No. But, uh, yeah, it's early days, so… We'll see. We'll see."
00:23:19.640,00:23:21.560,you can't wipe the grin off your face?
00:23:23.040,00:23:25.880,Sun is shining. We're in Barcelona.
00:23:26.400,00:23:28.040,Could be worse. Life's good.
00:23:35.560,00:23:37.680,"I mean, it looks like a Mercedes, that's for sure."
00:23:37.760,00:23:41.480,I don't know how… what the idea and the process is behind it.
00:23:46.640,00:23:49.720,"I think the question, the bigger question is, is it allowed?"
00:23:53.840,00:23:56.120,they weren't maybe a little bit more discreet.
00:24:16.520,00:24:23.680,"and we took inspiration from the fastest car on the grid, but it's no different than what other teams do."
00:24:28.680,00:24:33.200,"because, if it was copied, that's, in my opinion, not legal."
00:24:44.240,00:24:46.400,and everyone does have their own agendas.
00:24:47.320,00:24:52.360,"Thankfully, I leave that to Otmar to get on with, and distance myself from it as much as I can."
00:24:55.280,00:24:58.040,"And, uh… I'll leave it at that."
00:25:04.120,00:25:07.240,Let's see how this all plays out in the first race.
00:25:25.640,00:25:29.280,but Formula 1 bosses insist that this race is going ahead.
00:25:50.400,00:25:53.560,It's still too early in the season to abuse you guys.
00:25:54.960,00:25:56.480,"Give it, like, another week."
00:25:58.280,00:26:01.160,I think Australia is always super exciting.
00:26:05.000,00:26:09.160,It comes with a high degree of pressure. You get a lot of anxiety.
00:26:09.240,00:26:13.840,"Coming out of winter testing, you can't underestimate the competition."
00:26:15.160,00:26:16.160,First race.
00:26:16.960,00:26:18.120,I gotta go this way.
00:26:18.640,00:26:20.440,"It's a great spectacle, Melbourne."
00:26:20.520,00:26:23.640,There's a bit of sour grapes about this year's car.
00:26:23.720,00:26:29.600,"If they saw what they saw, but we weren't quick, you think anybody would've complained?"
00:26:30.160,00:26:31.280,Probably not.
00:26:32.000,00:26:35.200,"And in the meantime, uh, we gotta get prepared for a race."
00:26:41.040,00:26:42.440,"Clack, clack, clack, clack."
00:26:47.560,00:26:50.800,-Why don't we just gel our whole body? -I know.
00:26:56.680,00:27:02.040,"Uh, I know the team's working, uh, very hard every day to put the right measures in place."
00:27:02.640,00:27:05.240,Starting with a full-on face gas mask.
00:27:17.400,00:27:19.120,-Are you excited? -Yeah.
00:27:19.200,00:27:20.680,-Are you? -Yeah.
00:27:21.360,00:27:23.840,We all look so depressed to be racing. Have you seen?
00:27:33.360,00:27:36.800,This corner is notorious for dipping your wheel off.
00:27:40.440,00:27:42.240,-Gonna struggle into turn one. -Yeah?
00:27:45.960,00:27:48.120,-I remember talking about one and three. -Yeah.
00:27:55.400,00:27:58.400,"I'm gonna be, like, here, on the grass."
00:28:07.320,00:28:11.560,I would love to say a podium as a target to have.
00:28:13.360,00:28:16.800,This is genuinely one of the ones I couldn't think of much to say about.
00:28:18.760,00:28:21.320,There's always a possibility something can happen.
00:28:23.920,00:28:30.280,"So the latest rumor we heard, there are three or four people in the paddock with suspected coronavirus."
00:28:41.240,00:28:43.200,then the whole paddock will have it.
00:28:51.760,00:28:58.800,"still looks as though it's going to go ahead, despite two members of the McLaren team having shown some coronavirus symptoms."
00:28:59.800,00:29:01.440,"Could you sign that for me, please?"
00:29:04.800,00:29:06.160,I don't know what can happen.
00:29:06.720,00:29:08.320,You just gotta smile and wave.
00:29:27.280,00:29:32.760,"He described what he was feeling and, uh, that doesn't sound good."
00:29:34.720,00:29:37.600,"Now, we're getting tested. We're very nervous."
00:29:37.680,00:29:39.560,I think people are scared.
00:29:41.160,00:29:49.600,"This situation, this is about the health and safety of your entire racing team, the other racing teams, the fans, the officials."
00:29:50.920,00:29:54.680,We have no idea what's gonna happen in the… in the future.
00:29:56.200,00:29:59.640,"What if they ask, Do you think it's right that we're racing this weekend?"
00:30:02.680,00:30:06.960,"But at the same time, if we take the right precautions, I see no problem with it."
00:30:08.000,00:30:13.080,"And, ultimately, it's a matter for… Formula 1 and the FIA."
00:30:19.120,00:30:21.000,Microphone. It's been cleaned.
00:30:26.280,00:30:28.680,had to be isolated because of coronavirus?
00:30:28.760,00:30:31.720,The fact that he's isolated doesn't mean he has coronavirus.
00:30:32.320,00:30:33.480,Only time will tell.
00:30:36.800,00:30:38.680,would you still race?
00:30:40.920,00:30:47.200,Uh… But… Yeah. I would still race.
00:30:47.880,00:30:52.560,Um… And are you worried in any way about this? About the virus?
00:30:58.520,00:30:59.440,Stay well.
00:31:08.760,00:31:10.200,The NBA season's done.
00:31:17.160,00:31:18.720,"Oh, someone's being tested."
00:31:18.800,00:31:20.920,There's a lot of different opinion.
00:31:21.000,00:31:27.640,I think it comes down to a 50-50 split of those who are in favor of continuing and those who just want everything to stop.
00:31:32.440,00:31:36.000,ahead of the season-opening Australian Grand Prix on Sunday.
00:31:36.080,00:31:37.920,Let's open this up to the floor now.
00:31:38.000,00:31:40.400,"Alex Kalinauckas, Autosport. A question for Lewis."
00:31:40.480,00:31:49.880,"Um, regarding the coronavirus situation, are you comfortable having traveled all the way to Australia and are you satisfied with what Formula 1 and the FIA have done so far?"
00:31:49.960,00:31:54.160,"Um, I am really very, very surprised that we're here."
00:31:54.240,00:31:57.200,"For me, it's shocking that we're all sitting in this room."
00:31:57.280,00:32:00.280,"Um, so many fans here already today."
00:32:00.360,00:32:05.520,"Um, yeah, Formula 1 continues to go on, and, um… So, no, to your answer."
00:32:06.240,00:32:08.560,"If we could take our next question, please."
00:32:08.640,00:32:13.760,"Lewis, you've been outspoken, where others maybe have not dared to be, about corona."
00:32:18.000,00:32:19.200,Why are we still here?
00:32:20.320,00:32:22.280,-Cash is king? -Cash is king.
00:32:22.360,00:32:23.920,"Uh, I… Honestly, I don't know."
00:32:24.400,00:32:26.040,I can't really add much more to it.
00:32:35.440,00:32:36.600,is still going ahead.
