start,end,script
00:03:17.948,00:03:22.202,"Hello. My name's Forrest, Forrest Gump."
00:03:28.333,00:03:29.751,Do you want a chocolate?
00:03:32.838,00:03:35.590,I could eat about a million-and-a-half of these.
00:03:37.551,00:03:42.764,"My mama always said, Life was like a box of chocolates."
00:03:44.850,00:03:47.060,You never know what you're gonna get.
00:03:54.818,00:03:56.862,Those must be comfortable shoes.
00:03:58.864,00:04:02.743,I bet you could walk all day in shoes like that and not feel a thing.
00:04:05.454,00:04:07.956,I wish I had shoes like that.
00:04:08.832,00:04:10.000,My feet hurt.
00:04:13.253,00:04:15.589,you can tell about a person by their shoes.
00:04:17.591,00:04:20.552,"Where they're going, where they've been."
00:04:27.851,00:04:30.103,I've worn lots of shoes.
00:04:32.981,00:04:37.319,I bet if I think about it real hard I could remember my first pair of shoes.
00:04:40.697,00:04:43.283,Mama said they'd take me anywhere.
00:04:44.075,00:04:46.787,She said they was my magic shoes.
00:04:46.912,00:04:49.748,"All right, Forrest, you can open your eyes now."
00:04:57.339,00:04:58.965,Let's take a little walk around.
00:05:06.598,00:05:07.808,How do those feel?
00:05:11.436,00:05:15.607,"His legs are strong, Mrs. Gump, as strong as I've ever seen."
00:05:16.274,00:05:19.778,But his back's as crooked as a politician.
00:05:20.821,00:05:23.448,"But we're going to straighten him right up now, aren't we, Forrest?"
00:05:28.787,00:05:32.916,after the great Civil War hero General Nathan Bedford Forrest.
00:05:35.001,00:05:40.841,"in some way. And what he did was, he started up this club called the Ku Klux Klan."
00:05:41.383,00:05:48.974,They'd all dress up in their robes and their bedsheets and act like a bunch of ghosts or spooks or somethin'.
00:05:49.349,00:05:52.769,They'd even put bedsheets on their horses and ride around.
00:05:53.270,00:05:57.399,"And, anyway, that's how I got my name, Forrest Gump."
00:05:57.983,00:06:05.824,"Mama said that the Forrest part was to remind me that sometimes we all do things that, well, just don't make no sense."
00:06:10.537,00:06:13.206,"Just wait, let me get it."
00:06:13.915,00:06:15.000,Give it to me.
00:06:21.423,00:06:22.966,What are y'all starin' at?
00:06:23.300,00:06:26.595,Haven't you ever seen a little boy with braces on his legs before?
00:06:29.097,00:06:32.475,"Don't ever let anybody tell you they're better than you, Forrest."
00:06:32.851,00:06:37.606,"If God intended everybody to be the same, he'd have given us all braces on our legs."
00:06:39.900,00:06:41.818,so I could understand them.
