start,end,script
00:00:47.505,00:00:52.177,Hey. Pandy and I are playing restaurant. I'm the waiter and he is the customer.
00:00:53.261,00:00:56.264,"Evening, sir. Welcome to Gabby's Cat Cafe."
00:00:56.723,00:01:01.102,"For our special tonight, we are serving the uh... pickle."
00:01:01.394,00:01:02.771,Would you like to try that?
00:01:03.730,00:01:05.857,"Excellent choice, sir."
00:01:06.441,00:01:09.527,"Very recommended, and my personal favorite."
00:01:09.819,00:01:10.820,Coming right up.
00:01:12.155,00:01:14.616,"Here you are, sir. Please enjoy."
00:01:16.826,00:01:19.162,Ooh! You know what that sound means.
00:01:19.454,00:01:21.581,It's time for a Dollhouse Delivery!
00:01:21.831,00:01:23.541,"Come on, Pandy. Let's go."
00:01:34.010,00:01:38.056,Ooh! I can't wait to see what's inside the Meow Meow Mailbox today.
00:01:40.683,00:01:43.186,Ooh!
00:01:43.269,00:01:45.188,A golden box!
00:01:45.980,00:01:48.983,Should we open it? Of course we should!
00:01:57.200,00:01:59.661,It's a kitty-coin purse! See?
00:02:04.124,00:02:05.291,Ooh!
00:02:05.375,00:02:06.668,Coins!
00:02:09.003,00:02:11.005,See? Here's heads.
00:02:14.342,00:02:16.803,Let's see how many we have. OK.
00:02:17.220,00:02:20.265,"We have one, two..."
00:02:21.391,00:02:25.687,"three, four, five!"
00:02:26.187,00:02:29.190,"Five kitty coins. Hey, wait a minute."
00:02:29.274,00:02:32.861,"There's something else in here, too. It's an invitation!"
00:02:33.153,00:02:36.823,To DJ Catnip's grand opening of the Music Store!
00:02:41.286,00:02:42.996,We have our kitty coins.
00:02:43.788,00:02:44.831,Let's go.
00:02:45.665,00:02:46.666,Come on.
00:02:48.501,00:02:50.879,Ooh! Look all the decorations!
00:02:50.962,00:02:53.923,DJ Catnip's getting set up for the grand opening.
00:02:54.007,00:02:55.675,"We're coming, DJ Catnip."
00:02:56.342,00:02:58.970,Time to get tiny.
00:03:09.230,00:03:11.399,What are you waiting for? Come on in!
00:03:12.609,00:03:14.485,Welcome to my Dollhouse.
00:03:19.782,00:03:22.035,"Hey, DJ Catnip. Happy Store Day!"
00:03:22.118,00:03:24.579,"Hey, hey! What's up, kitty-cats?"
00:03:24.662,00:03:26.331,"Happy Store Day to you, too."
00:03:26.414,00:03:30.043,I'm still setting up for the grand opening of my Music Store.
00:03:32.921,00:03:34.631,Who else is playing store today?
00:03:35.089,00:03:41.679,"Well, Cakey's got his Bakery, Baby Box's Craft Store is open, and Kitty Fairy's Flower Shop is blooming."
00:03:41.971,00:03:46.017,"I'm opening up very soon, but you two can have a little sneak peek if you want."
00:03:50.980,00:03:52.565,You can bang on a drum.
00:03:56.611,00:04:00.114,I have all kinds of instruments to help you find your groove.
00:04:00.448,00:04:01.491,Whoa!
00:04:01.574,00:04:06.162,Look at all these meow-mazing instruments! I want to learn how to play an instrument.
00:04:06.246,00:04:10.208,"That's a cool idea, Pandy. Then we can all jam together."
00:04:10.500,00:04:12.210,What instrument calls to you?
00:04:16.297,00:04:17.423,What is that one?
00:04:17.966,00:04:21.594,Oh. That one's groovy. It's called the melodicat.
