start,end,script
00:01:29.047,00:01:30.173,Want some chicken?
00:01:30.256,00:01:32.258,Hey! Down.
00:01:33.343,00:01:36.304,Mommy.
00:01:38.139,00:01:39.349,Ronnie.
00:01:40.016,00:01:41.518,"Come here, sweet girl."
00:01:41.601,00:01:42.727,Chicken.
00:01:45.104,00:01:46.356,...walking out the door.
00:01:49.901,00:01:51.361,This is not happening.
00:01:57.534,00:01:58.660,"Okay, is that one cooked?"
00:01:58.743,00:02:01.955,"No, this is not. Definitely I not give it for you."
00:02:04.833,00:02:06.167,They're really good.
00:02:07.460,00:02:08.586,It's so good.
00:02:11.798,00:02:15.135,"Yeah, me and Taylor are fighting, so that sucks."
00:02:21.224,00:02:25.311,And I'm like just in a different time in my life now.
00:02:25.395,00:02:28.189,I just don't like... I just like... I don't know.
00:02:28.273,00:02:34.612,"I just feel like my threshold for, like, bullshit with men is..."
00:02:34.696,00:02:36.906,it's just-- I don't have one anymore.
00:02:37.574,00:02:38.616,I just don't care.
00:02:38.700,00:02:41.244,I don't know if it's because I'm 30 and I'm...
00:02:41.327,00:02:44.539,"I feel better than ever, you know?"
00:02:44.622,00:02:55.008,"All my insecurities are gone, I don't feel insecure about who I am as a woman. I don't-- I'm not... embarrassed or ashamed of what I have."
00:02:55.091,00:02:58.177,"I just feel like a more sexier, sexual..."
00:02:58.261,00:03:03.933,"like all of that shit is better, and so what I think what happens is, is like..."
00:03:05.310,00:03:06.311,I don't know.
00:03:08.313,00:03:10.857,"Well, in relationships, you have to... I don't know."
00:03:10.940,00:03:13.776,"You got to move together, I guess, as much as you can."
00:03:22.076,00:03:26.372,Warner Brothers greenlit a movie...
00:03:27.373,00:03:30.460,that Bradley Cooper's directing.
00:03:30.543,00:03:33.296,And Bradley wanted me to be in it.
00:03:34.088,00:03:35.423,A Star is Born.
00:03:36.216,00:03:37.634,"And, um..."
00:03:39.177,00:03:42.096,"you know, I'm going to star in the movie."
00:03:54.984,00:03:56.069,It's tight.
00:03:57.153,00:03:58.863,It spasms on the right.
00:04:00.448,00:04:04.744,"It's not all the way up my shoulder yet, into my..."
00:04:04.827,00:04:10.083,"I mean, a little bit. It's not that-- It's the QL. Yeah."
00:04:14.879,00:04:21.386,"If I get depressed, my body can spasm, like, into a full body spasm."
00:04:23.346,00:04:30.144,And it all kind of originates from this trauma in my hip from this injury years ago.
00:04:37.652,00:04:39.445,I wrote this new song.
00:04:39.529,00:04:49.622,"I started it yesterday, and sent it to Mark this morning, and he sent me some guitar stuff back already, so when I get there, we'll maybe do that."
00:04:50.498,00:05:05.305,"So many, I think, men in my life, in business and also that I've dated, you know, over the years, I just started to feel like what I was on my own wasn't good enough."
00:05:08.057,00:05:11.811,And I don't feel that way working with Mark.
00:05:13.980,00:05:15.481,"Oh, bigger, better deal."
00:05:16.858,00:05:18.151,"Bigger, better deal!"
00:05:38.755,00:05:40.173,They probably don't know who I am.
00:05:40.256,00:05:43.384,They probably think I'm just some crazy old lady who lives down the street.
00:05:43.468,00:05:45.178,I'm thirty. I'm old to them.
00:05:51.309,00:05:53.853,I think my back probably looks really good.
00:05:54.479,00:05:57.982,Like a Polynesian scarification ritual. Is it?
00:05:58.066,00:05:59.400,-It is. Turn around. -Is it bad?
00:05:59.484,00:06:04.822,An Englishman with cupping is really funny. I don't know why.
00:06:04.906,00:06:07.784,I'm going to look like such a badass on the beach in Mallorca.
00:06:07.867,00:06:10.870,"Like, Don't fuck with that dude. He's into some weird shit."
00:06:10.953,00:06:11.996,-What do you think? -Hi.
00:06:12.080,00:06:13.623,-Hi. -Hey!
00:06:15.416,00:06:17.043,-Hello! -How you doing?
00:06:17.126,00:06:20.296,Thank you for drawing me that weird Xanax monster.
00:06:20.379,00:06:22.256,"Oh, right. I forgot about that."
00:06:22.340,00:06:25.468,The last time I had a camera in front of me was the Born This Way tour.
00:06:27.178,00:06:32.850,"When I, like, broke my hip, it's been like three years since then, but I'm still dealing with it, and I was just like, Whoa."
00:06:32.934,00:06:34.727,Like life is so crazy.
00:06:37.021,00:06:38.022,I think so.
