start,end,script
00:01:50.569,00:01:52.863,"There could be more days than Indians, my God."
00:01:52.863,00:01:54.197,Gotta see it.
00:01:56.075,00:01:59.369,WOMAN: There are more than yesterday.
00:02:20.432,00:02:22.601,He will be saying prayers in the garden.
00:02:22.601,00:02:25.312,Just follow the others.
00:02:25.312,00:02:27.689,He will be saying prayers in the garden.
00:02:27.689,00:02:30.317,Just follow the others.
00:02:30.317,00:02:31.735,Just follow the others.
00:02:31.735,00:02:34.655,He will be saying prayers in the garden.
00:03:44.141,00:03:47.144,"Brother, Bapu is already late for prayers."
00:03:49.730,00:03:50.939,"Oh, God."
00:03:50.939,00:03:52.440,"WOMAN: Oh, God! Oh, God!"
00:03:52.440,00:03:55.110,"Oh, God..."
00:03:55.110,00:03:57.112,WOMAN: Bapu! Bapu!
00:04:43.033,00:04:56.421,"The object of this massive tribute died as he had always lived: a private man without wealth, without property, without official title or office."
00:04:56.421,00:05:03.428,"Mahatma Gandhi was not the commander of armies, nor a ruler of vast lands."
00:05:03.428,00:05:08.391,He could not boast any scientific achievement or artistic gift.
00:05:08.391,00:05:23.490,"Yet men, governments, dignitaries from all over the world have joined hands today to pay homage to this little brown man in the loincloth who led his country to freedom."
00:05:23.490,00:05:36.044,"In the words of General George C. Marshall, the American secretary of state, Mahatma Gandhi has become the spokesman for the conscience of all mankind."
00:05:36.044,00:05:44.343,He was a man who made humility and simple truth more powerful than empires.
00:05:44.343,00:05:56.481,"And Albert Einstein added, Generations to come will scarce believe that such a one as this, ever in flesh and blood, walked upon this earth."
00:06:39.983,00:06:43.778,"Tell me, do you think about hell?"
00:06:44.779,00:06:47.032,"No, neither do I."
00:06:47.032,00:06:58.168,"But-- But this man here is a Christian, and he's written that in order to believe-- Excuse me, sir."
00:06:58.168,00:07:00.419,How long have you been in South Africa?
00:07:00.419,00:07:02.256,Uh...a week.
00:07:02.256,00:07:05.633,I don't know how you got a ticket.
00:07:05.633,00:07:07.928,"Just what are you doing in this car, coolie?"
00:07:07.928,00:07:11.265,"Why, I-- I have a ticket."
00:07:11.265,00:07:14.393,A first-class ticket.
00:07:14.393,00:07:15.810,How did you get hold of it?
00:07:15.810,00:07:17.312,I sent for it in the post.
00:07:17.312,00:07:21.275,"I'm an attorney, and I didn't-- MAN: There are no colored attorneys in South Africa."
00:07:21.275,00:07:22.692,Go and sit where you belong.
00:07:22.692,00:07:24.236,"I'll take your luggage back, sir."
00:07:24.236,00:07:27.281,"No, no, no."
00:07:27.281,00:07:29.241,You see?
00:07:29.241,00:07:32.660,"Mohandas K. Gandhi, attorney at law."
00:07:32.660,00:07:35.789,I'm on my way to Pretoria to conduct a case for an Indian trading firm.
00:07:35.789,00:07:37.291,MAN: Didn't you hear me?
00:07:37.291,00:07:39.918,There are no colored attorneys in South Africa.
00:07:39.918,00:07:47.175,"Sir, I was called to the bar in London and enrolled at the High Court of Chancery."
00:07:47.175,00:07:49.344,"I am, therefore, an attorney."
00:07:49.344,00:07:56.726,"And since I am, in your eyes, colored, I think we can deduce that there is at least one colored attorney in South Africa."
00:07:57.685,00:07:59.729,Smart bloody Kaffir.
00:07:59.729,00:08:01.148,Throw him out.
00:08:01.148,00:08:06.320,"Just move your black ass back to third class, or I'll have you thrown off at the next station."
00:08:06.320,00:08:08.405,But I always go first class.
00:08:06.320,00:09:19.934,I've traveled-- But you're a rich man.
00:09:19.934,00:09:22.521,"Yes, I am rich."
00:09:22.521,00:09:24.772,I therefore do not expect to travel first class.
00:09:24.772,00:09:26.400,"In England, I was a poor student."
00:09:26.400,00:09:27.692,"Oh, that was England."
00:09:27.692,00:09:29.528,This is part of England's Empire.
00:09:29.528,00:09:34.491,"Mr. Gandhi, you look at Mr. Khan and you see a successful Muslim trader."
00:09:34.491,00:09:37.536,Most South Africans see him simply as an Indian.
00:09:37.536,00:09:44.667,"And the vast majority of Indians, mostly Hindus like yourself, were brought here to work the mines and harvest the crops."
00:09:44.667,00:09:47.462,Most Europeans don't want them doing anything else.
00:09:47.462,00:09:55.470,"But that is very unchristian-- MAN: Mr. Gandhi, in this country Indians are not allowed to walk along the pavement with a Christian."
00:09:58.223,00:10:03.603,"You mean, you employ Mr. Baker as your attorney, but you can't walk down the street with him?"
00:10:03.603,00:10:05.355,"KHAN: Well, I can."
00:10:05.355,00:10:08.942,But I risk being kicked into the gutter by someone...
00:10:08.942,00:10:10.610,less holy than Mr. Baker.
00:10:21.413,00:10:23.582,"Well, then it must be fought."
00:10:23.582,00:10:26.251,We are children of God like everyone else.
00:10:26.251,00:10:27.752,Allah be praised.
00:10:27.752,00:10:29.379,And what battalions will you call upon?
00:10:29.379,00:10:30.671,I...
00:10:34.509,00:10:40.474,"I will write to the press, here and in England, and I will use the courts."
00:10:40.474,00:10:45.645,You will cause a great deal of trouble. Our position is-- We are members of the Empire.
00:10:46.980,00:10:50.358,And we come from an ancient civilization.
00:10:50.358,00:10:53.861,Why should we not walk on the pavements like other men?
00:10:53.861,00:10:58.283,KHAN: I rather like the idea of an Indian barrister in South Africa.
00:10:58.283,00:11:05.206,"I'm sure our community could keep you in work for some time, Mr. Gandhi, even if you caused a good deal of trouble."
00:11:06.541,00:11:09.043,Especially if you caused a good deal of trouble.
00:11:29.856,00:11:32.900,There's the English reporter.
00:11:34.569,00:11:38.573,You also said your article would draw a thousand people.
00:11:40.617,00:11:44.329,At least some of the Hindus brought their wives.
00:11:44.329,00:11:47.624,"No, I asked my wife to organize that."
00:11:49.376,00:11:51.252,Some of them are leaving.
00:12:00.094,00:12:09.728,"Ladies and gentlemen, we have asked you to gather here to help us proclaim our right to be treated as equal citizens of the Empire."
00:12:09.728,00:12:12.440,We do not seek conflict.
00:12:12.440,00:12:21.241,"We know the strength of the forces arrayed against us, know that because of them, we can only use peaceful means."
00:12:21.241,00:12:25.119,But we are determined that justice will be done.
00:12:26.538,00:12:35.754,"The symbol of our status is embodied in this pass, which we must carry at all times, but which no European even has to have."
00:12:35.754,00:12:42.470,The first step towards changing our status is to eliminate this difference between us.
00:12:50.311,00:12:51.646,MAN: Now?
00:12:56.443,00:13:00.363,"You write brilliantly, but you have much to learn about handling men."
00:13:03.491,00:13:10.039,We do not want to ignite the fear or hatred of anyone.
00:13:10.039,00:13:24.763,"But we ask you, Hindu, Muslim and Sikh, to help us light up the sky and the minds of the British authorities with our defiance of this injustice."
00:13:26.640,00:13:30.893,We will now burn the passes of our committee and its supporters.
00:13:30.893,00:13:36.899,We ask you to put your passes on the fire You bloody dog!
00:13:34.939,00:13:46.451,with the conviction-- MAN 2: Those passes are government property.
00:13:46.451,00:13:50.829,And I will arrest the first man who tries to burn one.
00:14:02.467,00:14:03.968,Take him away.
00:14:25.657,00:14:27.367,You little...
00:14:27.367,00:14:28.909,Sammy...
00:14:28.909,00:14:30.203,bastard!
00:14:31.830,00:14:33.373,Now...
00:14:33.373,00:14:34.666,are there any more?
00:14:34.666,00:14:37.418,"If you want this kind of trouble, you can have it."
00:15:01.860,00:15:03.277,Let me go!
00:15:04.404,00:15:05.697,Let me go!
00:15:25.174,00:15:26.509,Stop.
00:15:45.152,00:15:47.447,"The London papers have arrived from the Cape, sire."
00:15:47.447,00:15:49.699,Yes.
00:15:47.447,00:15:52.410,The worst was the Daily Mail They said the burning of passes-- Ask Mr. Herzog to see me.
00:15:52.410,00:15:57.665,The burning of passes by Mr. Gandhi was the most significant act in colonial affairs since the Declaration of Independence.
00:15:57.665,00:16:00.919,"Did they? Well, they will find we're a little better prepared this time."
00:16:00.919,00:16:03.880,Mr. Gandhi will find he's on a long hiding to nothing.
00:16:03.880,00:16:05.465,GANDHI: Hmm.
00:16:05.465,00:16:15.475,A High Court judge has confirmed that Mr. Gandhi would have been within his rights to prosecute for assault since neither he nor Mr. Khan resisted arrest.
00:16:15.475,00:16:17.393,I told you about English law.
00:16:17.393,00:16:19.520,As I told you about English policemen.
00:16:21.021,00:16:23.817,GANDHI: Yes?
00:16:23.817,00:16:26.945,"BOY: We're very pleased to have you back, Papa."
00:16:26.945,00:16:29.029,And I am glad to be back.
00:16:29.029,00:16:30.364,Come.
00:16:32.032,00:16:33.451,Mind your face.
00:16:40.249,00:16:43.711,Tomorrow I'll tell you about my days in a police hospital.
00:16:45.004,00:16:46.380,"WOMAN: Come, come."
00:16:51.886,00:16:55.473,"Just like proper English gentlemen, I'm proud of them."
00:16:55.473,00:16:58.726,"They're boys, and they're Indian."
00:17:00.645,00:17:04.482,Will you take this off?
00:17:10.655,00:17:11.990,I've got it.
00:17:11.990,00:17:14.074,BOY: Papa says he's got it.
00:17:20.498,00:17:21.833,You'd be Gandhi.
00:17:23.877,00:17:25.545,I thought you'd be bigger.
00:17:25.545,00:17:27.964,Oh. I'm sorry.
00:17:27.964,00:17:29.883,"No, that's all right."
00:17:29.883,00:17:32.426,"My name's Charlie Andrews, sir."
00:17:32.426,00:17:33.970,I've come from India.
00:17:35.388,00:17:37.181,I've read a great deal about you.
00:17:38.182,00:17:39.934,"Some of it good, I hope."
00:17:41.644,00:17:42.979,Would you care to walk?
00:17:42.979,00:17:44.313,Uh...
00:17:45.398,00:17:46.816,You're a clergyman?
00:17:46.816,00:17:49.485,"Yes, uh... I met some remarkable people in India."
00:17:49.485,00:17:51.404,"And when I read what you were doing here, I, um..."
00:17:51.404,00:17:52.655,I wanted to help.
00:17:52.655,00:17:53.907,Does that surprise you?
00:17:53.907,00:17:55.115,Not anymore.
00:17:55.115,00:18:04.709,"At first, I was amazed, but when you're fighting in a just cause, people seem to pop up, like you, right out of the pavement."
00:18:04.709,00:18:07.628,Even when it's dangerous or...
00:18:10.297,00:18:12.216,"Hey, look what's coming."
00:18:12.216,00:18:14.719,A white shepherd leading a brown Sammy.
00:18:15.970,00:18:18.514,"Uh, perhaps we should, um..."
00:18:18.514,00:18:23.394,"Doesn't the New Testament say, If your enemy strikes you on the right cheek, offer him the left?"
00:18:23.394,00:18:25.855,"Well, I think perhaps the phrase was used metaphorically."
00:18:25.855,00:18:28.232,I don't think our Lord-- I'm not so sure.
00:18:28.232,00:18:39.159,"I-- I have thought about it a great deal, and I suspect he meant you must show courage, be willing to take a blow, several blows, to show you will not strike back, nor will you be turned aside."
00:18:39.159,00:18:47.251,"And when you do that, it calls on something in human nature, something that makes his hatred for you decrease and his respect increase."
00:18:47.251,00:18:51.047,"I think Christ grasped that, and I have seen it work."
00:18:51.047,00:18:52.256,Good morning.
00:18:52.256,00:18:54.801,"Get off the pavement, you bloody coon."
00:18:54.801,00:18:56.427,"BOY: Yeah, get off."
00:18:57.887,00:18:59.305,"WOMAN: Colin, what you doin'?"
00:18:59.305,00:19:00.556,Nothin'.
00:19:00.556,00:19:02.266,WOMAN: Come out where I can see you.
00:19:07.063,00:19:09.440,"I said, what you doing?"
00:19:09.440,00:19:12.485,We were just trying to clean up the neighborhood a little.
00:19:12.485,00:19:14.112,You're late for work already.
00:19:14.112,00:19:16.072,I thought you'd gone 10 minutes ago.
00:19:16.072,00:19:17.531,Get on.
00:19:23.704,00:19:25.706,You'll find there's room for us all.
00:19:33.881,00:19:35.008,That was lucky.
00:19:35.008,00:19:36.676,I thought you were a man of God.
00:19:36.676,00:19:40.262,"Well, I am, but I'm not so egotistical as to think he plans his day around my dilemmas."
00:19:41.639,00:19:42.932,"MAN: Oi, Kaffir."
00:19:44.642,00:19:47.269,"GANDHI: Yes, you could call it a communal farm, I suppose."
00:19:47.269,00:19:49.981,But you've all come to the same conclusions.
00:19:49.981,00:19:52.733,"Our Gita, the Muslim's Koran, your Bible."
00:19:52.733,00:19:56.403,It's always the simple things that catch your breath.
00:19:56.403,00:19:58.447,Love thy neighbor as thyself.
00:19:59.657,00:20:04.578,"Not always practiced, but it's something we Hindus could learn a lot from."
00:20:04.578,00:20:07.498,And that's the kind of thing you'll be seeking on this farm?
00:20:07.498,00:20:09.083,"Well, we shall try."
00:20:09.083,00:20:11.127,"WOMAN: Bad news, I'm afraid."
00:20:11.127,00:20:14.254,They're going to change the pass laws.
00:20:18.425,00:20:22.930,"MAN: It's taken time, but it needed to be done fairly."
00:20:22.930,00:20:28.895,We didn't want to create an injustice simply because Mr. Gandhi was abusing our existing legislation.
00:20:28.895,00:20:30.188,"Just one moment, sir, please."
00:20:30.188,00:20:31.522,Ah.
00:20:32.857,00:20:34.067,Would you mind?
00:20:34.067,00:20:35.442,I beg your pardon.
00:20:37.444,00:20:43.076,"But on a short trip, I wouldn't spend too much time on the Indian question, Mr. Walker."
00:20:43.076,00:20:46.495,It's a tiny factor in South African life.
00:20:47.538,00:20:49.707,"Well, it is news at the moment."
00:20:49.707,00:20:53.920,"Of course, I do plan to report on the condition of the mines here as well as the economy."
00:20:53.920,00:20:55.254,Good.
00:20:53.920,00:20:57.339,"But, uh, I would like to meet this Mr. Gandai."
00:20:57.339,00:20:58.507,Gandhi.
00:20:58.507,00:20:59.842,Gandhi.
00:20:59.842,00:21:02.220,Of course.
00:21:02.220,00:21:06.640,We Westerners have a weakness for these spiritually inclined men of India.
00:21:07.892,00:21:09.685,"But as an old lawyer, let me warn you."
00:21:09.685,00:21:15.900,"Mr. Gandhi is as shrewd a man as you will ever meet, however otherworldly he may seem."
00:21:15.900,00:21:18.652,But I'm sure you're enough of a reporter to see that.
00:21:18.652,00:21:19.820,I hope so.
00:21:19.820,00:21:21.572,"Thank you for your time, sir."
00:21:25.993,00:21:29.122,So it's not spiritualism or nationalism.
00:21:29.122,00:21:33.333,We're not resisting anything but the idea that people can't live together.
00:21:33.333,00:21:34.627,You see?
00:21:35.628,00:21:41.341,"Hindus, Muslims, Sikhs, Jews, even Christians."
00:21:41.341,00:21:44.011,Mr. Walker of the New York Times.
00:21:44.011,00:21:45.345,WALKER: How you doin'?
00:21:46.680,00:21:52.186,"Without a paper, a journal of some kind, you cannot unite a community."
00:21:52.186,00:21:55.273,You belong to a very important profession.
00:21:56.190,00:21:57.775,Mm.
00:21:57.775,00:22:05.491,"And, uh, what do you think an important professional should write about your response to, uh, General Smuts' newest legislation?"
00:22:05.491,00:22:07.285,I don't know.
00:22:07.285,00:22:09.912,I'm still searching for a response.
00:22:09.912,00:22:12.581,You will respect the law?
00:22:12.581,00:22:17.837,There are unjust laws as there are unjust men.
00:22:17.837,00:22:22.633,"You're an awful small minority to take on the South African government, not to mention the British Empire."
00:22:22.633,00:22:28.722,"If you are a minority of one, the truth is the truth."
00:22:29.807,00:22:32.018,Ah. Herman Kallenbach.
00:22:32.018,00:22:34.687,"He's our chief carpenter, also our chief benefactor."
00:22:34.687,00:22:37.481,Hello.
00:22:37.481,00:22:39.317,"Well, this is quite a place you got here."
00:22:39.317,00:22:42.569,"And you, uh, call it an ashram?"
00:22:42.569,00:22:45.698,That's right.
00:22:45.698,00:22:48.284,But it could stand for village or the world.
00:22:49.576,00:22:51.787,"You're an ambitious man, Mr. Gandhi."
00:22:51.787,00:22:53.455,I hope not.
00:22:55.041,00:22:56.334,Uh...
00:22:56.334,00:23:00.420,I hear that you also participate in preparing the meals and cleaning the toilets.
00:23:00.420,00:23:01.797,Is that part of the experiment?
00:23:01.797,00:23:03.465,Ba.
00:23:03.465,00:23:08.262,We will need another place set for Mr. Walker's driver.
00:23:08.262,00:23:10.681,I will tell Tara.
00:23:12.308,00:23:18.272,"Yes, it's, um, one way to learn that each man's labor is as important as another's."
00:23:18.272,00:23:23.236,"In fact, while you're doing it, cleaning the toilet seems far more important than the law."
00:23:23.236,00:23:25.403,"Please, come and join us."
00:23:25.403,00:23:28.157,You'll need something before your journey back.
00:23:28.157,00:23:29.867,"Uh, would you excuse me, please?"
00:23:29.867,00:23:31.202,"Yeah, sure."
00:23:41.712,00:23:43.089,What is it?
00:23:44.131,00:23:47.425,Sora was sent to tell me I must...
00:23:47.425,00:23:49.553,rake and cover the latrine.
00:23:49.553,00:23:51.097,That's right.
00:23:51.097,00:23:52.890,Everyone takes their turn.
00:23:52.890,00:23:54.558,It is the work of Untouchables.
00:23:54.558,00:23:59.772,"In this place, there are no Untouchables, and no work is beneath any of us."
00:23:59.772,00:24:01.732,I'm your wife.
00:24:01.732,00:24:03.734,All the more reason.
00:24:06.237,00:24:08.030,As you command.
00:24:10.532,00:24:16.997,"The others may follow you, but you forget I knew you when you were a boy."
00:24:16.997,00:24:18.665,It's not me.
00:24:19.583,00:24:21.585,It's the principle.
00:24:21.585,00:24:25.256,And you will do it with joy or not do it at all.
00:24:26.299,00:24:28.092,Not at all then.
00:24:32.138,00:24:33.306,"All right then, go."
00:24:33.306,00:24:34.556,You don't belong here.
00:24:34.556,00:24:36.683,Go and leave the ashram altogether.
00:24:36.683,00:24:39.061,We don't want you!
00:24:39.061,00:24:40.354,Have you no shame?
00:24:40.354,00:24:42.106,I'm your wife.
00:24:53.951,00:24:56.912,Where do you expect me to go?
00:24:57.955,00:25:00.082,What's the matter with me?
00:25:07.881,00:25:09.633,You are human.
00:25:11.469,00:25:13.220,Only human.
00:25:15.597,00:25:21.770,And it's even harder for those of us who do not even want to be as good as you do.
00:25:25.774,00:25:27.485,I apologize.
00:25:33.407,00:25:36.243,I must get back to that reporter.
00:25:37.619,00:25:40.039,And I must...
00:25:40.039,00:25:43.750,rake...and cover the latrine.
00:26:09.651,00:26:11.987,I want to welcome you all.
00:26:13.239,00:26:15.157,Every one of you.
00:26:15.157,00:26:18.035,We have no secrets.
00:26:25.876,00:26:31.673,Let us begin by being clear about General Smuts' new law.
00:26:32.799,00:26:37.137,All Indians must now be fingerprinted like criminals.
00:26:37.137,00:26:39.098,Men and women.
00:26:39.098,00:26:43.436,No marriage other than a Christian marriage is considered valid.
00:26:43.436,00:26:48.732,"Under this act, our wives and mothers are whores."
00:26:48.732,00:26:52.027,And every man here is a bastard.
00:26:56.198,00:26:58.451,He has become quite good at this.
00:27:01.328,00:27:09.253,And a policeman passing an Indian dwelling-- Ha. I will not call them homes.
00:27:09.253,00:27:13.466,--may enter and demand the card of any Indian woman whose dwelling it is.
00:27:13.466,00:27:14.758,MAN: Goddamn them!
00:27:16.927,00:27:18.262,Understand...
00:27:18.262,00:27:22.099,he does not have to stand at the door.
00:27:23.434,00:27:24.851,He may enter.
00:27:24.851,00:27:26.770,MAN 2: I will not allow it.
00:27:26.770,00:27:29.482,I swear to Allah.
00:27:29.482,00:27:33.819,I'll kill the man who offers that insult to my home and my wife.
00:27:33.819,00:27:36.196,And let them hang me.
00:27:40.658,00:27:42.411,I say...
00:27:42.411,00:27:45.414,talk means nothing.
00:27:45.414,00:27:50.002,Kill a few officials before they disgrace one Indian woman.
00:27:50.002,00:27:53.797,Then they might think twice about such laws.
00:27:53.797,00:27:58.093,"In that cause, I would be willing to die."
00:28:06.393,00:28:09.480,I praise such courage.
00:28:09.480,00:28:15.861,"I need such courage because, in this cause, I too am prepared to die."
00:28:15.861,00:28:22.909,"But, my friend, there is no cause for which I am prepared to kill."
00:28:23.910,00:28:30.042,"Whatever they do to us, we will attack no one, kill no one."
00:28:30.042,00:28:34.087,"But we will not give our fingerprints, not one of us."
00:28:34.087,00:28:37.007,They will imprison us.
00:28:37.007,00:28:39.092,They will seize our possessions.
00:28:39.092,00:28:44.348,But they cannot take away our self-respect if we do not give it to them.
00:28:44.348,00:28:47.017,MAN 3: Have you been to prison?
00:28:47.017,00:28:53.399,They beat us and torture us. I say-- I am asking you to fight.
00:28:53.399,00:28:58.278,"To fight against their anger, not to provoke it."
00:28:59.196,00:29:03.367,We will not strike a blow.
00:29:03.367,00:29:06.537,But we will receive them.
00:29:06.537,00:29:11.917,"And through our pain, we will make them see their injustice."
00:29:11.917,00:29:16.463,And it will hurt as all fighting hurts.
00:29:17.756,00:29:19.299,But we cannot lose.
00:29:20.426,00:29:22.302,We cannot.
00:29:24.054,00:29:31.353,"They may torture my body, break my bones, even kill me."
00:29:31.353,00:29:33.230,Then...
00:29:33.230,00:29:36.567,they will have my dead body...
00:29:36.567,00:29:39.486,not my obedience.
00:29:59.172,00:30:02.342,We are Hindu and Muslim.
00:30:02.342,00:30:05.929,"Children of God, each one of us."
