start,end,script
00:01:07.166,00:01:09.666,The blood stays on the blade.
00:01:12.500,00:01:14.958,One day you'll understand.
00:01:26.625,00:01:32.500,And the rest The rest I took from dreams.
00:01:35.916,00:01:39.333,"St. Michael, the archangel, defend us in battle."
00:01:39.416,00:01:47.791,Be our protector against the snares and the wickedness of the devil.
00:01:47.875,00:01:49.958,"Now, son, who's that?"
00:01:50.041,00:01:51.625,-St. Michael. -Who is it?
00:01:51.708,00:01:53.750,-St. Michael! -And what did he do?
00:01:53.833,00:01:56.916,He cast Satan out of paradise.
00:01:57.000,00:01:59.250,Good boy.
00:03:08.750,00:03:15.500,May God put the steel of the Holy Spirit in your spine and the love of the Blessed Virgin in your heart.
00:03:41.000,00:03:42.791,"Hey, boyo!"
00:03:44.791,00:03:46.000,What's the battle?
00:03:46.083,00:03:47.583,Natives against the Dead Rabbits.
00:03:47.666,00:03:49.000,Which are you?
00:03:49.083,00:03:51.833,What do you think? Dead Rabbits.
00:04:32.500,00:04:34.375,"Well, well, Monk."
00:04:34.458,00:04:36.333,Are you with us or not?
00:04:36.416,00:04:39.125,"For the last time, Vallon, I'm with you if the money is right."
00:04:40.750,00:04:42.875,I'll give you 10 per notch.
00:04:44.041,00:04:45.291,Ten?
00:04:45.375,00:04:47.791,You have my word.
00:04:51.750,00:04:53.250,Ten per notch?
00:04:59.375,00:05:01.000,Then I'm your man.
00:06:49.791,00:06:52.708,"Is this it, Priest? The Pope's new army?"
00:06:52.791,00:06:56.541,A few crusty bitches and a handful of ragtags?
00:06:56.625,00:07:02.833,"Now, now, Bill, you swore this was a battle between warriors not a bunch of Miss Nancy's."
00:07:02.916,00:07:05.625,So warriors is what I brought.
00:07:08.541,00:07:09.916,The O'Connell Guard.
00:07:10.000,00:07:11.666,The Plug Uglies.
00:07:11.750,00:07:14.041,The Shirt Tails.
00:07:19.000,00:07:20.791,The Chichesters.
00:07:20.875,00:07:23.708,The Forty Thieves.
00:07:33.375,00:07:35.291,Bene.
00:07:40.000,00:08:04.500,"On my challenge by the ancient laws of combat, we have met at this chosen ground to settle, for good and all, who holds sway over the Five Points: Us Natives, born right-wise to this fine land or the foreign hordes defiling it."
00:08:08.791,00:08:13.916,"By the ancient laws of combat, I accept the challenge of the so-called Natives."
00:08:14.000,00:08:16.583,You plague our people at every turn.
00:08:16.666,00:08:19.833,"But from this day out, you shall plague us no more."
00:08:19.916,00:08:25.666,For let it be known that the hand that tries to strike us from this land shall be swiftly cut down.
00:08:27.791,00:08:33.625,Then may the Christian Lord guide my hand against your Roman popery!
00:08:33.708,00:08:35.791,Prepare to receive the true Lord!
00:10:39.416,00:10:41.000,Priest!
00:11:29.500,00:11:32.041,Look to me.
00:11:33.291,00:11:35.458,Who is this under my knife?
00:11:44.500,00:11:47.041,"Father, get up. Get up!"
00:11:51.333,00:11:53.625,"Oh, my son."
00:11:56.958,00:12:00.458,Don't never look away.
00:12:07.916,00:12:10.333,"Soon be over, Priest."
00:12:12.291,00:12:14.291,Finish it.
00:12:31.625,00:12:35.333,You may need this across the river.
00:12:44.291,00:12:47.750,Ears and noses will be the trophies of the day.
00:12:47.833,00:12:52.208,But no hand shall touch him!
00:12:54.291,00:12:57.333,No hand shall touch him!
00:12:59.166,00:13:05.333,"He'll cross over whole, in honor."
00:13:05.416,00:13:07.333,Not before I get what's owed.
00:13:14.125,00:13:15.458,No!
00:13:18.208,00:13:20.500,"A touch indelicate, but fair."
00:13:26.166,00:13:27.416,My sympathies.
00:13:39.250,00:13:40.916,Give him to the law.
00:13:41.000,00:13:43.833,See he gets a good education.
00:13:45.166,00:13:47.291,say goodbye to your father.
00:13:58.541,00:14:00.625,"Hurry, come in here!"
00:14:03.541,00:14:05.583,He's going downstairs.
00:14:21.666,00:14:23.041,"Come here, boy."
00:14:23.125,00:14:24.708,"You're going to Hellgate, son."
00:14:24.791,00:14:26.458,There he is. Get him.
00:14:29.625,00:14:34.875,--but his Dead Rabbits is done and outlawed!
00:14:36.708,00:14:41.416,Let no one even speak their name from this time on.
00:15:28.416,00:15:32.666,you have grown from a boy into a man.
00:15:32.750,00:15:40.375,"Put to death the earthly things in you: immorality, impurity, passion, vengeance."
00:15:40.458,00:15:43.791,The Lord has forgiven you.
00:15:43.875,00:15:48.375,You also must forgive.
00:15:48.458,00:15:53.125,You go forth to a country torn apart by civil strife.
00:15:53.208,00:15:55.208,"Thank you, Reverend."
00:16:01.208,00:16:12.541,that this war may end and the plague of slavery that brought this conflagration down upon us vanish forever from the earth.
00:16:44.625,00:16:54.541,"when the Irish Brigade marched through the streets, New York was a city full of tribes, war chiefs, rich and poor."
00:17:00.958,00:17:06.208,It was more a furnace where a city some day might be forged.
00:17:07.958,00:17:10.875,Go off and die for your blackie friends.
00:17:12.458,00:17:15.833,We should've run a better man against Lincoln when we had the chance.
00:17:17.791,00:17:20.541,They trying to say we're no different than niggers?
00:17:20.625,00:17:21.791,You ain't.
00:17:21.875,00:17:24.208,"Good evening, brother."
00:17:26.375,00:17:29.291,"Go back to Africa, niggers!"
00:17:29.375,00:17:30.791,Go back to Africa!
00:17:34.375,00:17:39.375,was of the new Conscription Act the first draft in Union history.
00:17:52.500,00:17:54.666,Three square meals a day and good pay in your pocket.
00:17:56.041,00:17:58.333,the city was in a fever.
00:17:58.416,00:18:02.958,"Since the time of the great famine, they'd come streaming off the boats."
00:18:03.041,00:18:04.875,And they got a right warm welcome.
00:18:06.833,00:18:08.916,"Remember that, you Irish gyps!"
00:18:09.000,00:18:10.708,"Get back on the boat, Paddy!"
00:18:12.625,00:18:16.875,"downriver from Hellgate, but they all took me for an immigrant."
00:18:16.958,00:18:23.708,"Why not? There were a thousand different accents in New York, and to the Natives, you see, heh, we was all the same."
00:18:26.375,00:18:30.208,Tammany is here to take the chill off your soul and the weight off your heart.
00:18:30.291,00:18:31.541,"Welcome to America, son."
00:18:31.625,00:18:33.750,"Your long, arduous journey is over."
00:18:35.291,00:18:36.500,Vote Tammany!
00:18:46.750,00:18:48.375,and hated him.
00:18:48.458,00:18:52.916,"And those of us trying to be thieves, well, we couldn't help but admire him."
00:18:53.000,00:18:56.583,"Mr. Cutting, gentlemen, thank you for coming. It's an honor."
00:19:00.625,00:19:03.000,"Sir, please. Excuse me."
00:19:03.083,00:19:04.583,I think you're frightening them.
00:19:04.666,00:19:06.125,So.
00:19:06.208,00:19:08.083,Don't mind him. He used to be an Irishman.
00:19:12.791,00:19:16.541,Murderers' Alley. Brickbat Mansion.
00:19:16.625,00:19:17.833,The Gates of Hell.
00:19:21.208,00:19:24.083,Look upon the face of this poor child.
00:19:24.166,00:19:31.416,She lives in squalor in this godforsaken den of vice and misery behind me.
00:19:34.333,00:19:40.375,"Every year the Points got worse, as if it liked being dirty."
00:19:50.083,00:19:55.625,will spring from the filthy depths to which these miserable creatures have fallen.
00:19:55.708,00:19:58.791,"In God, they will find their true home."
00:20:00.583,00:20:05.250,that every day I go down to the waterfront with hot soup for the Irish as they come ashore.
00:20:05.333,00:20:07.458,It's part of building a political base.
00:20:09.125,00:20:10.291,You may have noticed me.
00:20:11.625,00:20:16.250,Throwing torrents of pavers and withering abuse on every single person who steps off those boats.
00:20:16.333,00:20:21.333,"If only I had the guns, Mr. Tweed, I'd shoot each and every one of them before they set foot on American soil."
00:20:51.500,00:20:53.125,and Worth.
00:20:53.208,00:20:58.083,Cross and Orange and Little Water.
00:20:58.166,00:21:01.125,Each of the Five Points is a finger.
00:21:01.208,00:21:05.750,"When I close my hand, it becomes a fist."
00:21:05.833,00:21:09.958,"And any time that I wish, I can turn it against you."
00:21:10.041,00:21:12.458,"I understand, but we're talking about different things."
00:21:12.541,00:21:24.041,"I'm talking about civic duty, responsibilities we owe to the people: schools and hospitals, sewers and utilities, street construction, repairs and sweeping, business licenses, saloon licenses."
00:21:47.750,00:21:49.833,defend us in battle.
00:21:49.916,00:21:53.666,Be our protector against the snares and the wickedness of the devil.
00:21:55.250,00:21:56.625,rubbish disposal.
00:21:56.708,00:22:12.541,"There's a power of money to be made in this city, Bill. With your help, the people must be made to understand that all these things are best kept within what I like to call the Tammany family which is why I'm talking about an alliance between our two great organizations."
00:22:12.625,00:22:14.541,You're talking about muscle work.
00:22:14.625,00:22:15.791,That too.
00:22:15.875,00:22:17.458,Muscle to match our spirit.
00:22:17.541,00:22:19.541,You own the crushers. Get them to do it.
00:22:19.625,00:22:21.708,"The police? Oh, no. Jesus, no!"
00:22:21.791,00:22:28.458,"The appearance of the law must be upheld, especially while it's being broken."
00:22:39.666,00:22:42.541,Give me the strength for what I must do.
00:22:50.583,00:22:52.541,-Hey! -No!
00:22:52.625,00:22:55.958,"I said, who are you? What are you doing here?"
00:23:03.208,00:23:05.583,I just like it down here is all.
00:23:06.958,00:23:09.708,"See what's in his pockets, Jimmy."
00:23:09.791,00:23:12.041,"Now, look, boys, I really don't want a fight."
00:23:12.125,00:23:13.458,Don't want a fight?
00:23:13.541,00:23:16.375,"Don't worry, son, ain't gonna be much a fight."
00:23:23.875,00:23:25.250,Don't kill me.
00:23:33.791,00:23:36.041,Where'd you get that?
00:23:36.125,00:23:37.916,I told you I didn't want a fight!
00:23:38.000,00:23:41.291,Why not? Look how good you done.
00:23:48.666,00:23:50.541,"You're the priest's son, aren't you?"
00:23:50.625,00:23:53.500,"You, get away from me, understand?"
00:23:53.583,00:23:58.250,"You don't remember me, do you? I's the one tried to help you."
00:24:00.125,00:24:01.333,What?
00:24:01.416,00:24:05.375,I's the one tried to help you when the Natives took you.
00:24:09.041,00:24:10.500,"Oh, that was you?"
00:24:10.583,00:24:13.125,Yeah. I thought you was killed.
00:24:16.416,00:24:18.958,"They just locked me up, you know that?"
00:24:19.041,00:24:21.083,This long?
00:24:21.166,00:24:23.833,"Well, I kept trying to escape, you know."
00:24:23.916,00:24:27.000,They add on time for that.
00:24:27.083,00:24:30.208,"So, what are you doing back here?"
00:24:30.291,00:24:31.750,I guess I missed the place.
00:24:39.416,00:24:41.083,"Bowery Boys, ha, ha."
00:24:55.083,00:24:58.000,"The Five Points, Paradise Square."
00:24:58.083,00:25:02.041,The streets here are always lively on an evening.
00:25:02.125,00:25:03.916,Who are the gangs around now?
00:25:04.000,00:25:06.041,We got the Daybreak Boys and the Swamp Angels.
00:25:06.125,00:25:08.291,"They work the river, looting ships."
00:25:08.375,00:25:11.041,The Frog Hollows Shanghai sailors down around the Bloody Angle.
00:25:11.125,00:25:17.958,"The Shirt Tails was rough for a while, but they've become a bunch of jack-rollin' dandies lolling around Murderers' Alley, looking like Chinamen."
00:25:18.041,00:25:24.500,"Hell-Cat Maggie, she tried to open her own grog shop, but she drunk up all her own liquor -and got throwed on the street. -Beautiful."
00:25:24.583,00:25:25.833,Now she's on the lay for anything.
00:25:25.916,00:25:27.416,There's the Plug Uglies.
00:25:27.500,00:25:29.291,They're from somewhere deep in the old country.
00:25:29.375,00:25:32.916,Got their own language no one understands what they're saying. They love to fight the cops.
00:25:33.000,00:25:35.125,And the Night Walkers of Ragpicker's Row.
00:25:35.208,00:25:37.583,"Uh, they work on their backs and kill with their hands."
00:25:37.666,00:25:40.541,They're so scurvy only the Plug Uglies'll talk to them.
00:25:40.625,00:25:42.041,But who knows what they're saying?
00:25:42.125,00:25:44.916,The Slaughter Housers and the Broadway Twisters.
00:25:45.000,00:25:46.708,They're a fine bunch of bingo boys.
00:25:46.791,00:25:47.958,And the Little Forty Thieves.
00:25:48.041,00:25:53.083,I used to run with them for a while till they got took over by Bendrick the Cockroach and his red-eyed buggers.
00:25:53.166,00:25:57.041,"Bendrick carries a germ. If you try to leave the gang, they say he hacks up blood on you."
00:25:57.125,00:26:01.625,The lime-juicers are nothing but a bunch of rapacious grab-ups.
00:26:01.708,00:26:07.000,"The True Blue Americans call themselves a gang, but all they really do is stand around corners damning England."
00:26:10.416,00:26:13.916,Do any of them got the sand of the Dead Rabbits?
00:26:17.333,00:26:19.708,You don't say that name.
00:26:19.791,00:26:23.583,That name died with your-- They been outlawed.
00:26:25.125,00:26:30.541,"When I was in the blockhouse, the Chinks told me that the Natives celebrate their victory every year."
00:26:30.625,00:26:31.791,Is that true?
00:26:31.875,00:26:33.500,"Aye, that they do."
00:26:33.583,00:26:35.000,It's quite the affair.
00:26:35.083,00:26:37.833,"The Butcher himself's got to invite you, or you don't go."
00:26:43.666,00:26:45.791,Oh. Uh!
00:26:54.000,00:26:55.333,"You look stunned and poorly, sir."
00:27:01.333,00:27:03.208,"Quite a pair of conversationists, aren't you?"
00:27:06.500,00:27:10.166,"Maybe not, but we're deep thinkers."
