start,end,script
00:04:18.633,00:04:21.178,Welcome to Gattaca.
00:05:20.654,00:05:24.449,"You keep your workstation so clean, Jerome."
00:05:24.491,00:05:27.494,It's next to godliness.
00:05:27.535,00:05:28.495,Isn't that what they say?
00:05:28.536,00:05:30.747,Godliness.
00:05:30.789,00:05:32.582,I reviewed your flight plan.
00:05:32.624,00:05:36.003,Not one error in a million keystrokes.
00:05:36.044,00:05:37.254,Phenomenal.
00:05:37.296,00:05:41.300,It's right that someone like you is taking us to Titan.
00:05:41.340,00:05:44.552,Has the committee approved the mission?
00:05:44.594,00:05:46.345,There's been talk of delay.
00:05:46.387,00:05:48.515,You shouldn't listen to talk.
00:05:48.556,00:05:51.392,You leave in a week.
00:05:51.434,00:05:54.146,You've got a substance test.
00:06:23.800,00:06:30.515,"If you have been notified of a substance analysis, please report to the testing center."
00:06:37.522,00:06:40.108,Hm. Jerome. Never shy.
00:06:40.150,00:06:41.902,Pisses on command.
00:06:41.943,00:06:44.487,You have a beautiful piece of equipment there.
00:06:44.529,00:06:45.572,Have I ever told you that?
00:06:45.613,00:06:47.157,Only every time I'm in here.
00:06:48.158,00:06:49.951,Occupational hazard.
00:06:49.993,00:06:52.662,I see a great many in the course of any given day.
00:06:52.704,00:06:55.290,Yours just happens to be an exceptional example.
00:06:57.000,00:06:59.836,Don't know why my folks didn't order one like that for me.
00:07:15.518,00:07:19.564,"By the way, have I ever told you about my son?"
00:07:19.606,00:07:20.648,"No, you haven't."
00:07:20.690,00:07:22.650,Remind me to sometime.
00:07:24.694,00:07:27.488,So you're about to go up.
00:07:27.530,00:07:29.657,One week left.
00:07:29.699,00:07:32.369,Please tell me you're the least bit excited.
00:07:35.330,00:07:37.249,I'll tell you at the end of the week.
00:07:49.761,00:07:51.805,"Congratulations, Jerome."
00:07:54.724,00:07:56.268,Thank you.
00:07:58.895,00:08:01.189,IRENE: How many launches are there in a day?
00:08:01.231,00:08:02.523,A dozen?
00:08:04.651,00:08:06.153,Sometimes more.
00:08:07.904,00:08:10.198,You're the only one who watches every one of them.
00:08:14.244,00:08:19.207,"If you're going to pretend like you don't care, don't look up."
