start,end,script
00:02:25.166,00:02:26.750,Do you remember?
00:02:26.833,00:02:28.208,You watched me paint it.
00:02:47.541,00:02:49.833,I never thought our family would come to this.
00:02:53.500,00:02:55.625,Food may be strange to your stomach.
00:03:00.208,00:03:02.791,Keep clear of their Catholic prayers.
00:03:03.750,00:03:07.583,Or if you must be with them when they pray… stop your ears.
00:04:22.333,00:04:24.291,Give it. I got Cornelia's too.
00:04:24.375,00:04:26.500,-Give It back. -Stop it!
00:04:29.166,00:04:31.250,You did not get it. I did.
00:04:31.333,00:04:33.083,Do you know the house of Master Vermeer?
00:04:34.333,00:04:36.583,Tell Tanneke the new maid is here.
00:04:58.875,00:05:01.666,"You took your time. Lose your way, did you?"
00:05:04.000,00:05:05.958,Young mistress is out this morning.
00:05:07.250,00:05:09.083,I'm to show you round.
00:05:10.500,00:05:12.041,Water for the table.
00:05:12.875,00:05:15.166,Take water from the canal for laundry.
00:05:15.708,00:05:17.583,It's clean enough this side of town.
00:05:19.208,00:05:24.541,"Soda… coppers, boiler… sand and soap."
00:05:24.625,00:05:30.875,"In cooking kitchen, you're to help serve and clear, buy fish and meat… when young mistress don't want to."
00:05:31.458,00:05:33.791,You'll take your meals with me and the children.
00:05:35.875,00:05:37.375,That's your sleeping place.
00:05:39.958,00:05:42.125,Scour the pots and pans.
00:05:42.208,00:05:45.125,Young mistress and master sleep and have company here.
00:05:45.958,00:05:47.333,You'll get used to it.
00:05:54.375,00:05:55.833,You're to clean in there.
00:05:58.416,00:06:00.333,Not now!
00:06:01.583,00:06:03.875,He's painting.
00:08:13.291,00:08:14.500,"Good morning, madam."
00:08:16.416,00:08:18.458,Don't speak till you're spoken to.
00:08:19.333,00:08:22.458,Tanneke showed you what needs to be done? The laundry and so on?
00:08:22.541,00:08:23.791,"Yes, madam."
00:08:25.083,00:08:28.541,This is only a trial. Nothing is settled yet.
00:08:53.000,00:09:02.666,I… my husband does… Go in.
00:09:05.166,00:09:06.666,Go in.
00:09:45.208,00:09:47.541,Disturb nothing.
00:09:47.625,00:09:49.750,Leave all just as it is.
00:09:52.916,00:09:55.458,"Open the shutters, you can't work in the dark."
00:11:54.458,00:11:57.791,You're not the first to forget your manners in front of his paintings.
00:11:59.625,00:12:03.708,"Tell me, girl… do you think it finished?"
00:12:06.375,00:12:07.666,Three months.
00:12:08.250,00:12:11.375,"Another three before he's satisfied, no doubt."
00:12:13.291,00:12:14.458,"Well get along, girl."
00:12:14.541,00:12:16.958,You're not paid to stand gawping all day.
00:12:24.250,00:12:25.166,Good to see you.
00:12:25.250,00:12:27.166,-Are you well? -Yeah.
00:12:32.291,00:12:33.750,-Can we go? -Here's my man.
00:12:34.416,00:12:35.375,Paul.
00:12:35.458,00:12:37.750,"This is Griet, the new maid."
00:12:37.833,00:12:38.875,She'll fetch the meat now.
00:12:38.958,00:12:41.875,"So, Griet… what takes your fancy?"
00:12:41.958,00:12:43.750,Nothing is too good for this family?
00:12:44.458,00:12:47.083,An ox tongue and a dozen chops.
00:12:47.166,00:12:49.250,"Pieter, chops!"
00:12:49.875,00:12:52.000,In the book again?
00:12:57.208,00:12:58.041,There you are.
00:13:05.875,00:13:07.458,This meat's not fresh.
00:13:11.708,00:13:13.000,The mistress won't like it.
00:13:15.458,00:13:16.416,Pieter.
00:13:20.125,00:13:22.125,Get the parcel on the cart.
00:13:40.291,00:13:41.458,That's better.
00:13:42.541,00:13:43.791,"We'll see you again, Griet."
00:13:44.666,00:13:45.833,Yes.
00:13:55.041,00:13:57.541,Nol I'll take that.
00:14:00.416,00:14:01.500,Make way now.
00:14:04.208,00:14:06.541,-What is it? -Bankrupt.
00:14:07.958,00:14:10.166,They've lived next door for as long as I can remember.
00:14:12.791,00:14:14.458,The shame.
00:14:15.208,00:14:17.375,Lost everything.
00:14:19.291,00:14:21.125,Watch out for young mistress.
00:14:21.875,00:14:23.750,She hates money troubles.
00:14:25.291,00:14:28.416,"She'll turn spiteful at this, you mark my words."
00:14:33.208,00:14:37.041,The last time you said it was done you kept it another six months!
00:14:37.125,00:14:38.500,It will be done soon.
00:14:38.583,00:14:41.250,"Oh yes, soon. But when is soon?"
00:14:41.333,00:14:43.666,"Next month, next year?"
00:14:43.750,00:14:48.208,"It's all the same to you, if your children starve and your wife is dressed in rags."
00:14:48.291,00:14:52.208,When you sit up there and suck at your paintbrush… You're being ridiculous. I'm going out.
00:14:52.291,00:14:54.500,"No, Jan, don't you dare leave."
00:14:58.625,00:15:02.208,"One year it got so bad, they had to sell some of their jewels."
00:15:04.208,00:15:06.916,You could imagine how that pleased her.
00:15:07.000,00:15:12.041,She smashed half the china… went to spoil one of his precious paintings.
00:15:13.625,00:15:16.875,"Well, he's a temper on him too for all he's so quiet."
00:15:20.875,00:15:24.625,She's not set so much as a foot in his studio from that day to this.
00:16:13.083,00:16:16.208,There you are. Fetch some water.
00:16:16.833,00:16:20.250,"Hail Mary, Mother of God, pray for us sinners now and at the hour of our death."
00:16:20.333,00:16:23.166,Six babies. Why does she have to make such a racket?
00:16:23.250,00:16:24.791,Just get on with the work.
00:16:24.875,00:16:26.125,Push!
00:16:29.333,00:16:31.625,"I need more rags, girl."
00:16:31.708,00:16:33.208,More rags.
00:16:39.083,00:16:40.583,"Push, push!"
00:16:41.625,00:16:44.125,"Good, that's good!"
00:16:44.208,00:16:46.750,"Oh, Jan, isn't he just like you?"
00:16:47.875,00:16:50.250,"Johannes, that's it."
00:16:50.333,00:16:52.250,"Look at him, he's your little brother."
00:17:05.250,00:17:09.083,"Take this to the house of your master's patron, Pieter van Ruijven."
00:17:28.833,00:17:29.958,To the left.
00:17:31.541,00:17:33.416,"Open up, there's a lady coming in."
00:17:35.250,00:17:36.708,That's it.
00:17:42.875,00:17:44.291,"So, finished at last."
00:17:47.500,00:17:49.083,Honored guest.
00:17:49.833,00:17:53.250,It's the old woman's idea to combine the birth feast and the viewing.
00:17:53.333,00:17:55.083,She is a tight fist.
00:17:57.208,00:18:00.458,"I won't turn out for small beer and biscuits, tell her."
00:18:00.541,00:18:02.250,Me and the brat deserve a proper feast.
00:18:07.416,00:18:09.791,You have a very wide eyes.
00:18:11.166,00:18:12.541,What do they call you?
00:18:14.333,00:18:16.375,-Griet. -Griet?
00:18:17.375,00:18:18.750,Griet.
00:18:22.541,00:18:25.708,"Your master is a fine painter, Griet."
00:18:26.583,00:18:28.500,The finest in Delft.
00:18:28.583,00:18:29.958,He's painted me.
00:18:31.416,00:18:33.416,Perhaps that will be my epitaph.
00:18:41.041,00:18:43.000,Look at that dress.
00:18:43.083,00:18:44.875,You can almost stroke the satin.
00:18:45.875,00:18:49.000,And the wine winkling through the glass.
00:18:51.250,00:18:53.791,"Can you imagine yourself in such finery, Griet?"
00:18:57.166,00:18:59.166,"She loved it, you know."
00:18:59.250,00:19:03.125,Lace and satin pressed tight against the plump little bubbies.
00:19:04.125,00:19:08.041,"The silk, heavy on her thighs."
00:19:08.125,00:19:09.958,The gentlemen watching.
00:19:11.500,00:19:13.416,"My God, she was happy."
00:19:14.583,00:19:16.666,She thought she was somebody.
00:19:16.750,00:19:18.750,All dressed up like a lady.
00:19:20.500,00:19:22.166,"Green as grass, mind you."
00:19:24.375,00:19:29.375,She had only worked there a few months before Master Van Ruijven brought her over to be painted.
00:19:30.916,00:19:34.125,Got her into that fine red dress.
00:19:34.875,00:19:37.750,Poured wine down her like he was forcing a goose.
00:19:37.833,00:19:39.750,That dress can't have stayed on long.
00:19:39.833,00:19:44.125,She was carrying his by-blow before the painting was dry.
00:19:48.333,00:19:52.208,"He thinks we don't know how to celebrate a birth, does he?"
00:20:14.458,00:20:15.708,"Come on, keep up."
00:20:23.666,00:20:27.166,"Come on now, my little one. I've got a lovely apple for you."
00:20:27.250,00:20:29.416,"The price was three guilders, I'm sure of that."
00:20:29.500,00:20:32.833,Three guilders… thank you.
00:21:05.916,00:21:07.416,Why are you here?
00:21:09.083,00:21:12.416,"A nice greeting, when I brought the meat order just for you."
00:21:13.333,00:21:14.708,Better carry it through.
00:21:19.250,00:21:20.750,Not even a smile for my pains?
00:21:21.458,00:21:22.916,Not today.
00:21:24.500,00:21:25.541,Come on.
00:21:29.083,00:21:33.000,"I'll put it in the book, then. Owed by Griet… one smile."
00:21:53.458,00:21:55.625,And don't they look marvelous?
00:22:02.208,00:22:04.041,"Welcome, Master Van Ruijven."
00:22:04.125,00:22:05.708,Mistress Thins.
00:22:29.208,00:22:53.666,"Friends and neighbors, our honored guest, Master Van Ruijven… not only are we gathered tonight to celebrate the safe delivery into this world, praise be to God, of little Franciscus, but also to rejoice at another birth, a new masterpiece from the hand of my son--in-law Johannes Vermeer."
00:23:21.375,00:23:23.083,Is this Indian yellow?
00:23:25.958,00:23:31.833,Distilled from the urine of sacred cows fed only on mango leaves.
00:23:34.916,00:23:37.625,You've glazed my wife in dried piss.
00:23:42.541,00:23:43.791,It was the right color.
00:23:44.666,00:23:46.000,"No stinting, eh?"
00:23:50.291,00:23:53.541,"I cannot bear the suspense a moment longer, Master Van Ruijven."
00:23:54.125,00:23:55.541,Pray tell us what you think.
00:23:56.916,00:23:58.500,This is good.
00:23:59.791,00:24:04.791,"Color and perspective is true, the illusion… is perfect."
00:24:07.833,00:24:11.625,All this skill lavished on my dear Emilie.
00:24:11.708,00:24:17.500,Why… it's almost as if… she were thinking.
00:24:17.583,00:24:21.166,And have you considered the subject for your next commission?
00:24:21.250,00:24:24.166,We cannot expect you to give up Emilie for so long again.
00:24:24.250,00:24:26.708,Considered? It's already in hand. Didn't I tell you?
00:24:26.791,00:24:29.083,A coming fellow from Amsterdam.
00:24:29.166,00:24:33.125,"Studied under Rembrandt van Rijn, though, who hasn't these days?"
00:24:36.250,00:24:40.666,"A Merry Company by Candlelight,” candlelight being his forte."
00:24:40.750,00:24:42.333,Oh.
00:24:43.708,00:24:46.458,"S0, have you decided what to daub next, Jan?"
00:24:46.541,00:24:49.041,Have you found inspiration up in that room of yours?
00:24:50.333,00:24:54.875,Is there another patron in Delft with pockets as deep as mine?
00:24:55.708,00:24:57.625,I've not yet found a subject.
00:25:54.291,00:25:55.583,Yes?
00:25:55.666,00:25:57.208,"About the studio, mistress."
00:25:58.750,00:26:00.666,Should I clean the windows?
00:26:00.750,00:26:03.125,You don't need to ask me about such matters.
00:26:03.208,00:26:08.708,It's just… it may change the light.
00:26:17.083,00:26:18.458,Of course.
00:26:20.083,00:26:21.125,Wash them.
00:27:09.750,00:27:12.125,Stay as you were.
00:27:17.833,00:27:19.291,By the window.
00:27:30.333,00:27:31.833,Drop it.
00:27:41.000,00:27:55.916,Just… You can go.
00:28:43.083,00:28:47.458,Brothers and sisters… welcome to the house of the Lord God.
00:28:48.166,00:29:16.666,"Let us lift up our hearts and voices together to give Him thanks and praise for our safe passage… Father, mother, this is Pieter, our butcher's son… the family's butcher."
00:29:16.750,00:29:18.875,"Sir, mistress, I'm glad to meet you."
00:29:20.208,00:29:23.458,"So, the butcher… that's a good trade."
00:29:24.500,00:29:26.875,Griet is the hardest to please of all our customers.
00:29:28.041,00:29:30.708,"Ave, she gets that from me."
00:29:32.375,00:29:33.833,"There now, I forgot."
00:29:34.458,00:29:36.458,We must speak with Willem Jansson.
00:29:37.416,00:29:39.333,"Griet, you go on with Pieter there."
