start,end,script
00:00:29.530,00:00:30.906,You think this is hard?
00:00:30.989,00:00:32.533,Try being waterboarded. That's hard.
00:00:43.001,00:00:45.546,"Hey, guys."
00:00:45.629,00:00:48.882,"MAN: Making some new friends, Kurt?"
00:00:48.966,00:00:50.676,"He sure is, Mr. Schue."
00:00:50.759,00:00:53.929,"Hey, Finn, you still owe me that report on Que hace en su verano pasado."
00:00:54.012,00:00:56.139,-What? -What you did last summer.
00:00:56.223,00:00:59.434,"Almost halfway done with almost all of it, Mr. Schue."
00:00:59.518,00:01:03.355,"-It's hammer time! -Please, this is from Marc Jacobs' -new collection! -Wait."
00:01:08.318,00:01:09.236,Okay.
00:01:38.390,00:01:39.349,¿Como esta usted?
00:01:39.433,00:01:41.435,Yo me llamo Guillermo.
00:01:41.518,00:01:42.686,ALL: Como esta usted?
00:01:42.769,00:01:44.271,Yo me llamo Guillermo.
00:01:44.354,00:01:46.857,"Que lastima, hojala que se sienta mejor."
00:01:46.940,00:01:51.653,"-Rapido. -ALL: Que lastima, hojala que se sienta mejor."
00:01:51.737,00:01:54.031,"WILL: Bueno, bueno."
00:02:32.361,00:02:33.654,WILL: Where's the coffee pot?
00:02:33.737,00:02:35.197,Figgins got rid of it.
00:02:35.280,00:02:36.323,Budget cuts.
00:02:36.406,00:02:39.785,"You know, I know for a fact that they are still getting hot java at Carver."
00:02:39.868,00:02:41.995,We should strike.
00:02:42.079,00:02:43.997,"Hello, boys."
00:02:44.081,00:02:45.499,Who needs a pick-me-up?
00:02:45.582,00:02:46.792,"Wow, lattes!"
00:02:46.875,00:02:48.210,"Yeah, I am a bit of a coffee snob."
00:02:48.293,00:02:52.631,"Now, the key to a perfect latte is in the temperature of the steamed milk."
00:02:52.714,00:02:54.800,I like mine scalding.
00:02:54.883,00:02:56.051,"Hi, Emma."
00:02:56.134,00:02:57.344,"Hey, Ken."
00:02:57.427,00:02:59.930,"-Will, hi. -Hey."
00:03:00.013,00:03:01.557,What's with all the lattes?
00:03:01.640,00:03:07.396,"Oh, Emma, I just felt so awful that Figgins cut the coffee budget to pay for a nutritionist for the Cheerios."
00:03:07.479,00:03:10.732,"Yeah, I heard you guys went, like, $600 over budget on that."
00:03:10.816,00:03:15.112,My performers didn't get on Fox Sports Net last year because they ate at Bacon Junction.
00:03:15.195,00:03:16.280,Since when are cheerleaders performers?
00:03:18.907,00:03:22.828,Your resentment is delicious.
00:03:22.911,00:03:25.539,"Well, I have a phoner in a couple of minutes."
00:03:25.622,00:03:30.711,It's an interview on the telephone I'll probably do it on my iPhone.
00:03:30.794,00:03:31.795,Enjoy.
00:03:31.879,00:03:32.963,"WILL: Thanks a lot, Sue."
00:03:36.842,00:03:40.679,"I missed you at the, uh, singles mixer last weekend, Emma."
00:03:40.762,00:03:41.972,"EMMA: Yeah, I know."
00:03:42.055,00:03:43.390,Big pipe exploded in my building.
