start,end,script
00:01:12.739,00:01:16.618,and we'll get you to sit with a banking professional as soon as one becomes available.
00:01:17.202,00:01:18.286,What happens with this?
00:01:18.369,00:01:20.080,"Oh, it's going to light up and vibrate."
00:01:20.163,00:01:22.540,The red lights spin around in a circle. You won't be able to miss it.
00:01:23.458,00:01:24.501,Where do I wait?
00:01:25.168,00:01:26.377,The guest lounge.
00:01:45.855,00:01:47.190,We're ready for you now.
00:01:59.077,00:02:01.788,I'm seeing an overdrawn balance in your daily checking.
00:02:02.497,00:02:06.376,Seems like your direct deposits haven't been received in a few months.
00:02:06.793,00:02:09.337,-From... -Wechsler Steel.
00:02:09.420,00:02:11.214,"Yeah, I've been phoning them for weeks."
00:02:11.297,00:02:12.632,I couldn't get a straight answer.
00:02:13.383,00:02:17.345,"And how about this, uh, foreclosure notice?"
00:02:17.428,00:02:21.266,Ah. The yellow one. So you must be in default.
00:02:21.599,00:02:24.561,My mortgage payment tripled. Overnight.
00:02:27.564,00:02:32.152,"You were on our teaser rate promo, which expired back in January."
00:02:32.235,00:02:34.237,That's why it's called a teaser rate.
00:02:34.487,00:02:37.031,Right? It doesn't last. Make sense?
00:02:37.323,00:02:42.579,"And the new rate is quite a bit higher, so the monthly mortgage payment jumped up."
00:02:42.662,00:02:46.958,"Now, we are required to disclose that possibility at the time of the refi."
00:02:47.375,00:02:49.377,-You did. -I did what?
00:02:49.919,00:02:51.880,You sold me this crap.
00:02:54.591,00:02:55.592,Joe Harding.
00:02:55.675,00:02:57.385,No. I know the name.
00:02:57.635,00:03:00.972,Let me just look at my notes here.
00:03:04.142,00:03:05.643,Terms disclosed.
00:03:07.020,00:03:11.482,I personally disclosed the possibility of a rate hike during your refi.
00:03:12.108,00:03:13.401,Do you remember that?
00:03:14.110,00:03:18.698,You told me that the odds on the rate going past the prime rate...
00:03:19.157,00:03:20.617,were extraordinary.
00:03:20.950,00:03:22.452,But possible.
00:03:22.744,00:03:25.788,But you sold me extraordinary.
00:03:26.039,00:03:29.751,"-But the possible was disclosed. -Listen, Chuck."
00:03:29.834,00:03:33.004,"My granddaughter and my daughter, they live with me."
00:03:33.087,00:03:35.924,"She is a nurse's aide, you know, low pay and all that."
00:03:36.007,00:03:39.844,"She wanted her kid to go to a better school, so they moved in with me."
00:03:39.928,00:03:44.557,"-Lots of people doing that. -Yeah. So you see, I can't lose my house."
00:03:44.807,00:03:46.059,Not to worry.
00:03:46.768,00:03:48.519,You're on the yellow notice.
00:03:52.815,00:03:54.317,Can I talk with someone else?
00:03:54.400,00:03:56.444,-Who? -Someone smarter?
00:04:02.617,00:04:04.244,We've come to make a withdrawal.
00:04:12.543,00:04:20.218,"Aside from the tellers, we invite you to lie down on the floor, face up, and hold your arms and legs in the air like a pussycat."
00:04:30.645,00:04:34.899,"Tellers, please do not be foolish enough to trigger the silent alarm."
00:04:35.066,00:04:37.860,The last people we want here would be the police.
00:04:38.236,00:04:39.529,"That would be messy, no?"
00:04:39.696,00:04:40.697,Put 'em up.
00:04:41.614,00:04:43.825,"Why this? Oh, my God. Why here? What did I do?"
00:04:44.993,00:04:46.828,I follow the book. Just follow procedure.
00:04:46.911,00:04:48.162,Just stay calm. Stay calm.
00:04:49.998,00:04:51.207,You're going to get yourself shot!
00:04:51.666,00:04:54.419,"Gentlemen, it's best to remain silent."
00:04:54.752,00:04:55.920,I'm cramping.
00:04:56.004,00:04:57.880,"Relax, please. You can sit up."
00:04:58.172,00:05:00.633,"-Ah. -Hey, no! Not you! Pussycat!"
00:05:04.012,00:05:05.013,You can have this.
00:05:11.185,00:05:15.815,I'm sorry you're a casualty of a corrupt system that no longer serves the people.
00:05:15.982,00:05:18.234,Yeah. I've been banking here for 40 years.
00:05:18.443,00:05:20.403,You're just an account number.
00:05:21.404,00:05:23.072,"It's not much, but it's all yours."
00:05:23.531,00:05:25.283,"No, my friend. Not from you."
00:05:27.827,00:05:31.414,It is a culture's duty to take care of its elderly.
00:05:32.081,00:05:33.791,Chuck here couldn't give a crap.
00:05:34.625,00:05:35.626,Chuck.
00:05:36.794,00:05:38.713,-Are you Chuck? -Yes.
00:05:39.047,00:05:40.757,I'm Chuck. I'm Chuck.
00:05:41.340,00:05:43.551,Are you the one taking this man's house?
00:05:43.676,00:05:45.344,"-I'm not, personally. -Give me your wallet."
00:05:45.511,00:05:47.138,"Okay. Look, I got... I have..."
00:05:47.305,00:05:50.099,"I have plenty of stuff here, okay? Cash."
00:05:50.224,00:05:52.560,There's a gym membership. Take it. I never go.
00:05:53.519,00:05:54.854,Fifteen seconds.
00:05:54.937,00:05:56.898,-Pussycat! -Meow.
00:05:57.023,00:05:58.399,Shut up!
00:06:03.905,00:06:06.824,"I'm happy to say, our time together has ended."
00:06:06.908,00:06:09.827,Please do not call the police for 90 seconds.
00:06:09.994,00:06:12.538,A shoot-out never has a happy ending.
00:06:17.877,00:06:21.005,Oh. They make a pill for that.
00:06:40.691,00:06:43.486,That looks like a gang tattoo to me.
00:06:44.195,00:06:45.863,Very detailed.
00:06:46.197,00:06:48.116,I imagine the artist did them all.
00:06:48.199,00:06:54.747,"So, if you find the tattoo parlor, then you'll find the artist, and you've got yourself a bank robber."
00:06:54.997,00:06:56.666,Sounds pretty standard to me.
00:06:56.874,00:06:59.502,"Right. Well, thanks a lot, old-timer."
00:06:59.585,00:07:02.046,"You know, we're going to get you an application."
00:07:02.130,00:07:09.262,"Hey, listen. I've watched this TV show called Law and Order, and they solve crimes much quicker than you do."
00:07:09.345,00:07:10.596,You should tune in.
00:07:12.348,00:07:18.438,"Well, you know, in the real world, solving crimes takes a little longer than a one-hour television show."
00:07:18.604,00:07:21.858,"Well, I guess this wraps it up for us, Mr. Harding."
00:07:21.983,00:07:25.528,"If we need any additional information, then we'll get in contact with you."
00:07:25.736,00:07:27.655,Oh. You'll need my address and phone number.
00:07:27.738,00:07:28.990,"Uh, not necessary."
00:07:30.491,00:07:33.161,We'll find you. That's what we do.
00:07:37.665,00:07:39.375,It was hard to tell. They had masks on.
00:07:39.584,00:07:42.253,"I got close to one. It was a male, about six feet."
00:07:42.462,00:07:46.883,And he had this tattoo wrapped around his neck that I told you about.
00:07:47.049,00:07:49.260,"You know, you find the tattoo artist..."
00:07:49.427,00:07:51.220,-You find the criminal. -Exactly.
00:07:51.304,00:07:52.305,That's what I told them.
00:07:52.388,00:07:54.599,Okay. I'm sure you're not supposed to be talking about all of this.
00:07:55.683,00:07:58.644,It must have been so cool being in the middle of a heist.
00:07:58.811,00:08:00.646,"Crime is not cool, babe."
00:08:03.900,00:08:04.901,Or worse.
00:08:05.276,00:08:07.111,What's worse than being shot?
00:08:07.195,00:08:08.863,Being shot twice.
00:08:12.158,00:08:15.161,is traditionally indicative of gang affiliation.
00:08:15.411,00:08:18.915,We believe these individuals used the same tattoo artist.
00:08:18.998,00:08:21.667,"If we can find this artist, then we can find our perp."
00:08:21.918,00:08:23.628,It's pretty standard stuff really.
00:08:26.714,00:08:27.882,What an asshole.
00:08:28.132,00:08:29.467,Language.
00:08:37.099,00:08:38.559,Bingo!
00:08:38.726,00:08:43.523,The three men walked off with approximately 1.6 million dollars.
00:08:43.773,00:08:49.278,The FBI and the NYPD are reporting no leads at this time.
00:08:49.779,00:08:53.699,So what? Nobody gets hurt except the insurance company. And they'll be fine.
