start,end,script
00:00:26.193,00:00:28.403,of her head.
00:00:30.155,00:00:32.825,I picture cracking her lovely skull...
00:00:32.825,00:00:35.202,unspooling her brains...
00:00:35.202,00:00:39.247,trying to get answers.
00:00:39.247,00:00:42.417,The primal questions of any marriage.
00:00:42.417,00:00:44.879,What are you thinking?
00:00:44.879,00:00:47.214,How are you feeling?
00:00:47.214,00:00:49.591,What have we done to each other?
00:02:25.854,00:02:28.649,The Irish prince graces us with his presence.
00:02:30.651,00:02:33.612,His majesty prefers not to be moistened.
00:02:34.822,00:02:36.197,I got you a present.
00:02:36.197,00:02:37.908,Oh.
00:02:37.908,00:02:39.284,I hated this game.
00:02:39.284,00:02:40.702,You loved it.
00:02:40.702,00:02:43.789,Thank you.
00:02:43.789,00:02:45.833,Can you pour me a bourbon?
00:02:52.089,00:02:54.008,"What's up, Jitters?"
00:02:57.803,00:02:59.013,"Well, if you're not going to talk..."
00:02:59.013,00:03:00.472,I'm gonna have to fill the silence...
00:03:00.472,00:03:03.851,with another excruciating story by Margo Dunne.
00:03:03.851,00:03:06.520,I could tell you about my recent customer service experience...
00:03:06.520,00:03:08.563,changing Internet service providers.
00:03:08.563,00:03:10.231,Or how about the time...
00:03:10.231,00:03:11.441,I saw that woman who looked exactly like my friend Monica?
00:03:11.441,00:03:13.401,But it wasn't Monica.
00:03:13.401,00:03:15.863,Who was also named Monica.
00:03:15.863,00:03:17.072,Made it kind of interesting.
00:03:18.032,00:03:19.533,I'm just having a bad day.
00:03:19.533,00:03:21.535,Amy?
00:03:21.535,00:03:23.244,Five years.
00:03:23.244,00:03:24.538,That came fast.
00:03:24.538,00:03:25.789,And furious.
00:03:30.627,00:03:34.381,"AMY: I'm so crazy, stupid happy."
00:03:36.257,00:03:38.135,I met a boy.
00:03:38.135,00:03:42.222,"A great, sweet, gorgeous, cool-ass guy."
00:03:44.474,00:03:46.101,"Excuse me, miss?"
00:03:46.101,00:03:47.769,I just want you to be careful...
00:03:47.769,00:03:50.564,where you put down that monk-brewed Belgian wheat beer...
00:03:50.564,00:03:52.983,because the party's down to three Beast Lights and a bottle of Pucker.
00:03:52.983,00:03:54.985,It might attract some desperate characters.
00:03:54.985,00:03:57.529,It could.
00:04:02.242,00:04:04.619,They already relieved me of my artisanal meat platter.
00:04:04.619,00:04:07.164,"Finally, someone tells me how to pronounce that word."
00:04:07.164,00:04:08.289,Meat?
00:04:08.289,00:04:10.042,"Yes, meat."
00:04:10.042,00:04:12.419,Thank you.
00:04:12.419,00:04:14.629,Don't tell me.
00:04:14.629,00:04:16.673,"Let's see, who's your type?"
00:04:16.673,00:04:18.258,I don't see you sitting quietly...
00:04:18.258,00:04:21.344,while he bloviates on his postgrad thesis about Proust.
00:04:21.344,00:04:23.805,Uh-oh. Is that him?
00:04:23.805,00:04:26.349,"Ironic hipster, so self-aware, he makes everything a joke."
00:04:26.349,00:04:29.019,"I prefer men who are funny, not funny."
00:04:30.979,00:04:32.606,What type are you?
00:04:32.606,00:04:33.815,"Corn-fed, salt-of-the-earth Missouri guy."
00:04:33.815,00:04:34.900,Missouri?
00:04:34.900,00:04:35.984,Cute.
00:04:35.984,00:04:37.194,Native New Yorker?
00:04:37.194,00:04:38.445,The world ends at the Hudson.
00:04:38.445,00:04:40.655,-What's your name?
00:04:40.655,00:04:42.824,"Well, Amy, who are you?"
00:04:44.201,00:04:47.454,"A, I'm an award-winning scrimshander."
00:04:47.454,00:04:51.708,"B, I'm a moderately influential warlord."
00:04:51.708,00:04:55.336,"C, I write personality quizzes for magazines."
00:04:55.336,00:04:59.674,Okay. Your hands are far too delicate for real scrimshaw work...
00:04:59.674,00:05:02.552,and I happen to be a charter subscriber to Middling Warlord Weekly...
00:05:02.552,00:05:04.263,so I'd recognize you.
00:05:04.263,00:05:05.472,I'm gonna go with C.
00:05:05.472,00:05:06.807,And you?
00:05:07.766,00:05:09.517,Who are you?
00:05:09.517,00:05:13.772,I'm the guy to save you from all this awesomeness.
00:05:18.026,00:05:20.904,"Oh, so, you write for a men's magazine."
00:05:20.904,00:05:23.115,"God, does that make you an expert on being a man?"
00:05:26.076,00:05:27.244,"It's what to wear, what to drink."
00:05:27.244,00:05:29.288,How to bullshit.
00:05:29.288,00:05:31.039,Never with you.
00:05:31.039,00:05:33.500,"No, I mean it."
00:05:33.500,00:05:36.086,It's hard to believe you.
