start,end,script
00:01:22.750,00:01:25.416,&lrm;what they call sentence interpretation.
00:01:25.583,00:01:27.041,&lrm;Do you understand that?
00:01:28.875,00:01:32.125,&lrm;You know what interpreting &lrm;a sentence means?
00:01:33.791,00:01:34.833,&lrm;No.
00:01:40.291,00:01:41.500,&lrm;-Okay. &lrm;-Okay.
00:01:41.666,00:01:46.791,"&lrm;And what these are, &lrm;these are common expressions that people &lrm;sometimes say."
00:01:46.958,00:01:53.625,"&lrm;You might hear it out on the street, &lrm;you might've seen it on TV, &lrm;uh, maybe a friend, &lrm;maybe your grandmother."
00:01:53.791,00:01:56.041,"&lrm;So, I'm going to read you &lrm;a few of those, okay?"
00:01:56.166,00:01:57.833,&lrm;-Okay. &lrm;-All right.
00:01:57.958,00:02:02.583,"&lrm;Uh, the first one is, &lrm;Don't count your chickens &lrm;before they hatch."
00:02:02.916,00:02:04.625,"&lrm;What does that mean to you, &lrm;that expression?"
00:02:04.750,00:02:07.875,&lrm;Don't count your chickens &lrm;before they hatch?
00:02:08.208,00:02:10.000,&lrm;Don't count your chickens.
00:02:11.875,00:02:13.166,&lrm;Okay.
00:02:17.125,00:02:18.666,&lrm;What are you writing down?
00:02:18.791,00:02:22.708,"&lrm;Well, the reason I'm asking you &lrm;the questions is &lrm;because I'm supposed to write..."
00:02:22.833,00:02:25.291,"&lrm;-You know, write down the answers... &lrm;-Yeah, but that's what I'm saying."
00:02:25.416,00:02:26.583,&lrm;Why are you writing that down?
00:02:26.708,00:02:28.583,"&lrm;So, in case I forget it later."
00:02:28.708,00:02:31.750,&lrm;But I don't like people talking about me &lrm;after I go places.
00:02:31.875,00:02:33.416,&lrm;I don't blame you. I'm not... &lrm;And I'm not talking about you.
00:02:33.583,00:02:35.791,&lrm;This is just for me. &lrm;These are my own notes.
00:02:36.041,00:02:37.333,&lrm;No one sees them but me.
00:02:37.500,00:02:38.375,"&lrm;I don't like it, but..."
00:02:38.500,00:02:40.166,"&lrm;All right, here's another one."
00:02:40.916,00:02:44.250,&lrm;It's the squeaky wheel &lrm;that gets the grease.
00:02:44.875,00:02:47.958,&lrm;What does that expression mean to you?
00:02:54.541,00:02:56.333,&lrm;You ever heard that before?
00:02:59.833,00:03:00.875,&lrm;Nick?
00:03:02.416,00:03:03.750,"&lrm;Okay, Nick, you know what?"
00:03:03.875,00:03:06.583,&lrm;Why don't we skip this section &lrm;and just move on to the next one?
00:03:06.708,00:03:08.250,&lrm;It's actually more fun. It's easier.
00:03:08.375,00:03:09.666,&lrm;It's called word comparisons.
00:03:09.791,00:03:17.208,"&lrm;It's two words that don't appear &lrm;to be connected, &lrm;and then you say &lrm;what you think when you hear &lrm;the two words together. Okay?"
00:03:17.333,00:03:18.208,&lrm;Okay.
00:03:18.375,00:03:22.041,&lrm;All right. First one is &lrm;cat and mouse.
00:03:23.041,00:03:25.458,&lrm;What does that make you think?
00:03:25.583,00:03:27.375,&lrm;They don't like each other.
00:03:27.958,00:03:31.416,"&lrm;That's right. They're kind of enemies &lrm;against each other, right?"
00:03:31.541,00:03:32.666,&lrm;That's what I said.
00:03:32.833,00:03:34.416,"&lrm;Okay, um..."
00:03:36.083,00:03:41.458,&lrm;How about scissors and a cooking pan?
00:03:41.958,00:03:44.125,&lrm;You can hurt yourself with both.
00:03:44.458,00:03:45.625,&lrm;Okay.
00:03:49.916,00:03:51.833,&lrm;How about salt and water?
00:03:53.541,00:03:54.791,&lrm;The beach.
00:03:54.958,00:03:55.916,&lrm;The beach.
00:03:56.083,00:03:57.666,&lrm;That's a good answer.
00:04:04.291,00:04:05.458,&lrm;Um...
00:04:05.833,00:04:10.125,"&lrm;Do you mind, could we go back &lrm;to the scissors and the cooking pan? Um..."
00:04:10.250,00:04:13.291,"&lrm;When you said you can hurt yourself, &lrm;what were you... What did you mean?"
00:04:13.458,00:04:15.958,&lrm;Do you ever think about hurting yourself?
00:04:17.958,00:04:21.458,&lrm;Why did you think of being hurt?
00:04:21.625,00:04:24.125,"&lrm;Because I touched the pan, &lrm;and I hurt my hand."
00:04:24.333,00:04:26.875,"&lrm;Oh, well, that makes perfect sense. &lrm;What happened?"
00:04:30.250,00:04:32.458,&lrm;Do you remember when it was?
00:04:38.041,00:04:40.291,&lrm;Do you not want to talk about this?
00:04:42.833,00:04:44.750,&lrm;I was sitting there and trying to eat.
00:04:44.875,00:04:48.958,"&lrm;And she started yelling at me, &lrm;and pushing me, &lrm;and just telling me I can't eat food."
00:04:49.250,00:04:50.625,&lrm;That was your grandmother &lrm;who was saying that?
00:04:50.750,00:04:51.750,"&lrm;Yeah, and then she threw stuff at me."
00:04:51.958,00:04:53.291,&lrm;-She threw things at you? &lrm;-Yeah.
00:04:53.416,00:04:55.750,"&lrm;Then I picked up the pan, &lrm;and I threw it at her."
00:04:55.875,00:04:57.541,&lrm;You threw it at your grandmother?
00:04:57.666,00:04:58.750,&lrm;I threw it at the wall.
00:04:58.875,00:05:01.375,"&lrm;Oh, you weren't trying &lrm;to hit your grandmother?"
00:05:08.416,00:05:11.000,&lrm;Did you burn yourself &lrm;when you threw the pan?
00:05:15.083,00:05:16.166,&lrm;Nick?
00:05:20.541,00:05:23.000,"&lrm;Nick, it's good &lrm;that we should talk about this."
00:05:23.125,00:05:24.708,&lrm;This is good stuff we're talking about.
00:05:27.916,00:05:29.250,"&lrm;Yes, I am. We're in the middle &lrm;of a session."
00:05:32.250,00:05:33.083,"&lrm;-An exam. &lrm;-Come on, get up!"
00:05:36.625,00:05:38.250,"&lrm;How would you like it &lrm;if I made you cry, huh?"
00:05:38.375,00:05:40.291,"&lrm;-Would you like that? &lrm;-No, I would not. But..."
00:05:41.666,00:05:43.000,&lrm;Let's go. Let's go!
00:05:43.125,00:05:44.666,&lrm;But he wrote... He has all my stuff!
00:05:45.083,00:05:46.958,&lrm;Rip that shit up then!
00:05:50.208,00:05:51.750,&lrm;-Shame on me? Shame on you. &lrm;-You're not helping.
00:05:51.875,00:05:52.791,&lrm;Shame on you!
00:05:54.250,00:05:56.416,&lrm;could you send &lrm;Mark and Matthew right away?
