start,end,script
00:01:33.510,00:01:34.511,"Oh, hey, you're up."
00:01:35.595,00:01:39.224,"I wasn't sure if you, you know, wanted to sleep in or not."
00:01:41.601,00:01:43.603,Am I in a dorm room?
00:01:45.104,00:01:46.564,"Uh, yeah."
00:02:00.203,00:02:01.204,Where are my clothes?
00:02:01.830,00:02:03.373,On the dresser.
00:02:08.545,00:02:10.672,I folded your pants last night.
00:02:10.755,00:02:15.051,"You know, I wasn't sure if that material gets wrinkled."
00:02:15.135,00:02:15.969,Great.
00:02:18.012,00:02:19.180,Uh...
00:02:19.973,00:02:22.058,Don't know if you remember my name or not.
00:02:22.142,00:02:23.852,-Pretty wasted last night. -Got Tylenol?
00:02:23.935,00:02:25.228,What?
00:02:25.311,00:02:28.857,My head is killing me. Do you have any Tylenol?
00:02:28.940,00:02:30.650,Yes.
00:02:30.733,00:02:32.152,"Yes, I do."
00:02:33.945,00:02:35.071,Sorry.
00:02:42.370,00:02:43.580,Thanks.
00:02:46.124,00:02:48.042,"I'm Carter, by the way."
00:02:50.795,00:02:52.922,"Not a word of this to anyone, got it?"
00:02:55.884,00:02:57.594,Yeah. Sure.
00:03:00.346,00:03:02.307,Dude! Did you hit that fine vagine or what?
00:03:09.272,00:03:10.732,"Nice one, dickhead."
00:03:29.834,00:03:30.960,Stop global warming?
00:04:05.036,00:04:06.162,Hey!
00:04:07.330,00:04:08.164,Hi.
00:04:09.040,00:04:10.625,You haven't returned any of my texts.
00:04:11.376,00:04:13.628,"Yeah, sorry, I've been busy."
00:04:15.838,00:04:17.173,"Yeah, I can see that."
00:04:17.257,00:04:19.926,"Okay, Tim, we went on a date."
00:04:20.301,00:04:21.552,One.
00:04:21.636,00:04:23.972,"I don't have to text you back. We're not, like, a thing."
00:04:24.847,00:04:27.976,"Okay. I just... You know, I figured we had a nice time."
00:04:28.059,00:04:30.812,You had a nice time. I was miserable.
00:04:31.271,00:04:34.023,"I mean, who takes their first date to Subway?"
00:04:34.649,00:04:36.359,It's not like you have a footlong.
00:05:08.558,00:05:09.934,"Oh, my God!"
00:05:10.018,00:05:13.062,You sneaky little beeyotch! Who was it?
00:05:14.230,00:05:15.189,Nobody.
00:05:15.273,00:05:16.858,Sisters don't keep secrets.
00:05:17.025,00:05:18.943,"Seriously, it was nobody."
00:05:19.027,00:05:21.571,"Well, I hope nobody used a condom."
00:05:21.654,00:05:24.365,We don't want somebody looking like a whore.
00:05:24.449,00:05:26.534,"Thanks, Danielle. Super helpful."
00:05:26.617,00:05:27.744,What are sisters for?
00:05:28.077,00:05:30.538,"Oh, and don't forget, house meeting at lunch."
00:05:30.621,00:05:31.622,Living for it.
00:05:31.706,00:05:32.874,Hmm.
00:05:37.378,00:05:38.463,She finally rolls in.
00:05:42.383,00:05:44.594,Did I totally embarrass myself last night?
00:05:46.637,00:05:52.518,"Unless you consider dancing on a table, starting two fights, and barfing pretzel chunks all over the bar embarrassing."
00:05:52.602,00:05:54.187,Mmm. Please tell me you're kidding.
00:05:55.104,00:05:58.816,"Oh, and you also rammed your tongue down Nick Sims' throat right in front of Danielle."
00:06:00.610,00:06:02.820,"Oh, God! But she was so nice to me this morning."
00:06:02.904,00:06:04.989,"Yeah, I think she was as drunk as you last night."
00:06:05.073,00:06:06.282,So consider it collective amnesia.
00:06:10.912,00:06:13.581,"Oh, crap! I'm so late for class."
00:06:17.710,00:06:19.962,I can't find my damn book!
00:06:21.130,00:06:22.215,Ha!
00:06:25.885,00:06:28.179,Did you really think you could keep it a secret from me?
00:06:28.262,00:06:29.388,How did you find out?
00:06:29.472,00:06:30.723,Driver's license.
00:06:30.973,00:06:32.517,"Not the best picture, I might add."
00:06:32.600,00:06:33.935,"I assume you changed my ringer, too?"
00:06:34.018,00:06:35.103,"Who, me?"
00:06:35.186,00:06:36.354,Never.
00:06:42.276,00:06:43.402,What'd you wish for?
00:06:43.486,00:06:44.612,A new roommate.
00:06:48.449,00:06:49.742,I made that from scratch!
00:06:49.826,00:06:52.286,"Sorry, too many carbs. Toodles!"
00:06:54.288,00:06:59.001,Locomotive response in the subject shows an acceleration across the quantum plane.
00:07:01.295,00:07:09.637,This creates great orbital overlap between the partially positive base of carbon and the partially negative hydrogen alkali group.
00:07:11.514,00:07:12.390,Thanks.
00:07:17.603,00:07:18.938,"game at the Sigma parties, okay?"
00:07:19.021,00:07:20.898,And we still need to pick this year's charity.
00:07:20.982,00:07:24.861,"I can say right now, there's no way we're doing the Special Needs Art Fair again."
00:07:24.944,00:07:27.697,Totally freaked my shit out. Thoughts?
00:07:33.411,00:07:34.579,What's wrong?
00:07:34.662,00:07:35.788,"Oh, I don't know."
00:07:35.872,00:07:37.039,"What's wrong, Tree?"
00:07:38.124,00:07:39.208,Nothing.
00:07:39.292,00:07:42.170,Except for that cat lady buffet you just dumped at our table.
00:07:42.253,00:07:43.921,And is that chocolate milk I see?
00:07:44.130,00:07:45.339,I missed breakfast.
00:07:45.756,00:07:48.050,"What is breakfast, Becky?"
00:07:54.223,00:07:56.142,-Oh! Asshole! -I'm sorry.
00:07:57.435,00:07:58.728,"Wait, you two know each other?"
00:07:58.811,00:07:59.854,-Yeah. -No!
00:08:01.981,00:08:05.276,We had a class together last year.
00:08:05.568,00:08:07.570,"Look, I was bringing you this back."
00:08:13.159,00:08:15.495,"Sorry, I didn't know where you lived. You know, I..."
00:08:19.457,00:08:22.335,Yeah. I'm sorry again about the mess.
00:08:24.837,00:08:26.380,What a douchebag!
00:08:33.304,00:08:35.014,Dr. Lawrence to outpatient services.
00:08:44.565,00:08:46.025,-Lori! -Hi.
00:08:47.026,00:08:48.194,Hi.
00:08:48.319,00:08:49.320,Um...
